Z,N,AME2003,AME2003_sd,AME2016,AME2016_sd,JYFLTRAP2017,JYFLTRAP2017_sd,TRIUMF2018,TRIUMF2018_sd,RIKEN2018,RIKEN2018_sd,NEW2018,NEW2018_sd,SKMS,SKP,SLy4,SV-min,UNEDF0,UNEDF1,UNEDF1-SO,UNEDF2,FRDM2012,HFB24
9,13,167.734618,0.012399,167.734623,0.012399,*,*,*,*,*,*,*,*,172.436130,170.143406,169.249791,167.288026,168.719093,162.234395,*,162.178145,167.59,168.717996
9,15,179.111105,0.072282,179.126117,0.09767,*,*,*,*,*,*,*,*,185.073037,181.819656,180.423365,178.530387,180.117608,172.932838,*,173.175537,177.60,181.200632
9,17,184.541496,0.166585,184.164393,0.111199,*,*,*,*,*,*,*,*,192.743335,189.160332,187.593546,185.922674,187.151522,179.562027,*,179.418495,182.80,185.303268
9,19,*,*,185.214308,0.393024,*,*,*,*,*,*,*,*,196.231498,192.448646,190.836804,189.582813,190.550361,182.427244,*,181.737895,185.90,186.705904
9,21,*,*,*,*,*,*,*,*,*,*,*,*,198.021248,192.947170,190.872788,190.413973,191.430389,183.033959,*,182.080145,187.13,187.68854
9,23,*,*,*,*,*,*,*,*,*,*,*,*,198.966551,192.113435,189.066264,189.669026,190.820624,182.386577,*,181.165925,186.52,186.671175
9,25,*,*,*,*,*,*,*,*,*,*,*,*,199.257264,190.647150,186.649050,188.317500,189.641239,181.036417,*,179.526433,183.96,185.283811
9,27,*,*,*,*,*,*,*,*,*,*,*,*,198.966442,188.380720,183.485677,186.310611,187.897197,179.044225,*,*,180.41,183.706447
9,29,*,*,*,*,*,*,*,*,*,*,*,*,198.335328,185.629352,179.881940,183.974176,185.861470,176.795039,*,*,176.87,179.389083
9,31,*,*,*,*,*,*,*,*,*,*,*,*,197.600845,182.655712,176.204843,181.623485,183.829434,174.463855,*,*,171.84,*
9,33,*,*,*,*,*,*,*,*,*,*,*,*,196.093676,179.042857,172.119472,178.897327,181.418510,171.854885,*,*,164.46,*
9,35,*,*,*,*,*,*,*,*,*,*,*,*,192.568471,174.134405,166.688614,174.862935,177.692829,168.233114,*,*,157.42,*
9,37,*,*,*,*,*,*,*,*,*,*,*,*,187.266591,168.030344,159.757071,169.467480,172.776165,163.475354,*,*,150.59,*
9,39,*,*,*,*,*,*,*,*,*,*,*,*,181.718974,161.371036,152.101867,163.622096,167.628267,158.430009,*,*,*,*
11,3,*,*,*,*,*,*,*,*,*,*,*,*,28.698301,25.003965,21.914500,25.710437,25.467444,17.088245,*,15.308586,*,*
11,5,*,*,*,*,*,*,*,*,*,*,*,*,76.207754,73.692255,71.540379,71.783582,73.286631,64.095738,*,63.048850,*,*
11,7,112.488091,0.050301,111.640071,0.093881,*,*,*,*,*,*,*,*,117.310516,115.749727,114.400012,112.964439,114.919104,106.962987,*,106.362552,*,*
11,9,145.972975,0.006662,145.97009,0.001114,*,*,*,*,*,*,*,*,148.663369,147.625735,147.154746,145.262745,146.751605,140.772782,*,140.276803,146.20,146.730694
11,11,174.145766,0.000415,174.144841,0.000171,*,*,*,*,*,*,*,*,173.596603,171.959235,172.066891,170.086548,171.484771,166.419416,*,165.870904,172.93,173.77333
11,13,193.52408,7.6e-05,193.523867,1.7e-05,*,*,*,*,*,*,*,*,195.024086,192.679853,192.527280,190.436188,192.556846,186.838740,*,186.504872,192.42,192.625966
11,15,208.110918,0.005832,208.109382,0.003502,*,*,*,*,*,*,*,*,212.353945,209.739426,208.913543,206.797422,209.521763,202.701543,*,202.634490,207.09,208.368602
