Z,N,2003,2003_sd,2016,2016_sd,2017,2017_sd,2018,2018_sd,SKM*,SKP,SLY4,SVMIN,UNEDF0,UNEDF1,UNEDF2,FRDM2012,HFB24
23,10,*,*,*,*,*,*,*,*,49.570783,50.077703,50.85442,48.453629,48.781047,48.148542,*,*,*
23,12,*,*,*,*,*,*,*,*,48.581788,49.411809,50.714269,49.009236,49.219984,49.625842,*,*,*
23,14,*,*,*,*,*,*,*,*,43.793385,45.362729,46.190226,45.274626,45.812262,46.036278,46.712626,*,*
23,16,*,*,*,*,*,*,*,*,39.538193,41.09228,41.068856,40.963334,40.674807,42.168702,42.178825,41.69,43.31
23,18,*,*,*,*,*,*,*,*,34.632763,36.606419,36.692101,36.437301,35.780304,37.552741,37.321989,37.52,38.41
23,20,*,*,*,*,*,*,*,*,31.965062,32.80251,33.753094,33.175804,32.521867,34.586614,34.852541,34.56,34.72
23,22,*,*,30.11229,0.04286,*,*,*,*,26.797005,26.731964,26.733859,27.10717,27.27555,27.240248,27.051957,30.12,30.83
23,24,26.26506,0.01703,26.26324,0.00086,*,*,*,*,26.062607,25.000096,25.444809,25.401469,25.312821,25.795261,26.088207,25.6,25.95
23,26,22.09753,0.00087,22.09795,0.00083,*,*,*,*,23.852302,22.576347,22.899296,22.797107,22.998757,22.730075,22.941448,22.27,21.42
23,28,20.38707,0.00128,20.38455,0.00092,*,*,*,*,21.480184,20.168183,20.227203,20.145876,20.473141,20.022674,20.658532,20.0,19.79
23,30,15.79009,0.00325,15.78985,0.00314,*,*,*,*,17.190708,17.737394,16.303114,17.049829,17.424401,16.502682,16.678199,15.23,16.3
23,32,13.44529,0.10005,13.43616,0.09515,*,*,*,*,14.845559,15.097095,13.718326,14.083221,14.326595,13.674705,13.842083,12.62,13.68
23,34,11.17988,0.25353,11.4115,0.12459,*,*,*,*,11.278809,12.089388,11.345312,11.499202,11.20578,11.003546,10.132379,11.46,11.77
23,36,9.02045,0.38569,9.5612,0.18078,*,*,*,*,9.844275,10.230792,9.777676,10.163155,9.884159,9.393019,8.677124,10.29,9.8
23,38,*,*,8.81705,0.90877,*,*,*,*,9.575694,9.060962,9.342035,9.378953,9.148556,8.690087,8.355779,8.94,8.82
23,40,*,*,*,*,*,*,*,*,8.765067,7.646366,8.129286,8.108241,7.901185,7.423393,7.661867,8.04,7.54
23,42,*,*,*,*,*,*,*,*,7.95759,6.175259,5.633453,6.132425,5.995454,5.466983,5.631547,6.59,7.1
23,44,*,*,*,*,*,*,*,*,7.178509,5.578835,4.649237,5.34707,5.08525,5.146465,5.401243,5.68,5.77
23,46,*,*,*,*,*,*,*,*,6.684574,4.665036,4.59508,4.892116,4.845705,4.176331,4.422802,4.81,4.41
23,48,*,*,*,*,*,*,*,*,5.62284,3.559461,3.306786,3.560723,3.564716,3.053768,3.21313,3.87,3.23
23,50,*,*,*,*,*,*,*,*,4.702656,2.505692,2.293686,2.473328,2.552091,2.106636,2.295397,3.43,2.02
23,52,*,*,*,*,*,*,*,*,3.029261,1.659966,0.261397,1.662044,1.81665,1.434502,1.863368,0.11,1.64
23,54,*,*,*,*,*,*,*,*,2.060302,0.998727,*,1.062852,1.439707,1.286082,1.308824,*,0.75
23,56,*,*,*,*,*,*,*,*,1.713812,0.680264,*,0.969914,1.253051,1.137125,1.425541,*,*
23,58,*,*,*,*,*,*,*,*,1.049367,*,*,0.40563,0.944578,1.006637,0.617721,*,*
23,60,*,*,*,*,*,*,*,*,*,*,*,*,0.381255,0.174467,*,*,*
25,4,*,*,*,*,*,*,*,*,54.282225,55.846894,57.924903,54.289307,54.220539,53.853679,*,*,*
25,6,*,*,*,*,*,*,*,*,60.219217,61.438563,63.288865,59.410559,59.898817,59.220187,*,*,*
25,8,*,*,*,*,*,*,*,*,56.843685,59.470281,61.113807,57.594357,56.524482,58.126618,*,*,*
25,10,*,*,*,*,*,*,*,*,51.712686,51.902894,53.103543,50.122514,50.36059,49.17029,*,*,*
25,12,*,*,*,*,*,*,*,*,51.463169,52.301806,53.750993,51.534954,51.715138,51.732434,*,*,*
25,14,*,*,*,*,*,*,*,*,46.65802,48.043029,48.890427,47.762431,48.217752,48.474057,*,*,*
25,16,*,*,*,*,*,*,*,*,42.648266,44.127287,44.53155,44.030404,43.67795,45.243175,45.697765,*,*
25,18,*,*,*,*,*,*,*,*,37.825918,39.834744,39.828382,39.549279,39.28973,40.665545,40.626487,41.0,41.46
25,20,*,*,*,*,*,*,*,*,35.718872,36.618515,37.665826,36.949155,36.413274,38.404419,38.655245,37.69,37.98
25,22,*,*,*,*,*,*,*,*,29.987258,30.083549,30.302845,30.746523,30.899596,31.191932,30.984242,33.5,34.05
25,24,*,*,31.19689,0.03175,*,*,*,*,29.922126,29.049551,29.761483,29.556503,29.329836,30.196004,30.048906,30.38,31.32
25,26,26.76839,0.02402,26.76588,0.00223,*,*,*,*,26.73277,25.751181,26.092061,26.06719,26.374869,26.213978,26.390396,26.5,26.8
25,28,22.5892,0.00101,22.58887,0.00066,*,*,*,*,23.993372,22.925755,22.986342,23.042967,23.636907,23.000726,23.636782,23.33,22.06
25,30,19.16531,0.00047,19.16493,0.00043,*,*,*,*,19.542749,20.358613,19.260926,19.682961,20.136101,19.130142,19.243075,17.92,19.03
25,32,15.91885,0.00191,15.91647,0.00152,*,*,*,*,17.185681,17.711966,16.363585,16.618804,16.853041,16.333856,16.30821,16.18,16.37
25,34,14.1354,0.03006,14.1817,0.00277,*,*,*,*,13.713775,14.75775,14.098103,14.284961,13.796597,13.955066,13.514496,14.19,14.63
25,36,12.21881,0.22988,12.35944,0.00329,*,*,*,*,12.489781,12.957308,12.394699,12.737898,12.529322,12.038377,11.541098,12.59,12.94
25,38,10.93805,0.34451,11.28757,0.00439,*,*,*,*,12.151081,11.731672,12.003238,12.029799,11.731277,11.248834,10.810378,11.36,11.56
25,40,10.46418,0.59564,10.22292,0.00527,*,*,*,*,11.42983,10.272755,10.825217,10.705322,10.445246,10.094799,10.411575,10.45,10.44
25,42,*,*,*,*,*,*,*,*,10.519189,8.674328,8.211308,8.727402,8.54211,8.082382,8.200961,8.96,9.22
25,44,*,*,*,*,*,*,*,*,9.559022,8.059587,7.192009,7.791098,7.577957,7.783503,7.900473,7.8,8.01
25,46,*,*,*,*,*,*,*,*,8.636082,7.204399,7.511592,7.426072,7.212504,6.486896,6.826463,6.97,6.93
25,48,*,*,*,*,*,*,*,*,7.573143,5.693452,5.261419,5.670201,5.631869,5.082472,5.295895,6.37,5.55
25,50,*,*,*,*,*,*,*,*,6.704853,4.485102,4.589601,4.388016,4.381095,3.838013,4.299626,5.53,4.12
25,52,*,*,*,*,*,*,*,*,4.269025,3.412832,1.623733,3.210412,3.407442,2.906458,3.082556,1.85,3.38
25,54,*,*,*,*,*,*,*,*,3.358165,2.405451,0.973864,2.271496,2.68842,2.324414,2.397995,0.46,1.07
25,56,*,*,*,*,*,*,*,*,2.647676,1.946362,0.299948,2.031513,2.336989,2.111624,2.374923,*,0.79
25,58,*,*,*,*,*,*,*,*,1.984726,1.013563,*,1.351923,1.898193,1.813142,1.444239,*,0.0
25,60,*,*,*,*,*,*,*,*,0.563989,*,*,0.413486,1.227836,0.866557,*,*,*
25,62,*,*,*,*,*,*,*,*,*,*,*,*,0.049097,*,*,*,*
27,4,*,*,*,*,*,*,*,*,54.372045,56.2072,58.061935,54.794718,54.542471,54.613384,*,*,*
27,6,*,*,*,*,*,*,*,*,60.600344,61.895041,63.805584,59.926672,60.258404,59.767726,*,*,*
27,8,*,*,*,*,*,*,*,*,57.798862,60.093719,61.715667,58.189431,57.315103,58.729986,*,*,*
27,10,*,*,*,*,*,*,*,*,53.061233,53.209051,54.58901,51.567403,51.69339,50.538714,*,*,*
