Z,N,2003,2003_sd,2016,2016_sd,2017,2017_sd,2018,2018_sd,SKM*,SKP,SLY4,SVMIN,UNEDF0,UNEDF1,UNEDF2,FRDM2012,HFB24
24,41,*,*,*,*,*,*,*,*,3.423566,2.303271,2.063234,2.406121,2.603892,2.427783,2.476054,2.35,2.56
24,43,*,*,*,*,*,*,*,*,2.929364,2.257985,1.76856,2.214014,2.345506,2.39111,2.133684,2.08,2.16
24,45,*,*,*,*,*,*,*,*,2.458565,1.555223,1.878842,1.840333,2.036805,1.66039,1.586703,1.84,1.33
24,47,*,*,*,*,*,*,*,*,2.008019,0.937987,0.732032,1.081748,1.341678,1.085594,0.957503,1.12,0.79
24,49,*,*,*,*,*,*,*,*,1.536371,0.383406,0.303167,0.505802,0.762672,0.54245,0.445412,1.35,0.78
24,51,*,*,*,*,*,*,*,*,0.834988,*,*,0.068347,0.329585,0.141389,0.181375,*,0.19
24,53,*,*,*,*,*,*,*,*,0.420554,*,*,*,0.075778,*,*,*,*
24,55,*,*,*,*,*,*,*,*,0.158336,*,*,*,0.030636,*,0.058705,*,*
26,3,*,*,*,*,*,*,*,*,24.076788,25.167011,25.244737,24.211028,24.780766,24.447061,*,*,*
26,5,*,*,*,*,*,*,*,*,27.974617,28.642284,28.941157,27.422958,28.230265,27.849122,*,*,*
26,7,*,*,*,*,*,*,*,*,26.309903,27.636516,27.879119,26.449279,26.541257,27.066951,*,*,*
26,9,*,*,*,*,*,*,*,*,24.380931,24.412846,24.63872,23.272437,24.010434,23.023944,*,*,*
26,11,*,*,*,*,*,*,*,*,24.939203,25.345639,25.714475,24.704327,25.251925,25.04723,*,*,*
26,13,*,*,*,*,*,*,*,*,22.408878,23.22994,23.344599,22.890766,23.510051,23.546232,*,*,*
26,15,*,*,*,*,*,*,*,*,20.53246,21.400922,21.351261,21.167805,21.378527,21.906866,21.974832,*,*
26,17,*,*,*,*,*,*,*,*,18.358784,19.265749,19.025689,18.997701,19.324241,19.96858,19.749338,20.0,21.0
26,19,*,*,*,*,*,*,*,*,17.351056,17.728237,17.990969,17.776077,17.967885,18.761933,18.715589,17.88,18.93
26,21,*,*,*,*,*,*,*,*,14.413318,14.436155,14.370625,14.758717,15.224358,15.322554,14.835961,15.81,16.11
26,23,*,*,*,*,*,*,*,*,14.395154,14.026687,14.192587,14.212768,14.542112,14.847026,14.60736,14.25,13.36
26,25,13.81812,0.06185,13.79742,0.01227,*,*,*,*,12.917557,12.336123,12.408079,12.507579,13.031214,12.957882,12.793334,13.02,12.53
26,27,10.68503,0.00671,10.68848,0.00516,*,*,*,*,11.418319,10.89604,10.752763,10.947037,11.607378,11.249364,11.298868,10.7,10.35
26,29,9.29823,0.0002,9.29812,0.00019,*,*,*,*,9.155892,9.591568,8.8574,9.222626,9.753926,9.243236,9.08934,8.74,8.84
26,31,7.6461,3e-05,7.64607,4e-05,*,*,*,*,8.099837,8.199789,7.508751,7.711431,8.150779,7.968233,7.640169,7.02,7.28
26,33,6.58101,0.00011,6.58101,0.00011,*,*,*,*,6.290224,6.70736,6.366795,6.589992,6.551406,6.668557,6.245713,6.38,6.64
26,35,5.58088,0.0203,5.57879,0.00429,*,*,*,*,5.647325,5.809488,5.463124,5.66632,5.916266,5.645807,5.254033,5.54,5.45
26,37,4.7164,0.16876,4.82889,0.00513,*,*,*,*,5.2455,5.170493,5.219968,5.335093,5.466081,5.173732,4.789082,4.81,4.79
26,39,4.1786,0.36832,4.31967,0.00716,*,*,*,*,5.06684,4.403403,4.644269,4.638033,4.809056,4.637755,4.689644,4.38,4.29
26,41,4.19015,0.51409,3.61363,0.27032,*,*,*,*,4.587213,3.582851,3.376795,3.697365,3.895411,3.566086,3.296297,3.54,4.6
26,43,*,*,*,*,*,*,*,*,4.122345,3.037558,2.820106,3.059493,3.267745,3.42237,3.389975,3.13,3.33
26,45,*,*,*,*,*,*,*,*,3.719004,2.922831,3.069245,3.138054,3.24379,2.87371,2.88515,2.85,2.65
26,47,*,*,*,*,*,*,*,*,3.177582,2.076728,1.989378,2.192181,2.378016,2.125865,2.043253,2.53,1.82
26,49,*,*,*,*,*,*,*,*,2.79864,1.463519,1.721706,1.546055,1.743616,1.504196,1.579942,2.47,1.41
26,51,*,*,*,*,*,*,*,*,1.332958,0.89343,0.034906,0.941519,1.247899,1.032519,0.852813,0.24,2.28
26,53,*,*,*,*,*,*,*,*,1.206145,0.385807,*,0.527829,0.888026,0.731459,0.719405,*,0.31
26,55,*,*,*,*,*,*,*,*,0.818301,0.155637,*,0.417003,0.71329,0.636576,0.718155,*,*
26,57,*,*,*,*,*,*,*,*,0.347065,*,*,*,0.449869,0.408273,0.046025,*,*
26,59,*,*,*,*,*,*,*,*,*,*,*,*,0.075649,*,*,*,*
28,3,*,*,*,*,*,*,*,*,23.936655,25.050908,25.168402,24.068661,24.603157,24.341549,*,*,*
28,5,*,*,*,*,*,*,*,*,28.300405,29.058125,29.326007,27.807482,28.511921,28.191203,*,*,*
28,7,*,*,*,*,*,*,*,*,27.033661,28.115611,28.338035,26.952822,27.154983,27.507266,*,*,*
28,9,*,*,*,*,*,*,*,*,24.926063,25.091113,25.329052,24.179812,24.737701,24.028127,*,*,*
28,11,*,*,*,*,*,*,*,*,25.953962,26.203099,26.614091,25.415736,25.962884,25.576257,*,*,*
28,13,*,*,*,*,*,*,*,*,24.327532,24.961861,25.072737,24.513826,25.657512,25.054532,*,*,*
28,15,*,*,*,*,*,*,*,*,21.560509,22.660827,22.463358,22.23483,23.203111,22.88387,*,*,*
28,17,*,*,*,*,*,*,*,*,20.194371,20.859669,20.948421,20.664963,20.914769,21.724356,21.788808,*,*
28,19,*,*,*,*,*,*,*,*,19.05137,19.441146,19.6892,19.363186,19.60131,20.289621,20.424688,20.39,19.91
28,21,*,*,*,*,*,*,*,*,15.935109,15.995477,16.067645,16.387232,16.806029,16.85205,16.311387,17.46,17.93
28,23,*,*,*,*,*,*,*,*,15.322838,15.296761,15.197785,15.419609,15.942665,16.20934,15.937158,15.82,14.83
28,25,*,*,*,*,*,*,*,*,14.626027,13.935378,14.189371,14.242762,14.736808,14.758303,14.622525,14.78,14.17
28,27,14.19612,0.0512,14.12886,0.00471,*,*,*,*,13.528867,12.620754,12.888577,12.878073,13.443436,13.35123,13.476555,13.5,13.56
28,29,10.24961,0.01121,10.24761,0.00052,*,*,*,*,10.381593,11.0919,10.076721,10.638122,11.184141,10.663228,10.442196,10.01,10.91
28,31,8.99927,5e-05,8.99928,5e-05,*,*,*,*,9.30029,9.541709,8.9194,9.043006,9.520702,9.212566,8.960516,8.65,8.47
28,33,7.82013,5e-05,7.8201,5e-05,*,*,*,*,7.459753,8.068871,7.761098,7.911075,7.903559,8.111039,7.480727,7.28,7.87
28,35,6.83778,6e-05,6.83777,6e-05,*,*,*,*,6.802856,7.188509,7.028483,7.104429,7.246013,7.223136,6.912459,7.05,6.84
