Z,N,AME2003,AME2003_sd,AME2016,AME2016_sd,JYFLTRAP2017,JYFLTRAP2017_sd,TRIUMF2018,TRIUMF2018_sd,RIKEN2018,RIKEN2018_sd,new_other,new_other_sd,SKM*,SKP,SLY4,SVMIN,UNEDF0,UNEDF1,UNEDF2,FRDM2012,HFB24
8,26,*,*,*,*,*,*,*,*,*,*,*,*,-1.701829,-3.56752,-4.760963,-3.266034,-2.967634,-2.990991,-3.495074,-6.97,-2.24
8,28,*,*,*,*,*,*,*,*,*,*,*,*,-1.51945,-3.722313,-4.584471,-3.270512,-2.859791,-3.14235,*,-2.62,*
8,30,*,*,*,*,*,*,*,*,*,*,*,*,-1.443039,-3.869731,-4.540871,-3.163819,-2.920552,-3.212562,*,-9.21,*
8,32,*,*,*,*,*,*,*,*,*,*,*,*,-1.476704,-4.21149,-4.54809,-3.268093,-3.015743,-3.241791,*,-5.4,*
8,34,*,*,*,*,*,*,*,*,*,*,*,*,-3.066212,-5.217998,-5.556737,-4.261594,-3.942165,-3.926639,*,-9.81,*
8,36,*,*,*,*,*,*,*,*,*,*,*,*,-5.499464,-6.282739,-6.978138,-5.554535,-5.25419,-4.936279,*,*,*
8,38,*,*,*,*,*,*,*,*,*,*,*,*,-6.138767,-6.929019,-7.985611,-6.239367,-5.665838,-5.341477,*,*,*
8,40,*,*,*,*,*,*,*,*,*,*,*,*,-5.884869,-7.023506,-8.061105,-6.116519,-5.383339,-5.158808,*,*,*
10,4,*,*,*,*,*,*,*,*,*,*,*,*,45.409825,47.588315,48.394996,43.864306,46.247414,44.248891,45.075225,**,**
10,6,*,*,*,*,*,*,*,*,*,*,*,*,43.544543,44.022417,44.664581,42.632595,44.230324,44.397421,44.919294,**,**
10,8,34.82193,0.02048,34.8118,0.02048,*,*,*,*,*,*,*,*,32.51999,33.873285,34.825646,34.330922,33.182906,36.345934,36.472054,**,**
10,10,28.50173,0.00028,28.50218,0.00036,*,*,*,*,*,*,*,*,22.138628,22.380472,22.14354,22.57588,22.742422,23.599165,23.509265,26.44,32.62
10,12,17.12542,2e-05,17.12542,2e-05,*,*,*,*,*,*,*,*,20.465133,18.784961,19.471261,19.286935,19.080734,19.386299,19.455087,17.16,15.31
10,14,14.06944,0.00039,14.06956,0.00051,*,*,*,*,*,*,*,*,16.845146,16.399881,15.207127,15.186183,16.368745,14.545018,14.998527,14.64,14.68
10,16,9.7615,0.02678,9.70988,0.01844,*,*,*,*,*,*,*,*,13.033759,12.45417,12.115023,12.074479,11.876787,11.45636,11.505763,9.64,9.48
10,18,5.32764,0.1491,5.32401,0.12741,*,*,*,*,*,*,*,*,6.339753,6.954125,6.86509,7.082417,6.277665,5.981225,5.149407,6.3,5.19
10,20,4.28521,0.58928,4.16225,0.28289,*,*,*,*,*,*,*,*,4.376636,3.852991,4.069261,4.385873,4.106585,3.649373,3.616435,3.89,4.9
10,22,*,*,*,*,*,*,*,*,*,*,*,*,3.562575,0.99121,-0.098617,0.890714,0.869153,0.727002,0.697603,2.83,0.53
10,24,*,*,*,*,*,*,*,*,*,*,*,*,2.961041,1.426942,0.935194,1.343356,1.250896,0.807711,0.777016,0.54,0.14
10,26,*,*,*,*,*,*,*,*,*,*,*,*,1.397825,-0.452635,-1.16945,-0.354632,-0.223961,-0.723565,-0.844125,-1.84,-1.19
10,28,*,*,*,*,*,*,*,*,*,*,*,*,0.27053,-1.598686,-2.541709,-1.404133,-1.170041,-1.350126,-1.521567,-0.21,-1.06
10,30,*,*,*,*,*,*,*,*,*,*,*,*,-0.197704,-2.134588,-3.164932,-1.775002,-1.442729,-1.442114,-1.703146,-5.82,-2.14
10,32,*,*,*,*,*,*,*,*,*,*,*,*,0.027328,-1.932818,-2.688904,-1.289986,-0.927033,-1.452809,-1.28233,-4.39,-1.42
10,34,*,*,*,*,*,*,*,*,*,*,*,*,-1.552099,-3.396656,-3.787334,-2.171693,-1.834495,-1.781322,-2.182473,-6.99,*
10,36,*,*,*,*,*,*,*,*,*,*,*,*,-5.104702,-5.535951,-6.471975,-4.997627,-4.599336,-4.599186,-5.138038,-3.63,*
10,38,*,*,*,*,*,*,*,*,*,*,*,*,-5.614592,-6.598578,-7.366221,-5.739727,-4.970457,-5.021941,-5.529244,-9.13,*
10,40,*,*,*,*,*,*,*,*,*,*,*,*,-4.566578,-6.54924,-7.436849,-5.521222,-4.745132,-4.78967,*,-8.02,*
10,42,*,*,*,*,*,*,*,*,*,*,*,*,-4.687298,-6.444932,-7.340992,-5.342452,-4.591571,-4.406847,*,*,*
10,44,*,*,*,*,*,*,*,*,*,*,*,*,-4.935317,-6.32731,-7.153999,-5.15137,-4.42776,-4.449386,*,*,*
10,46,*,*,*,*,*,*,*,*,*,*,*,*,-5.149121,-6.293396,-7.146224,-5.131426,-4.330234,-4.43426,*,*,*
10,48,*,*,*,*,*,*,*,*,*,*,*,*,-5.269941,-6.28525,-7.120782,-5.124807,-4.474075,-4.30155,*,*,*
10,50,*,*,*,*,*,*,*,*,*,*,*,*,-5.290168,-6.326529,-7.226403,-5.190095,-4.665918,-4.371132,*,*,*
10,52,*,*,*,*,*,*,*,*,*,*,*,*,-5.318438,-6.866136,-7.800544,-5.925132,-5.378582,-5.071684,*,*,*
12,4,*,*,*,*,*,*,*,*,*,*,*,*,49.376357,51.456244,52.505864,47.895908,49.720259,47.675447,48.511425,**,**
12,6,*,*,*,*,*,*,*,*,*,*,*,*,49.110393,49.857734,50.31845,47.83083,49.650965,49.195331,49.966586,**,**
12,8,*,*,*,*,*,*,*,*,*,*,*,*,39.493961,41.0409,42.132228,41.088069,40.112881,43.188399,43.734572,**,**
12,10,34.10995,0.02703,34.02026,0.00189,*,*,*,*,*,*,*,*,29.03841,28.612711,29.913353,30.046289,29.573204,31.23707,30.934065,32.66,33.12
12,12,29.67924,0.00134,29.67627,0.00031,*,*,*,*,*,*,*,*,26.426134,25.822634,26.207551,25.847956,26.032585,26.727103,26.581766,28.24,30.25
12,14,18.42365,3e-05,18.42361,3e-05,*,*,*,*,*,*,*,*,21.584977,21.462352,20.472718,20.690796,22.400436,20.653817,21.04974,19.31,17.76
12,16,14.94669,0.002,14.94694,0.002,*,*,*,*,*,*,*,*,17.502946,17.653414,17.057432,16.918475,16.94886,16.180733,16.222348,14.01,15.99
12,18,10.03467,0.00862,10.00761,0.00399,*,*,*,*,*,*,*,*,10.766089,11.805886,11.875912,11.937675,10.876988,11.111629,10.514409,11.47,9.82
12,20,8.18674,0.01958,8.08771,0.00474,*,*,*,*,*,*,*,*,8.622089,8.490023,8.798426,8.834171,8.391926,8.170291,8.47591,8.61,7.48
12,22,6.37925,0.23207,6.99039,0.02906,*,*,*,*,*,*,*,*,8.018569,5.381908,4.235897,5.072278,4.905196,4.616307,4.413817,6.15,6.17
12,24,*,*,4.08582,0.69084,*,*,*,*,*,*,*,*,6.659814,5.286719,5.310164,5.24993,4.94859,4.542964,4.694774,4.69,4.14
12,26,*,*,*,*,*,*,*,*,*,*,*,*,4.84975,3.170902,2.624799,3.130104,3.077609,2.539839,2.529481,2.67,2.6
12,28,*,*,*,*,*,*,*,*,*,*,*,*,3.043169,1.34211,0.625676,1.283205,1.388231,0.942224,0.872935,2.83,0.79
12,30,*,*,*,*,*,*,*,*,*,*,*,*,2.002856,0.571595,-0.690652,0.739781,1.13156,0.352798,0.626447,-2.23,0.43
12,32,*,*,*,*,*,*,*,*,*,*,*,*,1.826022,0.229021,-0.822193,0.444313,0.826267,0.291645,0.690612,-2.72,-0.72
12,34,*,*,*,*,*,*,*,*,*,*,*,*,-0.070281,-1.473118,-2.102861,-0.440822,0.051559,0.020718,-0.816543,-3.28,-0.7
12,36,*,*,*,*,*,*,*,*,*,*,*,*,-3.966138,-4.417025,-5.226313,-3.875461,-3.369297,-4.025903,-4.72171,-4.43,*
12,38,*,*,*,*,*,*,*,*,*,*,*,*,-3.562855,-5.453701,-5.95747,-4.50544,-3.83238,-4.122468,-5.104861,-5.18,*
12,40,*,*,*,*,*,*,*,*,*,*,*,*,-2.891145,-5.124526,-5.922704,-4.475299,-3.797853,-3.492957,*,-5.3,*
12,42,*,*,*,*,*,*,*,*,*,*,*,*,-6.333862,-4.797159,-5.887965,-4.420785,-3.913146,-3.667484,*,-7.86,*
