Z,N,AME2003,AME2003_sd,AME2016,AME2016_sd,JYFLTRAP2017,JYFLTRAP2017_sd,TRIUMF2018,TRIUMF2018_sd,RIKEN2018,RIKEN2018_sd,new_other,new_other_sd,SKM*,SKP,SLY4,SVMIN,UNEDF0,UNEDF1,UNEDF2,FRDM2012,HFB24
15,9,*,*,*,*,*,*,*,*,*,*,*,*,-1.802854,-2.322484,-2.699868,-2.1466,-2.558155,-2.43737,-2.859906,-3.19,-2.93
15,11,*,*,*,*,*,*,*,*,*,*,*,*,0.390047,0.245337,-0.253216,0.094069,-0.166632,-0.250365,-0.651777,-1.03,-1.13
15,13,2.06342,0.00332,2.05221,0.00116,*,*,*,*,*,*,*,*,2.653055,2.754673,2.225986,2.527925,2.323539,2.352685,1.958348,2.31,2.1
15,15,5.5945,0.00031,5.59475,7e-05,*,*,*,*,*,*,*,*,4.896999,5.114924,4.592755,5.033687,4.821155,5.139463,4.683048,6.53,6.56
15,17,8.64518,0.00019,8.64481,6e-05,*,*,*,*,*,*,*,*,7.061454,7.949727,6.83371,7.373618,7.227312,7.78176,7.28988,8.26,9.36
15,19,11.35398,0.01656,11.32334,0.00107,*,*,*,*,*,*,*,*,9.198917,10.266859,9.148314,9.636294,9.489932,10.267885,9.788993,10.66,11.67
15,21,13.17964,0.04059,13.14855,0.03818,*,*,*,*,*,*,*,*,11.183391,11.937167,11.374185,11.79152,11.632422,12.566916,12.063182,12.65,13.32
15,23,15.46679,0.19782,15.33902,0.13498,*,*,*,*,*,*,*,*,12.931675,13.841134,13.398516,13.713524,13.574716,14.619462,14.224627,14.75,15.18
15,25,17.32401,0.36552,17.72369,0.20483,*,*,*,*,*,*,*,*,14.702169,15.634565,15.392255,15.540905,15.424271,16.533266,16.318068,16.52,17.61
15,27,19.91266,1.89772,18.3989,0.6376,*,*,*,*,*,*,*,*,16.376857,17.379932,17.198949,17.246647,17.172016,18.158834,18.042109,16.91,19.49
15,29,*,*,*,*,*,*,*,*,*,*,*,*,17.910357,19.087657,18.818328,18.798347,18.888762,19.634105,19.599815,19.54,20.02
15,31,*,*,*,*,*,*,*,*,*,*,*,*,19.344165,20.70791,20.33811,20.309143,20.433156,21.140349,21.010598,21.29,21.85
15,33,*,*,*,*,*,*,*,*,*,*,*,*,20.443911,22.043566,21.618913,21.522903,21.502883,22.268721,21.9967,22.75,23.24
15,35,*,*,*,*,*,*,*,*,*,*,*,*,21.525465,23.293922,22.905122,22.624504,22.493516,23.25159,22.956972,24.06,22.66
15,37,*,*,*,*,*,*,*,*,*,*,*,*,22.718953,24.592002,24.303637,23.862623,23.600383,24.363066,24.118714,25.21,**
15,39,*,*,*,*,*,*,*,*,*,*,*,*,23.9042,25.793756,25.636809,24.99785,24.606568,25.311273,**,26.69,**
15,41,*,*,*,*,*,*,*,*,*,*,*,*,25.068906,26.732681,26.648781,25.807987,25.320318,25.924451,**,27.73,**
15,43,*,*,*,*,*,*,*,*,*,*,*,*,26.150335,27.614787,27.614627,26.561191,25.923378,26.490722,**,28.56,**
15,45,*,*,*,*,*,*,*,*,*,*,*,*,26.929464,28.5529,28.684768,27.41296,26.633655,27.102309,**,28.62,**
15,47,*,*,*,*,*,*,*,*,*,*,*,*,27.466675,29.276745,29.629457,28.104508,27.318566,27.610751,**,31.3,**
15,49,*,*,*,*,*,*,*,*,*,*,*,*,28.010529,29.877454,30.255493,28.641731,27.879209,28.159189,**,30.4,**
15,51,*,*,*,*,*,*,*,*,*,*,*,*,28.692963,30.559657,30.756282,29.209224,28.419327,28.716278,**,33.19,**
15,53,*,*,*,*,*,*,*,*,*,*,*,*,**,**,**,**,**,**,**,34.04,**
17,3,*,*,*,*,*,*,*,*,*,*,*,*,-7.753144,-8.001235,-8.725552,-7.4697,-7.439834,-7.006266,*,*,*
17,5,*,*,*,*,*,*,*,*,*,*,*,*,-7.78242,-7.988144,-8.521388,-7.358999,-7.41472,-6.991131,*,*,*
17,7,*,*,*,*,*,*,*,*,*,*,*,*,-6.827284,-6.891017,-7.371267,-6.433884,-6.499308,-6.38065,*,*,*
17,9,*,*,*,*,*,*,*,*,*,*,*,*,-5.104739,-4.958653,-5.386255,-4.716944,-4.932692,-4.904467,-5.610661,-5.3,-7.18
17,11,*,*,*,*,*,*,*,*,*,*,*,*,-3.116879,-2.745869,-3.102482,-2.642442,-3.05413,-2.856741,-3.480212,-2.39,-2.56
17,13,*,*,*,*,*,*,*,*,*,*,*,*,-1.003143,0.106,-0.720536,-0.416151,-0.953393,-0.529213,-1.065326,-0.18,-1.25
17,15,1.57409,0.00676,1.58112,0.00053,*,*,*,*,*,*,*,*,1.175057,2.434848,1.664108,1.864757,1.267399,1.915791,1.435305,2.04,0.35
17,17,5.14275,0.00012,5.1432,5e-05,*,*,*,*,*,*,*,*,3.522861,4.282467,4.09405,4.220083,3.596193,4.483355,4.018736,4.88,5.33
17,19,7.96447,0.00011,7.96477,3e-05,*,*,*,*,*,*,*,*,5.965086,6.708082,6.548627,6.617921,5.972728,7.122983,6.67417,7.78,8.1
17,21,10.19071,0.00021,10.19066,0.00021,*,*,*,*,*,*,*,*,8.181923,8.964102,8.857566,8.887615,8.234558,9.587202,9.175752,9.89,9.63
17,23,11.68454,0.0594,11.68412,0.0594,*,*,*,*,*,*,*,*,10.152406,11.01888,10.819946,10.910382,10.385781,11.591171,11.180063,11.46,11.74
17,25,13.18285,0.18616,13.11216,0.05976,*,*,*,*,*,*,*,*,11.953386,12.905533,12.584542,12.712283,12.349798,13.385908,13.026594,13.57,13.21
17,27,15.55479,0.22903,15.47803,0.13641,*,*,*,*,*,*,*,*,13.740494,14.665592,14.51677,14.493269,14.166742,15.308843,15.125149,14.94,15.54
17,29,18.74455,1.88427,17.15878,1.05617,*,*,*,*,*,*,*,*,15.424186,16.408641,16.318829,16.29459,15.904071,17.164036,17.143693,17.07,17.37
17,31,*,*,*,*,*,*,*,*,*,*,*,*,16.752722,17.968172,17.86623,17.762684,17.322926,18.702572,18.647297,18.38,19.08
17,33,*,*,*,*,*,*,*,*,*,*,*,*,17.885801,19.30754,19.269738,18.912949,18.444301,19.848193,19.699028,19.64,20.19
17,35,*,*,*,*,*,*,*,*,*,*,*,*,19.124647,20.673205,20.628259,20.151929,19.620649,21.014694,20.868511,21.34,22.79
17,37,*,*,*,*,*,*,*,*,*,*,*,*,20.523904,22.127993,22.116787,21.532437,20.930615,22.370642,22.276353,22.52,22.83
17,39,*,*,*,*,*,*,*,*,*,*,*,*,21.753268,23.559831,23.605998,22.896357,22.180652,23.616541,23.654091,23.82,**
17,41,*,*,*,*,*,*,*,*,*,*,*,*,22.54172,24.824774,24.989158,24.079405,23.225718,24.517843,24.483124,25.68,**
17,43,*,*,*,*,*,*,*,*,*,*,*,*,23.264118,25.659768,25.887049,24.859476,24.023961,25.051412,24.953186,27.44,23.9
17,45,*,*,*,*,*,*,*,*,*,*,*,*,24.229616,26.368783,26.562828,25.490163,24.737931,25.591029,25.682734,27.24,24.75
17,47,*,*,*,*,*,*,*,*,*,*,*,*,25.275768,27.255188,27.419488,26.261772,25.474515,26.327521,26.629868,28.85,**
17,49,*,*,*,*,*,*,*,*,*,*,*,*,26.414045,28.216727,28.290097,27.052495,26.247144,27.049669,27.533226,29.44,**
17,51,*,*,*,*,*,*,*,*,*,*,*,*,27.638357,29.150406,29.243687,27.816961,27.004046,27.702794,**,29.58,**
17,53,*,*,*,*,*,*,*,*,*,*,*,*,28.628917,29.955039,30.144539,28.540157,27.690359,28.334821,**,30.35,**
17,55,*,*,*,*,*,*,*,*,*,*,*,*,29.286154,30.73608,30.840975,29.225428,28.337548,28.944404,**,32.42,**
17,57,*,*,*,*,*,*,*,*,*,*,*,*,29.988399,31.633802,31.655072,30.022325,29.071598,29.562579,**,33.16,**
17,59,*,*,*,*,*,*,*,*,*,*,*,*,30.555052,32.402132,32.457216,30.835863,29.831219,30.395189,**,33.65,**
17,61,*,*,*,*,*,*,*,*,*,*,*,*,30.797568,32.81806,32.872427,31.346008,30.412844,31.163866,**,**,**
17,63,*,*,*,*,*,*,*,*,*,*,*,*,30.932038,33.04439,33.042007,31.553382,30.731478,31.498869,**,**,**
19,3,*,*,*,*,*,*,*,*,*,*,*,*,-7.7384,-8.071284,-8.817368,-7.609483,-7.540649,-7.168804,*,*,*
19,5,*,*,*,*,*,*,*,*,*,*,*,*,-7.841356,-8.255649,-8.80031,-7.573385,-7.669897,-7.140811,*,*,*
19,7,*,*,*,*,*,*,*,*,*,*,*,*,-7.383397,-7.80345,-8.304376,-7.175792,-7.291,-6.869487,*,*,*
19,9,*,*,*,*,*,*,*,*,*,*,*,*,-6.224194,-6.556117,-6.977029,-6.119044,-6.321437,-6.108368,*,*,*
19,11,*,*,*,*,*,*,*,*,*,*,*,*,-4.440599,-4.697656,-4.922659,-4.397646,-4.786871,-4.628647,-4.958219,-4.53,-5.16
19,13,*,*,*,*,*,*,*,*,*,*,*,*,-2.464923,-3.147952,-2.663523,-2.35865,-2.855987,-2.618215,-2.770694,-2.68,-3.82
19,15,*,*,*,*,*,*,*,*,*,*,*,*,-0.448938,-0.944911,-0.391191,-0.247757,-0.761495,-0.399475,-0.473228,-0.28,-1.22
19,17,1.66773,0.00782,1.65875,0.00076,*,*,*,*,*,*,*,*,1.720838,1.89831,1.933895,1.966593,1.446779,1.998081,1.939716,2.26,0.27
19,19,5.142,0.00049,5.14206,0.00028,*,*,*,*,*,*,*,*,4.013345,4.230094,4.28912,4.271459,3.723207,4.513865,4.460557,4.65,3.49
19,21,7.58216,0.005,7.58227,0.005,*,*,*,*,*,*,*,*,6.133864,6.409085,6.517726,6.459955,5.910163,6.914105,6.827018,7.46,7.22
19,23,9.24306,0.00039,9.24349,0.00036,*,*,*,*,*,*,*,*,8.047538,8.415001,8.568508,8.510041,7.982968,9.126471,8.911819,9.55,9.07
19,25,11.08877,0.03617,11.06065,0.00533,*,*,*,*,*,*,*,*,9.922124,10.349029,10.548316,10.474444,10.001119,11.201593,10.956917,11.45,11.57
19,27,12.9367,0.01555,12.9321,0.00089,*,*,*,*,*,*,*,*,11.738687,12.167319,12.464203,12.302542,11.88851,13.130252,13.04679,12.67,12.64
19,29,13.50507,0.10278,14.20711,0.00136,*,*,*,*,*,*,*,*,13.284267,13.839307,14.125247,13.899223,13.518402,14.813535,14.78121,14.64,14.59
19,31,*,*,*,*,*,*,*,*,*,*,*,*,14.544605,15.332213,15.530642,15.233417,14.854482,16.169872,16.134059,15.53,16.21
