Z,N,AME2003,AME2003_sd,AME2016,AME2016_sd,JYFLTRAP2017,JYFLTRAP2017_sd,TRIUMF2018,TRIUMF2018_sd,RIKEN2018,RIKEN2018_sd,NEW2018,NEW2018_sd,SKMS,SKP,SLy4,SV-min,UNEDF0,UNEDF1,UNEDF2,FRDM2012,HFB24
7,29,*,*,*,*,*,*,*,*,*,*,*,*,-2.841415,-4.083792,-4.482656,-3.519686,-3.116375,-3.109595,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
7,31,*,*,*,*,*,*,*,*,*,*,*,*,-2.841135,-4.157975,-4.480632,-3.509475,-3.099755,-3.069471,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
7,33,*,*,*,*,*,*,*,*,*,*,*,*,-3.383618,-4.397408,-4.685481,-3.746392,-3.348539,-3.229562,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
7,35,*,*,*,*,*,*,*,*,*,*,*,*,-4.004956,-4.583581,-4.936312,-4.013515,-3.627446,-3.405118,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
9,3,*,*,*,*,*,*,*,*,*,*,*,*,17.79,19.014034,18.607261,17.326625,19.004462,18.063643,17.959899,*,*
,,,,,,,,,,,,,,,,,,,,,,
9,5,*,*,*,*,*,*,*,*,*,*,*,*,17.16627,17.369472,17.024609,16.83252,17.928349,18.358833,18.154802,*,*
,,,,,,,,,,,,,,,,,,,,,,
9,7,14.16644,0.13405,13.95782,0.01629,*,*,*,*,*,*,*,*,11.606973,12.257998,12.04876,12.335521,12.257696,13.567244,13.218519,*,*
,,,,,,,,,,,,,,,,,,,,,,
9,9,9.14932,0.00059,9.14991,0.00053,*,*,*,*,*,*,*,*,7.257406,7.143967,6.520811,6.892231,7.718929,7.452031,7.056789,7.51,9.91
,,,,,,,,,,,,,,,,,,,,,,
9,11,6.60134,3E-05,6.60134,3E-05,*,*,*,*,*,*,*,*,6.568542,5.747956,5.483633,5.772435,6.264019,6.13208,5.936485,5.67,9.87
,,,,,,,,,,,,,,,,,,,,,,
9,13,5.23039,0.01253,5.23034,0.01253,*,*,*,*,*,*,*,*,5.263264,4.68072,4.033931,4.402295,5.107095,4.521815,4.501956,4.64,3.41
,,,,,,,,,,,,,,,,,,,,,,
9,15,3.84154,0.10748,3.81206,0.1032,*,*,*,*,*,*,*,*,3.353784,2.831601,2.472782,2.889892,3.186524,3.031805,2.727178,2.9,4.07
,,,,,,,,,,,,,,,,,,,,,,
9,17,1.07225,0.19339,0.75661,0.1472,*,*,*,*,*,*,*,*,0.224196,0.325203,0.089937,0.632382,0.717786,0.471171,-0.248428,0.95,-0.12
,,,,,,,,,,,,,,,,,,,,,,
9,19,*,*,*,*,*,*,*,*,*,*,*,*,-0.511066,-1.058383,-1.131154,-0.53978,-0.214519,-0.406024,-0.786816,0.25,-1.77
,,,,,,,,,,,,,,,,,,,,,,
9,21,*,*,*,*,*,*,*,*,*,*,*,*,-1.125247,-2.19941,-2.8416,-1.954049,-1.580589,-1.468975,-1.826402,-0.68,-1.95
,,,,,,,,,,,,,,,,,,,,,,
9,23,*,*,*,*,*,*,*,*,*,*,*,*,-1.346626,-2.224327,-2.631141,-1.850348,-1.541022,-1.486872,-1.873456,-2.16,-2.91
,,,,,,,,,,,,,,,,,,,,,,
9,25,*,*,*,*,*,*,*,*,*,*,*,*,-1.664835,-2.667437,-3.100695,-2.260681,-1.892891,-1.911395,-2.31007,-3.04,-2.09
,,,,,,,,,,,,,,,,,,,,,,
9,27,*,*,*,*,*,*,*,*,*,*,*,*,-1.839788,-2.952954,-3.329163,-2.475119,-2.074091,-2.070285,*,-2.53,-1.45
,,,,,,,,,,,,,,,,,,,,,,
9,29,*,*,*,*,*,*,*,*,*,*,*,*,-1.880894,-3.07437,-3.409415,-2.506541,-2.128059,-2.098074,*,-4.93,-3.17
,,,,,,,,,,,,,,,,,,,,,,
9,31,*,*,*,*,*,*,*,*,*,*,*,*,-1.818791,-3.082602,-3.281985,-2.417116,-2.024774,-2.121117,*,-2.21,*
,,,,,,,,,,,,,,,,,,,,,,
9,33,*,*,*,*,*,*,*,*,*,*,*,*,-2.622446,-3.65252,-3.786449,-2.902616,-2.499421,-2.41939,*,-5.23,*
,,,,,,,,,,,,,,,,,,,,,,
9,35,*,*,*,*,*,*,*,*,*,*,*,*,-3.851915,-4.277839,-4.567676,-3.750571,-3.366077,-3.215949,*,-3.81,*
,,,,,,,,,,,,,,,,,,,,,,
9,37,*,*,*,*,*,*,*,*,*,*,*,*,-3.863454,-4.492029,-4.799727,-3.89413,-3.381176,-3.226464,*,-5.6,*
,,,,,,,,,,,,,,,,,,,,,,
9,39,*,*,*,*,*,*,*,*,*,*,*,*,-3.549919,-4.403544,-4.798762,-3.769156,-3.233833,-3.104943,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
11,3,*,*,*,*,*,*,*,*,*,*,*,*,19.857447,21.050127,20.671627,19.104293,20.755232,19.553246,19.512443,*,*
,,,,,,,,,,,,,,,,,,,,,,
11,5,*,*,*,*,*,*,*,*,*,*,*,*,20.415903,20.791114,20.387969,19.745937,21.150662,21.023303,20.968305,*,*
,,,,,,,,,,,,,,,,,,,,,,
11,7,*,*,18.20654,1.00575,*,*,*,*,*,*,*,*,15.368607,16.166466,16.039539,16.064624,16.143839,17.445955,17.231402,*,*
,,,,,,,,,,,,,,,,,,,,,,
11,9,14.15041,0.01373,14.1501,0.01059,*,*,*,*,*,*,*,*,10.638641,10.550185,10.3574,10.794068,11.356507,11.67737,11.230468,12.92,14.36
,,,,,,,,,,,,,,,,,,,,,,
11,11,11.06959,0.00081,11.0682,0.0002,*,*,*,*,*,*,*,*,9.883572,9.269524,9.174497,9.322291,9.820325,9.959987,9.646184,9.98,10.29
,,,,,,,,,,,,,,,,,,,,,,
11,13,6.95958,8E-05,6.95937,2E-05,*,*,*,*,*,*,*,*,7.769625,7.539907,6.750689,7.082968,8.208665,7.289061,7.216512,6.57,6.61
,,,,,,,,,,,,,,,,,,,,,,
11,15,5.57582,0.00595,5.57428,0.0037,*,*,*,*,*,*,*,*,5.717498,5.540926,5.133444,5.388066,5.70373,5.400598,5.147447,5.15,6.03
,,,,,,,,,,,,,,,,,,,,,,
11,17,3.54313,0.0135,3.54184,0.0109,*,*,*,*,*,*,*,*,2.476227,2.793807,2.629462,2.996265,2.906041,2.891442,2.282255,3.66,3.35
,,,,,,,,,,,,,,,,,,,,,,
11,19,2.37523,0.02833,2.27664,0.00873,*,*,*,*,*,*,*,*,1.602472,1.270713,1.270636,1.607691,1.792685,1.610958,1.421527,2.07,1.3
,,,,,,,,,,,,,,,,,,,,,,
11,21,1.66161,0.41415,1.6772,0.03979,*,*,*,*,*,*,*,*,1.210716,-0.183277,-0.811119,-0.144509,0.13827,0.029963,-0.287979,1.38,0.42
,,,,,,,,,,,,,,,,,,,,,,
11,23,*,*,0.17132,0.74948,*,*,*,*,*,*,*,*,0.791542,-0.080643,-0.189283,0.126048,0.318904,0.160561,-0.054081,0.67,0.32
,,,,,,,,,,,,,,,,,,,,,,
11,25,*,*,*,*,*,*,*,*,*,*,*,*,0.006604,-1.0289,-1.312639,-0.768098,-0.460953,-0.65155,-0.92186,-0.75,-0.7
,,,,,,,,,,,,,,,,,,,,,,
11,27,*,*,*,*,*,*,*,*,*,*,*,*,-0.641702,-1.707922,-2.022913,-1.39121,-1.042856,-1.11308,-1.404529,-0.12,-1.31
,,,,,,,,,,,,,,,,,,,,,,
11,29,*,*,*,*,*,*,*,*,*,*,*,*,-0.944779,-1.97474,-2.407293,-1.555496,-1.124902,-1.225251,-1.464396,-2.55,-1.74
,,,,,,,,,,,,,,,,,,,,,,
11,31,*,*,*,*,*,*,*,*,*,*,*,*,-0.943597,-2.004668,-2.349028,-1.536908,-1.097145,-1.287839,-1.408311,-2.71,-1.97
,,,,,,,,,,,,,,,,,,,,,,
11,33,*,*,*,*,*,*,*,*,*,*,*,*,-1.860146,-2.782317,-2.960844,-2.029193,-1.568658,-1.534957,-2.040971,-3.24,-1.81
,,,,,,,,,,,,,,,,,,,,,,
11,35,*,*,*,*,*,*,*,*,*,*,*,*,-3.538076,-3.885607,-4.212691,-3.406193,-2.94607,-3.05878,-3.444591,-1.55,*
,,,,,,,,,,,,,,,,,,,,,,
11,37,*,*,*,*,*,*,*,*,*,*,*,*,-3.358343,-4.198466,-4.420644,-3.522714,-2.940482,-2.928939,-3.339296,-4.26,*
,,,,,,,,,,,,,,,,,,,,,,
11,39,*,*,*,*,*,*,*,*,*,*,*,*,-2.981933,-4.04457,-4.428505,-3.459087,-2.874492,-2.733443,*,-5.52,*
,,,,,,,,,,,,,,,,,,,,,,
11,41,*,*,*,*,*,*,*,*,*,*,*,*,-3.884363,-3.93305,-4.406117,-3.405384,-2.845316,-2.691662,*,-4.38,*
,,,,,,,,,,,,,,,,,,,,,,
11,43,*,*,*,*,*,*,*,*,*,*,*,*,-2.560778,-4.026408,-4.320296,-3.31258,-2.775127,-2.756778,*,-5.1,*
,,,,,,,,,,,,,,,,,,,,,,
11,45,*,*,*,*,*,*,*,*,*,*,*,*,-3.432169,-4.07547,-4.484227,-3.433718,-2.707267,-2.798933,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
11,47,*,*,*,*,*,*,*,*,*,*,*,*,-3.537971,-4.103387,-4.547846,-3.359746,-2.768345,-2.742039,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
11,49,*,*,*,*,*,*,*,*,*,*,*,*,-3.549114,-4.125594,-4.584308,-3.403264,-2.881763,-2.718248,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
11,51,*,*,*,*,*,*,*,*,*,*,*,*,-3.513005,-4.386242,-4.74839,-3.718209,-3.251539,-3.102309,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
13,3,*,*,*,*,*,*,*,*,*,*,*,*,21.903571,22.899607,22.617742,20.867526,22.321881,20.972836,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
13,5,*,*,*,*,*,*,*,*,*,*,*,*,23.199849,23.714071,23.351302,22.411446,23.821331,23.502997,23.583596,*,*
,,,,,,,,,,,,,,,,,,,,,,
13,7,*,*,*,*,*,*,*,*,*,*,*,*,18.647076,19.541017,19.484335,19.209324,19.35554,20.544295,20.554748,*,*
,,,,,,,,,,,,,,,,,,,,,,
13,9,*,*,*,*,*,*,*,*,*,*,*,*,13.544261,13.638492,13.613417,13.893943,14.564296,14.817235,14.322681,16.12,18.62
,,,,,,,,,,,,,,,,,,,,,,
13,11,14.89783,0.01885,14.86825,0.00042,*,*,*,*,*,*,*,*,12.710465,12.347477,12.333077,12.446412,13.0636,13.290431,12.948324,14.28,14.86
,,,,,,,,,,,,,,,,,,,,,,
13,13,11.36545,0.00048,11.36549,7E-05,*,*,*,*,*,*,*,*,10.677369,10.403073,9.88395,10.21206,11.249967,10.69504,10.644692,10.98,12.24
,,,,,,,,,,,,,,,,,,,,,,
