Z,N,AME2003,AME2003_sd,AME2016,AME2016_sd,JYFLTRAP2017,JYFLTRAP2017_sd,TRIUMF2018,TRIUMF2018_sd,RIKEN2018,RIKEN2018_sd,SKM*,SKP,SLY4,SVMIN,UNEDF0,UNEDF1,UNEDF2,FRDM2012,HFB24
20,33,*,*,*,*,*,*,*,*,*,*,33.917007,35.982432,36.889093,35.72618,34.698556,37.404753,37.90764,34.78,34.37
20,35,*,*,*,*,*,*,*,*,*,*,36.49187,38.791659,39.674723,38.31355,37.157372,39.925675,40.370153,38.0,37.19
20,37,*,*,*,*,*,*,*,*,*,*,39.365941,41.756289,42.665578,41.104694,39.829269,42.764513,43.210596,40.52,40.11
20,39,*,*,*,*,*,*,*,*,*,*,42.233693,44.704161,45.620693,43.893933,42.470282,45.540733,46.080635,43.16,45.01
20,41,*,*,*,*,*,*,*,*,*,*,44.974796,47.470421,48.420146,46.543497,45.024957,48.006775,48.679333,45.99,46.01
20,43,*,*,*,*,*,*,*,*,*,*,47.399316,50.00209,51.106312,48.866791,47.186597,49.761446,50.525113,47.89,48.98
20,45,*,*,*,*,*,*,*,*,*,*,49.583689,52.076406,53.300007,50.58066,48.717476,50.907551,51.853638,51.6,50.08
20,47,*,*,*,*,*,*,*,*,*,*,51.774226,53.824155,55.275187,51.990386,50.13033,52.050658,53.268563,54.12,51.8
20,49,*,*,*,*,*,*,*,*,*,*,53.646836,55.428173,57.352406,53.40932,51.539546,53.140703,54.5831,56.33,*
20,51,*,*,*,*,*,*,*,*,*,*,55.036694,56.966142,58.935077,54.770759,52.860419,54.271814,55.98932,58.24,*
20,53,*,*,*,*,*,*,*,*,*,*,56.288079,58.760554,60.172017,56.332485,54.388257,55.816354,57.929168,59.63,*
20,55,*,*,*,*,*,*,*,*,*,*,57.920417,60.755148,61.762265,58.261148,56.244596,57.774695,60.326129,59.89,*
20,57,*,*,*,*,*,*,*,*,*,*,59.307394,62.339616,63.139668,59.96499,58.066357,59.854053,62.079769,62.9,*
