Z,N,AME2003,AME2003_sd,AME2016,AME2016_sd,JYFLTRAP2017,JYFLTRAP2017_sd,TRIUMF2018,TRIUMF2018_sd,RIKEN2018,RIKEN2018_sd,SKM*,SKP,SLY4,SVMIN,UNEDF0,UNEDF1,UNEDF2,FRDM2012,HFB24
10,5,*,*,*,*,*,*,*,*,*,*,19.038406,19.369108,19.04644,18.609354,19.878982,19.96987,19.863451,*,*
10,7,15.60688,0.03385,15.55765,0.02048,*,*,*,*,*,*,13.523762,14.285748,14.166127,14.402378,14.376568,15.794922,15.46952,*,*
10,9,11.63704,0.0004,11.63688,0.0004,*,*,*,*,*,*,8.817763,8.866796,8.331073,8.897093,9.556251,9.766101,9.364008,10.3,11.28
10,11,6.76116,4e-05,6.76116,4e-05,*,*,*,*,*,*,8.292833,7.370359,7.422532,7.643377,7.989034,8.088592,7.81242,6.15,5.2
10,13,5.20065,0.0001,5.20065,0.0001,*,*,*,*,*,*,6.468965,6.173105,5.305916,5.628911,6.643595,5.699501,5.612614,4.72,4.58
10,15,4.22787,0.02565,4.15517,0.02905,*,*,*,*,*,*,4.513179,4.166165,3.796167,4.123685,4.375647,4.183066,3.897185,3.01,4.29
10,17,1.43098,0.11358,1.50152,0.09262,*,*,*,*,*,*,1.303708,1.496501,1.333265,1.776098,1.692907,1.592885,0.908032,1.13,1.5
10,19,1.25804,0.3061,0.97125,0.19556,*,*,*,*,*,*,0.479558,0.061589,0.038226,0.48984,0.684976,0.488572,0.233798,0.16,0.04
10,21,*,*,0.16984,0.12654,*,*,*,*,*,*,0.076459,-1.334654,-1.9293,-1.193238,-0.888177,-0.93343,-1.19888,-0.11,-2.46
10,23,*,*,*,*,*,*,*,*,*,*,-0.1665,-1.059897,-1.264051,-0.826338,-0.578565,-0.744562,-1.019235,-1.36,-1.78
10,25,*,*,*,*,*,*,*,*,*,*,-0.887698,-1.951025,-2.261143,-1.614374,-1.279632,-1.436775,-1.745531,-2.37,-2.53
10,27,*,*,*,*,*,*,*,*,*,*,-1.373281,-2.464271,-2.818234,-2.050685,-1.692988,-1.663329,-1.98883,-1.45,-2.11
10,29,*,*,*,*,*,*,*,*,*,*,-1.545801,-2.684317,-3.04415,-2.178096,-1.796859,-1.67842,-2.042395,-5.45,-3.71
10,31,*,*,*,*,*,*,*,*,*,*,-1.430223,-2.562596,-2.814059,-1.961766,-1.554732,-1.729152,-1.893946,-3.31,-3.18
10,33,*,*,*,*,*,*,*,*,*,*,-2.255354,-3.260951,-3.371894,-2.463331,-2.050976,-1.978893,-2.397712,-3.66,*
10,35,*,*,*,*,*,*,*,*,*,*,-3.779634,-4.138987,-4.468378,-3.662212,-3.24507,-3.170255,-3.531767,-1.09,*
10,37,*,*,*,*,*,*,*,*,*,*,-3.780146,-4.435078,-4.687794,-3.780699,-3.213302,-3.126689,-3.396709,-6.59,*
10,39,*,*,*,*,*,*,*,*,*,*,-3.301877,-4.320764,-4.723252,-3.6579,-3.090852,-3.023529,*,-4.92,*
10,41,*,*,*,*,*,*,*,*,*,*,-3.416452,-4.243633,-4.688801,-3.577588,-2.995613,-2.845464,*,-4.74,*
10,43,*,*,*,*,*,*,*,*,*,*,-3.553953,-4.162155,-4.599268,-3.475879,-2.875214,-2.864119,*,*,*
10,45,*,*,*,*,*,*,*,*,*,*,-3.640303,-4.114983,-4.583939,-3.44161,-2.785892,-2.847511,*,*,*
10,47,*,*,*,*,*,*,*,*,*,*,-3.671284,-4.075921,-4.54126,-3.398182,-2.822949,-2.760656,*,*,*
