Z, N, experiment, MC, EO, MC-EO, warning
68,94,2003,1.64457,1.64457,0.0,
60,83,2003,0.52013,0.52013,0.0,
69,104,2003,0.11931,0.11931,0.0,
73,109,2003,1.48483,1.48483,0.0,
86,121,2003,6.25113,6.25113,0.0,
89,139,2003,4.81387,4.81387,0.0,
52,57,2003,3.2256,3.2256,0.0,
70,92,2003,3.04737,3.04737,0.0,
90,128,2003,9.84901,9.84901,0.0,
68,100,2003,0.55165,0.55165,0.0,
60,73,2003,1.53021,1.53021,0.0,
62,73,2003,2.48685,2.48685,0.0,
53,60,2003,2.7059,2.7059,0.0,
71,102,2003,1.96927,1.96927,0.0,
75,99,2003,4.03965,4.03965,0.0,
80,118,2003,1.38376,1.38376,0.0,
93,149,2003,4.22453,4.22453,0.0,
94,138,2003,6.71592,6.71592,0.0,
88,130,2003,8.54592,8.54592,0.0,
55,58,2003,3.48435,3.48435,0.0,
62,83,2003,1.11523,1.11523,0.0,
77,105,2003,4.17686,4.17686,0.0,
93,143,2003,5.00655,5.00655,0.0,
81,110,2003,4.29918,4.29918,0.0,
82,116,2003,3.71787,3.71787,0.0,
73,89,2003,5.00708,5.00708,0.0,
78,95,2003,6.35487,6.35487,0.0,
84,130,2003,7.83346,7.83346,0.0,
75,95,2003,4.75511,4.75511,0.0,
85,131,2003,7.94963,7.94963,0.0,
64,81,2003,0.58638,0.58638,0.0,
107,154,2003,10.5621,10.5621,0.0,
83,118,2003,4.5003,4.5003,0.0,
55,65,2003,1.17868,1.17868,0.0,
83,129,2003,6.20726,6.20726,0.0,
66,91,2003,1.03703,1.03703,0.0,
67,91,2003,1.54603,1.54603,0.0,
96,151,2003,5.35348,5.35348,0.0,
56,84,2003,0.72885,0.72885,0.0,
78,107,2003,4.44485,4.44485,0.0,
84,122,2003,5.32695,5.32695,0.0,
85,116,2003,6.47322,6.47322,0.0,
50,54,2003,0.23329,0.23329,0.0,
58,86,2003,0.40946,0.40946,0.0,
67,97,2003,0.43095,0.43095,0.0,
86,112,2003,7.3493,7.3493,0.0,
89,140,2003,4.51456,4.51456,0.0,
70,87,2003,4.62124,4.62124,0.0,
90,139,2003,5.16757,5.16757,0.0,
68,99,2003,0.66485,0.66485,0.0,
71,95,2003,3.03766,3.03766,0.0,
102,155,2003,8.46607,8.46607,0.0,
72,102,2003,2.49742,2.49742,0.0,
80,109,2003,4.62746,4.62746,0.0,
94,141,2003,5.9514,5.9514,0.0,
88,137,2003,5.0967,5.0967,0.0,
70,105,2003,0.59931,0.59931,0.0,
62,90,2003,0.21972,0.21972,0.0,
77,98,2003,5.39674,5.39674,0.0,
74,100,2003,3.60185,3.60185,0.0,
93,136,2003,7.01403,7.01403,0.0,
81,103,2003,6.28641,6.28641,0.0,
82,111,2003,5.01139,5.01139,0.0,
63,90,2003,0.27286,0.27286,0.0,
79,92,2003,7.08911,7.08911,0.0,
76,114,2003,1.3783,1.3783,0.0,
91,138,2003,5.83484,5.83484,0.0,
81,121,2003,1.17392,1.17392,0.0,
106,154,2003,9.92285,9.92285,0.0,
92,141,2003,4.90853,4.90853,0.0,
83,127,2003,5.0364,5.0364,0.0,
104,152,2003,8.92969,8.92969,0.0,
88,114,2003,8.01902,8.01902,0.0,
97,153,2003,5.53181,5.53181,0.0,
66,82,2003,1.47509,1.47509,0.0,
64,78,2003,2.11336,2.11336,0.0,
78,114,2003,2.41865,2.41865,0.0,
79,96,2003,6.5622,6.5622,0.0,
85,125,2003,5.63119,5.63119,0.0,
83,101,2003,8.0248,8.0248,0.0,
89,122,2003,7.62164,7.62164,0.0,
69,90,2003,3.04436,3.04436,0.0,
56,65,2003,1.01767,1.01767,0.0,
87,123,2003,6.64849,6.64849,0.0,
84,111,2003,6.74632,6.74632,0.0,
108,156,2003,10.59068,10.59068,0.0,
91,124,2003,8.24165,8.24165,0.0,
101,157,2003,7.27128,7.27128,0.0,
71,84,2003,5.80272,5.80272,0.0,
59,87,2003,0.89605,0.89605,0.0,
69,100,2003,1.1997,1.1997,0.0,
72,109,2003,1.15242,1.15242,0.0,
73,97,2003,3.4584,3.4584,0.0,
86,109,2003,7.6941,7.6941,0.0,
80,100,2003,6.25826,6.25826,0.0,
70,96,2003,2.32922,2.32922,0.0,
61,85,2003,1.90793,1.90793,0.0,
74,111,2003,1.59729,1.59729,0.0,
82,102,2003,6.77447,6.77447,0.0,
80,122,2003,0.1369,0.1369,0.0,
61,79,2003,0.69576,0.69576,0.0,
76,105,2003,3.72388,3.72388,0.0,
77,117,2003,0.61213,0.61213,0.0,
81,114,2003,3.22936,3.22936,0.0,
82,128,2003,3.7923,3.7923,0.0,
72,89,2003,4.69821,4.69821,0.0,
92,132,2003,8.61982,8.61982,0.0,
65,87,2003,3.15338,3.15338,0.0,
53,67,2003,0.60667,0.60667,0.0,
88,121,2003,7.14393,7.14393,0.0,
97,146,2003,6.87428,6.87428,0.0,
95,151,2003,5.15133,5.15133,0.0,
78,117,2003,1.17197,1.17197,0.0,
98,153,2003,6.1758,6.1758,0.0,
76,93,2003,5.71571,5.71571,0.0,
79,105,2003,5.2339,5.2339,0.0,
83,106,2003,7.2698,7.2698,0.0,
86,130,2003,8.20008,8.20008,0.0,
87,112,2003,7.81225,7.81225,0.0,
84,118,2003,5.70105,5.70105,0.0,
92,125,2003,8.1556,8.1556,0.0,
114,174,2003,9.9686,9.9686,0.0,
68,81,2003,2.12171,2.12171,0.0,
60,86,2003,1.18251,1.18251,0.0,
73,106,2003,2.37947,2.37947,0.0,
89,128,2003,9.83153,9.83153,0.0,
52,60,2003,2.3148,2.3148,0.0,
99,156,2003,6.43634,6.43634,0.0,
70,91,2003,3.15071,3.15071,0.0,
90,135,2003,6.9214,6.9214,0.0,
71,107,2003,1.10168,1.10168,0.0,
60,76,2003,0.8498,0.8498,0.0,
75,108,2003,2.13038,2.13038,0.0,
54,62,2003,1.8296,1.8296,0.0,
80,113,2003,3.00731,3.00731,0.0,
61,72,2003,1.941,1.941,0.0,
76,96,2003,5.22722,5.22722,0.0,
77,110,2003,3.67033,3.67033,0.0,
74,112,2003,1.12411,1.12411,0.0,
81,107,2003,5.54705,5.54705,0.0,
82,123,2003,1.46825,1.46825,0.0,
73,86,2003,5.68091,5.68091,0.0,
92,131,2003,8.9409,8.9409,0.0,
52,64,2003,0.96739,0.96739,0.0,
63,86,2003,2.40229,2.40229,0.0,
78,90,2003,6.99723,6.99723,0.0,
74,90,2003,5.27854,5.27854,0.0,
84,133,2003,6.66022,6.66022,0.0,
75,88,2003,6.01662,6.01662,0.0,
98,144,2003,7.51678,7.51678,0.0,
79,118,2003,0.9678,0.9678,0.0,
83,115,2003,5.03263,5.03263,0.0,
90,122,2003,7.95225,7.95225,0.0,
66,94,2003,0.43922,0.43922,0.0,
67,84,2003,4.69501,4.69501,0.0,
96,146,2003,6.21556,6.21556,0.0,
86,133,2003,6.94612,6.94612,0.0,
78,102,2003,5.23707,5.23707,0.0,
84,125,2003,4.97923,4.97923,0.0,
87,128,2003,9.54034,9.54034,0.0,
68,88,2003,3.48672,3.48672,0.0,
69,86,2003,4.57183,4.57183,0.0,
57,85,2003,0.42772,0.42772,0.0,
86,127,2003,8.24277,8.24277,0.0,
89,137,2003,5.53597,5.53597,0.0,
52,59,2003,2.66697,2.66697,0.0,
90,142,2003,4.0816,4.0816,0.0,
62,79,2003,1.21662,1.21662,0.0,
68,102,2003,0.0506,0.0506,0.0,
60,75,2003,1.07672,1.07672,0.0,
53,58,2003,3.28155,3.28155,0.0,
72,97,2003,3.14542,3.14542,0.0,
71,96,2003,2.80903,2.80903,0.0,
75,101,2003,3.84218,3.84218,0.0,
80,104,2003,5.66192,5.66192,0.0,
93,147,2003,4.5435,4.5435,0.0,
94,136,2003,7.17989,7.17989,0.0,
88,132,2003,7.59238,7.59238,0.0,
62,81,2003,0.04359,0.04359,0.0,
77,103,2003,4.66044,4.66044,0.0,
91,145,2003,3.7731,3.7731,0.0,
93,141,2003,5.35705,5.35705,0.0,
81,108,2003,4.83982,4.83982,0.0,
82,114,2003,4.22575,4.22575,0.0,
73,95,2003,3.82355,3.82355,0.0,
94,146,2003,5.25575,5.25575,0.0,
78,93,2003,6.60738,6.60738,0.0,
85,129,2003,8.98715,8.98715,0.0,
64,83,2003,1.73521,1.73521,0.0,
65,91,2003,0.37206,0.37206,0.0,
77,91,2003,6.4775,6.4775,0.0,
83,120,2003,4.09461,4.09461,0.0,
55,67,2003,0.4063,0.4063,0.0,
83,131,2003,5.62119,5.62119,0.0,
66,89,2003,2.61008,2.61008,0.0,
67,93,2003,1.28454,1.28454,0.0,
78,105,2003,4.82275,4.82275,0.0,
79,101,2003,5.8397,5.8397,0.0,
85,114,2003,6.77966,6.77966,0.0,
50,52,2003,0.27621,0.27621,0.0,
89,119,2003,7.72683,7.72683,0.0,
69,95,2003,2.07469,2.07469,0.0,
58,84,2003,1.29824,1.29824,0.0,
67,99,2003,0.17947,0.17947,0.0,
86,118,2003,6.5455,6.5455,0.0,
87,124,2003,6.65998,6.65998,0.0,
91,121,2003,8.4294,8.4294,0.0,
70,85,2003,5.33762,5.33762,0.0,
90,137,2003,6.1466,6.1466,0.0,
71,89,2003,4.14497,4.14497,0.0,
102,153,2003,8.442,8.442,0.0,
72,104,2003,2.25786,2.25786,0.0,
80,111,2003,3.6951,3.6951,0.0,
99,144,2003,8.07203,8.07203,0.0,
62,88,2003,1.44879,1.44879,0.0,
77,96,2003,5.689,5.689,0.0,
74,98,2003,3.83845,3.83845,0.0,
75,112,2003,1.65549,1.65549,0.0,
93,134,2003,7.81641,7.81641,0.0,
82,109,2003,5.44692,5.44692,0.0,
81,101,2003,6.5502,6.5502,0.0,
92,145,2003,4.23372,4.23372,0.0,
94,149,2003,4.75671,4.75671,0.0,
79,94,2003,6.83641,6.83641,0.0,
76,108,2003,2.96342,2.96342,0.0,
91,140,2003,5.14987,5.14987,0.0,
75,86,2003,6.32803,6.32803,0.0,
72,84,2003,6.02849,6.02849,0.0,
92,143,2003,4.67826,4.67826,0.0,
65,92,2003,0.17793,0.17793,0.0,
74,86,2003,6.06545,6.06545,0.0,
88,116,2003,7.63556,7.63556,0.0,
66,80,2003,1.98046,1.98046,0.0,
105,155,2003,9.37843,9.37843,0.0,
78,112,2003,3.25114,3.25114,0.0,
98,156,2003,5.92681,5.92681,0.0,
79,98,2003,6.29682,6.29682,0.0,
85,123,2003,5.75103,5.75103,0.0,
83,103,2003,7.7568,7.7568,0.0,
89,120,2003,7.72921,7.72921,0.0,
69,88,2003,3.88522,3.88522,0.0,
56,67,2003,0.71454,0.71454,0.0,
87,117,2003,7.17128,7.17128,0.0,
2,3,2003,0.89,0.89,0.0,
108,158,2003,10.33562,10.33562,0.0,
84,105,2003,7.701,7.701,0.0,
91,126,2003,8.48879,8.48879,0.0,
101,155,2003,7.89652,7.89652,0.0,
90,144,2003,3.67156,3.67156,0.0,
71,86,2003,5.10732,5.10732,0.0,
68,84,2003,4.93441,4.93441,0.0,
60,89,2003,0.29105,0.29105,0.0,
69,98,2003,1.41072,1.41072,0.0,
57,73,2003,0.29202,0.29202,0.0,
73,103,2003,2.95104,2.95104,0.0,
80,102,2003,5.99695,5.99695,0.0,
52,55,2003,4.00827,4.00827,0.0,
70,102,2003,1.31153,1.31153,0.0,
71,108,2003,0.82655,0.82655,0.0,
100,146,2003,8.37806,8.37806,0.0,
74,109,2003,1.68,1.68,0.0,
61,83,2003,0.84926,0.84926,0.0,
75,105,2003,3.10079,3.10079,0.0,
82,100,2003,7.0658,7.0658,0.0,
63,77,2003,1.78709,1.78709,0.0,
61,77,2003,1.1488,1.1488,0.0,
76,107,2003,3.21589,3.21589,0.0,
77,115,2003,1.75803,1.75803,0.0,
110,163,2003,11.3679,11.3679,0.0,
91,133,2003,7.69368,7.69368,0.0,
72,91,2003,4.13178,4.13178,0.0,
82,126,2003,0.51687,0.51687,0.0,
81,112,2003,3.83818,3.83818,0.0,
92,134,2003,7.70097,7.70097,0.0,
65,85,2003,3.58682,3.58682,0.0,
53,65,2003,1.11942,1.11942,0.0,
88,123,2003,7.04257,7.04257,0.0,
65,79,2003,2.19287,2.19287,0.0,
98,151,2003,6.296,6.296,0.0,
79,107,2003,4.91191,4.91191,0.0,
76,95,2003,5.37058,5.37058,0.0,
95,145,2003,5.70757,5.70757,0.0,
83,108,2003,6.77845,6.77845,0.0,
67,81,2003,1.92796,1.92796,0.0,
86,128,2003,9.2084,9.2084,0.0,
87,114,2003,7.51566,7.51566,0.0,
84,112,2003,6.6566,6.6566,0.0,
85,110,2003,7.33898,7.33898,0.0,
92,127,2003,9.8604,9.8604,0.0,
87,133,2003,6.80074,6.80074,0.0,
68,83,2003,3.49697,3.49697,0.0,
51,61,2003,0.08996,0.08996,0.0,
73,104,2003,2.73724,2.73724,0.0,
4,4,2003,0.09184,0.09184,0.0,
86,122,2003,6.26066,6.26066,0.0,
52,62,2003,1.5304,1.5304,0.0,
80,93,2003,7.381,7.381,0.0,
89,134,2003,6.7832,6.7832,0.0,
70,89,2003,3.94757,3.94757,0.0,
62,74,2003,2.18998,2.18998,0.0,
90,133,2003,7.56663,7.56663,0.0,
60,78,2003,0.39298,0.39298,0.0,
100,153,2003,7.199,7.199,0.0,
75,110,2003,2.19457,2.19457,0.0,
53,63,2003,1.68355,1.68355,0.0,
54,60,2003,2.76629,2.76629,0.0,
80,115,2003,2.27303,2.27303,0.0,
71,101,2003,2.15141,2.15141,0.0,
94,135,2003,7.59749,7.59749,0.0,
76,98,2003,4.87215,4.87215,0.0,
77,108,2003,3.75097,3.75097,0.0,
81,105,2003,5.68572,5.68572,0.0,
82,121,2003,2.33557,2.33557,0.0,
73,84,2003,6.35452,6.35452,0.0,
52,66,2003,0.41494,0.41494,0.0,
63,80,2003,0.82919,0.82919,0.0,
78,88,2003,7.28581,7.28581,0.0,
74,88,2003,5.67727,5.67727,0.0,
85,134,2003,6.3236,6.3236,0.0,
79,112,2003,3.48156,3.48156,0.0,
76,86,2003,6.76733,6.76733,0.0,
83,117,2003,4.70165,4.70165,0.0,
55,68,2003,0.29694,0.29694,0.0,
90,120,2003,8.0526,8.0526,0.0,
66,92,2003,0.8762,0.8762,0.0,
67,86,2003,4.05165,4.05165,0.0,
96,148,2003,5.90174,5.90174,0.0,
78,100,2003,5.57338,5.57338,0.0,
84,127,2003,7.59448,7.59448,0.0,
85,119,2003,6.06984,6.06984,0.0,
87,130,2003,8.46919,8.46919,0.0,
68,90,2003,2.66944,2.66944,0.0,
69,84,2003,5.24812,5.24812,0.0,
58,75,2003,0.21641,0.21641,0.0,
96,138,2003,7.36504,7.36504,0.0,
86,125,2003,5.96538,5.96538,0.0,
112,173,2003,8.7937,8.7937,0.0,
90,140,2003,4.76996,4.76996,0.0,
62,77,2003,1.4086,1.4086,0.0,
68,96,2003,1.30359,1.30359,0.0,
53,56,2003,3.78169,3.78169,0.0,
71,98,2003,2.43371,2.43371,0.0,
72,99,2003,2.73779,2.73779,0.0,
75,103,2003,3.6624,3.6624,0.0,
93,145,2003,4.69016,4.69016,0.0,
80,106,2003,5.20508,5.20508,0.0,
94,142,2003,5.86707,5.86707,0.0,
88,134,2003,6.67883,6.67883,0.0,
70,106,2003,0.57037,0.57037,0.0,
62,87,2003,1.8703,1.8703,0.0,
77,101,2003,4.9963,4.9963,0.0,
81,98,2003,6.71767,6.71767,0.0,
82,112,2003,4.73792,4.73792,0.0,
73,93,2003,4.31417,4.31417,0.0,
94,144,2003,5.5932,5.5932,0.0,
63,89,2003,1.55249,1.55249,0.0,
91,137,2003,6.26454,6.26454,0.0,
54,67,2003,0.19921,0.19921,0.0,
106,159,2003,9.0773,9.0773,0.0,
64,85,2003,3.09937,3.09937,0.0,
65,89,2003,2.21038,2.21038,0.0,
77,89,2003,6.72425,6.72425,0.0,
83,122,2003,3.69544,3.69544,0.0,
66,87,2003,3.55877,3.55877,0.0,
67,95,2003,1.00519,1.00519,0.0,
78,111,2003,3.90125,3.90125,0.0,
79,103,2003,5.5262,5.5262,0.0,
85,112,2003,7.10375,7.10375,0.0,
89,117,2003,7.9446,7.9446,0.0,
69,93,2003,2.28255,2.28255,0.0,
86,116,2003,6.77347,6.77347,0.0,
87,126,2003,6.90487,6.90487,0.0,
84,108,2003,7.31927,7.31927,0.0,
91,123,2003,8.2709,8.2709,0.0,
71,91,2003,3.44141,3.44141,0.0,
100,143,2003,8.6891,8.6891,0.0,
69,103,2003,0.26183,0.26183,0.0,
57,70,2003,0.72299,0.72299,0.0,
72,106,2003,2.08042,2.08042,0.0,
86,110,2003,7.61666,7.61666,0.0,
80,97,2003,6.73577,6.73577,0.0,
99,146,2003,7.90928,7.90928,0.0,
61,88,2003,1.13568,1.13568,0.0,
59,72,2003,1.19259,1.19259,0.0,
74,96,2003,4.1407,4.1407,0.0,
75,114,2003,0.99332,0.99332,0.0,
93,132,2003,8.7865,8.7865,0.0,
82,107,2003,5.87275,5.87275,0.0,
92,147,2003,3.89362,3.89362,0.0,
76,110,2003,2.82312,2.82312,0.0,
91,142,2003,4.31168,4.31168,0.0,
72,86,2003,5.4047,5.4047,0.0,
92,137,2003,6.47543,6.47543,0.0,
65,82,2003,1.06546,1.06546,0.0,
74,84,2003,6.61265,6.61265,0.0,
88,118,2003,7.41518,7.41518,0.0,
106,160,2003,8.88423,8.88423,0.0,
78,118,2003,0.80814,0.80814,0.0,
98,154,2003,6.21687,6.21687,0.0,
79,108,2003,4.76723,4.76723,0.0,
85,121,2003,5.8884,5.8884,0.0,
83,105,2003,7.2552,7.2552,0.0,
89,126,2003,7.74428,7.74428,0.0,
96,152,2003,5.16173,5.16173,0.0,
56,69,2003,0.37989,0.37989,0.0,
87,119,2003,6.9234,6.9234,0.0,
84,107,2003,7.50119,7.50119,0.0,
68,86,2003,4.27988,4.27988,0.0,
69,96,2003,1.84199,1.84199,0.0,
102,150,2003,8.54977,8.54977,0.0,
58,71,2003,0.95556,0.95556,0.0,
73,101,2003,3.14452,3.14452,0.0,
109,157,2003,10.99557,10.99557,0.0,
89,131,2003,8.3478,8.3478,0.0,
99,155,2003,6.6157,6.6157,0.0,
70,100,2003,1.73772,1.73772,0.0,
100,156,2003,7.02721,7.02721,0.0,
74,107,2003,2.21075,2.21075,0.0,
75,107,2003,2.63483,2.63483,0.0,
82,98,2003,7.41501,7.41501,0.0,
54,59,2003,3.0948,3.0948,0.0,
63,79,2003,1.19549,1.19549,0.0,
61,75,2003,1.5906,1.5906,0.0,
76,101,2003,4.35294,4.35294,0.0,
77,113,2003,2.75408,2.75408,0.0,
