Z,N,2003,2003_sd,2016,2016_sd,2017,2017_sd,SKM*,SKP,SLY4,SVMIN,UNEDF0,UNEDF1,UNEDF2,FRDM2012,HFB24
17,44,*,*,*,*,*,*,*,*,*,*,*,*,*,*,0.84
19,12,*,*,*,*,*,*,*,22.711574,*,22.7808,*,*,*,23.94,23.65
19,14,*,*,*,*,*,*,21.103752,21.21054,21.742484,21.410289,21.22645,21.804113,23.697834,21.57,21.98
19,16,*,*,*,*,*,*,17.952088,17.950972,18.55825,18.51782,17.976815,18.634078,20.165072,18.17,17.58
19,18,15.44535,0.00778,15.45445,0.00035,*,*,14.923366,15.848573,16.139946,15.843884,14.880296,15.839699,17.536181,16.05,18.65
19,20,13.07764,0.00041,13.07775,0.0002,*,*,13.430339,13.870064,14.458552,14.022086,13.225584,14.049447,16.277708,13.59,14.18
19,22,10.09519,8e-05,10.09537,6e-05,*,*,11.480949,11.387492,11.379435,11.322275,10.986146,10.838601,12.681228,11.0,11.08
19,24,9.643,0.00895,9.62468,0.00042,*,*,10.545686,10.107663,10.038885,9.992004,9.758286,9.513238,12.016876,9.76,10.59
19,26,8.8699,0.03722,8.90546,0.00067,*,*,10.126725,9.411722,9.551662,9.324919,8.986977,8.854522,11.49931,8.86,9.51
19,28,8.34927,0.01648,8.36937,0.00157,*,*,9.258725,8.568443,8.579019,8.440913,8.108122,7.919143,10.664006,7.92,8.35
19,30,6.26665,0.07392,5.39833,0.00111,*,*,7.622892,7.620184,6.889968,7.303519,7.082665,6.748872,9.38777,5.38,5.82
19,32,*,*,4.85967,0.01517,*,*,6.295808,6.362934,5.631059,5.941399,5.725547,5.455243,8.148567,4.44,5.15
19,34,*,*,3.22941,0.1167,*,*,4.629364,4.822898,4.411425,4.558517,4.215443,4.007906,6.144251,4.24,3.98
19,36,*,*,*,*,*,*,3.544622,3.703573,3.545886,3.69247,3.311728,2.992736,5.390685,3.32,3.57
19,38,*,*,*,*,*,*,3.227648,3.08953,3.274659,3.288923,2.959907,2.570241,5.342986,3.27,2.84
19,40,*,*,*,*,*,*,3.05436,2.576314,2.794062,2.72393,2.452322,2.059346,5.139126,2.1,2.68
19,42,*,*,*,*,*,*,2.800885,*,*,*,*,*,*,1.66,2.75
19,44,*,*,*,*,*,*,2.69529,*,*,*,*,*,*,1.2,0.71
19,46,*,*,*,*,*,*,2.466826,*,*,*,*,*,*,0.92,*
19,48,*,*,*,*,*,*,2.202865,*,*,*,*,*,*,0.74,*
19,50,*,*,*,*,*,*,1.892481,*,*,*,*,*,*,0.24,*
21,12,*,*,*,*,*,*,*,*,*,*,*,*,*,27.33,26.83
21,14,*,*,*,*,*,*,22.4632,22.96111,23.646468,23.125145,*,23.37849,25.441755,23.1,21.24
21,16,*,*,*,*,*,*,19.778498,20.510923,20.662522,20.522728,19.929109,20.666171,22.294606,19.9,19.58
21,18,*,*,*,*,*,*,16.999709,17.974,18.331305,18.01339,17.035052,18.168662,19.97775,17.99,19.4
21,20,16.19048,0.00283,16.19039,0.00283,*,*,15.50765,15.979359,16.627115,16.183633,15.388013,16.409057,18.662267,16.28,17.21
21,22,12.13801,0.00186,12.13827,0.00186,*,*,13.23622,13.223593,13.338676,13.296129,12.958113,12.966158,14.760527,13.7,13.47
21,24,11.32302,0.00193,11.32723,0.00188,*,*,12.223101,11.859095,11.904127,11.897085,11.649826,11.554343,14.151576,11.77,11.83
21,26,10.64632,0.00199,10.64669,0.00204,*,*,11.786835,11.109832,11.36967,11.156987,10.830903,10.73913,13.350118,10.73,10.85
21,28,10.12758,0.0057,10.12874,0.00564,*,*,10.87276,10.165529,10.311565,10.113341,9.788624,9.695211,12.477724,9.35,9.92
21,30,6.75262,0.025,6.75262,0.025,*,*,8.819272,9.035572,8.288308,8.666534,8.418659,8.117445,10.732515,6.99,7.2
21,32,*,*,6.53485,0.12471,*,*,7.390474,7.624069,6.928718,7.102062,6.854171,6.58426,9.370754,5.77,6.45
21,34,3.43305,0.82381,4.33977,0.52995,*,*,5.744053,6.087675,5.744049,5.772648,5.362977,5.146314,7.255221,5.58,5.45
21,36,*,*,4.21493,1.43005,*,*,4.846322,5.093593,4.988516,5.043006,4.640059,4.379119,6.765644,4.69,4.95
21,38,*,*,*,*,*,*,4.577256,4.537448,4.72411,4.667313,4.292216,3.999805,6.784679,4.31,4.65
21,40,*,*,*,*,*,*,4.360518,3.944511,4.169912,4.05199,3.717028,3.40423,6.507933,3.75,3.86
21,42,*,*,*,*,*,*,4.043035,3.274001,2.981089,3.078277,2.766677,2.40701,5.387427,3.0,3.81
21,44,*,*,*,*,*,*,3.767103,2.767977,2.284182,2.476204,2.164652,2.019618,5.292013,2.32,2.98
21,46,*,*,*,*,*,*,3.634716,2.508246,2.132029,2.358643,2.121925,1.863297,5.181624,2.06,2.59
21,48,*,*,*,*,*,*,3.219348,2.136869,1.983236,1.981604,1.77432,1.590789,4.924601,1.87,2.26
21,50,*,*,*,*,*,*,2.756748,*,*,1.636839,1.435362,1.297792,4.762599,1.17,1.56
21,52,*,*,*,*,*,*,1.984824,*,*,*,1.278448,1.158193,4.770309,*,0.43
21,54,*,*,*,*,*,*,1.458725,*,*,*,*,1.150764,4.720236,*,0.27
21,56,*,*,*,*,*,*,1.343279,*,*,*,*,1.056305,4.851414,*,0.3
23,14,*,*,*,*,*,*,*,*,*,*,*,*,*,24.64,24.26
23,16,*,*,*,*,*,*,*,*,*,*,*,*,*,21.83,25.15
23,18,*,*,*,*,*,*,18.734434,19.807516,20.112557,19.834379,19.033687,20.010009,21.914711,19.53,20.07
23,20,*,*,*,*,*,*,17.398316,17.919857,18.644998,18.19678,17.428844,18.55226,20.745729,18.16,18.38
23,22,15.83457,0.12229,15.84095,0.18164,*,*,14.848776,14.913263,15.162583,15.175202,14.826844,14.985047,16.885893,16.22,16.88
23,24,13.00036,0.0006,13.00258,0.00011,*,*,14.282676,13.848461,14.200261,14.092487,13.673623,13.955808,16.509347,14.2,14.41
23,26,11.55288,0.00255,11.55555,0.00127,*,*,13.223432,12.681683,12.970682,12.819236,12.539074,12.468734,14.974724,12.24,12.3
23,28,11.05115,8e-05,11.05115,8e-05,*,*,12.063379,11.482158,11.649505,11.497109,11.30104,11.123942,13.877215,11.03,11.07
23,30,8.47885,0.00326,8.47861,0.00315,*,*,9.928973,10.24413,9.714353,9.91596,9.749134,9.337577,11.953451,8.24,8.72
23,32,7.33185,0.10112,7.32273,0.09628,*,*,8.493535,8.861206,8.242245,8.296111,8.044999,7.746113,10.58742,7.09,7.93
23,34,6.17995,0.30984,6.32989,0.19434,*,*,6.868162,7.371586,7.079306,7.038727,6.592829,6.513336,8.802915,6.77,6.88
23,36,4.92914,0.39491,5.50158,0.18491,*,*,6.141232,6.459966,6.303155,6.377742,5.939571,5.70931,8.166989,6.03,6.17
23,38,*,*,5.33579,0.92094,*,*,6.049865,5.903092,6.094676,5.996319,5.589763,5.37231,8.108076,5.53,5.47
23,40,*,*,*,*,*,*,5.649087,5.229868,5.51195,5.377496,4.980374,4.762943,7.796595,4.97,5.01
23,42,*,*,*,*,*,*,5.249954,4.498402,4.245191,4.385284,4.022801,3.792005,6.871781,4.42,5.2
23,44,*,*,*,*,*,*,4.854091,4.193541,3.641143,3.933024,3.528559,3.578836,6.808592,3.83,4.02
23,46,*,*,*,*,*,*,4.580993,3.726727,3.597717,3.700059,3.409782,3.070813,6.380074,3.23,3.31
23,48,*,*,*,*,*,*,4.016417,3.147471,2.938432,2.993675,2.743085,2.468531,5.8208,2.54,2.27
23,50,*,*,*,*,*,*,3.534969,2.589935,2.422426,2.396473,2.209215,1.957482,5.417179,2.2,1.48
23,52,*,*,*,*,*,*,2.638393,2.140799,*,1.946449,1.821108,1.585797,5.264988,0.68,1.34
23,54,*,*,*,*,*,*,1.961913,1.776367,*,1.582656,1.605096,1.478246,5.045968,0.09,1.19
23,56,*,*,*,*,*,*,1.709491,1.56775,*,1.449151,1.468696,1.35502,5.175452,*,0.56
23,58,*,*,*,*,*,*,1.381507,*,*,*,1.260375,1.250612,4.855908,*,0.11
25,16,*,*,*,*,*,*,*,*,*,*,*,*,*,23.99,22.2
25,18,*,*,*,*,*,*,20.313964,*,*,*,20.762627,*,*,21.41,21.32
25,20,*,*,*,*,*,*,19.239824,19.76891,20.568697,20.055709,19.338145,20.448574,22.687748,20.11,19.14
25,22,*,*,*,*,*,*,16.43355,16.547872,16.92465,16.965675,16.614862,16.94271,18.878895,18.12,17.82
25,24,16.36347,0.11433,16.39561,0.00729,*,*,16.155202,15.802021,16.312203,16.125301,15.636712,16.114752,18.498584,16.57,17.21
25,26,13.68584,0.00037,13.6876,0.0003,*,*,14.611123,14.211753,14.547367,14.418788,14.190286,14.184071,16.727828,14.18,14.22
25,28,12.05378,0.00191,12.05415,0.00187,*,*,13.293969,12.795505,13.01988,12.911574,12.859776,12.602861,15.379829,12.71,12.06
25,30,10.22653,0.00107,10.2261,0.00105,*,*,11.104683,11.502819,11.177109,11.209714,11.108507,10.656747,13.242288,9.6,10.41
25,32,8.64841,0.00191,8.64603,0.00153,*,*,9.615307,10.140109,9.556607,9.527632,9.283892,9.047927,11.82774,8.7,9.33
