Z,N,2003,2003_sd,2016,2016_sd,2017,2017_sd,2018,2018_sd,SKM*,SKP,SLY4,SVMIN,UNEDF0,UNEDF1,UNEDF2,FRDM2012,HFB24
18,70,*,*,*,*,*,*,*,*,-5.79608,-7.018084,-8.094798,-6.256935,-5.377946,-5.5025,*,*,*
18,72,*,*,*,*,*,*,*,*,-5.841333,-7.282559,-8.39906,-6.28748,-5.322753,-5.442114,*,*,*
18,74,*,*,*,*,*,*,*,*,-5.53607,-7.289814,-8.3394,-6.20586,-5.239989,-5.327833,*,*,*
20,18,31.76249,0.04026,31.74998,0.04,*,*,*,*,*,*,*,*,*,*,*,*,*
20,20,28.92969,0.00455,28.93052,0.0002,*,*,*,*,*,*,*,*,*,*,*,*,*
20,22,19.84343,0.00014,19.84349,0.00015,*,*,*,*,*,*,*,*,*,*,*,*,*
20,24,19.06404,0.00029,19.06406,0.00029,*,*,*,*,*,*,*,*,*,*,*,*,*
20,26,17.80923,0.00228,17.81332,0.00226,*,*,*,*,*,*,*,*,*,*,*,*,*
20,28,17.22169,0.00411,17.2279,0.00223,*,*,*,*,*,*,*,*,*,*,*,*,*
20,30,11.49934,0.00832,11.50723,0.00159,*,*,*,*,*,*,*,*,*,*,*,*,*
20,32,9.08094,0.69868,10.81968,0.00172,*,*,*,*,*,*,*,*,*,*,*,*,*
20,34,*,*,7.03695,0.04844,*,*,*,*,*,*,*,*,*,*,*,*,*
20,50,*,*,*,*,*,*,*,*,*,-0.200401,-0.758656,*,*,*,*,-0.03,-0.12
20,52,*,*,*,*,*,*,*,*,*,-0.503157,-1.674096,-0.118088,*,*,*,-2.5,*
20,54,*,*,*,*,*,*,*,*,*,-0.813461,-2.219995,-0.29009,-0.004927,*,*,-3.74,*
20,56,*,*,*,*,*,*,*,*,*,-1.087005,-2.253873,-0.474231,-0.137476,*,*,-4.18,*
20,58,*,*,*,*,*,*,*,*,-0.260429,-1.765085,-2.784911,-0.949647,-0.458901,-0.299517,*,-4.3,*
20,60,*,*,*,*,*,*,*,*,-1.373306,-2.616173,-3.517434,-1.518635,-0.783524,-0.739509,*,-4.91,*
20,62,*,*,*,*,*,*,*,*,-2.768177,-4.015431,-4.84131,-2.897485,-2.002995,-1.929876,*,-8.06,*
20,64,*,*,*,*,*,*,*,*,-4.875416,-5.414184,-6.547058,-4.976149,-4.447992,-4.386383,*,-7.06,*
20,66,*,*,*,*,*,*,*,*,-5.349237,-6.146425,-7.052226,-5.623582,-4.888993,-4.852787,*,-6.65,*
20,68,*,*,*,*,*,*,*,*,-5.222115,-6.226195,-7.100341,-5.506426,-4.763482,-5.045542,*,-6.94,*
20,70,*,*,*,*,*,*,*,*,-5.233943,-6.375788,-7.239734,-5.51381,-4.641371,-5.139822,*,-7.06,*
20,72,*,*,*,*,*,*,*,*,-5.162155,-6.551989,-7.278038,-5.562177,-4.664782,-5.0598,*,-7.84,*
20,74,*,*,*,*,*,*,*,*,-5.039854,-6.625601,-7.303379,-5.52155,-4.691449,-4.937079,*,*,*
20,76,*,*,*,*,*,*,*,*,-5.027063,-6.633695,-7.41225,-5.555014,-4.722859,-4.788024,*,*,*
22,20,32.41391,0.16009,32.39692,0.16,*,*,*,*,*,*,*,*,*,*,*,*,*
22,22,28.56954,0.00549,28.58653,0.00075,*,*,*,*,*,*,*,*,*,*,*,*,*
22,24,22.7176,0.00109,22.72186,0.00072,*,*,*,*,*,*,*,*,*,*,*,*,*
22,26,20.50694,0.00029,20.50754,0.00014,*,*,*,*,*,*,*,*,*,*,*,*,*
22,28,19.08158,5e-05,19.08159,5e-05,*,*,*,*,*,*,*,*,*,*,*,*,*
22,30,14.1808,0.00707,14.18079,0.00707,*,*,*,*,*,*,*,*,*,*,*,*,*
22,32,12.27219,0.12492,12.29479,0.08276,*,*,12.40794,0.01628,*,*,*,*,*,*,*,*,*
22,34,9.48502,0.23227,9.8407,0.14663,*,*,9.7187,0.1223,*,*,*,*,*,*,*,*,*
22,52,*,*,*,*,*,*,*,*,*,*,-0.415087,*,*,*,*,-0.77,*
22,54,*,*,*,*,*,*,*,*,*,*,-1.183261,*,*,*,*,-2.02,-0.31
