Z    N    Binding_E_(MeV)   S_1p_(MeV)   S_2p_(MeV)   S_1n_(MeV)   S_2n_(MeV)   Q_alpha_(MeV)
17   15   -251.34825        -0.50725     7.7075       14.12375     *            -8.16        
17   16   -270.242          4.669        12.439       18.89375     33.0175      -10.0435     
17   17   -280.5095         3.326        16.1275      10.2675      29.16125     -8.56875     
17   18   -293.617          4.803        19.836       13.1075      23.375       -7.514       
17   19   -302.4235         3.53         20.868       8.8065       21.914       -9.7415      
17   20   -311.235          2.252        21.505       8.8115       17.618       -9.154       
17   21   -315.364          3.3125       23.46475     4.129        12.9405      -5.5085      
17   22   -325.988          4.928        26.1595      10.624       14.753       -7.958       
17   23   -327.4005         5.5705       26.652       1.4125       12.0365      -7.20125     
17   24   -341.648          8.598        30.1395      14.2475      15.66        -13.5195     
17   25   -342.13525        8.52525      30.77025     0.48725      14.73475     -13.08675    
17   26   -354.8075         11.9075      34.551       12.67225     13.1595      -14.999      
17   27   -355.318          13.177       33.735       0.5105       13.18275     -15.653      
17   28   -364.0835         13.9915      33.974       8.7655       9.276        -15.527      
17   29   -362.39825        15.88225     36.85675     -1.68525     7.08025      -12.51525    
17   30   -370.873          15.613       40.1195      8.47475      6.7895       -12.4635     
17   31   -366.06625        16.65525     42.95175     -4.80675     3.668        -12.22475    
17   32   -377.1145         17.4625      45.534       11.04825     6.2415       -18.061      
17   33   -372.28625        18.40725     48.584       -4.82825     6.22         -20.87175    
17   34   -381.618          18.702       49.454       9.33175      4.5035       -21.7375     
17   35   -375.4705         19.1545      *            -6.1475      3.18425      -23.46825    
17   36   -383.283          18.697       *            7.8125       1.665        -22.819      
17   37   -373.77675        17.51275     *            -9.50625     -1.69375     *            
17   38   -381.4055         15.8135      *            7.62875      -1.8775      *            
17   39   -377.87075        16.55575     *            -3.53475     4.094        *            
17   40   -383.691          17.073       *            5.82025      2.2855       *            
18   14   -242.971          5.7465       4.823        *            *            -8.977       
18   15   -254.421          3.07275      2.5655       11.45        *            -5.44        
18   16   -275.401          5.159        9.828        20.98        32.43        -8.953       
18   17   -286.9555         6.446        9.772        11.5545      32.5345      -6.8         
18   18   -304.17           10.553       15.356       17.2145      28.769       -10.297      
18   19   -316.6435         14.22        17.75        12.4735      29.688       -11.16       
18   20   -329.117          17.882       20.134       12.4735      24.947       -12.003      
18   21   -333.6815         18.3175      21.63        4.5645       17.038       -6.488       
18   22   -345.296          19.308       24.236       11.6145      16.179       -8.013       
18   23   -345.001          17.6005      23.171       -0.295       11.3195      -4.6495      
18   24   -359.926          18.278       26.876       14.925       14.63        -10.566      
18   25   -358.8055         16.67025     25.1955      -1.1205      13.8045      -8.6755      
18   26   -373.325          18.5175      30.425       14.5195      13.399       -11.975      
18   27   -375.445          20.127       33.304       2.12         16.6395      -13.535      
18   28   -385.365          21.2815      35.273       9.92         12.04        -14.165      
18   29   -385.4255         23.02725     38.9095      0.0605       9.9805       -14.9845     
18   30   -393.486          22.613       38.226       8.0605       8.121        -15.094      
18   31   -389.3515         23.28525     39.9405      -4.1345      3.926        -14.5355     
18   32   -400.837          23.7225      41.185       11.4855      7.351        -17.277      
18   33   -397.0635         24.77725     43.1845      -3.7735      7.712        -19.3525     
18   34   -406.8            25.182       43.884       9.7365       5.963        -18.848      
18   35   -402.435          26.9645      46.119       -4.365       5.3715       -20.256      
18   36   -411.12           27.837       46.534       8.685        4.32         -19.904      
18   37   -404.6745         30.89775     48.4105      -6.4455      2.2395       -20.0585     
18   38   -414.849          33.4435      49.257       10.1745      3.729        -21.963      
18   39   -412.1615         34.29075     50.8465      -2.6875      7.487        -27.5975     
18   40   -418.604          34.913       51.986       6.4425       3.755        -24.712      
19   14   -243.073          0.102        5.8485       *            *            *            
19   15   -254.77075        0.34975      3.4225       11.69775     *            *            
19   16   -278.3735         2.9725       8.1315       23.60275     35.3005      -12.849      
19   17   -288.5415         1.586        8.032        10.168       33.77075     -8.89325     
19   18   -309.3295         5.1595       15.7125      20.788       30.956       -10.7875     
19   19   -319.55325        2.90975      17.12975     10.22375     31.01175     -10.74375    
19   20   -333.352          4.235        22.117       13.79875     24.0225      -11.435      
19   21   -339.02975        5.34825      23.66575     5.67775      19.4765      -8.30625     
19   22   -351.7475         6.4515       25.7595      12.71775     18.3955      -12.2125     
19   23   -352.35175        7.35075      24.95125     0.60425      13.322       -8.68775     
19   24   -368.701          8.775        27.053       16.34925     16.9535      -14.413      
19   25   -368.48275        9.67725      26.3475      -0.21825     16.131       -12.78225    
19   26   -384.6195         11.2945      29.812       16.13675     15.9185      -14.6715     
19   27   -387.26925        11.82425     31.95125     2.64975      18.7865      -16.834      
19   28   -397.744          12.379       33.6605      10.47475     13.1245      -14.6365     
19   29   -399.583          14.1575      37.18475     1.839        12.31375     -15.965      
19   30   -409.562          16.076       38.689       9.979        11.818       -17.1785     
19   31   -405.09375        15.74225     39.0275      -4.46825     5.51075      -14.3955     
19   32   -418.3905         17.5535      41.276       13.29675     8.8285       -19.2175     
19   33   -412.4415         15.378       40.15525     -5.949       7.34775      -18.07525    
19   34   -425.6375         18.8375      44.0195      13.196       7.247        -20.223      
19   35   -418.5605         16.1255      43.09        -7.077       6.119        -17.97425    
19   36   -430.8135         19.6935      47.5305      12.253       5.176        -20.8955     
19   37   -422.57225        17.89775     48.7955      -8.24125     4.01175      -18.80175    
19   38   -433.396          18.547       51.9905      10.82375     2.5825       -21.813      
19   39   -431.329          19.1675      53.45825     -2.067       8.75675      -29.25225    
19   40   -438.347          19.743       54.656       7.018        4.951        -28.6415     
20   14   -244.845          1.772        1.874        *            *            *            
20   15   -256.0105         1.23975      1.5895       11.1655      *            *            
20   16   -281.456          3.0825       6.055        25.4455      36.611       -10.185      
20   17   -290.1825         1.641        3.227        8.7265       34.172       -7.4615      
20   18   -314.489          5.1595       10.319       24.3065      33.033       -10.788      
20   19   -326.083          6.52975      9.4395       11.594       35.9005      -10.8275     
20   20   -344.827          11.475       15.71        18.744       30.338       -12.357      
20   21   -351.613          12.58325     17.9315      6.786        25.53        -6.6695      
20   22   -365.429          13.6815      20.133       13.816       20.602       -8.012       
20   23   -366.4475         14.09575     21.4465      1.0185       14.8345      -4.466       
20   24   -383.736          15.035       23.81        17.2885      18.307       -10.14       
20   25   -383.69           15.20725     24.8845      -0.046       17.2425      -10.389      
20   26   -400.714          16.0945      27.389       17.024       16.978       -12.488      
20   27   -404.5735         17.30425     29.1285      3.8595       20.8835      -17.468      
20   28   -416.283          18.539       30.918       11.7095      15.569       -14.658      
20   29   -417.3055         17.7225      31.88        1.0225       12.732       -13.5605     
20   30   -426.608          17.046       33.122       9.3025       10.325       -12.943      
20   31   -421.326          16.23225     31.9745      -5.282       4.0205       -7.6005      
20   32   -435.954          17.5635      35.117       14.628       9.346        -14.168      
20   33   -427.8245         15.383       30.761       -8.1295      6.4985       -10.173      
20   34   -444.475          18.8375      37.675       16.6505      8.521        -15.338      
20   35   -435.576          17.0155      33.141       -8.899       7.7515       -10.2125     
20   36   -452.287          21.4735      41.167       16.711       7.812        -17.187      
20   37   -445.155          22.58275     40.4805      -7.132       9.579        -14.42       
20   38   -459.533          26.137       44.684       14.378       7.246        -20.113      
20   39   -458.0865         26.7575      45.925       -1.4465      12.9315      -25.112      
20   40   -465.68           27.333       47.076       7.5935       6.147        -22.531      
20   41   -461.2545         *            *            -4.4255      3.168        -20.793      
20   42   -466.449          *            *            5.1945       0.769        -19.545      
21   18   -311.287          -3.202       1.9575       *            *            -4.6135      
21   19   -323.9925         -2.0905      4.43925      12.7055      *            -7.151       
21   20   -343.873          -0.954       10.521       19.8805      32.586       -6.2435      
21   21   -351.52975        -0.08325     12.5         7.65675      27.53725     -3.6765      
21   22   -366.2265         0.7975       14.479       14.69675     22.3535      -4.5745      
21   23   -370.36925        3.92175      18.0175      4.14275      18.8395      -3.0395      
21   24   -388.307          4.571        19.606       17.93775     22.0805      -8.2595      
21   25   -390.406          6.716        21.92325     2.099        20.03675     -9.75425     
21   26   -406.155          5.441        21.5355      15.749       17.848       -9.154       
21   27   -411.00975        6.43625      23.7405      4.85475      20.60375     -14.227      
21   28   -422.7745         6.4915       25.0305      11.76475     16.6195      -9.855       
21   29   -425.35025        8.04475      25.76725     2.57575      14.3405      -9.781       
21   30   -435.266          8.658        25.704       9.91575      12.4915      -9.222       
21   31   -431.7845         10.4585      26.69075     -3.4815      6.43425      -3.9015      
21   32   -446.003          10.049       27.6125      14.2185      10.737       -8.141       
21   33   -439.53925        11.71475     27.09775     -6.46375     7.75475      -6.1455      
21   34   -455.5655         11.0905      29.928       16.02625     9.5625       -8.875       
21   35   -447.6945         12.1185      29.134       -7.871       8.15525      -6.953       
21   36   -464.2335         11.9465      33.42        16.539       8.668        -10.296      
21   37   -457.7735         12.6185      35.20125     -6.46        10.079       -10.913      
21   38   -472.6085         13.0755      39.2125      14.835       8.375        -13.495      
21   39   -471.8265         13.74        40.4975      -0.782       14.053       -20.95425    
21   40   -480.0545         14.3745      41.7075      8.228        7.446        -18.3585     
21   41   -476.42575        15.17125     *            -3.62875     4.59925      -16.79675    
21   42   -482.017          15.568       *            5.59125      1.9625       -15.37       
22   18   -315.565          4.278        1.076        *            *            -5.809       
22   19   -329.317          5.3245       3.234        13.752       *            -10.8345     
22   20   -350.269          6.396        5.442        20.952       34.704       -7.48        
22   21   -358.7765         7.24675      7.1635       8.5075       29.4595      -4.3935      
22   22   -374.334          8.1075       8.905        15.5575      24.065       -1.207       
22   23   -380.116          9.74675      13.6685      5.782        21.3395      -0.203       
22   24   -397.218          8.911        13.482       17.102       22.884       -3.489       
22   25   -402.227          11.821       18.537       5.009        22.111       -7.4795      
22   26   -417.466          11.311       16.752       15.239       20.248       -5.43        
22   27   -424.031          13.02125     19.4575      6.565        21.804       -12.041      
22   28   -436.566          13.7915      20.283       12.535       19.1         -7.552       
22   29   -440.06           14.70975     22.7545      3.494        16.029       -7.1865      
22   30   -449.954          14.688       23.346       9.894        13.388       -5.371       
22   31   -448.403          16.6185      27.077       -1.551       8.343        -2.7975      
22   32   -462.342          16.339       26.388       13.939       12.388       -7.434       
22   33   -457.819          18.27975     29.9945      -4.523       9.416        -8.193       
22   34   -473.496          17.9305      29.021       15.677       11.154       -9.242       
22   35   -467.063          19.3685      31.487       -6.433       9.244        -10.9385     
22   36   -483.84           19.6065      31.553       16.777       10.344       -11.065      
22   37   -478.212          20.4385      33.057       -5.628       11.149       -14.336      
22   38   -493.664          21.0555      34.131       15.452       9.824        -13.077      
22   39   -493.6065         21.78        35.52        -0.0575      15.3945      -20.1515     
22   40   -502.529          22.4745      36.849       8.9225       8.865        -14.696      
22   41   -499.767          23.34125     38.5125      -2.762       6.1605       -13.3805     
22   42   -505.825          23.808       39.376       6.058        3.296        -11.845      
22   43   -496.416          *            *            -9.409       -3.351       -6.8615      
22   44   -508.417          *            *            12.001       2.592        -13.668      
22   45   -498.5055         *            *            -9.9115      2.0895       *            
22   46   -510.814          *            *            12.3085      2.397        *            
22   47   -500.696          *            *            -10.118      2.1905       *            
22   48   -512.168          *            *            11.472       1.354        *            
22   49   -499.627          *            *            -12.541      -1.069       *            
22   50   -512.956          *            *            13.329       0.788        *            
22   51   -498.344          *            *            -14.612      -1.283       *            
22   52   -513.122          *            *            14.778       0.166        *            
23   20   -342.679          -7.59        -1.194       *            *            -3.092       
23   21   -354.34125        -4.43525     2.8115       11.66225     *            -2.04875     
23   22   -371.5135         -2.8205      5.287        17.17225     28.8345      0.6595       
23   23   -381.928          1.812        11.55875     10.4145      27.58675     -2.09825     
23   24   -400.3975         3.1795       12.0905      18.4695      28.884       -5.871       
23   25   -406.47975        4.25275      16.07375     6.08225      24.55175     -7.8105      
23   26   -420.357          2.891        14.202       13.87725     19.9595      -3.75        
23   27   -425.8945         1.8635       14.88475     5.5375       19.41475     -7.1885      
23   28   -436.687          0.121        13.9125      10.7925      16.33        -2.232       
23   29   -443.687          3.627        18.33675     7.0          17.7925      -4.37725     
23   30   -455.547          5.593        20.281       11.86        18.86        -4.4725      
23   31   -455.65775        7.25475      23.87325     0.11075      11.97075     -2.0075      
23   32   -468.5235         6.1815       22.5205      12.86575     12.9765      -4.9575      
23   33   -465.8785         8.0595       26.33925     -2.645       10.22075     -5.794       
23   34   -480.0935         6.5975       24.528       14.215       11.57        -5.7905      
23   35   -475.174          8.111        27.4795      -4.9195      9.2955       -7.33475     
23   36   -490.0995         6.2595       25.866       14.9255      10.006       -6.234       
23   37   -485.14125        6.92925      27.36775     -4.95825     9.96725      -9.14675     
23   38   -499.918          6.254        27.3095      14.77675     9.8185       -7.3845      
23   39   -500.4625         6.856        28.636       0.5445       15.32125     -14.389      
23   40   -509.862          7.333        29.8075      9.3995       9.944        -8.9535      
23   41   -507.79325        8.02625      31.3675      -2.06875     7.33075      -7.66675     
23   42   -514.3695         8.5445       32.3525      6.57625      4.5075       -6.015       
23   43   -508.6595         12.2435      *            -5.71        0.86625      -3.93375     
23   44   -520.5395         12.1225      *            11.88        6.17         -10.2225     
23   45   -514.527          16.0215      *            -6.0125      5.8675       *            
23   46   -525.2545         14.4405      *            10.7275      4.715        *            
23   47   -517.50425        16.80825     *            -7.75025     2.97725      *            
23   48   -527.444          15.276       *            9.93975      2.1895       *            
23   49   -516.95875        17.33175     *            -10.48525    -0.5455      *            
23   50   -525.8835         12.9275      *            8.92475      -1.5605      *            
23   51   -514.88675        16.54275     *            -10.99675    -2.072       *            
23   52   -526.46           13.338       *            11.57325     0.5765       *            
24   20   -352.269          9.59         2.0          *            *            -8.404       
24   21   -364.576          10.23475     5.7995       12.307       *            -6.959       
24   22   -380.853          9.3395       6.519        16.277       28.584       -2.284       
24   23   -392.625          10.697       12.509       11.772       28.049       -5.5485      
24   24   -409.187          8.7895       11.969       16.562       28.334       -6.553       
24   25   -418.0625         11.58275     15.8355      8.8755       25.4375      -9.6465      
24   26   -432.298          11.941       14.832       14.2355      23.111       -6.78        
24   27   -440.568          14.6735      16.537       8.27         22.5055      -10.041      
24   28   -453.378          16.691       16.812       12.81        21.08        -7.612       
