Z    N    Binding_E_(MeV)   S_1p_(MeV)   S_2p_(MeV)   S_1n_(MeV)   S_2n_(MeV)   Q_alpha_(MeV)
10   14   -190.24           15.7735      26.937       10.8465      14.193       -8.725       
10   15   -191.155          17.79725     29.9845      0.915        11.7615      -12.801      
10   16   -202.11           18.976       31.342       10.955       11.87        -10.507      
10   17   -201.129          20.21625     33.7675      -0.981       9.974        -11.6585     
10   18   -210.738          21.4965      36.273       9.609        8.628        -11.67       
10   19   -211.223          22.73575     38.7115      0.485        10.094       -15.5615     
10   20   -217.718          23.9         41.0         6.495        6.98         -14.953      
10   21   -214.6515         *            *            -3.0665      3.4285       -13.84       
10   22   -217.955          *            *            3.3035       0.237        -12.937      
10   23   -212.1935         *            *            -5.7615      -2.458       *            
10   24   -219.212          *            *            7.0185       1.257        *            
11   8    -126.48           -7.028       -0.3915      *            *            *            
11   9    -141.00975        -2.29625     6.55975      14.52975     *            *            
11   10   -158.6895         2.3055       11.456       17.67975     32.2095      -3.518       
11   11   -168.9625         5.412        19.18275     10.273       27.95275     -6.2125      
11   12   -183.4105         7.3635       20.3395      14.448       24.721       -7.877       
11   13   -188.0975         8.704        25.30625     4.687        19.135       -10.01775    
11   14   -196.5445         6.3045       22.078       8.447        13.134       -5.1735      
11   15   -200.02575        8.87075      26.668       3.48125      11.92825     -8.9345      
11   16   -210.447          8.337        27.313       10.42125     13.9025      -7.6805      
11   17   -209.8175         8.6885       28.90475     -0.6295      9.79175      -8.15975     
11   18   -219.383          8.645        30.1415      9.5655       8.936        -7.949       
11   19   -221.0225         9.7995       32.53525     1.6395       11.205       -11.80975    
11   20   -228.657          10.939       34.839       7.6345       9.274        -11.1155     
11   21   -227.947          13.2955      *            -0.71        6.9245       -11.15975    
11   22   -233.327          15.372       *            5.38         4.67         -11.209      
11   23   -230.3935         18.2         *            -2.9335      2.4465       *            
11   24   -239.065          19.853       *            8.6715       5.738        *            
12   8    -136.052          9.572        2.544        *            *            *            
12   9    -149.8535         8.84375      6.5475       13.8015      *            *            
12   10   -166.675          7.9855       10.291       16.8215      30.623       -4.867       
12   11   -178.7795         9.817        15.229       12.1045      28.926       -7.1735      
12   12   -193.904          10.4935      17.857       15.1245      27.229       -9.22        
12   13   -203.6415         15.544       24.248       9.7375       24.862       -11.791      
12   14   -213.399          16.8545      23.159       9.7575       19.495       -9.052       
12   15   -219.5115         19.48575     28.3565      6.1125       15.87        -11.818      
12   16   -229.464          19.017       27.354       9.9525       16.065       -10.924      
12   17   -231.051          21.2335      29.922       1.587        11.5395      -11.596      
12   18   -242.438          23.055       31.7         11.387       12.974       -12.028      
12   19   -245.317          24.2945      34.094       2.879        14.266       -15.888      
12   20   -254.176          25.519       36.458       8.859        11.738       -15.138      
12   21   -253.4875         25.5405      38.836       -0.6885      8.1705       -13.9645     
12   22   -258.609          25.282       40.654       5.1215       4.433        -12.591      
12   23   -256.2085         25.815       44.015       -2.4005      2.721        -13.257      
12   24   -264.238          25.173       45.026       8.0295       5.629        -17.983      
12   25   -259.98           *            *            -4.258       3.7715       -19.4865     
12   26   -267.232          *            *            7.252        2.994        -19.72       
12   27   -261.547          *            *            -5.685       1.567        *            
12   28   -268.822          *            *            7.275        1.59         *            
13   10   -164.3255         -2.3495      5.636        *            *            -9.5455      
13   11   -177.11325        -1.66625     8.15075      12.78775     *            -7.8035      
13   12   -195.761          1.857        12.3505      18.64775     31.4355      -8.7715      
13   13   -206.60725        2.96575      18.50975     10.84625     29.494       -9.34475     
13   14   -219.5985         6.1995       23.054       12.99125     23.8375      -7.888       
13   15   -226.965          7.4535       26.93925     7.3665       20.35775     -10.5675     
13   16   -238.6865         9.2225       28.2395      11.7215      19.088       -13.842      
13   17   -240.15975        9.10875      30.34225     1.47325      13.19475     -11.834      
13   18   -250.978          8.54         31.595       10.81825     12.2915      -12.231      
13   19   -255.099          9.782        34.0765      4.121        14.93925     -16.9815     
13   20   -264.22           10.044       35.563       9.121        13.242       -16.537      
13   21   -264.82775        11.34025     36.88075     0.60775      9.72875      -15.50525    
13   22   -271.8455         13.2365      38.5185      7.01775      7.6255       -14.8885     
13   23   -269.95625        13.74775     39.56275     -1.88925     5.1285       -13.70925    
13   24   -279.352          15.114       40.287       9.39575      7.5065       -17.725      
13   25   -277.0345         17.0545      *            -2.3175      7.07825      -18.341      
13   26   -287.027          19.795       *            9.9925       7.675        -19.662      
13   27   -283.81625        22.26925     *            -3.21075     6.78175      *            
13   28   -291.1055         22.2835      *            7.28925      4.0785       *            
14   10   -170.266          5.9405       3.591        *            *            -5.914       
14   11   -181.932          4.81875      3.1525       11.666       *            -3.7785      
14   12   -202.298          6.537        8.394        20.366       32.032       -7.323       
14   13   -214.883          8.27575      11.2415      12.585       32.951       -7.8035      
14   14   -231.738          12.1395      18.339       16.855       29.44        -9.534       
14   15   -239.4285         12.4635      19.917       7.6905       24.5455      -7.487       
14   16   -251.989          13.3025      22.525       12.5605      20.251       -10.29       
14   17   -256.4285         16.26875     25.3775      4.4395       17.0         -8.617       
14   18   -269.758          18.78        27.32        13.3295      17.769       -11.994      
14   19   -275.661          20.562       30.344       5.903        19.2325      -16.31       
14   20   -285.584          21.364       31.408       9.923        15.826       -14.846      
14   21   -286.213          21.38525     32.7255      0.629        10.552       -12.596      
14   22   -293.852          22.0065      35.243       7.639        8.268        -11.376      
14   23   -291.849          21.89275     35.6405      -2.003       5.636        -10.0615     
14   24   -301.986          22.634       37.748       10.137       8.134        -15.077      
14   25   -298.674          21.6395      38.694       -3.312       6.825        -14.1655     
14   26   -308.472          21.445       41.24        9.798        6.486        -15.934      
14   27   -307.6505         23.83425     46.1035      -0.8215      8.9765       -19.3705     
14   28   -314.869          23.7635      46.047       7.2185       6.397        -19.337      
14   29   -312.364          *            *            -2.505       4.7135       -22.517      
14   30   -317.289          *            *            4.925        2.42         -20.167      
14   31   -310.0035         *            *            -7.2855      -2.3605      *            
14   32   -318.728          *            *            8.7245       1.439        *            
14   33   -309.9005         *            *            -8.8275      -0.103       *            
14   34   -319.193          *            *            9.2925       0.465        *            
15   10   -164.972          -5.294       0.6465       *            *            *            
15   11   -177.9075         -4.0245      0.79425      12.9355      *            *            
15   12   -200.168          -2.13        4.407        22.2605      35.196       -7.5425      
15   13   -214.74025        -0.14275     8.133        14.57225     36.83275     -9.327       
15   14   -233.2775         1.5395       13.679       18.53725     33.1095      -9.2165      
15   15   -242.3835         2.955        15.4185      9.106        27.64325     -7.47625     
15   16   -256.5045         4.5155       17.818       14.121       23.227       -8.606       
15   17   -260.81175        4.38325      20.652       4.30725      18.42825     -5.54675     
15   18   -275.164          5.406        24.186       14.35225     18.6595      -8.1775      
15   19   -281.28725        5.62625      26.18825     6.12325      20.4755      -12.8275     
15   20   -292.4405         6.8565       28.2205      11.15325     17.2765      -13.1625     
15   21   -294.16925        7.95625      29.3415      1.72875      12.882       -10.77025    
15   22   -302.828          8.976        30.9825      8.65875      10.3875      -10.308      
15   23   -302.3            10.451       32.34375     -0.528       8.13075      -9.17225     
15   24   -313.997          12.011       34.645       11.697       11.169       -13.8515     
15   25   -314.14325        15.46925     37.10875     0.14625      11.84325     -15.887      
15   26   -325.9545         17.4825      38.9275      11.81125     11.9575      -18.3025     
15   27   -325.08425        17.43375     41.268       -0.87025     10.941       -19.74975    
15   28   -333.434          18.565       42.3285      8.34975      7.4795       -18.107      
15   29   -329.21175        16.84775     *            -4.22225     4.1275       -17.0955     
15   30   -335.2345         17.9455      *            6.02275      1.8005       -15.829      
15   31   -328.40125        18.39775     *            -6.83325     -0.8105      *            
15   32   -337.363          18.635       *            8.96175      2.1285       *            
15   33   -329.16475        19.26425     *            -8.19825     0.7635       *            
15   34   -338.1865         18.9935      *            9.02175      0.8235       *            
16   10   -170.538          5.566        0.272        *            *            *            
16   11   -183.763          5.8555       1.831        13.225       *            *            
16   12   -206.938          6.77         4.64         23.175       36.4         -8.372       
16   13   -221.5375         6.79725      6.6545       14.5995      37.7745      -11.3055     
16   14   -239.797          6.5195       8.059        18.2595      32.859       -9.199       
16   15   -250.4335         8.05         11.005       10.6365      28.896       -7.2505      
16   16   -266.23           9.7255       14.241       15.7965      26.433       -6.192       
16   17   -272.16           11.34825     15.7315      5.93         21.7265      -4.4315      
16   18   -289.29           14.126       19.532       17.13        23.06        -9.001       
16   19   -296.5185         15.23125     20.8575      7.2285       24.3585      -11.79       
16   20   -309.787          17.3465      24.203       13.2685      20.497       -11.729      
16   21   -312.6255         18.45625     26.4125      2.8385       16.107       -8.6645      
16   22   -322.314          19.486       28.462       9.6885       12.527       -8.43        
16   23   -322.301          20.001       30.452       -0.013       9.6755       -7.788       
16   24   -334.598          20.601       32.612       12.297       12.284       -12.446      
16   25   -334.6975         20.55425     36.0235      0.0995       12.3965      -14.5485     
16   26   -345.017          19.0625      36.545       10.3195      10.419       -14.731      
16   27   -343.678          18.59375     36.0275      -1.339       8.9805       -16.704      
16   28   -352.739          19.305       37.87        9.061        7.722        -15.967      
16   29   -349.2145         20.00275     36.8505      -3.5245      5.5365       -13.264      
16   30   -358.75           23.5155      41.461       9.5355       6.011        -15.581      
16   31   -353.284          24.88275     43.2805      -5.466       4.0695       -12.62       
16   32   -363.398          26.035       44.67        10.114       4.648        -17.809      
16   33   -356.889          27.72425     46.9885      -6.509       3.605        -18.5855     
16   34   -366.7            28.5135      47.507       9.811        3.302        -19.672      
16   35   -358.836          *            *            -7.864       1.947        -20.6355     
16   36   -368.692          *            *            9.856        1.992        -21.199      
16   37   -359.669          *            *            -9.023       0.833        *            
16   38   -370.136          *            *            10.467       1.444        *            
16   39   -363.733          *            *            -6.403       4.064        *            
16   40   -370.93           *            *            7.197        0.794        *            
17   12   -201.984          -4.954       1.816        *            *            -8.712       
17   13   -216.39875        -5.13875     1.6585       14.41475     *            -10.19125    
17   14   -237.7435         -2.0535      4.466        21.34475     35.7595      -9.2755      
17   15   -248.11825        -2.31525     5.73475      10.37475     31.7195      -5.078       
17   16   -265.478          -0.752       8.9735       17.35975     27.7345      -3.9005      
17   17   -271.96825        -0.19175     11.1565      6.49025      23.85        -1.28475     
17   18   -290.3485         1.0585       15.1845      18.38025     24.8705      -5.544       
17   19   -298.4825         1.964        17.19525     8.134        26.51425     -9.37075     
17   20   -312.8165         3.0295       20.376       14.334       22.468       -9.3525      
17   21   -316.50075        3.87525      22.3315      3.68425      18.01825     -6.9135      
17   22   -327.28           4.966        24.452       10.77925     14.4635      -6.5395      
17   23   -328.03725        5.73625      25.73725     0.75725      11.5365      -5.568       
17   24   -342.9545         8.3565       28.9575      14.91725     15.6745      -11.8265     
17   25   -343.01625        8.31875      28.873       0.06175      14.979       -12.41625    
17   26   -356.483          11.466       30.5285      13.46675     13.5285      -14.186      
17   27   -356.36975        12.69175     31.2855      -0.11325     13.3535      -13.9265     
17   28   -367.5365         14.7975      34.1025      11.16675     11.0535      -13.282      
17   29   -364.361          15.1465      35.14925     -3.1755      7.99125      -10.97675    
17   30   -373.3255         14.5755      38.091       8.9645       5.789        -11.5915     
17   31   -369.108          15.824       40.70675     -4.2175      4.747        -11.59625    
17   32   -380.2005         16.8025      42.8375      11.0925      6.875        -16.666      
17   33   -374.8015         17.9125      45.63675     -5.399       5.6935       -18.10025    
17   34   -385.2325         18.5325      47.046       10.431       5.032        -19.5695     
17   35   -377.108          18.272       *            -8.1245      2.3065       -19.64325    
17   36   -386.1485         17.4565      *            9.0405       0.916        -19.662      
17   37   -376.51975        16.85075     *            -9.62875     -0.58825     *            
17   38   -386.206          16.07        *            9.68625      0.0575       *            
17   39   -380.9            17.167       *            -5.306       4.38025      *            
17   40   -388.169          17.239       *            7.269        1.963        *            
18   12   -207.01           5.026        0.072        *            *            -8.172       
18   13   -220.735          4.33625      -0.8025      13.725       *            -8.672       
18   14   -244.66           6.9165       4.863        23.925       37.65        -9.422       
18   15   -255.963          7.84475      5.5295       11.303       35.228       -6.1255      
18   16   -276.076          10.598       9.846        20.113       31.416       -7.979       
18   17   -283.7715         11.80325     11.6115      7.6955       27.8085      -5.038       
18   18   -304.047          13.6985      14.757       20.2755      27.971       -9.517       
18   19   -313.6415         15.159       17.123       9.5945       29.87        -13.1815     
18   20   -329.596          16.7795      19.809       15.9545      25.549       -12.006      
18   21   -334.086          17.58525     21.4605      4.49         20.4445      -9.2675      
18   22   -345.916          18.636       23.602       11.83        16.32        -7.829       
18   23   -345.4435         17.40625     23.1425      -0.4725      11.3575      -4.518       
18   24   -360.981          18.0265      26.383       15.5375      15.065       -10.367      
18   25   -359.595          16.57875     24.8975      -1.386       14.1515      -8.994       
18   26   -374.799          18.316       29.782       15.204       13.818       -11.901      
18   27   -374.8315         18.46175     31.1535      0.0325       15.2365      -11.834      
18   28   -387.024          19.4875      34.285       12.1925      12.225       -13.707      
18   29   -385.9375         21.5765      36.723       -1.0865      11.106       -13.9595     
18   30   -396.071          22.7455      37.321       10.1335      9.047        -15.032      
18   31   -392.267          23.159       38.983       -3.804       6.3295       -14.7525     
18   32   -403.503          23.3025      40.105       11.236       7.432        -16.453      
18   33   -398.884          24.0825      41.995       -4.619       6.617        -17.3        
18   34   -409.605          24.3725      42.905       10.721       6.102        -17.907      
18   35   -403.505          26.397       44.669       -6.1         4.621        -18.316      
18   36   -414.015          27.8665      45.323       10.51        4.41         -19.015      
18   37   -406.5355         30.01575     46.8665      -7.4795      3.0305       -19.3995     
18   38   -418.196          31.99        48.06        11.6605      4.181        -21.204      
18   39   -414.142          33.242       50.409       -4.054       7.6065       -26.173      
18   40   -421.638          33.469       50.708       7.496        3.442        -23.202      
19   14   -243.5885         -1.0715      5.845        *            *            -13.3045     
19   15   -254.90025        -1.06275     6.782        11.31175     *            -10.2015     
19   16   -276.237          0.161        10.759       21.33675     32.6485      -10.1935     
19   17   -284.7095         0.938        12.74125     8.4725       29.80925     -8.29125     
19   18   -306.352          2.305        16.0035      21.6425      30.115       -12.574      
19   19   -316.6975         3.056        18.215       10.3455      31.988       -16.42925    
19   20   -333.578          3.982        20.7615      16.8805      27.226       -14.9295     
19   21   -339.29075        5.20475      22.79        5.71275      22.59325     -12.50825    
19   22   -352.2835         6.3675       25.0035      12.99275     18.7055      -11.167      
19   23   -352.762          7.3185       24.72475     0.4785       13.47125     -7.96125     
19   24   -369.5155         8.5345       26.561       16.7535      17.232       -13.9355     
19   25   -369.15425        9.55925      26.138       -0.36125     16.39225     -12.817      
19   26   -385.703          10.904       29.22        16.54875     16.1875      -14.4485     
19   27   -387.77975        12.94825     31.41        2.07675      18.6255      -16.4635     
19   28   -400.4465         13.4225      32.91        12.66675     14.7435      -15.6635     
19   29   -400.99825        15.06075     36.63725     0.55175      13.2185      -16.3285     
19   30   -411.285          15.214       37.9595      10.28675     10.8385      -15.4485     
19   31   -407.97175        15.70475     38.86375     -3.31325     6.9735       -15.31075    
19   32   -420.7435         17.2405      40.543       12.77175     9.4585       -19.118      
19   33   -415.20575        16.32175     40.40425     -5.53775     7.234        -17.79775    
19   34   -428.468          18.863       43.2355      13.26225     7.7245       -19.9675     
19   35   -420.2145         16.7095      43.1065      -8.2535      5.00875      -17.113      
19   36   -432.661          18.646       46.5125      12.4465      4.193        -19.1285     
19   37   -424.234          17.6985      47.71425     -8.427       4.0195       -18.826      
19   38   -436.567          18.371       50.361       12.333       3.906        -22.1185     
19   39   -433.13175        18.98975     52.23175     -3.43525     8.89775      -28.312      
19   40   -441.1815         19.5435      53.0125      8.04975      4.6145       -26.6755     
20   14   -246.507          2.9185       1.847        *            *            -11.197      
20   15   -258.9075         4.00725      2.9445       12.4005      *            -9.8725      
20   16   -282.548          6.311        6.472        23.6405      36.041       -9.588       
20   17   -291.9575         7.248        8.186        9.4095       33.05        -7.6945      
20   18   -315.127          8.775        11.08        23.1695      32.579       -10.751      
20   19   -326.3885         9.691        12.747       11.2615      34.431       -14.317      
20   20   -344.36           10.782       14.764       17.9715      29.233       -12.013      
20   21   -351.3755         12.08475     17.2895      7.0155       24.987       -9.434       
20   22   -365.611          13.3275      19.695       14.2355      21.251       -7.715       
20   23   -366.7055         13.9435      21.262       1.0945       15.33        -4.3195      
20   24   -384.34           14.8245      23.359       17.6345      18.729       -10.124      
20   25   -384.4985         15.34425     24.9035      0.1585       17.793       -10.755      
20   26   -401.887          16.184       27.088       17.3885      17.547       -12.606      
20   27   -405.343          17.56325     30.5115      3.456        20.8445      -17.448      
20   28   -417.819          17.3725      30.795       12.476       15.932       -14.72       
20   29   -419.354          18.35575     33.4165      1.535        14.011       -16.2225     
20   30   -429.139          17.854       33.068       9.785        11.32        -13.815      
20   31   -425.4365         17.46475     33.1695      -3.7025      6.0825       -11.199      
20   32   -438.864          18.1205      35.361       13.4275      9.725        -14.493      
20   33   -431.9975         16.79175     33.1135      -6.8665      6.561        -11.4305     
20   34   -447.391          18.923       37.786       15.3935      8.527        -15.588      
20   35   -438.849          18.6345      35.344       -8.542       6.8515       -11.665      
20   36   -455.097          22.436       41.082       16.248       7.706        -17.192      
20   37   -447.4575         23.2235      40.922       -7.6395      8.6085       -15.6525     
20   38   -462.198          25.631       44.002       14.7405      7.101        -19.883      
20   39   -459.3965         26.26475     45.2545      -2.8015      11.939       -24.561      
20   40   -468.015          26.8335      46.377       8.6185       5.817        -21.519      
20   41   -463.042          *            *            -4.973       3.6455       -20.6        
20   42   -470.039          *            *            6.997        2.024        -20.101      
20   43   -458.023          *            *            -12.016      -5.019       *            
20   44   -470.997          *            *            12.974       0.958        *            
20   45   -455.5785         *            *            -15.4185     -2.4445      *            
20   46   -471.66           *            *            16.0815      0.663        *            
20   47   -454.0465         *            *            -17.6135     -1.532       *            
20   48   -471.683          *            *            17.6365      0.023        *            
21   18   -311.985          -3.142       5.633        *            *            -7.448       
21   19   -324.37925        -2.00925     7.68175      12.39425     *            -11.36975    
21   20   -343.5735         -0.7865      9.9955       19.19425     31.5885      -8.9215      
21   21   -351.53325        0.15775      12.2425      7.95975      27.154       -6.53575     
21   22   -366.653          1.042        14.3695      15.11975     23.0795      -4.775       
21   23   -370.33           3.6245       17.568       3.677        18.79675     -2.73925     
21   24   -388.597          4.257        19.0815      18.267       21.944       -8.0135      
21   25   -390.78325        6.28475      21.629       2.18625      20.45325     -9.72125     
21   26   -407.4345         5.5475       21.7315      16.65125     18.8375      -9.619       
21   27   -412.2465         6.9035       24.46675     4.812        21.46325     -14.79225    
21   28   -424.6535         6.8345       24.207       12.407       17.219       -10.6505     
21   29   -427.0545         7.7005       26.05625     2.401        14.808       -10.97475    
21   30   -437.1855         8.0465       25.9005      10.131       12.532       -8.439       
21   31   -434.3015         8.865        26.32975     -2.884       7.247        -5.00325     
21   32   -448.5625         9.6985       27.819       14.261       11.377       -8.9775      
21   33   -442.33025        10.33275     27.1245      -6.23225     8.02875      -6.0585      
21   34   -458.263          10.872       29.795       15.93275     9.7005       -9.2195      
21   35   -450.22325        11.37425     30.00875     -8.03975     7.893        -6.7175      
21   36   -467.0485         11.9515      34.3875      16.82525     8.7855       -10.2805     
21   37   -459.927          12.4695      35.693       -7.1215      9.70375      -11.4125     
21   38   -475.3805         13.1825      38.8135      15.4535      8.332        -14.4195     
21   39   -473.1785         13.782       40.04675     -2.202       13.2515      -20.6445     
21   40   -482.5065         14.4915      41.325       9.328        7.126        -17.6395     
21   41   -478.273          15.231       *            -4.2335      5.0945       -16.84125    
21   42   -485.7495         15.7105      *            7.4765       3.243        -16.268      
21   43   -474.926          16.903       *            -10.8235     -3.347       *            
21   44   -487.9625         16.9655      *            13.0365      2.213        *            
21   45   -475.27275        19.69425     *            -12.68975    0.34675      *            
21   46   -490.413          18.753       *            15.14025     2.4505       *            
21   47   -475.75275        21.70625     *            -14.66025    0.48         *            
21   48   -490.8475         19.1645      *            15.09475     0.4345       *            
22   18   -316.573          4.588        1.446        *            *            -5.725       
22   19   -330.005          5.62575      3.6165       13.432       *            -9.7475      
22   20   -350.327          6.7535       5.967        20.322       33.754       -6.9         
22   21   -359.151          7.61775      7.7755       8.824        29.146       -4.4625      
22   22   -375.075          8.422        9.464        15.924       24.748       -2.415       
22   23   -380.2645         9.9345       13.559       5.1895       21.1135      -0.589       
22   24   -398.094          9.497        13.754       17.8295      23.019       -4.183       
22   25   -402.708          11.92475     18.2095      4.614        22.4435      -7.7025      
22   26   -419.022          11.5875      17.135       16.314       20.928       -6.382       
22   27   -425.68           13.4335      20.337       6.658        22.972       -12.8815     
22   28   -438.508          13.8545      20.689       12.828       19.486       -8.321       
22   29   -441.8            14.7455      22.446       3.292        16.12        -8.157       
22   30   -452.302          15.1165      23.163       10.502       13.794       -6.183       
22   31   -449.9265         15.625       24.49        -2.3755      8.1265       -2.2725      
22   32   -464.711          16.1485      25.847       14.7845      12.409       -7.272       
22   33   -459.283          16.95275     27.2855      -5.428       9.3565       -5.5465      
22   34   -475.925          17.662       28.534       16.642       11.214       -8.761       
22   35   -468.6325         18.40925     29.7835      -7.2925      9.3495       -8.335       
22   36   -486.28           19.2315      31.183       17.6475      10.355       -10.589      
22   37   -479.7115         19.7845      32.254       -6.5685      11.079       -12.5625     
22   38   -495.913          20.5325      33.715       16.2015      9.633        -12.516      
22   39   -494.3455         21.167       34.949       -1.5675      14.634       -18.588      
22   40   -504.418          21.9115      36.403       10.0725      8.505        -13.92       
22   41   -500.939          22.666       37.897       -3.479       6.5935       -13.2425     
22   42   -508.91           23.1605      38.871       7.971        4.492        -12.595      
22   43   -499.304          24.378       41.281       -9.606       -1.635       -7.962       
22   44   -512.428          24.4655      41.431       13.124       3.518        -14.089      
22   45   -501.847          26.57425     46.2685      -10.581      2.543        -15.524      
22   46   -515.426          25.013       43.766       13.579       2.998        -16.129      
22   47   -504.384          28.63125     50.3375      -11.042      2.537        -20.5055     
22   48   -517.602          26.7545      45.919       13.218       2.176        -17.642      
22   49   -505.602          *            *            -12.0        1.218        -23.2555     
22   50   -519.072          *            *            13.47        1.47         -19.089      
22   51   -505.9705         *            *            -13.1015     0.3685       *            
22   52   -519.599          *            *            13.6285      0.527        *            
23   20   -343.168          -7.159       -0.4055      *            *            -2.883       
23   21   -354.478          -4.673       2.94475      11.31        *            -1.79875     
23   22   -371.803          -3.272       5.15         17.325       28.635       0.0705       
23   23   -381.337          1.0725       11.007       9.534        26.859       -1.50375     
23   24   -400.551          2.457        11.954       19.214       28.748       -5.598       
23   25   -406.89425        4.18625      16.111       6.34325      25.55725     -8.26425     
23   26   -421.7425         2.7205       14.308       14.84825     21.1915      -4.8455      
23   27   -428.07625        2.39625      15.82975     6.33375      21.182       -8.993       
23   28   -439.255          0.747        14.6015      11.17875     17.5125      -3.5205      
23   29   -445.269          3.469        18.2145      6.014        17.19275     -4.7225      
