Z    N    AME2003(MeV)      AME2016(MeV)      JFYLTRAP2017(MeV)      err2003(MeV)      err2016(MeV)      errJYFLTRAP2017(MeV)   SKM*(MeV)         SKP(MeV)          SLY4(MeV)         SVMIN(MeV)        UNEDF0(MeV)       UNEDF1(MeV)       DDME2(MeV)        DDMEd(MeV)        DDPC1(MeV)        NL3*(MeV)         
24   40   *                 8.72743           *                 *                 0.46394           *                 10.243775         8.93886           9.456455          9.413476          9.136196          8.726265          10.739            11.293            10.992            10.356            
24   42   *                 *                 *                 *                 *                 *                 9.323876          7.408089          6.897083          7.421999          7.227467          6.943762          5.983             6.009             7.115             7.376             
24   44   *                 *                 *                 *                 *                 *                 8.321471          7.297451          6.140355          6.9532            6.654398          6.784755          6.265             5.948             6.54              6.393             
24   46   *                 *                 *                 *                 *                 *                 7.331255          5.852959          6.338829          6.16319           6.021953          5.257426          5.078             5.053             5.841             5.796             
24   48   *                 *                 *                 *                 *                 *                 6.367481          4.556073          3.999733          4.546449          4.581884          4.022785          3.636             3.415             4.088             4.566             
24   50   *                 *                 *                 *                 *                 *                 5.394491          3.390617          3.156876          3.286934          3.369486          2.863352          2.39              2.581             3.196             3.568             
24   52   *                 *                 *                 *                 *                 *                 3.782258          2.415099          0.900551          2.32077           2.455602          1.982794          1.553             1.127             1.609             2.824             
24   54   *                 *                 *                 *                 *                 *                 2.649631          1.537759          0.317989          1.53261           1.879737          1.585655          1.059             0.619             1.063             2.309             
24   56   *                 *                 *                 *                 *                 *                 2.014281          1.223269          *                 1.409444          1.685597          1.509095          0.828             0.127             0.384             1.949             
24   58   *                 *                 *                 *                 *                 *                 1.493341          0.398358          *                 0.844256          1.391515          1.407985          0.493             *                 *                 1.704             
24   60   *                 *                 *                 *                 *                 *                 0.136288          *                 *                 *                 0.776336          0.486677          *                 *                 *                 1.354             
24   62   *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 0.857             
24   64   *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 0.344             
26   20   *                 *                 *                 *                 *                 *                 37.547943         38.437545         39.545739         38.76461          38.250175         40.159084         *                 *                 *                 *                 
26   22   *                 *                 *                 *                 *                 *                 31.528394         31.696035         32.032362         32.511664         32.630393         33.094273         *                 *                 31.974            32.007            
26   24   *                 *                 *                 *                 *                 *                 31.186841         30.614429         31.272281         31.121961         31.024202         31.746588         32.019            31.281            31.36             31.329            
26   26   29.99871          29.99654          *                 0.06035           0.00982           *                 28.279507         27.312143         27.802945         27.756769         28.05611          28.047911         28.86             27.518            28.017            28.482            
26   28   24.06348          24.06677          *                 0.00651           0.0051            *                 25.530058         24.435782         24.612857         24.688151         25.343636         24.754727         24.758            24.721            25.048            25.651            
26   30   20.49553          20.49522          *                 0.00031           0.00028           *                 20.73691          21.778563         20.696174         21.063374         21.442171         20.522026         19.821            20.643            20.181            19.043            
26   32   17.6907           17.69066          *                 0.00019           0.00018           *                 18.343484         18.974687         17.745013         17.876552         18.087837         17.751692         18.018            18.624            18.378            17.967            
26   34   15.40105          15.40054          *                 0.00339           0.00339           *                 14.954666         16.035593         15.486218         15.735095         15.074685         15.339831         16.3              16.944            16.42             16.183            
26   36   13.63155          13.60767          *                 0.01488           0.00441           *                 13.721669         14.278341         13.718765         13.940199         13.859839         13.378861         14.092            14.086            14.516            14.823            
26   38   12.01255          12.23413          *                 0.27694           0.00574           *                 13.001789         13.052738         13.253692         13.334815         13.004553         12.472688         13.919            14.489            14.418            14.247            
26   40   10.94548          11.24093          *                 0.40997           0.00648           *                 12.638594         11.550371         12.135882         11.95675          11.689466         11.420073         13.223            13.58             13.409            12.674            
26   42   9.69729           9.56171           *                 0.76136           0.36528           *                 11.646282         9.896805          9.466439          9.988709          9.785323          9.183511          8.737             8.72              9.732             9.855             
26   44   *                 *                 *                 *                 *                 *                 10.676315         8.784936          8.193912          8.60061           8.455528          8.809968          8.23              8.092             8.659             8.453             
26   46   *                 *                 *                 *                 *                 *                 9.812595          8.537521          8.655524          8.70665           8.416627          7.697635          7.585             7.638             8.228             7.812             
26   48   *                 *                 *                 *                 *                 *                 8.677566          6.797982          6.444713          6.762283          6.669196          6.115431          5.804             5.833             6.536             6.407             
26   50   *                 *                 *                 *                 *                 *                 7.992257          5.533643          6.00983           5.430593          5.341307          4.768269          4.674             5.692             6.144             5.248             
26   52   *                 *                 *                 *                 *                 *                 4.725026          4.35617           2.31089           4.072224          4.292055          3.751377          3.153             1.904             2.443             4.282             
26   54   *                 *                 *                 *                 *                 *                 4.04253           3.238757          1.619412          2.985635          3.448646          3.011588          2.479             1.868             2.18              3.57              
26   56   *                 *                 *                 *                 *                 *                 3.29023           2.663856          0.942842          2.661207          2.962483          2.69331           1.987             1.55              1.693             3.05              
26   58   *                 *                 *                 *                 *                 *                 2.461471          1.613134          0.160845          1.84749           2.377044          2.217603          1.452             0.846             1.03              2.684             
26   60   *                 *                 *                 *                 *                 *                 0.976694          0.357693          *                 0.819507          1.65293           1.230997          0.831             0.321             0.516             2.284             
26   62   *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 0.495417          *                 0.134             *                 0.137             1.807             
26   64   *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 1.322             
26   66   *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 0.821             
26   68   *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 0.275             
28   20   *                 *                 *                 *                 *                 *                 40.903219         *                 *                 *                 *                 *                 *                 *                 *                 *                 
28   22   *                 *                 *                 *                 *                 *                 34.499628         34.725843         35.397588         35.693532         35.734092         36.105886         *                 *                 *                 *                 
28   24   *                 *                 *                 *                 *                 *                 32.897574         33.016164         33.187969         33.415598         33.743696         34.369688         33.73             33.281            33.373            33.908            
28   26   *                 *                 *                 *                 *                 *                 31.516667         30.395913         31.218705         31.110005         31.396461         31.534114         32.434            31.235            31.602            32.306            
28   28   30.83553          30.77187          *                 0.05121           0.00468           *                 29.653899         27.870158         28.859675         28.525394         28.977065         28.957328         30.163            28.896            28.82             30.596            
28   30   22.46665          22.46384          *                 0.01107           0.00035           *                 23.142259         24.75662          23.06257          23.881165         24.260025         23.395881         21.619            22.603            22.431            21.033            
28   32   20.38702          20.38701          *                 7e-05             7e-05             *                 20.684578         21.578131         20.449662         20.489864         20.785797         20.23024          20.309            21.381            20.502            19.969            
28   34   18.41665          18.41584          *                 0.00029           0.00031           *                 17.253659         18.69412          18.240995         18.367523         17.765746         18.219357         19.131            19.611            19.278            18.94             
28   36   16.49582          16.49523          *                 0.0002            0.00021           *                 15.99954          16.975814         16.79614          16.836397         16.50252          16.521739         17.671            17.811            18.167            17.864            
28   38   15.04964          15.05             *                 0.00152           0.00148           *                 15.431537         15.732489         15.982064         15.836855         15.580882         15.161892         17.263            17.38             17.662            16.64             
28   40   13.60016          13.60016          *                 0.00329           0.00329           *                 14.595345         14.185676         14.827037         14.496395         14.282331         14.057067         15.067            15.702            15.754            14.938            
28   42   11.82869          11.89268          *                 0.34581           0.00367           *                 13.647431         12.353251         12.043096         12.504716         12.397173         11.811816         11.586            11.379            12.32             12.384            
28   44   10.93308          11.15483          *                 0.55682           0.0031            *                 12.858989         11.028795         10.62036          11.081325         10.987525         10.423598         10.421            10.338            11.046            10.873            
28   46   *                 *                 *                 *                 *                 *                 12.285226         10.202993         10.126206         10.256355         10.014606         9.799867          9.625             9.613             10.206            9.796             
28   48   *                 *                 *                 *                 *                 *                 11.89428          9.331749          9.791748          9.610091          9.140084          8.755725          9.218             8.96              9.444             8.755             
28   50   *                 *                 *                 *                 *                 *                 10.419476         7.862471          8.322579          7.915616          7.628067          7.414297          7.782             8.255             8.596             7.395             
28   52   *                 *                 *                 *                 *                 *                 5.970977          6.249365          3.812727          5.511415          6.016353          5.186217          4.26              2.992             3.525             5.3               
28   54   *                 *                 *                 *                 *                 *                 5.186149          4.990733          2.992519          4.315001          4.89066           4.302423          3.411             3.028             3.002             4.553             
28   56   *                 *                 *                 *                 *                 *                 4.785773          4.119388          2.375075          3.859194          4.29705           3.935298          2.945             3.195             2.553             4.074             
28   58   *                 *                 *                 *                 *                 *                 3.420172          2.898305          1.231303          2.886944          3.447516          3.112525          2.439             2.238             2.244             3.633             
28   60   *                 *                 *                 *                 *                 *                 1.912268          1.572586          0.226829          1.773887          2.575794          2.002518          1.873             1.658             1.831             3.206             
28   62   *                 *                 *                 *                 *                 *                 0.961601          0.531241          *                 0.832372          1.540574          0.815824          1.299             1.257             1.53              2.779             
28   64   *                 *                 *                 *                 *                 *                 0.330989          *                 *                 0.197982          0.591457          *                 0.782             0.843             1.342             2.346             
28   66   *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 0.313             0.589             1.095             1.884             
28   68   *                 *                 *                 *                 *                 *                 0.626311          *                 *                 *                 *                 *                 *                 0.623             0.729             1.328             
28   70   *                 *                 *                 *                 *                 *                 0.582989          *                 *                 *                 *                 *                 *                 *                 *                 0.586             
28   72   *                 *                 *                 *                 *                 *                 0.093529          *                 *                 *                 *                 *                 *                 *                 *                 *                 
30   24   *                 *                 *                 *                 *                 *                 *                 34.965098         *                 *                 36.030349         *                 *                 *                 *                 *                 
30   26   *                 *                 *                 *                 *                 *                 33.827294         33.33244          33.975423         33.818086         34.203595         34.36287          *                 *                 *                 *                 
30   28   *                 *                 *                 *                 *                 *                 31.9236           30.761191         30.976701         31.222456         31.684825         31.558191         31.731            30.504            30.87             32.292            
30   30   28.03271          28.01823          *                 0.0511            0.05              *                 25.738361         27.314335         25.617428         26.782697         27.216601         26.57235          27.254            28.161            26.987            25.942            
30   32   23.1263           23.13627          *                 0.01455           0.00069           *                 23.247889         24.008044         23.317087         23.249123         23.644792         23.3187           22.997            23.98             23.641            23.099            
30   34   20.9748           20.97868          *                 0.01              0.00079           *                 19.535095         21.093022         21.04422          20.952152         20.204327         21.063227         21.533            22.403            22.023            21.318            
30   36   19.03847          19.03778          *                 0.001             0.00092           *                 18.566891         19.389143         19.293326         19.358104         18.855008         19.155262         19.602            19.797            19.819            19.806            
30   38   17.25043          17.25057          *                 0.00029           0.0003            *                 17.291562         18.178655         17.763369         18.040082         17.883705         17.381536         18.579            18.846            18.689            18.485            
30   40   15.70006          15.70028          *                 0.00213           0.00204           *                 16.718687         16.490253         17.175826         16.809019         16.520427         16.479665         17.786            17.773            17.945            17.381            
30   42   14.70937          14.72339          *                 0.00639           0.00288           *                 15.946997         14.593625         14.312456         14.715502         14.587136         14.103724         14.157            14.194            14.832            14.9              
30   44   13.72014          13.75386          *                 0.04753           0.0033            *                 15.235319         13.190619         13.530657         13.236582         13.110497         13.324261         14.095            13.767            14.17             13.814            
30   46   12.57039          12.68894          *                 0.09288           0.00291           *                 14.294669         12.731401         13.178759         12.970342         12.15261          12.550259         12.822            12.706            13.163            12.658            
30   48   11.34856          11.32285          *                 0.12046           0.00243           *                 12.87105          11.240361         11.130781         11.273798         11.174796         10.536742         10.461            10.68             11.18             10.785            
30   50   10.64483          10.30801          *                 0.19418           0.00323           *                 12.270501         9.711028          9.822322          9.907529          9.704284          8.947607          10.216            10.47             10.709            9.836             
30   52   *                 6.80798           *                 *                 0.00402           *                 8.037509          8.162868          6.478919          7.485282          7.895174          7.20813           5.323             4.965             5.562             6.478             
30   54   *                 *                 *                 *                 *                 *                 6.959592          6.70298           5.19428           6.080414          6.649987          5.816952          5.372             5.609             5.707             6.247             
30   56   *                 *                 *                 *                 *                 *                 6.164429          5.688696          3.870124          5.203059          5.969946          4.836515          4.585             4.863             4.851             5.516             
30   58   *                 *                 *                 *                 *                 *                 4.843705          4.449208          2.672543          4.228929          4.761288          4.307773          3.83              3.745             3.882             4.979             
30   60   *                 *                 *                 *                 *                 *                 3.034981          2.951639          1.847694          2.923179          3.506672          2.900398          3.421             3.168             3.554             4.462             
30   62   *                 *                 *                 *                 *                 *                 2.451182          1.992412          1.559269          2.206607          2.59279           1.890427          2.715             2.698             2.896             3.874             
30   64   *                 *                 *                 *                 *                 *                 3.03501           1.30088           0.938904          1.858321          1.955945          1.434255          2.13              2.138             2.336             3.397             
30   66   *                 *                 *                 *                 *                 *                 2.888451          0.838085          0.336126          1.19115           1.50311           0.868154          1.677             1.608             1.746             3.109             
30   68   *                 *                 *                 *                 *                 *                 2.307063          0.691087          0.286033          1.043553          1.126868          0.845242          1.509             1.731             1.584             2.709             
30   70   *                 *                 *                 *                 *                 *                 1.673013          0.465807          *                 0.544234          0.502123          0.762248          0.835             1.331             1.536             1.867             
30   72   *                 *                 *                 *                 *                 *                 1.248034          *                 *                 0.623055          *                 0.339869          *                 *                 0.231             0.852             
30   74   *                 *                 *                 *                 *                 *                 1.002468          *                 *                 0.044401          *                 0.008487          *                 *                 *                 0.237             
30   76   *                 *                 *                 *                 *                 *                 0.688577          *                 *                 *                 *                 *                 *                 *                 *                 0.372             
30   78   *                 *                 *                 *                 *                 *                 0.159337          *                 *                 *                 *                 *                 *                 *                 *                 0.11              
32   28   *                 *                 *                 *                 *                 *                 34.075535         33.196321         33.482166         33.463478         34.130151         33.779742         *                 *                 *                 *                 
32   30   *                 *                 *                 *                 *                 *                 28.256963         29.724725         28.521544         29.436144         29.947308         29.620429         29.96             30.607            29.625            28.973            
32   32   *                 *                 *                 *                 *                 *                 25.743508         26.406851         25.959525         25.901224         26.375131         26.478626         26.799            27.688            27.019            26.607            
32   34   23.41718          23.43417          *                 0.04374           0.00443           *                 21.775677         23.529895         24.116745         23.91497          22.611068         24.250305         25.24             25.757            25.306            24.696            
32   36   21.49799          21.51439          *                 0.03079           0.00305           *                 20.624139         21.806813         21.453364         21.79386          21.220015         21.528145         21.715            21.964            22.057            22.011            
32   38   19.72596          19.72572          *                 0.00614           0.00206           *                 19.736855         20.560864         19.928041         20.012036         20.21091          19.819037         20.439            20.8              20.651            20.457            
32   40   18.16543          18.16666          *                 0.00184           0.00084           *                 18.962762         18.914685         18.998181         19.174578         18.77236          18.44412          19.536            19.538            19.529            19.209            
32   42   16.97916          16.97918          *                 8e-05             7e-05             *                 18.145121         16.854094         16.659264         17.038947         16.852222         16.561497         16.735            16.819            17.297            17.327            
32   44   15.93324          15.93308          *                 0.00048           2e-05             *                 17.233835         15.777207         16.593515         16.123096         15.349226         16.344947         16.684            16.379            16.856            16.485            
32   46   14.7918           14.79179          *                 0.00354           0.00354           *                 16.428994         15.038842         15.564677         15.353387         14.808244         14.962984         15.418            15.278            15.666            15.144            
32   48   13.79559          13.81589          *                 0.02851           0.00409           *                 15.042229         13.305573         13.340482         13.404567         13.244158         12.826825         13.435            13.367            13.694            13.242            
32   50   12.25147          12.0224           *                 0.24576           0.00303           *                 13.364343         11.648782         11.270165         11.565128         11.603528         10.823475         11.864            12.535            12.267            12.135            
32   52   *                 8.876             *                 *                 0.00388           *                 10.405795         10.105936         8.869504          9.570175          9.813394          9.115141          7.262             6.818             7.737             7.846             
32   54   *                 7.39413           *                 *                 0.43781           *                 8.698014          8.517796          7.340684          7.955576          8.281709          7.602002          7.314             7.579             7.758             7.949             
32   56   *                 *                 *                 *                 *                 *                 7.05044           7.059345          6.039078          6.589967          7.469211          6.177301          6.552             6.855             6.922             7.157             
32   58   *                 *                 *                 *                 *                 *                 6.283667          5.815885          4.391908          5.512448          6.14634           5.20593           5.774             5.605             5.811             6.585             
32   60   *                 *                 *                 *                 *                 *                 4.743279          4.78406           3.952204          4.932727          4.615154          4.544225          4.948             4.922             5.247             5.85              
32   62   *                 *                 *                 *                 *                 *                 4.879407          4.031585          3.303424          4.171445          3.85476           3.812234          4.149             4.278             4.523             5.134             
32   64   *                 *                 *                 *                 *                 *                 4.526541          3.280416          2.840951          3.452813          3.421969          3.068708          3.452             3.686             3.944             4.497             
32   66   *                 *                 *                 *                 *                 *                 4.436657          2.582007          2.255226          2.787799          3.083314          2.430119          2.775             2.907             3.261             3.977             
32   68   *                 *                 *                 *                 *                 *                 3.844678          2.16179           1.434504          2.17733           2.677996          2.065952          2.613             2.448             2.507             3.878             
32   70   *                 *                 *                 *                 *                 *                 3.148352          1.884147          0.961312          2.176535          2.037379          2.053038          2.479             2.7               2.093             3.231             
32   72   *                 *                 *                 *                 *                 *                 2.704639          1.378871          0.872104          1.903044          1.199731          1.66774           0.678             0.908             1.891             2.133             
32   74   *                 *                 *                 *                 *                 *                 2.420643          0.857732          0.516998          1.412767          1.556537          1.254691          0.299             0.246             1.368             1.444             
32   76   *                 *                 *                 *                 *                 *                 2.036925          0.292731          0.164392          0.830287          0.911964          0.789719          0.297             0.239             1.081             1.324             
32   78   *                 *                 *                 *                 *                 *                 1.475334          *                 *                 0.24723           0.382741          0.155019          *                 *                 0.325             0.966             
32   80   *                 *                 *                 *                 *                 *                 0.931321          *                 *                 *                 *                 *                 *                 *                 *                 0.586             
32   82   *                 *                 *                 *                 *                 *                 0.484496          *                 *                 *                 *                 *                 *                 *                 *                 0.23              
34   30   *                 *                 *                 *                 *                 *                 *                 32.022465         31.201182         31.916973         32.267083         32.239881         *                 *                 *                 *                 
34   32   *                 *                 *                 *                 *                 *                 27.921661         28.753548         28.995549         28.812494         28.721173         29.528806         30.453            30.98             30.265            29.907            
34   34   *                 *                 *                 *                 *                 *                 25.281568         26.435088         27.045112         26.707411         25.282373         27.305323         28.551            28.816            28.135            27.784            
34   36   23.97404          23.88308          *                 0.06968           0.00166           *                 23.678923         24.545138         23.764332         24.175389         23.903682         24.023867         24.027            24.235            24.403            24.346            
34   38   21.99083          22.08092          *                 0.06275           0.00252           *                 22.5029           22.672044         22.230768         22.424734         22.490429         22.310553         22.424            22.907            22.797            22.672            
34   40   20.46096          20.48766          *                 0.01194           0.00196           *                 21.017059         21.415395         20.846986         21.127096         21.222676         20.787908         21.557            21.708            21.546            21.296            
34   42   19.18195          19.18138          *                 0.0003            2e-05             *                 19.622341         19.200908         18.979381         19.408277         19.244192         18.91761          19.177            19.287            19.693            19.681            
34   44   17.91667          17.91663          *                 0.00017           0.00018           *                 18.979337         17.949658         18.731535         18.441372         17.781608         18.438084         18.639            18.342            18.804            18.497            
34   46   16.87648          16.87615          *                 0.00162           0.00097           *                 18.637776         17.163361         17.856239         17.531241         17.284808         17.282485         17.723            17.469            17.888            17.383            
34   48   15.97671          15.97706          *                 0.00115           0.00094           *                 17.233095         15.498478         15.759994         15.677488         15.438493         15.227028         16.033            15.833            16.133            15.638            
34   50   14.50045          14.49647          *                 0.01442           0.00202           *                 15.351818         13.767889         13.528201         13.766895         13.721094         13.164597         14.502            14.959            14.796            14.841            
34   52   10.73138          10.69808          *                 0.02129           0.00319           *                 12.039131         12.047683         10.481739         11.330281         11.611568         10.856515         8.62              8.603             9.081             9.063             
34   54   9.4802            9.52366           *                 0.05176           0.00419           *                 10.426904         10.349998         9.247482          9.653018          9.961516          9.286501          8.959             9.137             9.441             9.42              
34   56   *                 8.05866           *                 *                 0.32977           *                 8.664054          8.863677          8.074221          8.31253           8.779357          7.863276          8.776             8.844             8.908             9.094             
34   58   *                 *                 *                 *                 *                 *                 7.695651          7.606193          6.76745           7.47503           7.470624          7.09513           7.914             7.97              8.147             8.264             
34   60   *                 *                 *                 *                 *                 *                 7.421135          6.670899          6.048988          6.714119          6.025056          6.273425          6.52              6.669             6.993             7.307             
34   62   *                 *                 *                 *                 *                 *                 6.792764          5.846443          5.001795          5.855353          5.707309          5.435272          5.679             5.903             6.166             6.522             
34   64   *                 *                 *                 *                 *                 *                 6.105775          5.042067          4.548118          5.16085           5.093703          4.709029          5.02              5.332             5.55              5.832             
34   66   *                 *                 *                 *                 *                 *                 5.540976          4.260263          4.019263          4.450728          4.402843          3.969231          4.267             4.567             4.85              5.182             
34   68   *                 *                 *                 *                 *                 *                 5.128151          3.540855          3.152678          3.677273          4.093904          3.282173          3.592             3.515             3.964             4.974             
34   70   *                 *                 *                 *                 *                 *                 4.690884          2.929171          2.143513          3.052283          3.685833          2.76117           4.024             3.826             3.266             4.597             
34   72   *                 *                 *                 *                 *                 *                 4.127231          2.708313          1.947671          2.97296           2.785267          3.012445          2.318             2.597             3.048             3.519             
34   74   *                 *                 *                 *                 *                 *                 3.746546          2.364567          1.616643          2.746441          2.801986          2.568587          1.569             1.837             2.806             2.686             
34   76   *                 *                 *                 *                 *                 *                 3.352203          1.760973          1.547646          2.286763          2.240643          2.025451          1.426             1.56              2.447             2.189             
34   78   *                 *                 *                 *                 *                 *                 2.809989          1.126386          1.444748          1.658709          1.630623          1.357952          0.901             1.049             1.842             1.809             
34   80   *                 *                 *                 *                 *                 *                 2.281442          0.504631          0.37575           0.939766          1.049384          0.747497          *                 0.52              1.344             1.397             
34   82   *                 *                 *                 *                 *                 *                 2.018627          *                 *                 0.24              0.496381          0.328605          *                 0.097             0.856             1.011             
34   84   *                 *                 *                 *                 *                 *                 0.610933          *                 *                 *                 *                 *                 *                 *                 *                 0.65              
34   86   *                 *                 *                 *                 *                 *                 0.185527          *                 *                 *                 *                 *                 *                 *                 *                 0.323             
34   88   *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 0.117             
