Z    N    Binding_E_(MeV)   S_1p_(MeV)   S_2p_(MeV)   S_1n_(MeV)   S_2n_(MeV)   Q_alpha_(MeV)
14   23   -288.062          20.84675     36.4135      -2.745       4.8585       -10.043      
14   24   -298.037          22.1545      38.459       9.975        7.23         -15.058      
14   25   -294.602          21.825       40.36        -3.435       6.54         -14.6535     
14   26   -304.067          21.4005      42.071       9.465        6.03         -16.189      
14   27   -303.09           24.93725     49.1545      -0.977       8.488        -20.548      
14   28   -310.113          23.919       47.128       7.023        6.046        -19.817      
14   29   -307.3015         *            *            -2.8115      4.2115       -25.066      
14   30   -312.05           *            *            4.7485       1.937        -20.765      
14   31   -304.2225         *            *            -7.8275      -3.079       *            
14   32   -313.345          *            *            9.1225       1.295        *            
14   33   -305.9815         *            *            -7.3635      1.759        *            
14   34   -314.388          *            *            8.4065       1.043        *            
15   12   -201.137          0.281        4.272        *            *            -9.8055      
15   13   -214.983          1.7195       8.51125      13.846       *            -9.39475     
15   14   -232.289          1.298        13.5505      17.306       31.152       -7.124       
15   15   -243.84325        5.52225      17.17125     11.55425     28.86025     -9.0715      
15   16   -257.6575         7.4865       19.527       13.81425     25.3685      -10.619      
15   17   -264.02375        8.66825      23.52575     6.36625      20.1805      -9.05175     
15   18   -275.01           7.08         24.6345      10.98625     17.3525      -8.5795      
15   19   -282.16575        7.96075      27.47575     7.15575      18.142       -13.36775    
15   20   -291.6815         8.3315       28.692       9.51575      16.6715      -13.006      
15   21   -293.3575         10.154       30.02125     1.676        11.19175     -10.3675     
15   22   -301.9435         11.1365      31.5555      8.586        10.262       -10.654      
15   23   -301.14325        13.08125     33.928       -0.80025     7.78575      -9.507       
15   24   -312.013          13.976       36.1305      10.86975     10.0695      -13.325      
15   25   -311.9535         17.3515      39.1765      -0.0595      10.81025     -16.43825    
15   26   -322.694          18.627       40.0275      10.7405      10.681       -18.5115     
15   27   -321.70275        18.61275     43.55        -0.99125     9.74925      -20.62575    
15   28   -329.3015         19.1885      43.1075      7.59875      6.6075       -18.335      
15   29   -324.81675        17.51525     *            -4.48475     3.114        -18.364      
15   30   -330.402          18.352       *            5.58525      1.1005       -15.908      
15   31   -323.57625        19.35375     *            -6.82575     -1.2405      *            
15   32   -333.1005         19.7555      *            9.52425      2.6985       *            
15   33   -325.09025        19.10875     *            -8.01025     1.514        *            
15   34   -332.96           18.572       *            7.86975      -0.1405      *            
16   12   -205.158          4.021        4.302        *            *            -8.677       
16   13   -220.8975         5.9145       7.634        15.7395      *            -12.599      
16   14   -238.237          5.948        7.246        17.3395      33.079       -9.081       
16   15   -251.6955         7.85225      13.3745      13.4585      30.798       -10.132      
16   16   -265.154          7.4965       14.983       13.4585      26.917       -5.863       
16   17   -275.322          11.29825     19.9665      10.168       23.6265      -8.701       
16   18   -287.34           12.33        19.41        12.018       22.186       -8.869       
16   19   -296.3415         14.17575     22.1365      9.0015       21.0195      -12.686      
16   20   -307.193          15.5115      23.843       10.8515      19.853       -10.963      
16   21   -310.2115         16.854       27.008       3.0185       13.87        -7.7065      
16   22   -319.3            17.3565      28.493       9.0885       12.107       -7.65        
16   23   -320.0995         18.95625     32.0375      0.7995       9.888        -8.596       
16   24   -331.519          19.506       33.482       11.4195      12.219       -12.412      
16   25   -332.07           20.1165      37.468       0.551        11.9705      -15.708      
16   26   -341.321          18.627       37.254       9.251        9.802        -14.984      
16   27   -340.3155         18.61275     37.2255      -1.0055      8.2455       -17.4135     
16   28   -348.49           19.1885      38.377       8.1745       7.169        -16.123      
16   29   -344.887          20.07025     37.5855      -3.603       4.5715       -13.497      
16   30   -353.864          23.462       41.814       8.977        5.374        -15.451      
16   31   -348.195          24.61875     43.9725      -5.669       3.308        -12.5935     
16   32   -358.276          25.1755      44.931       10.081       4.412        -17.926      
16   33   -351.839          26.74875     45.8575      -6.437       3.644        -19.3165     
16   34   -361.392          28.432       47.004       9.553        3.116        -19.747      
16   35   -353.2885         *            *            -8.1035      1.4495       -19.007      
16   36   -363.135          *            *            9.8465       1.743        -20.447      
16   37   -353.015          *            *            -10.12       -0.2735      *            
16   38   -363.845          *            *            10.83        0.71         *            
17   14   -236.491          -1.746       4.202        *            *            -7.054       
17   15   -250.9785         -0.717       7.13525      14.4875      *            -7.6955      
17   16   -268.281          3.127        10.6235      17.3025      31.79        -7.692       
17   17   -278.57425        3.25225      14.5505      10.29325     27.59575     -6.431       
17   18   -292.3025         4.9625       17.2925      13.72825     24.0215      -6.345       
17   19   -300.88675        4.54525      18.721       8.58425      22.3125      -8.563       
17   20   -310.396          3.203        18.7145      9.50925      18.0935      -7.086       
17   21   -314.407          4.1955       21.0495      4.011        13.52025     -3.94125     
17   22   -325.023          5.723        23.0795      10.616       14.627       -5.0415      
17   23   -326.80725        6.70775      25.664       1.78425      12.40025     -5.14975     
17   24   -341.3215         9.8025       29.3085      14.51425     16.2985      -11.078      
17   25   -342.112          10.042       30.1585      0.7905       15.30475     -12.66875    
17   26   -354.7575         13.4365      32.0635      12.6455      13.436       -14.4445     
17   27   -354.925          14.6095      33.22225     0.1675       12.813       -14.6715     
17   28   -365.1525         16.6625      35.851       10.2275      10.395       -14.1585     
17   29   -361.85325        16.96625     37.0365      -3.29925     6.92825      -11.8505     
17   30   -370.029          16.165       39.627       8.17575      4.8765       -12.4275     
17   31   -365.42975        17.23475     41.8535      -4.59925     3.5765       -12.313      
17   32   -375.9355         17.6595      42.835       10.50575     5.9065       -17.2335     
17   33   -369.71675        17.87775     44.6265      -6.21875     4.287        -17.8405     
17   34   -379.273          17.881       46.313       9.55625      3.3375       -17.8725     
17   35   -369.9635         16.675       *            -9.3095      0.24675      -16.57325    
17   36   -378.939          15.804       *            8.9755       -0.334       -17.679      
17   37   -369.511          16.496       *            -9.428       -0.4525      *            
17   38   -380.623          16.778       *            11.112       1.684        *            
18   14   -242.725          6.234        4.488        *            *            -9.267       
18   15   -255.5715         4.593        3.876        12.8465      *            -6.374       
18   16   -274.048          5.767        8.894        18.4765      31.323       -7.511       
18   17   -285.6415         7.06725      10.3195      11.5935      30.07        -5.646       
18   18   -302.255          9.9525       14.915       16.6135      28.207       -8.801       
18   19   -314.487          13.60025     18.1455      12.232       28.8455      -10.865      
18   20   -326.719          16.323       19.526       12.232       24.464       -11.079      
18   21   -331.2675         16.8605      21.056       4.5485       16.7805      -6.626       
18   22   -342.956          17.933       23.656       11.6885      16.237       -7.463       
18   23   -342.94           16.13275     22.8405      -0.016       11.6725      -4.4285      
18   24   -357.764          16.4425      26.245       14.824       14.808       -10.164      
18   25   -357.044          14.932       24.974       -0.72        14.104       -8.6445      
18   26   -371.334          16.5765      30.013       14.29        13.57        -11.515      
18   27   -371.8395         16.9145      31.524       0.5055       14.7955      -11.4695     
18   28   -383.285          18.1325      34.795       11.4455      11.951       -13.664      
18   29   -382.4195         20.56625     37.5325      -0.8655      10.58        -13.804      
18   30   -391.924          21.895       38.06        9.5045       8.639        -15.134      
18   31   -388.2395         22.80975     40.0445      -3.6845      5.82         -15.0525     
18   32   -399.015          23.0795      40.739       10.7755      7.091        -16.851      
18   33   -393.9895         24.27275     42.1505      -5.0255      5.75         -17.4945     
18   34   -404.524          25.251       43.132       10.5345      5.509        -17.948      
18   35   -397.3235         27.36        44.035       -7.2005      3.334        -17.1845     
18   36   -408.743          29.804       45.608       11.4195      4.219        -19.051      
18   37   -400.472          30.961       47.457       -8.271       3.1485       -18.8835     
18   38   -412.331          31.708       48.486       11.859       3.588        -20.896      
18   39   -407.51           *            *            -4.821       7.038        -26.195      
18   40   -414.859          *            *            7.349        2.528        -22.714      
19   14   -241.581          -1.144       5.09         *            *            *            
19   15   -255.10925        -0.46225     4.13075      13.52825     *            *            
19   16   -275.6575         1.6095       7.3765       20.54825     34.0765      -10.8665     
19   17   -286.91175        1.27025      8.3375       11.25425     31.8025      -7.63325     
19   18   -307.251          4.996        14.9485      20.33925     31.5935      -10.67       
19   19   -317.58825        3.10125      16.7015      10.33725     30.6765      -10.714      
19   20   -331.1355         4.4165       20.7395      13.54725     23.8845      -10.533      
19   21   -336.7685         5.501        22.3615      5.633        19.18025     -7.58175     
19   22   -349.4515         6.4955       24.4285      12.683       18.316       -10.7555     
19   23   -350.416          7.476        23.60875     0.9645       13.6475      -7.709       
19   24   -366.8005         9.0365       25.479       16.3845      17.349       -13.4775     
19   25   -367.21275        10.16875     25.10075     0.41225      16.79675     -12.1055     
19   26   -383.435          12.101       28.6775      16.22225     16.6345      -13.8135     
19   27   -386.1825         14.343       31.2575      2.7475       18.96975     -15.7705     
19   28   -398.19           14.905       33.0375      12.0075      14.755       -15.1325     
19   29   -399.00725        16.58775     37.154       0.81725      12.82475     -15.78225    
19   30   -408.3445         16.4205      38.3155      9.33725      10.1545      -14.892      
19   31   -405.157          16.9175      39.72725     -3.1875      6.14975      -15.00375    
19   32   -416.9595         17.9445      41.024       11.8025      8.615        -18.6305     
19   33   -411.57725        17.58775     41.8605      -5.38225     6.42025      -17.8475     
19   34   -423.84           19.316       44.567       12.26275     6.8805       -19.6045     
19   35   -414.755          17.4315      44.7915      -9.085       3.17775      -16.73825    
19   36   -426.12           17.377       47.181       11.365       2.28         -18.547      
19   37   -418.43625        17.96425     48.92525     -7.68375     3.68125      -20.17275    
19   38   -431.0975         18.7665      50.4745      12.66125     4.9775       -23.8585     
19   39   -427.61525        20.10525     *            -3.48225     9.179        -29.80425    
19   40   -434.963          20.104       *            7.34775      3.8655       -26.04       
20   14   -243.767          2.186        1.042        *            *            *            
20   15   -257.627          2.51775      2.0555       13.86        *            *            
20   16   -279.897          4.2395       5.849        22.27        36.13        -8.872       
20   17   -289.497          2.58525      3.8555       9.6          31.87        -5.6255      
20   18   -312.247          4.996        9.992        22.75        32.35        -9.899       
20   19   -323.9345         6.34625      9.4475       11.6875      34.4375      -9.993       
20   20   -342.042          10.9065      15.323       18.1075      29.795       -11.487      
20   21   -348.8445         12.076       17.577       6.8025       24.91        -6.0575      
20   22   -362.607          13.1555      19.651       13.7625      20.565       -7.588       
20   23   -364.012          13.596       21.072       1.405        15.1675      -4.4445      
20   24   -381.417          14.6165      23.653       17.405       18.81        -10.161      
20   25   -381.7415         14.52875     24.6975      0.3245       17.7295      -10.5015     
20   26   -398.676          15.241       27.342       16.9345      17.259       -12.612      
20   27   -402.8305         16.648       30.991       4.1545       21.089       -17.4865     
20   28   -414.565          16.375       31.28        11.7345      15.889       -14.931      
20   29   -416.64           17.63275     34.2205      2.075        13.8095      -16.5005     
20   30   -425.385          17.0405      33.461       8.745        10.82        -13.8        
20   31   -422.3995         17.2425      34.16        -2.9855      5.7595       -11.68       
20   32   -434.934          17.9745      35.919       12.5345      9.549        -14.71       
20   33   -429.18           17.60275     35.1905      -5.754       6.7805       -12.6405     
20   34   -443.156          19.316       38.632       13.976       8.222        -15.841      
20   35   -435.6165         20.8615      38.293       -7.5395      6.4365       -13.327      
20   36   -450.357          24.237       41.614       14.7405      7.201        -17.533      
20   37   -443.3005         24.86425     42.8285      -7.0565      7.684        -17.677      
20   38   -456.804          25.7065      44.473       13.5035      6.447        -19.761      
20   39   -454.6555         27.04025     47.1455      -2.1485      11.355       -25.8835     
20   40   -461.997          27.034       47.138       7.3415       5.193        -21.366      
20   41   -456.5685         *            *            -5.4285      1.913        -20.7585     
20   42   -462.97           *            *            6.4015       0.973        -19.811      
20   43   -448.7325         *            *            -14.2375     -7.836       *            
20   44   -463.425          *            *            14.6925      0.455        *            
21   18   -309.0695         -3.1775      1.8185       *            *            -5.112       
21   19   -321.867          -2.0675      4.27875      12.7975      *            -6.65525     
21   20   -341.1845         -0.8575      10.049       19.3175      32.115       -5.6335      
21   21   -349.1015         0.257        12.333       7.917        27.2345      -3.21325     
21   22   -363.9085         1.3015       14.457       14.807       22.724       -4.473       
21   23   -368.5835         4.5715       18.1675      4.675        19.482       -3.515       
21   24   -386.4485         5.0315       19.648       17.865       22.54        -8.697       
21   25   -389.39125        7.64975      22.1785      2.94275      20.80775     -10.67525    
21   26   -404.879          6.203        21.444       15.48775     18.4305      -9.7785      
21   27   -410.257          7.4265       24.0745      5.378        20.86575     -14.74425    
21   28   -421.885          7.32         23.695       11.628       17.006       -10.15       
21   29   -424.55025        7.91025      25.543       2.66525      14.29325     -10.06775    
21   30   -433.8455         8.4605       25.501       9.29525      11.9605      -7.3555      
21   31   -431.24625        8.84675      26.08925     -2.59925     6.696        -3.939       
21   32   -444.572          9.638        27.6125      13.32575     10.7265      -7.9275      
21   33   -439.0035         9.8235       27.42625     -5.5685      7.75725      -5.5465      
21   34   -454.075          10.919       30.235       15.0715      9.503        -8.8155      
21   35   -446.8395         11.223       32.0845      -7.2355      7.836        -6.96225     
21   36   -462.614          12.257       36.494       15.7745      8.539        -10.474      
21   37   -456.066          12.7655      37.62975     -6.548       9.2265       -13.011      
21   38   -470.358          13.554       39.2605      14.292       7.744        -15.938      
21   39   -468.9715         14.316       41.35625     -1.3865      12.9055      -22.23525    
21   40   -476.965          14.968       42.002       7.9935       6.607        -17.5675     
21   41   -472.52025        15.95175     *            -4.44475     3.54875      -16.605      
21   42   -479.1055         16.1355      *            6.58525      2.1405       -15.8425     
21   43   -467.4345         18.702       *            -11.671      -5.08575     *            
21   44   -481.2735         17.8485      *            13.839       2.168        *            
22   18   -313.582          4.5125       1.335        *            *            -5.385       
22   19   -327.3095         5.4425       3.375        13.7275      *            -9.5125      
22   20   -347.657          6.4725       5.615        20.3475      34.075       -7.11        
22   21   -356.5735         7.472        7.729        8.9165       29.264       -4.339       
22   22   -372.31           8.4015       9.703        15.7365      24.653       -1.968       
22   23   -378.815          10.2315      14.803       6.505        22.2415      -1.6705      
22   24   -395.7            9.2515       14.283       16.885       23.39        -4.793       
22   25   -401.791          12.39975     20.0495      6.091        22.976       -9.479       
22   26   -416.362          11.483       17.686       14.571       20.662       -6.645       
22   27   -423.6685         13.4115      20.838       7.3065       21.8775      -13.627      
22   28   -435.895          14.01        21.33        12.2265      19.533       -8.919       
22   29   -439.2055         14.65525     22.5655      3.3105       15.537       -8.075       
22   30   -449.106          15.2605      23.721       9.9005       13.211       -6.241       
22   31   -446.953          15.70675     24.5535      -2.153       7.7475       -2.013       
22   32   -461.13           16.558       26.196       14.177       12.024       -7.445       
22   33   -455.802          16.7985      26.622       -5.328       8.849        -5.1025      
22   34   -472.024          17.949       28.868       16.222       10.894       -8.79        
22   35   -465.1425         18.303       29.526       -6.8815      9.3405       -7.6625      
22   36   -482.001          19.387       31.644       16.8585      9.977        -10.545      
22   37   -476.0115         19.9455      32.711       -5.9895      10.869       -12.095      
22   38   -491.142          20.784       34.338       15.1305      9.141        -12.485      
22   39   -490.5525         21.581       35.897       -0.5895      14.541       -18.952      
22   40   -499.233          22.268       37.236       8.6805       8.091        -14.129      
22   41   -495.782          23.26175     39.2135      -3.451       5.2295       -12.8265     
22   42   -502.561          23.4555      39.591       6.779        3.328        -12.264      
22   43   -492.8215         25.387       44.089       -9.7395      -2.9605      -7.953       
22   44   -505.172          23.8985      41.747       12.3505      2.611        -13.902      
22   45   -494.4705         *            *            -10.7015     1.649        -17.438      
22   46   -507.679          *            *            13.2085      2.507        -15.954      
22   47   -495.228          *            *            -12.451      0.7575       *            
22   48   -509.247          *            *            14.019       1.568        *            
22   49   -493.705          *            *            -15.542      -1.523       *            
22   50   -510.153          *            *            16.448       0.906        *            
22   51   -491.5295         *            *            -18.6235     -2.1755      *            
22   52   -510.626          *            *            19.0965      0.473        *            
