Z,N,BE(MeV),BE_sd(MeV),BE_BEA(MeV),diff(MeV)
9,13,167.7361057,0.012398999999999999,167.73449,0.0016157000000021071
10,12,177.77186460000001,1.7999999999999997e-05,177.77023,0.001634600000016917
11,11,174.1463235,0.000171,174.144674,0.0016494999999849824
12,10,168.5824124,0.000313,168.580742,0.0016704000000231645
7,16,143.4451052,0.42057,143.44343300000003,0.0016721999999731452
8,15,164.7618281,0.121712,164.760155,0.001673100000004979
9,14,175.315601,0.03332,175.31391200000002,0.0016889999999705196
10,13,182.9725799,0.000104,182.970888,0.001691899999997304
11,12,186.56605027999998,1.81e-06,186.56433900000002,0.001711279999966564
12,11,181.7273777,0.000158,181.725645,0.0017327000000193493
13,10,168.7234616,0.000345,168.721721,0.001740600000005088
8,16,168.9541804,0.164874,168.95244,0.0017404000000169617
9,15,179.12773430000001,0.09767,179.125968,0.0017663000000140983
10,14,191.8415622,0.000513,191.8398,0.0017622000000017124
11,13,193.5254841,1.7e-05,193.523712,0.0017721000000108234
12,12,198.258819,1.3e-05,198.257016,0.0018029999999953361
13,11,183.5917819,0.00023300000000000003,183.589968,0.0018139000000019223
14,10,172.01538879999998,0.019472,172.013568,0.0018207999999901858
8,17,168.1969407,0.165084,168.195125,0.0018157000000087464
9,16,183.4094686,0.096442,183.40765,0.001818600000007109
10,15,195.9968035,0.029045,195.994975,0.0018284999999877982
11,14,202.5367814,0.0012,202.534925,0.001856400000008307
12,13,205.58941829999998,4.7e-05,205.58755000000002,0.001868299999955525
13,12,200.5302772,6.500000000000001e-05,200.52840000000003,0.0018771999999671607
14,11,187.0046451,0.01,187.00275,0.001895100000012917
8,18,168.936316,0.16494999999999999,168.93442800000003,0.0018879999999796837
9,17,184.1661449,0.11119899999999999,184.16423999999998,0.0019049000000279648
10,16,201.5515728,0.018428999999999997,201.54966000000002,0.0019127999999852818
11,15,208.1111337,0.003502,208.109226,0.0019077000000038424
12,14,216.6825626,2.9999999999999997e-05,216.68062000000003,0.0019425999999782562
13,13,211.89583850000002,6.7e-05,211.89389000000003,0.0019484999999974661
14,12,206.0443694,0.000108,206.042408,0.001961399999999003
9,18,185.4361262,0.38983,185.43416399999998,0.0019622000000083517
10,17,203.0531631,0.09076999999999999,203.051178,0.0019851000000130625
11,16,214.839529,0.003726,214.83754199999998,0.00198700000001395
12,15,223.1260169,5e-05,223.124004,0.0020128999999826647
13,14,224.9539338,4.7e-05,224.95193099999997,0.002002800000013849
14,13,219.3592427,0.000107,219.357207,0.002035700000021734
15,12,206.9148646,0.02634,206.912826,0.002038599999991675
9,19,185.2161945,0.393024,185.214176,0.0020184999999912634
10,18,206.87572039999998,0.12606799999999999,206.873688,0.0020323999999902753
11,17,218.3814393,0.010246,218.379392,0.002047300000015184
12,16,231.62963620000002,0.0020009999999999997,231.627564,0.0020722000000148455
13,15,232.67910310000002,7.7e-05,232.677032,0.002071100000023307
14,14,236.5389193,4.9e-07,236.53683200000003,0.0020872999999710373
15,13,221.4115319,0.0011519999999999998,221.409412,0.0021198999999967327
16,12,209.40825279999999,0.16,209.40612,0.0021327999999982694
9,20,186.8789898,0.525363,186.876899,0.0020907999999906224
10,19,207.8470417,0.149505,207.844943,0.002098700000004783
11,18,222.78451560000002,0.007337,222.782379,0.0021366000000284657
12,17,235.2850055,0.0114,235.282858,0.00214750000000663
13,16,242.1076034,0.000345,242.105456,0.0021473999999841453
14,15,245.01258868,5.599999999999999e-07,245.010415,0.0021736799999985124
15,14,239.2880252,0.000359,239.28584400000003,0.0021811999999670206
16,13,224.70926010000002,0.05,224.70708000000002,0.002180100000003904
17,12,207.60833499999998,0.18868000000000001,207.60612799999998,0.0022069999999985157
10,20,211.03811100000001,0.25325,211.03592999999998,0.0021810000000357377
11,19,225.0612249,0.004727,225.05904,0.0021849000000031538
12,18,241.6373818,0.003447,241.63518000000002,0.0022017999999945914
13,17,247.8360727,0.002888,247.83384000000004,0.0022326999999506825
14,16,255.6218556,2.2e-05,255.61962000000003,0.0022355999999774667
15,15,250.6074165,6.500000000000001e-05,250.60518,0.0022365000000093005
16,14,243.6834824,0.000206,243.68121000000002,0.0022723999999811895
18,12,207.1284162,0.206155,207.12612,0.002296200000017734
