N	Z	A	EL	MASS EXCESS	BINDING ENERGY/A
				(keV)		(keV)
17	16	33	S	-26585.994	0.136	8497.634	0.004
16	17	33	Cl	-21003.432	0.458	8304.758	0.014
15	18	33	Ar	-9384.141	0.443	7928.95	0.013
14	19	33	K	6763#	196#	7416#	6#
24	10	34	Ne	53121#	807#	6279#	24#
23	11	34	Na	32761#	898#	6855#	26#
22	12	34	Mg	8808.603	231.396	7536.118	6.806
21	13	34	Al	-2932.495	113.038	7858.434	3.325
20	14	34	Si	-19956.77	14.118	8336.138	0.415
19	15	34	P	-24557.669	5.004	8448.449	0.147
18	16	34	S	-29931.788	0.108	8583.501	0.003
17	17	34	Cl	-24439.776	0.179	8398.961	0.005
16	18	34	Ar	-18377.217	0.386	8197.64	0.011
15	19	34	K	-1481#	298#	7678#	9#
14	20	34	Ca	13153#	298#	7224#	9#
24	11	35	Na	39582#	946#	6695#	27#
23	12	35	Mg	16152#	401#	7342#	11#
22	13	35	Al	-130.19	175.106	7784.451	5.003
21	14	35	Si	-14360.307	38.412	8168.673	1.097
20	15	35	P	-24857.74	1.867	8446.247	0.053
19	16	35	S	-28846.356	0.1	8537.855	0.003
18	17	35	Cl	-29013.54	0.038	8520.278	0.001
17	18	35	Ar	-23047.411	0.747	8327.465	0.021
16	19	35	K	-11168.9	20.001	7965.726	0.571
15	20	35	Ca	4602#	196#	7493#	6#
25	11	36	Na	47953#	952#	6500#	26#
24	12	36	Mg	21424#	503#	7215#	14#
23	13	36	Al	5781.974	214.687	7628.193	5.964
22	14	36	Si	-12482.507	123.455	8113.807	3.429
21	15	36	P	-20250.977	13.114	8307.866	0.364
20	16	36	S	-30664.075	0.189	8575.387	0.005
19	17	36	Cl	-29521.857	0.072	8521.927	0.002
18	18	36	Ar	-30231.54	0.027	8519.909	0.001
17	19	36	K	-17426.171	7.781	8142.472	0.216
16	20	36	Ca	-6439.359	40.001	7815.551	1.111
15	21	36	Sc	13898#	503#	7229#	14#
26	11	37	Na	55275#	958#	6345#	26#
25	12	37	Mg	29249#	904#	7027#	24#
24	13	37	Al	9946.326	330.967	7527.619	8.945
23	14	37	Si	-6579.998	168.659	7953.132	4.558
22	15	37	P	-18994.145	37.948	8267.505	1.026
21	16	37	S	-26896.36	0.199	8459.934	0.005
20	17	37	Cl	-31761.532	0.047	8570.28	0.001
19	18	37	Ar	-30947.659	0.205	8527.139	0.006
18	19	37	K	-24800.199	0.094	8339.847	0.003
17	20	37	Ca	-13161.76	22.362	8004.15	0.604
16	21	37	Sc	2841#	298#	7550#	8#
26	12	38	Mg	34996#	503#	6903#	13#
25	13	38	Al	16050.594	730.517	7381.288	19.224
