N	Z	A	EL	MASS EXCESS	BINDING ENERGY/A
				(keV)		(keV)
54	45	99	Rh	-85574.394	7.137	8580.093	0.072
53	46	99	Pd	-82187.735	15.18	8537.982	0.153
52	47	99	Ag	-76757.735	150.766	8475.231	1.523
51	48	99	Cd	-69853#	205#	8398#	2#
50	49	99	In	-61274#	401#	8303#	4#
49	50	99	Sn	-47199#	596#	8153#	6#
64	36	100	Kr	-36198#	503#	8152#	5#
63	37	100	Rb	-46696#	298#	8249#	3#
62	38	100	Sr	-60219.307	127.217	8376.218	1.272
61	39	100	Y	-67294.307	78.64	8439.145	0.786
60	40	100	Zr	-76604.307	35.837	8524.422	0.358
59	41	100	Nb	-79939.307	25.677	8549.948	0.257
58	42	100	Mo	-86184.307	5.855	8604.575	0.059
57	43	100	Tc	-86016.224	2.217	8595.07	0.022
56	44	100	Ru	-89218.984	2.011	8619.274	0.02
55	45	100	Rh	-85584.225	18.198	8575.103	0.182
54	46	100	Pd	-85226.218	11.256	8563.7	0.113
53	47	100	Ag	-78148.384	77.126	8485.098	0.771
52	48	100	Cd	-74249.829	95.269	8438.289	0.953
51	49	100	In	-64169.829	248.95	8329.666	2.49
50	50	100	Sn	-56779.829	705.391	8247.942	7.054
64	37	101	Rb	-43597.231	166.082	8216.371	1.644
63	38	101	Sr	-55407.231	124.432	8325.555	1.232
62	39	101	Y	-64912.231	95.306	8411.918	0.944
61	40	101	Zr	-73457.231	31.357	8488.776	0.31
60	41	101	Nb	-78942.231	18.928	8535.337	0.187
59	42	101	Mo	-83511.231	5.856	8572.829	0.058
58	43	101	Tc	-86335.84	24.084	8593.049	0.238
57	44	101	Ru	-87949.72	2.014	8601.282	0.02
56	45	101	Rh	-87408.021	17.23	8588.173	0.171
55	46	101	Pd	-85428.021	17.688	8560.823	0.175
54	47	101	Ag	-81224.197	104.408	8511.455	1.034
53	48	101	Cd	-75747.66	150.936	8449.486	1.494
52	49	101	In	-68614#	298#	8371#	3#
51	50	101	Sn	-59560#	298#	8274#	3#
65	37	102	Rb	-38312#	503#	8163#	5#
64	38	102	Sr	-53077.471	111.172	8300.222	1.09
63	39	102	Y	-61892.471	86.367	8378.974	0.847
62	40	102	Zr	-71742.471	50.589	8467.872	0.496
61	41	102	Nb	-76347.471	40.734	8505.349	0.399
60	42	102	Mo	-83557.471	20.839	8568.365	0.204
59	43	102	Tc	-84565.665	9.393	8570.579	0.092
58	44	102	Ru	-89098.043	2.014	8607.344	0.02
57	45	102	Rh	-86775.004	4.941	8576.9	0.048
56	46	102	Pd	-87925.075	2.988	8580.505	0.029
55	47	102	Ag	-82264.893	27.945	8517.343	0.274
54	48	102	Cd	-79677.893	29.067	8484.31	0.285
53	49	102	In	-70709.488	111.699	8388.714	1.095
52	50	102	Sn	-64929.488	131.82	8324.377	1.292
65	38	103	Sr	-47553#	503#	8244#	5#
64	39	103	Y	-58936#	298#	8347#	3#
63	40	103	Zr	-68372.027	108.742	8431.299	1.056
62	41	103	Nb	-75317.027	67.822	8491.131	0.658
61	42	103	Mo	-80847.027	60.826	8537.225	0.591
60	43	103	Tc	-84597.027	9.992	8566.037	0.097
59	44	103	Ru	-87258.775	2.018	8584.283	0.02
58	45	103	Rh	-88022.185	2.806	8584.1	0.027
57	46	103	Pd	-87479.11	2.902	8571.231	0.028
56	47	103	Ag	-84791.366	16.682	8537.541	0.162
55	48	103	Cd	-80649.453	15.37	8489.733	0.149
54	49	103	In	-74599.453	25.224	8423.399	0.245
53	50	103	Sn	-66974#	298#	8342#	3#
52	51	103	Sb	-56178#	298#	8229#	3#
66	38	104	Sr	-44404#	699#	8212#	7#
65	39	104	Y	-54912#	401#	8306#	4#
64	40	104	Zr	-66341#	401#	8408#	4#
63	41	104	Nb	-72223.666	104.81	8457.35	1.008
62	42	104	Mo	-80328.666	53.713	8527.76	0.516
61	43	104	Tc	-82486.166	45.663	8540.983	0.439
60	44	104	Ru	-88088.872	3.137	8587.333	0.03
59	45	104	Rh	-86949.825	2.807	8568.858	0.027
58	46	104	Pd	-89390.045	4.133	8584.799	0.04
57	47	104	Ag	-85111.392	5.751	8536.135	0.055
56	48	104	Cd	-83974.674	9.466	8517.683	0.091
55	49	104	In	-76106.627	84.733	8434.506	0.815
54	50	104	Sn	-71591.627	103.825	8383.57	0.998
53	51	104	Sb	-59176#	362#	8257#	3#
67	38	105	Sr	-38582#	699#	8156#	7#
66	39	105	Y	-51353#	503#	8270#	5#
65	40	105	Zr	-62364#	401#	8367#	4#
64	41	105	Nb	-70852.653	99.799	8440.617	0.95
63	42	105	Mo	-77337.653	71.133	8494.928	0.677
62	43	105	Tc	-82287.653	55.089	8534.619	0.525
61	44	105	Ru	-85927.653	3.138	8561.835	0.03
60	45	105	Rh	-87845.641	4.027	8572.651	0.038
59	46	105	Pd	-88412.828	4.073	8570.602	0.039
58	47	105	Ag	-87067.992	10.982	8550.343	0.105
57	48	105	Cd	-84330.103	11.549	8516.817	0.11
56	49	105	In	-79481.085	17.348	8463.185	0.165
55	50	105	Sn	-73262.528	80.586	8396.509	0.767
54	51	105	Sb	-63820.056	104.903	8299.13	0.999
53	52	105	Te	-52499#	503#	8184#	5#
67	39	106	Y	-46770#	699#	8225#	7#
66	40	106	Zr	-59699#	503#	8339#	5#
65	41	106	Nb	-67096#	196#	8402#	2#
64	42	106	Mo	-76255.078	17.948	8480.718	0.169
63	43	106	Tc	-79775.078	13.328	8506.545	0.126
62	44	106	Ru	-86322.078	7.525	8560.929	0.071
61	45	106	Rh	-86361.478	7.522	8553.92	0.071
60	46	106	Pd	-89902.478	4.073	8579.945	0.038
59	47	106	Ag	-86937.34	4.913	8544.591	0.046
58	48	106	Cd	-87132.499	5.931	8539.052	0.056
57	49	106	In	-80606.451	12.333	8470.105	0.116
56	50	106	Sn	-77425.204	50.288	8432.712	0.474
55	51	106	Sb	-66330#	313#	8321#	3#
54	52	106	Te	-58214.429	132.152	8236.717	1.247
68	39	107	Y	-42718#	503#	8185#	5#
67	40	107	Zr	-55191#	298#	8295#	3#
66	41	107	Nb	-64916#	401#	8378#	4#
65	42	107	Mo	-72942.869	161.627	8445.937	1.511
64	43	107	Tc	-79102.869	150.077	8496.195	1.403
63	44	107	Ru	-83922.869	123.686	8533.93	1.156
62	45	107	Rh	-86863.285	11.929	8554.099	0.111
61	46	107	Pd	-88367.594	4.083	8560.847	0.038
60	47	107	Ag	-88401.743	4.271	8553.854	0.04
59	48	107	Cd	-86984.841	5.773	8533.3	0.054
58	49	107	In	-83559.577	11.391	8493.977	0.106
57	50	107	Sn	-78576.801	83.434	8440.097	0.78
56	51	107	Sb	-70654#	298#	8359#	3#
55	52	107	Te	-60541#	298#	8257#	3#
69	39	108	Y	-37744#	801#	8138#	7#
68	40	108	Zr	-52201#	596#	8265#	6#
67	41	108	Nb	-60696#	298#	8336#	3#
66	42	108	Mo	-71303#	196#	8427#	2#
65	43	108	Tc	-75952.879	126.467	8463.095	1.171
64	44	108	Ru	-83672.879	116.163	8527.332	1.076
63	45	108	Rh	-85019.304	105.056	8532.555	0.973
62	46	108	Pd	-89524.304	3.442	8567.024	0.032
61	47	108	Ag	-87601.836	4.274	8541.98	0.04
60	48	108	Cd	-89252.325	5.566	8550.018	0.052
59	49	108	In	-84115.603	9.749	8495.212	0.09
58	50	108	Sn	-82040.983	19.854	8468.758	0.184
57	51	108	Sb	-72507#	205#	8373#	2#
56	52	108	Te	-65721.935	103.908	8303.168	0.962
55	53	108	I	-52652#	359#	8175#	3#
69	40	109	Zr	-47283#	503#	8218#	5#
68	41	109	Nb	-58097#	503#	8310#	5#
67	42	109	Mo	-67245#	298#	8387#	3#
66	43	109	Tc	-74535.668	96.272	8446.498	0.883
65	44	109	Ru	-80850.668	66.093	8497.257	0.606
64	45	109	Rh	-85010.668	11.968	8528.244	0.11
63	46	109	Pd	-87606.591	3.44	8544.883	0.032
62	47	109	Ag	-88722.669	2.9	8547.944	0.027
61	48	109	Cd	-88508.424	3.896	8538.801	0.036
60	49	109	In	-86488.746	5.828	8513.095	0.053
59	50	109	Sn	-82639.154	9.967	8470.6	0.091
58	51	109	Sb	-76259.154	18.851	8404.89	0.173
57	52	109	Te	-67612.012	63.199	8318.381	0.58
56	53	109	I	-57613.447	103.925	8219.474	0.953
70	40	110	Zr	-43901#	801#	8186#	7#
69	41	110	Nb	-53617#	503#	8267#	5#
68	42	110	Mo	-65456#	401#	8368#	4#
67	43	110	Tc	-70960.763	76.55	8410.589	0.696
66	44	110	Ru	-79981.763	53.244	8485.485	0.484
65	45	110	Rh	-82775.901	50.445	8503.774	0.459
64	46	110	Pd	-88349.175	10.873	8547.328	0.099
63	47	110	Ag	-87460.552	2.899	8532.138	0.026
62	48	110	Cd	-90352.99	2.665	8551.32	0.024
61	49	110	In	-86474.99	11.85	8508.954	0.108
60	50	110	Sn	-85843.888	13.777	8496.104	0.125
59	51	110	Sb	-77544#	200#	8414#	2#
58	52	110	Te	-72277.12	52.642	8358.545	0.479
57	53	110	I	-60321#	309#	8243#	3#
56	54	110	Xe	-51904.646	132.883	8159.116	1.208
70	41	111	Nb	-50627#	503#	8238#	5#
69	42	111	Mo	-61097#	401#	8326#	4#
68	43	111	Tc	-69216.683	108.698	8391.82	0.979
67	44	111	Ru	-76665.683	73.588	8451.88	0.663
66	45	111	Rh	-82357.192	29.613	8496.106	0.267
65	46	111	Pd	-86004.158	10.88	8521.914	0.098
64	47	111	Ag	-88220.719	3.015	8534.834	0.027
63	48	111	Cd	-89257.519	2.662	8537.127	0.024
62	49	111	In	-88395.728	4.828	8522.315	0.043
61	50	111	Sn	-85944.797	6.836	8493.186	0.062
60	51	111	Sb	-80888.145	27.945	8440.583	0.252
59	52	111	Te	-73484.917	71.343	8366.839	0.643
58	53	111	I	-64947#	302#	8283#	3#
57	54	111	Xe	-54397#	302#	8181#	3#
71	41	112	Nb	-45802#	699#	8194#	6#
70	42	112	Mo	-58833#	596#	8303#	5#
69	43	112	Tc	-65999.617	124.158	8360.234	1.109
68	44	112	Ru	-75483.617	73.588	8437.928	0.657
67	45	112	Rh	-79741.327	51.609	8468.958	0.461
66	46	112	Pd	-86336.399	17.947	8520.857	0.16
65	47	112	Ag	-86624.458	16.884	8516.444	0.151
64	48	112	Cd	-90580.518	2.659	8544.78	0.024
63	49	112	In	-87996.067	5.126	8514.72	0.046
62	50	112	Sn	-88661.269	4.283	8513.674	0.038
61	51	112	Sb	-81600.729	17.829	8443.648	0.159
60	52	112	Te	-77301.267	170.277	8398.275	1.52
59	53	112	I	-67096#	211#	8300#	2#
58	54	112	Xe	-59966.685	104.097	8229.531	0.929
57	55	112	Cs	-46294#	302#	8100#	3#
72	41	113	Nb	-42197#	801#	8161#	7#
71	42	113	Mo	-54138#	596#	8260#	5#
70	43	113	Tc	-63724#	298#	8338#	3#
69	44	113	Ru	-72202.714	69.997	8405.649	0.619
68	45	113	Rh	-78682.714	48.986	8456.07	0.434
67	46	113	Pd	-83692.028	35.792	8493.477	0.317
66	47	113	Ag	-87032.672	16.613	8516.117	0.147
65	48	113	Cd	-89049.279	2.673	8527.04	0.024
64	49	113	In	-89369.62	3.212	8522.951	0.028
63	50	113	Sn	-88333.039	4.017	8506.854	0.036
62	51	113	Sb	-84419.744	17.586	8465.3	0.156
61	52	113	Te	-78347.03	27.945	8404.636	0.247
60	53	113	I	-71128.339	53.435	8333.83	0.473
59	54	113	Xe	-62092.297	80.586	8246.942	0.713
58	55	113	Cs	-51704.182	104.129	8148.088	0.921
72	42	114	Mo	-51307#	699#	8233#	6#
71	43	114	Tc	-59727#	596#	8300#	5#
70	44	114	Ru	-70532#	230#	8388#	2#
69	45	114	Rh	-75631.725	112.711	8425.932	0.989
68	46	114	Pd	-83496.665	23.634	8488.06	0.207
67	47	114	Ag	-84948.803	24.824	8493.936	0.218
66	48	114	Cd	-90020.941	2.674	8531.565	0.023
65	49	114	In	-88572.155	3.205	8511.994	0.028
64	50	114	Sn	-90560.901	3.172	8522.576	0.028
63	51	114	Sb	-84515.383	27.945	8462.683	0.245
62	52	114	Te	-81888.57	27.945	8432.778	0.245
61	53	114	I	-72796#	298#	8346#	3#
60	54	114	Xe	-67085.913	11.178	8289.205	0.098
59	55	114	Cs	-54539#	305#	8172#	3#
58	56	114	Ba	-45945.564	139.2	8090.038	1.221
73	42	115	Mo	-46305#	801#	8188#	7#
72	43	115	Tc	-57110#	699#	8275#	6#
71	44	115	Ru	-66428.402	128.715	8349.623	1.119
70	45	115	Rh	-74208.402	81.04	8410.472	0.705
69	46	115	Pd	-80403	60.988	8457.535	0.53
68	47	115	Ag	-84987	34.922	8490.593	0.304
67	48	115	Cd	-88090.485	2.724	8510.777	0.024
66	49	115	In	-89536.616	4.463	8516.549	0.039
65	50	115	Sn	-90035.978	2.944	8514.088	0.026
64	51	115	Sb	-87003.403	16.025	8480.915	0.139
63	52	115	Te	-82062.759	27.945	8431.15	0.243
62	53	115	I	-76337.797	28.876	8374.564	0.251
61	54	115	Xe	-68656.771	12.109	8300.97	0.105
60	55	115	Cs	-59699#	298#	8216#	3#
59	56	115	Ba	-49025#	596#	8117#	5#
73	43	116	Tc	-52751#	699#	8236#	6#
72	44	116	Ru	-64450#	699#	8330#	6#
71	45	116	Rh	-70735.792	137.861	8377.612	1.188
70	46	116	Pd	-79960.691	55.568	8450.393	0.479
69	47	116	Ag	-82567.691	46.773	8466.122	0.403
68	48	116	Cd	-88719.392	3.15	8512.41	0.027
67	49	116	In	-88250.019	4.468	8501.619	0.039
66	50	116	Sn	-91528.107	2.943	8523.134	0.025
65	51	116	Sb	-86821.176	5.84	8475.813	0.05
64	52	116	Te	-85268.962	27.945	8455.687	0.241
63	53	116	I	-77492.26	96.592	8381.902	0.833
62	54	116	Xe	-73046.747	13.041	8336.835	0.112
61	55	116	Cs	-62068#	101#	8235#	1#
60	56	116	Ba	-54604#	401#	8164#	3#
74	43	117	Tc	-49854#	699#	8210#	6#
73	44	117	Ru	-60007#	699#	8290#	6#
72	45	117	Rh	-68949#	503#	8360#	4#
71	46	117	Pd	-76530.301	59.455	8417.833	0.508
70	47	117	Ag	-82265.301	50.109	8460.163	0.428
69	48	117	Cd	-86425.301	3.305	8489.032	0.028
68	49	117	In	-88945.042	5.668	8503.882	0.048
67	50	117	Sn	-90399.95	2.922	8509.63	0.025
66	51	117	Sb	-88644.75	9.413	8487.942	0.08
65	52	117	Te	-85096.897	13.412	8450.931	0.115
64	53	117	I	-80434.508	27.945	8404.395	0.239
63	54	117	Xe	-74185.361	10.378	8344.297	0.089
62	55	117	Cs	-66442.814	62.41	8271.435	0.533
61	56	117	Ba	-57288#	300#	8186#	3#
60	57	117	La	-46512#	401#	8088#	3#
75	43	118	Tc	-45196#	904#	8169#	8#
74	44	118	Ru	-57920#	801#	8270#	7#
73	45	118	Rh	-65139#	503#	8325#	4#
72	46	118	Pd	-75465.639	209.931	8405.874	1.779
71	47	118	Ag	-79565.639	63.806	8433.99	0.541
70	48	118	Cd	-86708.557	20.247	8487.893	0.172
69	49	118	In	-87230.346	8.25	8485.685	0.07
68	50	118	Sn	-91656.06	2.888	8516.561	0.024
67	51	118	Sb	-87999.42	4.146	8478.942	0.035
66	52	118	Te	-87721.044	14.77	8469.953	0.125
65	53	118	I	-80971.048	19.76	8406.119	0.167
64	54	118	Xe	-78079.081	10.378	8374.981	0.088
63	55	118	Cs	-68409.391	12.753	8286.405	0.108
62	56	118	Ba	-62373#	196#	8229#	2#
61	57	118	La	-49621#	298#	8114#	3#
75	44	119	Ru	-53244#	699#	8229#	6#
74	45	119	Rh	-63239#	596#	8307#	5#
73	46	119	Pd	-71623#	298#	8371#	3#
72	47	119	Ag	-78557.492	89.775	8422.47	0.754
71	48	119	Cd	-83907.492	80.371	8460.854	0.675
70	49	119	In	-87704.492	7.713	8486.187	0.065
69	50	119	Sn	-90068.363	2.873	8499.477	0.024
68	51	119	Sb	-89477.443	8.2	8487.937	0.069
67	52	119	Te	-87184.443	8.441	8462.094	0.071
66	53	119	I	-83765.53	27.945	8426.789	0.235
65	54	119	Xe	-78794.437	10.378	8378.441	0.087
64	55	119	Cs	-72305.075	13.94	8317.334	0.117
63	56	119	Ba	-64590.11	200.269	8245.928	1.683
62	57	119	La	-54967#	401#	8158#	3#
61	58	119	Ce	-44004#	596#	8060#	5#
76	44	120	Ru	-50943#	801#	8209#	7#
75	45	120	Rh	-59234#	596#	8272#	5#
74	46	120	Pd	-70149.064	123.908	8355.993	1.033
73	47	120	Ag	-75649.064	73.165	8395.307	0.61
72	48	120	Cd	-83974.064	18.793	8458.162	0.157
71	49	120	In	-85735.073	40.078	8466.318	0.334
70	50	120	Sn	-91105.073	2.504	8504.548	0.021
69	51	120	Sb	-88424.465	7.566	8475.69	0.063
68	52	120	Te	-89404.587	9.696	8477.338	0.081
67	53	120	I	-83789.587	17.861	8424.027	0.149
66	54	120	Xe	-82172.448	11.817	8404.032	0.098
65	55	120	Cs	-73888.663	9.97	8328.48	0.083
64	56	120	Ba	-68888.663	300.166	8280.294	2.501
63	57	120	La	-57687#	503#	8180#	4#
62	58	120	Ce	-49705#	699#	8107#	6#
76	45	121	Rh	-57082#	904#	8252#	7#
75	46	121	Pd	-66257#	503#	8321#	4#
74	47	121	Ag	-74661.064	146.81	8384.464	1.213
73	48	121	Cd	-81061.064	84.576	8430.891	0.699
72	49	121	In	-85841.064	27.444	8463.929	0.227
71	50	121	Sn	-89204.076	2.495	8485.257	0.021
70	51	121	Sb	-89595.111	2.198	8482.023	0.018
69	52	121	Te	-88551.151	25.93	8466.93	0.214
68	53	121	I	-86287.26	10.361	8441.754	0.086
67	54	121	Xe	-82472.775	11.111	8403.764	0.092
66	55	121	Cs	-77100.495	13.817	8352.899	0.114
65	56	121	Ba	-70742.779	141.851	8293.89	1.172
64	57	121	La	-62401#	503#	8218#	4#
63	58	121	Ce	-52704#	503#	8132#	4#
62	59	121	Pr	-41579#	700#	8033#	6#
77	45	122	Rh	-52900#	699#	8216#	6#
76	46	122	Pd	-64692#	401#	8307#	3#
75	47	122	Ag	-71231#	205#	8354#	2#
74	48	122	Cd	-80730.32	43.023	8425.233	0.353
73	49	122	In	-83577.359	50.074	8442.156	0.41
72	50	122	Sn	-89945.95	2.716	8487.945	0.022
71	51	122	Sb	-88330.175	2.197	8468.288	0.018
70	52	122	Te	-90314.028	1.49	8478.137	0.012
69	53	122	I	-86080.028	5.217	8437.019	0.043
68	54	122	Xe	-85355.002	11.111	8424.664	0.091
67	55	122	Cs	-78139.833	31.953	8359.11	0.262
66	56	122	Ba	-74608.944	27.945	8323.756	0.229
65	57	122	La	-64543#	298#	8235#	2#
64	58	122	Ce	-57836#	401#	8173#	3#
63	59	122	Pr	-44889#	503#	8061#	4#
77	46	123	Pd	-60612#	596#	8272#	5#
76	47	123	Ag	-69955#	205#	8341#	2#
75	48	123	Cd	-77311.209	40.876	8394.558	0.332
74	49	123	In	-83426.209	24.121	8437.912	0.196
73	50	123	Sn	-87820.474	2.706	8467.278	0.022
72	51	123	Sb	-89224.113	2.071	8472.329	0.017
71	52	123	Te	-89171.894	1.483	8465.544	0.012
70	53	123	I	-87943.313	3.734	8449.195	0.03
69	54	123	Xe	-85248.552	9.537	8420.926	0.078
68	55	123	Cs	-81043.671	12.109	8380.379	0.098
67	56	123	Ba	-75654.978	12.109	8330.208	0.098
66	57	123	La	-68707#	196#	8267#	2#
65	58	123	Ce	-60175#	298#	8192#	2#
64	59	123	Pr	-50338#	596#	8105#	5#
78	46	124	Pd	-58796#	503#	8255#	4#
77	47	124	Ag	-66471#	196#	8311#	2#
76	48	124	Cd	-76710.752	62.641	8387.108	0.505
75	49	124	In	-80876.752	49.02	8414.396	0.395
74	50	124	Sn	-88236.752	1.394	8467.441	0.011
73	51	124	Sb	-87620.291	2.07	8456.161	0.017
72	52	124	Te	-90524.548	1.475	8473.273	0.012
71	53	124	I	-87364.961	2.373	8441.483	0.019
70	54	124	Xe	-87660.103	1.827	8437.554	0.015
69	55	124	Cs	-81731.335	8.304	8383.432	0.067
68	56	124	Ba	-79089.8	12.497	8355.82	0.101
67	57	124	La	-70258.61	56.669	8278.292	0.457
66	58	124	Ce	-64823#	298#	8228#	2#
65	59	124	Pr	-53132#	596#	8128#	5#
64	60	124	Nd	-44497#	596#	8052#	5#
78	47	125	Ag	-64804#	298#	8296#	2#
77	48	125	Cd	-73358.534	68.893	8357.764	0.551
76	49	125	In	-80480.534	30.038	8408.482	0.24
75	50	125	Sn	-85898.534	1.501	8445.567	0.012
74	51	125	Sb	-88255.501	2.584	8458.164	0.021
73	52	125	Te	-89022.201	1.475	8458.039	0.012
72	53	125	I	-88836.431	1.477	8450.294	0.012
71	54	125	Xe	-87192.064	1.869	8430.88	0.015
70	55	125	Cs	-84087.575	7.744	8399.785	0.062
69	56	125	Ba	-79667.97	11.111	8358.17	0.089
68	57	125	La	-73759.389	25.946	8304.642	0.208
67	58	125	Ce	-66658#	196#	8242#	2#
66	59	125	Pr	-57911#	401#	8165#	3#
65	60	125	Nd	-47618#	401#	8077#	3#
79	47	126	Ag	-61013#	298#	8264#	2#
78	48	126	Cd	-72327.416	54.143	8347.307	0.43
77	49	126	In	-77813.416	40.441	8384.638	0.321
76	50	126	Sn	-86020.416	10.698	8443.564	0.085
75	51	126	Sb	-86398.416	31.85	8440.355	0.253
74	52	126	Te	-90064.575	1.477	8463.242	0.012
73	53	126	I	-87910.536	3.744	8439.937	0.03
72	54	126	Xe	-89168.536	6.246	8443.712	0.05
71	55	126	Cs	-84344.94	12.109	8399.221	0.096
70	56	126	Ba	-82669.928	12.497	8379.718	0.099
69	57	126	La	-74973.468	90.508	8312.426	0.718
68	58	126	Ce	-70820.558	27.945	8273.257	0.222
67	59	126	Pr	-60258#	196#	8183#	2#
66	60	126	Nd	-52890#	401#	8119#	3#
65	61	126	Pm	-39570#	503#	8007#	4#
80	47	127	Ag	-58898#	298#	8246#	2#
79	48	127	Cd	-68517.1	74.386	8315.132	0.586
78	49	127	In	-76985.1	39.552	8375.649	0.311
77	50	127	Sn	-83499.1	24.563	8420.78	0.193
76	51	127	Sb	-86700.1	5.228	8439.824	0.041
75	52	127	Te	-88281.1	1.528	8446.113	0.012
74	53	127	I	-88983.125	3.532	8445.481	0.028
73	54	127	Xe	-88320.793	4.013	8434.105	0.032
72	55	127	Cs	-86240.02	5.575	8411.561	0.044
71	56	127	Ba	-82815.595	11.488	8378.437	0.09
70	57	127	La	-77895.769	25.946	8333.538	0.204
69	58	127	Ce	-71975.611	57.753	8280.762	0.455
68	59	127	Pr	-64431#	196#	8215#	2#
67	60	127	Nd	-55424#	401#	8138#	3#
66	61	127	Pm	-45056#	596#	8050#	5#
81	47	128	Ag	-54800#	298#	8212#	2#
80	48	128	Cd	-67288.998	294.042	8303.632	2.297
79	49	128	In	-74358.998	48.589	8352.755	0.38
78	50	128	Sn	-83334.598	27.219	8416.765	0.213
77	51	128	Sb	-84608.531	25.061	8420.605	0.196
76	52	128	Te	-88992.091	1.75	8448.74	0.014
75	53	128	I	-87737.939	3.532	8432.829	0.028
74	54	128	Xe	-89860.039	1.428	8443.296	0.011
73	55	128	Cs	-85931.378	5.497	8406.491	0.043
72	56	128	Ba	-85401.514	10.095	8396.24	0.079
71	57	128	La	-78631.901	54.448	8337.24	0.425
70	58	128	Ce	-75533.918	27.945	8306.925	0.218
69	59	128	Pr	-66330.757	29.808	8228.913	0.233
68	60	128	Nd	-60184#	196#	8175#	2#
67	61	128	Pm	-48046#	401#	8074#	3#
66	62	128	Sm	-39048#	503#	7997#	4#
82	47	129	Ag	-52452#	401#	8193#	3#
81	48	129	Cd	-63202#	298#	8270#	2#
80	49	129	In	-72938.793	43.103	8339.564	0.334
79	50	129	Sn	-80593.793	28.876	8392.84	0.224
78	51	129	Sb	-84627.681	21.285	8418.046	0.165
77	52	129	Te	-87003.181	1.751	8430.396	0.014
76	53	129	I	-88503.367	3.163	8435.96	0.025
75	54	129	Xe	-88697.386	0.739	8431.4	0.006
74	55	129	Cs	-87500.424	4.603	8416.056	0.036
73	56	129	Ba	-85064.555	10.951	8391.109	0.085
72	57	129	La	-81326.12	20.92	8356.064	0.162
71	58	129	Ce	-76287.496	27.945	8310.94	0.217
70	59	129	Pr	-69773.559	29.808	8254.38	0.231
69	60	129	Nd	-62235#	202#	8190#	2#
68	61	129	Pm	-52946#	401#	8112#	3#
67	62	129	Sm	-42253#	503#	8023#	4#
83	47	130	Ag	-46157#	334#	8144#	3#
82	48	130	Cd	-61569.949	282.769	8256.066	2.175
81	49	130	In	-69889.949	39.474	8314.048	0.304
80	50	130	Sn	-80138.949	10.685	8386.868	0.082
79	51	130	Sb	-82291.605	17.089	8397.409	0.131
78	52	130	Te	-87351.41	1.926	8430.312	0.015
77	53	130	I	-86932.379	3.163	8421.071	0.024
76	54	130	Xe	-89881.713	0.75	8437.74	0.006
75	55	130	Cs	-86900.424	8.366	8408.789	0.064
74	56	130	Ba	-87261.603	2.79	8405.549	0.021
73	57	130	La	-81628.008	25.946	8356.196	0.2
72	58	130	Ce	-79422.905	27.945	8333.216	0.215
71	59	130	Pr	-71175.457	64.273	8263.756	0.494
70	60	130	Nd	-66596.233	27.945	8222.513	0.215
69	61	130	Pm	-55470#	298#	8131#	2#
68	62	130	Sm	-47581#	401#	8064#	3#
67	63	130	Eu	-33936#	503#	7953#	4#
83	48	131	Cd	-55266#	298#	8207#	2#
82	49	131	In	-68137.141	27.993	8298.814	0.214
81	50	131	Sn	-77314.218	21.178	8362.896	0.162
80	51	131	Sb	-81987.983	20.617	8392.602	0.157
79	52	131	Te	-85209.473	1.927	8411.221	0.015
78	53	131	I	-87444.363	1.135	8422.309	0.009
77	54	131	Xe	-88415.211	0.96	8423.748	0.007
76	55	131	Cs	-88059.787	5.017	8415.063	0.038
75	56	131	Ba	-86683.79	2.803	8398.587	0.021
74	57	131	La	-83769.256	27.945	8370.367	0.213
73	58	131	Ce	-79715.394	33.534	8333.449	0.256
72	59	131	Pr	-74278.264	52.164	8285.972	0.398
71	60	131	Nd	-67768.984	27.945	8230.311	0.213
70	61	131	Pm	-59737#	196#	8163#	1#
69	62	131	Sm	-50198#	298#	8084#	2#
68	63	131	Eu	-39353#	401#	7995#	3#
84	48	132	Cd	-50720#	503#	8171#	4#
83	49	132	In	-62419.171	61.532	8253.773	0.466
82	50	132	Sn	-76554.171	13.644	8354.93	0.103
81	51	132	Sb	-79673.573	14.373	8372.634	0.109
80	52	132	Te	-85182.183	6.924	8408.44	0.052
79	53	132	I	-85699.888	5.797	8406.435	0.044
78	54	132	Xe	-89280.48	0.972	8427.633	0.007
77	55	132	Cs	-87155.926	1.9	8405.612	0.014
76	56	132	Ba	-88434.841	1.057	8409.373	0.008
75	57	132	La	-83740.245	39.164	8367.881	0.297
74	58	132	Ce	-82474.025	20.574	8352.362	0.156
73	59	132	Pr	-75213.484	56.821	8291.431	0.43
72	60	132	Nd	-71425.808	24.205	8256.81	0.183
71	61	132	Pm	-61711#	196#	8177#	1#
70	62	132	Sm	-55247#	298#	8122#	2#
69	63	132	Eu	-42504#	401#	8020#	3#
84	49	133	In	-57930#	298#	8219#	2#
83	50	133	Sn	-70952.598	35.662	8310.68	0.268
82	51	133	Sb	-78942.598	25.431	8364.873	0.191
81	52	133	Te	-82944.598	24.449	8389.081	0.184
80	53	133	I	-85886.598	4.665	8405.319	0.035
79	54	133	Xe	-87643.598	2.4	8412.647	0.018
78	55	133	Cs	-88070.958	0.022	8409.978	0
77	56	133	Ba	-87553.459	0.995	8400.205	0.007
76	57	133	La	-85494.383	27.945	8378.841	0.21
75	58	133	Ce	-82423.228	16.354	8349.867	0.123
74	59	133	Pr	-77937.607	12.497	8310.258	0.094
