N	Z	A	EL	MASS EXCESS       BINDING ENERGY/A
				(keV)		(keV)	
24	16	40	S	-22837.846	3.982	8329.325	0.1
23	17	40	Cl	-27557.813	32.066	8427.765	0.802
22	18	40	Ar	-35039.89464	0.00224	8595.259	0
21	19	40	K	-33535.492	0.056	8538.09	0.001
20	20	40	Ca	-34846.384	0.021	8551.303	0.001
19	21	40	Sc	-20523.335	2.828	8173.669	0.071
18	22	40	Ti	-8850.384	160	7862.286	4
17	23	40	V	12170#	300#	7317#	7#
28	13	41	Al	33420#	500#	7008#	12#
27	14	41	Si	12119.668	554.705	7508.573	13.529
26	15	41	P	-4979.767	120.163	7906.551	2.931
25	16	41	S	-19008.577	4.099	8229.635	0.1
24	17	41	Cl	-27307.189	68.723	8412.959	1.676
23	18	41	Ar	-33067.505	0.347	8534.372	0.008
22	19	41	K	-35559.54331	0.0038	8576.072	0
21	20	41	Ca	-35137.89	0.138	8546.706	0.003
20	21	41	Sc	-28642.412	0.083	8369.198	0.002
19	22	41	Ti	-15697.537	27.945	8034.388	0.682
18	23	41	V	320#	200#	7625#	5#
29	13	42	Al	40100#	600#	6874#	14#
28	14	42	Si	16470#	500#	7418#	12#
27	15	42	P	1009.74	314.379	7767.866	7.485
26	16	42	S	-17637.746	2.794	8193.227	0.067
25	17	42	Cl	-24831.767	59.616	8345.886	1.419
24	18	42	Ar	-34422.675	5.775	8555.613	0.138
23	19	42	K	-35022.026	0.106	8551.256	0.003
22	20	42	Ca	-38547.245	0.149	8616.563	0.004
21	21	42	Sc	-32121.153	0.169	8444.933	0.004
20	22	42	Ti	-25104.674	0.277	8259.247	0.007
19	23	42	V	-7620#	196#	7824#	5#
18	24	42	Cr	6730#	400#	7464#	10#
30	13	43	Al	47020#	800#	6741#	19#
29	14	43	Si	23101#	596#	7279#	14#
28	15	43	P	4679.826	554.705	7689.572	12.9
27	16	43	S	-12195.459	4.97	8063.827	0.116
26	17	43	Cl	-24159.508	61.858	8323.866	1.439
25	18	43	Ar	-32009.808	5.31	8488.237	0.123
24	19	43	K	-36575.389	0.41	8576.22	0.01
23	20	43	Ca	-38408.822	0.228	8600.663	0.005
22	21	43	Sc	-36188.102	1.863	8530.825	0.043
21	22	43	Ti	-29321.082	7.245	8352.932	0.168
20	23	43	V	-17916.356	42.849	8069.512	0.996
19	24	43	Cr	-1970#	400#	7680#	9#
30	14	44	Si	28513#	596#	7174#	14#
29	15	44	P	10450#	500#	7567#	11#
28	16	44	S	-9204.233	5.216	7996.015	0.119
27	17	44	Cl	-20384.523	136.321	8232.332	3.098
26	18	44	Ar	-32673.255	1.584	8493.84	0.036
25	19	44	K	-35781.492	0.419	8546.701	0.01
24	20	44	Ca	-41468.675	0.325	8658.175	0.007
23	21	44	Sc	-37815.985	1.756	8557.379	0.04
22	22	44	Ti	-37548.569	0.7	8533.52	0.016
21	23	44	V	-24116.38	181.641	8210.463	4.128
20	24	44	Cr	-13360#	300#	7948#	7#
19	25	44	Mn	7030#	500#	7467#	11#
31	14	45	Si	37490#	700#	6995#	16#
30	15	45	P	15600#	500#	7464#	11#
29	16	45	S	-3989.589	1035.356	7881.807	23.008
28	17	45	Cl	-18262.543	136.163	8181.598	3.026
27	18	45	Ar	-29770.796	0.512	8419.952	0.011
26	19	45	K	-36615.638	0.522	8554.674	0.012
25	20	45	Ca	-40812.174	0.366	8630.545	0.008
24	21	45	Sc	-41071.896	0.675	8618.931	0.015
23	22	45	Ti	-39009.84	0.845	8555.722	0.019
22	23	45	V	-31886.016	0.872	8380.029	0.019
21	24	45	Cr	-19514.799	35.397	8087.728	0.787
20	25	45	Mn	-5250#	400#	7753#	9#
19	26	45	Fe	13762#	400#	7313#	9#
31	15	46	P	22970#	700#	7317#	15#
30	16	46	S	340#	500#	7792#	11#
29	17	46	Cl	-13859.398	208.661	8083.48	4.536
28	18	46	Ar	-29772.926	1.118	8412.419	0.024
27	19	46	K	-35413.924	0.727	8518.042	0.016
26	20	46	Ca	-43139.361	2.235	8668.979	0.049
25	21	46	Sc	-41761.219	0.683	8622.012	0.015
24	22	46	Ti	-44127.799	0.165	8656.451	0.004
23	23	46	V	-37075.351	0.202	8486.13	0.004
22	24	46	Cr	-29471.567	11.453	8303.823	0.249
21	25	46	Mn	-12570#	400#	7919#	9#
20	26	46	Fe	910#	500#	7609#	11#
32	15	47	P	29710#	800#	7190#	17#
31	16	47	S	7370#	500#	7648#	11#
30	17	47	Cl	-9780#	400#	7996#	9#
29	18	47	Ar	-25366.338	1.118	8311.404	0.024
28	19	47	K	-35711.976	1.397	8514.879	0.03
27	20	47	Ca	-42344.418	2.222	8639.349	0.047
26	21	47	Sc	-44336.595	1.933	8665.09	0.041
25	22	47	Ti	-44937.364	0.115	8661.227	0.002
24	23	47	V	-42006.618	0.169	8582.225	0.004
23	24	47	Cr	-34562.578	6.03	8407.195	0.128
22	25	47	Mn	-22566.374	31.671	8135.311	0.674
21	26	47	Fe	-6870#	500#	7785#	11#
20	27	47	Co	10370#	600#	7401#	13#
32	16	48	S	12761#	596#	7545#	12#
31	17	48	Cl	-4280#	500#	7883#	10#
30	18	48	Ar	-22281.337	307.393	8242.132	6.404
29	19	48	K	-32284.477	0.773	8434.232	0.016
28	20	48	Ca	-44224.629	0.096	8666.686	0.002
27	21	48	Sc	-44503.842	4.951	8656.204	0.103
26	22	48	Ti	-48492.709	0.109	8723.006	0.002
25	23	48	V	-44477.694	0.975	8623.061	0.02
24	24	48	Cr	-42822.02	7.324	8572.269	0.153
23	25	48	Mn	-29296.338	6.939	8274.185	0.145
22	26	48	Fe	-18000#	400#	8023#	8#
21	27	48	Co	1500#	500#	7600#	10#
20	28	48	Ni	16793#	502#	7265#	10#
33	16	49	S	21093#	667#	7385#	14#
32	17	49	Cl	940#	600#	7781#	12#
31	18	49	Ar	-17190#	400#	8135#	8#
30	19	49	K	-29611.49	0.801	8372.274	0.016
29	20	49	Ca	-41299.765	0.201	8594.844	0.004
28	21	49	Sc	-46561.265	2.698	8686.256	0.055
27	22	49	Ti	-48563.787	0.114	8711.157	0.002
26	23	49	V	-47961.931	0.828	8682.908	0.017
25	24	49	Cr	-45333.06	2.243	8613.291	0.046
24	25	49	Mn	-37620.634	2.255	8439.929	0.046
23	26	49	Fe	-24750.727	24.219	8161.311	0.494
22	27	49	Co	-9880#	500#	7842#	10#
21	28	49	Ni	8200#	600#	7457#	12#
33	17	50	Cl	7740#	600#	7651#	12#
32	18	50	Ar	-13330#	500#	8056#	10#
31	19	50	K	-25727.848	7.731	8288.582	0.155
30	20	50	Ca	-39589.224	1.584	8550.163	0.032
29	21	50	Sc	-44547.382	15	8633.679	0.3
28	22	50	Ti	-51431.66	0.121	8755.718	0.002
27	23	50	V	-49224.013	0.409	8695.918	0.008
26	24	50	Cr	-50262.072	0.437	8701.032	0.009
25	25	50	Mn	-42627.595	0.442	8532.696	0.009
24	26	50	Fe	-34476.456	8.383	8354.026	0.168
23	27	50	Co	-17630#	400#	8001#	8#
22	28	50	Ni	-4120#	500#	7716#	10#
34	17	51	Cl	14290#	700#	7530#	14#
33	18	51	Ar	-6690#	600#	7926#	12#
32	19	51	K	-22516.196	13.047	8221.349	0.256
31	20	51	Ca	-36332.304	0.522	8476.913	0.01
30	21	51	Sc	-43228.684	20	8596.796	0.392
29	22	51	Ti	-49732.837	0.505	8708.988	0.01
28	23	51	V	-52203.842	0.401	8742.099	0.008
27	24	51	Cr	-51451.395	0.4	8712.005	0.008
26	25	51	Mn	-48243.877	0.502	8633.772	0.01
25	26	51	Fe	-40202.555	8.964	8460.759	0.176
24	27	51	Co	-27342.143	48.438	8193.254	0.95
23	28	51	Ni	-11900#	500#	7875#	10#
34	18	52	Ar	-1280#	600#	7825#	12#
