7	9	16	F	-	10680.253	8.321	6963.731	0.52	B-	-13306.523	22.106  1	6	11465.723	8.932
6	10	16	Ne	--	23986.776	20.48	6083.177	1.28	B-	*	1	6	25750.864	21.986
12	5	17	B	x	43716.317	204.104	5269.667	12.006	B-	22684.419	204.841  1	7	46931.399	219.114
11	6	17	C	2p-n	21031.898	17.365	6558.024	1.021	B-	13161.82	22.946  1	7	22578.672	18.641
10	7	17	N	#NAME?	7870.079	15	7286.229	0.882	B-	8678.842	15.000  1	7	8448.877	16.103
9	8	17	O		-808.76348	0.00066	7750.728	0	B-	-2760.465	0.248  1	6	999131.7566	0.0007
8	9	17	F		1951.702	0.248	7542.328	0.015	B-	-14548.746	0.432  1	7	2095.238	0.266
7	10	17	Ne		16500.447	0.354	6640.499	0.021	B-	-18672.766	1001.356  1	7	17713.959	0.38
6	11	17	Na	x	35173.214	1001.356	5496.08	58.903	B-	*	1	7	37760	1075
13	5	18	B	#NAME?	51792.634	204.165	4976.63	11.342	B-	26873.37	206.357  1	8	55601.682	219.18
12	6	18	C	++	24919.264	30	6426.131	1.667	B-	11806.096	35.282  1	8	26751.932	32.206
11	7	18	N	+	13113.168	18.57	7038.562	1.032	B-	13895.984	18.570  1	8	14077.565	19.935
10	8	18	O		-782.8156	0.00071	7767.097	0	B-	-1655.929	0.463  1	7	999159.6128	0.00076
9	9	18	F		873.113	0.463	7631.638	0.026	B-	-4444.501	0.589  1	8	937.325	0.497
8	10	18	Ne		5317.614	0.363	7341.257	0.02	B-	-19720.374	93.882  1	8	5708.693	0.39
7	11	18	Na		25037.988	93.881	6202.217	5.216	B-	*	1	8	26879.386	100.785
14	5	19	B	x	59770.244	525.363	4719.634	27.651	B-	27356.492	534.496  1	9	64166	564
13	6	19	C	#NAME?	32413.752	98.389	6118.273	5.178	B-	16557.471	99.748  1	9	34797.596	105.625
12	7	19	N	p-2n	15856.282	16.404	6948.543	0.863	B-	12523.424	16.614  1	9	17022.419	17.61
11	8	19	O	#NAME?	3332.858	2.637	7566.495	0.139	B-	4820.302	2.637  1	9	3577.97	2.83
10	9	19	F		-1487.4442	0.00086	7779.018	0	B-	-3239.494	0.160  1	8	998403.1629	0.00093
9	10	19	Ne	+3n	1752.05	0.16	7567.343	0.008	B-	-11177.34	10.536  1	9	1880.903	0.171
8	11	19	Na		12929.39	10.535	6937.885	0.554	B-	-18898.998	51.099  1	9	13880.272	11.309
7	12	19	Mg	#NAME?	31828.389	50.001	5902.025	2.632	B-	*	1	9	34169.182	53.678
15	5	20	B	x	68450#	800#	4453#	40#	B-	30946#	833#     2	0	073484#	859#
14	6	20	C	x	37503.563	230.625	5961.435	11.531	B-	15737.067	243.746  2	0	40261.732	247.585
13	7	20	N	x	21766.496	78.894	6709.171	3.945	B-	17970.324	78.899  2	0	23367.295	84.696
12	8	20	O	#NAME?	3796.172	0.885	7568.57	0.044	B-	3813.635	0.885  2	0	4075.358	0.95
11	9	20	F	#NAME?	-17.463	0.03	7720.134	0.002	B-	7024.467	0.030  1	9	999981.252	0.031
10	10	20	Ne		-7041.93055	0.00157	8032.24	0	B-	-13892.535	1.114  1	9	992440.1762	0.00168
9	11	20	Na		6850.604	1.114	7298.496	0.056	B-	-10627.088	2.171  2	0	7354.426	1.195
8	12	20	Mg	#NAME?	17477.692	1.863	6728.025	0.093	B-	*	2	0	18763.075	2
16	5	21	B	x	77330#	900#	4203#	43#	B-	31687#	1079#     2	1	083017#	966#
15	6	21	C	x	45643#	596#	5674#	28#	B-	20411#	611#     2	1	049000#	640#
14	7	21	N	x	25231.913	134.048	6609.015	6.383	B-	17169.878	134.584  2	1	27087.573	143.906
13	8	21	O	-3n	8062.035	12	7389.374	0.571	B-	8109.64	12.134  2	1	8654.95	12.882
12	9	21	F	#NAME?	-47.605	1.8	7738.293	0.086	B-	5684.171	1.800  2	0	999948.894	1.932
11	10	21	Ne		-5731.776	0.038	7971.713	0.002	B-	-3547.145	0.090  2	0	993846.685	0.041
10	11	21	Na		-2184.631	0.098	7765.547	0.005	B-	-13088.48	0.761  2	0	997654.702	0.105
9	12	21	Mg	x	10903.85	0.755	7105.031	0.036	B-	-16086#	596#     2	1	11705.764	0.81
8	13	21	Al	x	26990#	596#	6302#	28#	B-	*	2	1	028975#	640#
16	6	22	C	#NAME?	53611.197	231.49	5421.077	10.522	B-	21846.396	311.063  2	2	57553.99	248.515
15	7	22	N	x	31764.801	207.779	6378.534	9.445	B-	22481.768	215.435  2	2	34100.918	223.06
14	8	22	O	-4n	9283.033	56.921	7364.871	2.587	B-	6489.66	58.256  2	2	9965.746	61.107
13	9	22	F	+	2793.373	12.399	7624.295	0.564	B-	10818.092	12.399  2	2	2998.809	13.31
12	10	22	Ne		-8024.719	0.018	8080.465	0.001	B-	-2843.207	0.171  2	1	991385.109	0.018
11	11	22	Na		-5181.511	0.171	7915.667	0.008	B-	-4781.578	0.321  2	1	994437.418	0.183
10	12	22	Mg		-399.933	0.313	7662.761	0.014	B-	-18601#	401#     2	1	999570.654	0.335
9	13	22	Al	x	18201#	401#	6782#	18#	B-	-15137#	643#     2	2	019540#	430#
8	14	22	Si	x	33338#	503#	6058#	23#	B-	*	2	2	035790#	540#
17	6	23	C	x	64171#	997#	5077#	43#	B-	27450#	1082#     2	3	068890#	1070#
16	7	23	N	x	36720.425	420.57	6236.671	18.286	B-	22099.056	437.827  2	3	39421	451.5
15	8	23	O	x	14621.369	121.712	7163.485	5.292	B-	11336.106	126.190  2	3	15696.686	130.663
14	9	23	F		3285.263	33.32	7622.344	1.449	B-	8439.312	33.321  2	3	3526.874	35.77
13	10	23	Ne	#NAME?	-5154.049	0.104	7955.256	0.005	B-	4375.804	0.104  2	2	994466.9	0.112
12	11	23	Na		-9529.85248	0.00181	8111.493	0	B-	-4056.34	0.158  2	2	989769.282	0.00194
11	12	23	Mg	-	-5473.513	0.158	7901.115	0.007	B-	-12221.583	0.379  2	2	994123.941	0.17
10	13	23	Al	--	6748.07	0.345	7335.727	0.015	B-	-16949#	503#     2	3	7244.351	0.37
9	14	23	Si	x	23697#	503#	6565#	22#	B-	*	2	3	025440#	540#
17	7	24	N	x	46938#	401#	5887#	17#	B-	28438#	433#     2	4	050390#	430#
16	8	24	O	x	18500.402	164.874	7039.685	6.87	B-	10955.887	191.633  2	4	19861	177
15	9	24	F	x	7544.515	97.67	7463.582	4.07	B-	13496.161	97.672  2	4	8099.37	104.853
14	10	24	Ne	#NAME?	-5951.646	0.513	7993.325	0.021	B-	2466.255	0.513  2	3	993610.645	0.55
13	11	24	Na	#NAME?	-8417.901	0.017	8063.488	0.001	B-	5515.669	0.021  2	3	990963.011	0.017
12	12	24	Mg		-13933.569	0.013	8260.709	0.001	B-	-13884.704	0.233  2	3	985041.697	0.014
11	13	24	Al	ep	-48.865	0.233	7649.582	0.01	B-	-10794.06	19.473  2	3	999947.541	0.25
10	14	24	Si	--	10745.195	19.472	7167.232	0.811	B-	-22574#	503#     2	4	11535.441	20.904
9	15	24	P	x	33320#	503#	6194#	21#	B-	*	2	4	035770#	540#
18	7	25	N	x	55983#	503#	5613#	20#	B-	28654#	529#     2	5	060100#	540#
17	8	25	O	#NAME?	27329.027	165.084	6727.805	6.603	B-	15994.862	191.191  2	5	29338.919	177.225
16	9	25	F	x	11334.166	96.442	7336.306	3.858	B-	13369.667	100.721  2	5	12167.727	103.535
15	10	25	Ne		-2035.502	29.045	7839.799	1.162	B-	7322.312	29.070  2	4	997814.799	31.181
14	11	25	Na	#NAME?	-9357.813	1.2	8101.397	0.048	B-	3834.969	1.201  2	4	989953.973	1.288
13	12	25	Mg		-13192.783	0.047	8223.502	0.002	B-	-4276.808	0.045  2	4	985836.964	0.05
12	13	25	Al		-8915.975	0.065	8021.136	0.003	B-	-12743.299	10.000  2	4	990428.306	0.069
11	14	25	Si	+3n	3827.324	10	7480.11	0.4	B-	-15911#	401#     2	5	4108.801	10.735
10	15	25	P	x	19738#	401#	6812#	16#	B-	*	2	5	021190#	430#
18	8	26	O	#NAME?	34661.037	164.95	6497.478	6.344	B-	16012.161	198.932  2	6	37210.155	177.081
17	9	26	F	x	18648.875	111.199	7083.24	4.277	B-	18167.762	112.716  2	6	20020.392	119.377
16	10	26	Ne	x	481.114	18.429	7751.91	0.709	B-	7341.893	18.758  2	6	516.496	19.784
15	11	26	Na	x	-6860.78	3.502	8004.201	0.135	B-	9353.763	3.502  2	5	992634.649	3.759
14	12	26	Mg		-16214.542	0.03	8333.87	0.001	B-	-4004.391	0.063  2	5	982592.971	0.032
13	13	26	Al		-12210.151	0.067	8149.765	0.003	B-	-5069.136	0.085  2	5	986891.863	0.071
12	14	26	Si	-	-7141.015	0.108	7924.708	0.004	B-	-18114#	196#     2	5	992333.804	0.115
11	15	26	P	x	10973#	196#	7198#	8#	B-	-16106#	627#     2	6	011780#	210#
10	16	26	S	x	27079#	596#	6548#	23#	B-	*	2	6	029070#	640#
19	8	27	O	x	44670#	500#	6185#	19#	B-	19220#	634#     2	7	047955#	537#
18	9	27	F	x	25450.279	389.83	6867.932	14.438	B-	18399.37	400.258  2	7	27322	418.5
17	10	27	Ne	x	7050.909	90.77	7520.414	3.362	B-	12568.699	90.847  2	7	7569.462	97.445
16	11	27	Na	++	-5517.79	3.726	7956.946	0.138	B-	9068.821	3.727  2	6	994076.408	4
15	12	27	Mg	#NAME?	-14586.611	0.05	8263.852	0.002	B-	2610.251	0.069  2	6	984340.628	0.053
14	13	27	Al		-17196.861	0.047	8331.553	0.002	B-	-4812.359	0.096  2	6	981538.408	0.05
13	14	27	Si	-	-12384.503	0.107	8124.341	0.004	B-	-11662.044	26.340  2	6	986704.688	0.115
12	15	27	P	p4n	-722.458	26.34	7663.438	0.976	B-	-17750#	400#     2	6	999224.409	28.277
11	16	27	S	-	17028#	401#	6977#	15#	B-	*	2	7	018280#	430#
20	8	28	O	x	52080#	699#	5988#	25#	B-	18338#	802#     2	8	055910#	750#
19	9	28	F	#NAME?	33741.596	393.024	6614.792	14.037	B-	22441.859	412.748  2	8	36223.095	421.928
18	10	28	Ne	x	11299.737	126.068	7388.346	4.502	B-	12288.052	126.483  2	8	12130.767	135.339
17	11	28	Na	x	-988.315	10.246	7799.264	0.366	B-	14030.529	10.440  2	7	998939	11
16	12	28	Mg	+	-15018.845	2.001	8272.413	0.071	B-	1831.8	2.000  2	7	983876.606	2.148
15	13	28	Al	#NAME?	-16850.645	0.077	8309.894	0.003	B-	4642.15	0.077  2	7	981910.087	0.083
14	14	28	Si		-21492.7943	0.00049	8447.744	0	B-	-14345.055	1.152  2	7	976926.535	0.00052
13	15	28	P		-7147.74	1.152	7907.479	0.041	B-	-11220.945	160.004  2	7	992326.585	1.236
12	16	28	S	--	4073.206	160	7478.79	5.714	B-	-23443#	617#     2	8	4372.766	171.767
11	17	28	Cl	x	27516#	596#	6614#	21#	B-	*	2	8	029540#	640#
20	9	29	F	x	40150.186	525.363	6444.031	18.116	B-	21750.385	546.221  2	9	43103	564
19	10	29	Ne	x	18399.801	149.505	7167.067	5.155	B-	15719.807	149.685  2	9	19753	160.5
18	11	29	Na		2679.994	7.337	7682.151	0.253	B-	13282.824	13.557  2	9	2877.092	7.876
17	12	29	Mg	x	-10602.829	11.4	8113.202	0.393	B-	7604.931	11.405  2	8	988617.393	12.238
16	13	29	Al	x	-18207.76	0.345	8348.464	0.012	B-	3687.318	0.345  2	8	980453.164	0.37
15	14	29	Si		-21895.07838	0.00056	8448.635	0	B-	-4942.23	0.359  2	8	976494.6653	0.0006
14	15	29	P		-16952.848	0.359	8251.236	0.012	B-	-13796.432	50.001  2	8	981800.368	0.385
13	16	29	S	+3n	-3156.416	50	7748.52	1.724	B-	-16318.592	195.192  2	8	996611.448	53.677
12	17	29	Cl	#NAME?	13162.176	188.68	7158.832	6.506	B-	*	2	9	14130.178	202.555
21	9	30	F	x	48112#	596#	6233#	20#	B-	24832#	648#     3	0	051650#	640#
20	10	30	Ne		23280.117	253.25	7034.531	8.442	B-	14805.448	253.295  3	0	24992.235	271.875
19	11	30	Na		8474.67	4.727	7501.968	0.158	B-	17358.49	5.850  3	0	9097.932	5.074
18	12	30	Mg	x	-8883.82	3.447	8054.506	0.115	B-	6981.024	4.496  2	9	990462.826	3.7
17	13	30	Al	x	-15864.844	2.888	8261.128	0.096	B-	8568.116	2.888  2	9	982968.388	3.1
16	14	30	Si	#NAME?	-24432.96	0.022	8520.654	0.001	B-	-4232.106	0.061  2	9	973770.136	0.023
15	15	30	P	-	-20200.854	0.065	8353.506	0.002	B-	-6141.601	0.196  2	9	978313.489	0.069
14	16	30	S	-	-14059.253	0.206	8122.707	0.007	B-	-18502#	196#     2	9	984906.769	0.221
13	17	30	Cl	x	4443#	196#	7480#	7#	B-	-16488#	284#     3	0	004770#	210#
12	18	30	Ar	#NAME?	20931.147	206.155	6904.204	6.872	B-	*	3	0	22470.511	221.316
22	9	31	F	#NAME?	56143#	546#	6033#	18#	B-	24961#	608#     3	1	060272#	587#
21	10	31	Ne		31181.591	266.195	6813.09	8.587	B-	18935.559	266.562  3	1	33474.816	285.772
20	11	31	Na	x	12246.031	13.972	7398.677	0.451	B-	15368.182	14.307  3	1	13146.656	15
19	12	31	Mg	x	-3122.151	3.074	7869.188	0.099	B-	11828.555	3.801  3	0	996648.232	3.3
18	13	31	Al	x	-14950.706	2.236	8225.517	0.072	B-	7998.33	2.236  3	0	983949.756	2.4
17	14	31	Si	#NAME?	-22949.036	0.043	8458.291	0.001	B-	1491.505	0.043  3	0	975363.194	0.046
16	15	31	P		-24440.54095	0.00067	8481.167	0	B-	-5398.016	0.229  3	0	973761.9986	0.00072
15	16	31	S		-19042.525	0.229	8281.8	0.007	B-	-12007.974	3.454  3	0	979557.007	0.246
14	17	31	Cl	--	-7034.551	3.447	7869.209	0.111	B-	-18360#	200#     3	0	992448.098	3.7
13	18	31	Ar	-	11325#	200#	7252#	6#	B-	*	3	1	012158#	215#
22	10	32	Ne	x	36999#	503#	6671#	16#	B-	18359#	504#     3	2	039720#	540#
21	11	32	Na	x	18640.151	37.26	7219.881	1.164	B-	19469.051	37.402  3	2	20011.026	40
20	12	32	Mg	x	-828.9	3.26	7803.84	0.102	B-	10270.467	7.879  3	1	999110.139	3.5
19	13	32	Al	x	-11099.367	7.173	8100.344	0.224	B-	12978.319	7.179  3	1	988084.339	7.7
