Z    N    SKM*(MeV)         SKP(MeV)          SLY4(MeV)         SVMIN(MeV)        UNEDF0(MeV)       UNEDF1(MeV)       DDME2(MeV)        DDMEd(MeV)        DDPC1(MeV)        NL3*(MeV)         
26   34   -1.75209          -1.877772         -0.795418         -1.128292         -0.845107         -0.371807         -0.39505          -0.99905          -1.23605          -1.30705          
26   36   -2.035282         -1.983046         -0.910787         -1.483516         -0.930696         -0.44861          -1.13981          -1.88081          -1.85981          -1.92881          
26   38   -2.374187         -1.244645         -0.312418         -0.777856         -0.30877          0.097156          -0.68406          -1.38406          -1.36506          -1.54006          
28   28   -0.110041         -1.826206         -0.841213         -1.256171         -0.928007         -0.991718         -0.76016          -2.10316          -1.88216          0.03784           
28   30   0.324188          -0.819269         -0.445936         -0.4095           -0.081273         -0.088983         -0.93328          -2.11428          -1.60328          0.05672           
28   32   -0.031038         -0.912146         -0.437607         -0.492508         -0.079634         -0.306755         -1.3386           -2.0536           -2.1756           -0.6376           
28   34   -0.747655         -1.269229         -0.698439         -0.87569          -0.404183         -0.442839         -1.52321          -2.40221          -2.33321          -0.89621          
28   36   -1.334044         -1.436016         -0.485324         -0.843751         -0.625762         -0.164221         -0.80847          -1.54147          -1.54647          -0.71947          
28   38   -1.941386         -1.793355         -0.794042         -1.378802         -1.086524         -0.512107         -0.50156          -1.68756          -1.33956          -1.36356          
28   40   -2.639314         -1.81273          -0.757567         -1.493837         -1.148338         -0.529793         -1.31224          -2.22024          -1.64924          -1.75424          
28   42   -2.769565         -1.487685         -0.31231          -1.109231         -0.667888         -0.032888         -0.59464          -1.69264          -1.19264          -1.35664          
30   30   -1.410874         0.116523          -1.466312         -0.406528         0.495565          -0.331285         -0.53701          0.13199           -0.73601          -1.20301          
30   32   -1.586843         -0.192844         -1.338168         -0.386549         0.61528           0.017895          -0.58829          -0.00829          -0.33629          -0.81229          
30   34   -1.863557         -0.352092         -1.093093         -0.36007          0.495711          0.303615          -0.74444          0.22556           -0.14944          -0.99244          
