Z    N    S1n(MeV)          S1n_Err(MeV)      S1p(MeV)          S1p_Error(MeV)    Q4b(MeV)          Q4b_Error(MeV)    
12   20   5.77807           0.00448           20.3639           0.01435           25.18663          0.00326           
12   21   2.28012           0.00436           20.96682          0.03737           31.54815          0.00289           
12   22   4.71027           0.02902           22.74573          0.45084           38.25503          0.02888           
12   23   0.75488           0.27121           23.3293           0.65728           44.48599          0.26967           
12   24   3.33094           0.74105           *                 *                 51.04429          0.69024           
12   25   0.24              0.11              *                 *                 55.10789          0.69895           
13   10   *                 *                 0.14097           0.00047           *                 *                 
13   11   14.86825          0.00042           1.86432           0.00028           *                 *                 
13   12   16.93843          0.00024           2.27138           7e-05             *                 *                 
13   13   11.36549          7e-05             6.30634           6e-05             *                 *                 
13   14   13.05803          8e-05             8.27129           6e-05             *                 *                 
13   15   7.7251            6e-05             9.553             9e-05             *                 *                 
13   16   9.42843           0.00035           10.47789          0.00203           -31.36994         0.18868           
13   17   5.7284            0.00291           12.55099          0.01176           *                 *                 
13   18   7.15718           0.00365           13.35586          0.00411           -7.91615          0.00411           
13   19   4.21998           0.00751           15.26619          0.0078            2.23531           0.00719           
13   20   5.46933           0.01001           14.95745          0.00771           12.50596          0.007             
13   21   2.57423           0.00763           15.25156          0.00422           21.43979          0.00307           
13   22   5.29476           0.00798           15.83605          0.0298            28.7898           0.00736           
13   23   1.89721           0.14969           16.97837          0.30834           35.47239          0.1495            
13   24   4.21214           0.23418           17.85956          0.71338           41.5711           0.18024           
13   25   1.67102           0.41558           19.29059          0.79294           46.00796          0.37446           
14   10   *                 *                 3.29185           0.01948           *                 *                 
14   11   14.98919          0.02189           3.41278           0.01              *                 *                 
14   12   19.03966          0.01              5.51401           0.00011           *                 *                 
14   13   13.3148           0.00015           7.46332           0.00013           *                 *                 
14   14   17.17961          0.00011           11.5849           5e-05             *                 *                 
14   15   8.4736            0.0               12.3334           8e-05             *                 *                 
14   16   10.6092           2e-05             13.51417          0.00035           -45.36411         0.20616           
14   17   6.58739           4e-05             14.37316          0.00289           *                 *                 
14   18   9.19997           0.0003            16.41595          0.00226           -21.87734         0.00179           
14   19   4.50796           0.00076           16.70393          0.00721           -11.13003         0.00081           
14   20   7.51384           0.01413           18.74844          0.01575           -1.57856          0.01412           
14   21   2.50592           0.03854           18.68014          0.03599           8.65583           0.03586           
