Z    N    AME2003(MeV)      AME2016(MeV)      JFYLTRAP2017(MeV)      err2003(MeV)      err2016(MeV)      errJYFLTRAP2017(MeV)   SKM*(MeV)         SKP(MeV)          SLY4(MeV)         SVMIN(MeV)        UNEDF0(MeV)       UNEDF1(MeV)       DDME2(MeV)        DDMEd(MeV)        DDPC1(MeV)        NL3*(MeV)         FDRM2012(MeV)     HFB24(MeV)        
68   158  *                 *                 *                 *                 *                 *                 1.371042          *                 *                 0.339677          0.650594          0.530593          *                 *                 0.174             1.195             -0.39             0.142636          
68   160  *                 *                 *                 *                 *                 *                 0.820366          *                 *                 *                 0.373471          0.252774          *                 *                 *                 0.957             *                 0.072636          
68   162  *                 *                 *                 *                 *                 *                 0.393116          *                 *                 *                 0.129956          0.013773          *                 *                 *                 0.723             *                 -0.767364         
68   164  *                 *                 *                 *                 *                 *                 0.11664           *                 *                 *                 *                 *                 *                 *                 *                 0.503             *                 *                 
68   166  *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 0.302             *                 *                 
68   168  *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 0.12              *                 *                 
68   182  *                 *                 *                 *                 *                 *                 0.132922          *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 
68   184  *                 *                 *                 *                 *                 *                 0.174176          *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 
70   70   *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 30.172636         
70   72   *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 28.402636         
70   74   *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 26.452636         
70   76   *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 25.64             25.622636         
70   78   *                 *                 *                 *                 *                 *                 25.670542         25.396892         25.950989         25.759889         25.750016         25.743861         *                 *                 *                 *                 24.68             25.042636         
70   80   *                 *                 *                 *                 *                 *                 25.071666         25.590507         24.153594         24.542397         24.631778         24.367252         25.284            24.851            25.11             24.884            24.65             24.082636         
70   82   *                 *                 *                 *                 *                 *                 24.221922         24.357075         25.614476         25.041818         25.000722         24.949671         25.632            25.733            26.106            25.551            24.01             23.902636         
70   84   19.77079          19.80434          *                 0.20914           0.1507            *                 18.734509         19.585738         17.764471         18.788083         19.033467         18.382829         18.046            19.196            17.956            17.854            19.8              19.792636         
70   86   19.47339          19.47627          *                 0.02064           0.01963           *                 18.708487         18.61611          18.531766         18.644167         18.959676         18.607059         19.167            19.728            19.067            18.643            18.99             19.422636         
70   88   18.89296          18.88715          *                 0.01392           0.01225           *                 18.797869         18.72588          18.345281         18.70759          18.847306         18.492382         18.916            19.077            18.996            18.521            19.15             18.782636         
70   90   18.29743          18.2951           *                 0.0176            0.01073           *                 18.734272         18.121475         17.611989         18.17016          18.176903         17.870813         18.096            18.341            18.217            17.923            18.37             18.432636         
70   92   17.80454          17.80628          *                 0.02154           0.01687           *                 18.597258         17.561041         17.15739          17.704678         17.606504         17.433668         17.443            17.381            17.646            17.338            17.86             18.012636         
70   94   17.33382          17.33371          *                 0.02115           0.02115           *                 18.225467         17.163393         17.029552         17.320215         17.143288         17.052275         17.043            17.03             17.263            16.848            17.37             17.382636         
70   96   16.7084           16.72096          *                 0.01786           0.01692           *                 17.595216         16.700062         16.707291         16.840791         16.608554         16.57056          16.621            16.617            16.858            16.325            16.86             16.722636         
70   98   16.1288           16.12879          *                 0.007             0.007             *                 16.981207         16.132976         16.247913         16.246053         16.017696         15.987142         15.988            15.832            16.239            15.663            16.2              16.072636         
70   100  15.33695          15.32465          *                 0.00369           0.00119           *                 16.427709         15.408068         15.512825         15.521781         15.326155         15.238287         15.202            15.05             15.411            14.875            15.37             15.342636         
70   102  14.63396          14.63416          *                 0.00058           1e-05             *                 15.684601         14.531889         14.442582         14.635785         14.475588         14.345399         14.297            14.428            14.532            14.046            14.66             14.482636         
70   104  13.83195          13.8317           *                 0.00034           2e-05             *                 14.615128         13.526109         13.293933         13.567634         13.421784         13.256663         13.66             13.68             13.912            13.303            13.78             13.832636         
70   106  12.68717          12.68944          *                 0.00098           2e-05             *                 13.268578         12.595137         12.212008         12.56815          12.423012         12.174899         12.97             12.725            13.237            12.56             13.16             12.892636         
70   108  12.3468           12.34679          *                 0.01              0.01              *                 12.401312         11.901445         11.58865          11.907373         11.79091          11.513954         11.914            11.676            12.196            11.758            12.34             12.252636         
70   110  *                 *                 *                 *                 *                 *                 12.006074         11.332601         11.283729         11.406362         11.357374         11.096957         11.237            11.027            11.458            11.039            11.24             11.302636         
70   112  *                 *                 *                 *                 *                 *                 11.37679          10.692319         10.451727         10.618094         10.721943         10.314103         10.606            10.387            10.731            10.181            10.58             10.462636         
70   114  *                 *                 *                 *                 *                 *                 10.515909         9.954892          8.670214          9.595097          9.866998          9.282981          8.244             9.733             8.859             9.134             9.99              9.832636          
70   116  *                 *                 *                 *                 *                 *                 9.735553          9.749654          7.697362          8.97766           8.990577          8.796175          8.834             9.41              9.349             9.089             9.28              8.902636          
70   118  *                 *                 *                 *                 *                 *                 9.653343          9.513118          9.44511           9.719713          9.089604          9.458001          8.829             8.992             9.229             8.985             8.75              9.472636          
70   120  *                 *                 *                 *                 *                 *                 10.334971         8.976102          8.357427          8.958203          8.983746          8.633277          8.595             8.328             9.067             8.939             8.86              9.152636          
70   122  *                 *                 *                 *                 *                 *                 8.95391           8.993401          8.065874          9.031519          8.961364          8.613881          8.985             9.022             9.239             8.896             8.4               8.672636          
70   124  *                 *                 *                 *                 *                 *                 9.249055          9.477025          8.735248          9.488872          9.765465          8.851974          9.171             9.031             9.242             9.285             8.75              7.762636          
70   126  *                 *                 *                 *                 *                 *                 9.763829          8.57104           9.087788          9.191146          9.140334          9.184311          9.793             9.485             9.849             9.026             7.86              8.512636          
70   128  *                 *                 *                 *                 *                 *                 5.110416          5.536604          2.761027          4.614325          4.782749          4.320779          2.761             3.212             2.923             3.898             4.18              4.922636          
70   130  *                 *                 *                 *                 *                 *                 5.160035          4.300772          2.508803          3.577199          4.385691          3.978748          2.911             3.285             3.048             3.697             3.55              4.072636          
70   132  *                 *                 *                 *                 *                 *                 4.80135           4.024429          3.065246          3.920386          4.430111          3.9307            3.967             4.15              4.195             4.231             4.08              4.142636          
70   134  *                 *                 *                 *                 *                 *                 4.583514          3.754349          2.995442          3.978907          4.326099          3.835541          3.922             4.078             4.208             4.473             3.97              4.122636          
70   136  *                 *                 *                 *                 *                 *                 5.106312          3.596063          2.856992          3.927587          4.182214          3.816508          3.674             3.757             4.058             4.328             3.99              4.622636          
70   138  *                 *                 *                 *                 *                 *                 5.255325          3.550742          3.106893          3.929708          4.074373          3.861032          3.451             3.562             4.045             4.127             4.13              4.122636          
70   140  *                 *                 *                 *                 *                 *                 5.148069          3.531415          3.173625          3.94096           4.017674          3.906506          3.318             3.77              4.135             3.931             3.81              4.222636          
70   142  *                 *                 *                 *                 *                 *                 5.003246          3.430055          3.022609          3.812114          3.910884          3.766903          3.378             3.592             3.973             3.794             3.57              3.712636          
70   144  *                 *                 *                 *                 *                 *                 4.776303          3.145495          2.788311          3.53633           3.648451          3.435812          3.056             3.184             3.569             3.608             3.27              3.262636          
70   146  *                 *                 *                 *                 *                 *                 4.434023          2.775275          2.354819          3.153061          3.27099           2.987541          2.563             2.692             3.043             3.289             2.95              2.912636          
70   148  *                 *                 *                 *                 *                 *                 4.01418           2.405049          1.779304          2.728822          2.933468          2.59349           2.163             2.274             2.687             2.966             2.6               2.792636          
70   150  *                 *                 *                 *                 *                 *                 3.607423          2.083825          1.360858          2.386766          2.646458          2.341716          1.861             1.843             2.328             2.662             2.27              2.492636          
70   152  *                 *                 *                 *                 *                 *                 3.302512          1.766443          1.182248          2.136145          2.367056          2.137933          1.557             1.385             1.901             2.369             1.68              2.202636          
70   154  *                 *                 *                 *                 *                 *                 3.059003          1.403189          1.062207          1.884441          2.032857          1.868841          1.213             1.01              1.547             2.082             1.16              1.732636          
70   156  *                 *                 *                 *                 *                 *                 2.756475          0.998451          0.8719            1.542051          1.657066          1.517124          0.846             0.729             1.244             1.81              0.66              1.312636          
70   158  *                 *                 *                 *                 *                 *                 2.269292          0.553009          0.194997          1.056091          1.288822          1.139229          0.521             0.506             0.964             1.563             0.56              0.882636          
70   160  *                 *                 *                 *                 *                 *                 1.607743          0.148764          *                 0.540191          0.977917          0.823287          0.256             0.234             0.669             1.483             0.7               0.732636          
70   162  *                 *                 *                 *                 *                 *                 0.999023          *                 *                 0.12656           0.697054          0.533205          0.028             *                 0.314             1.23              0.18              0.152636          
70   164  *                 *                 *                 *                 *                 *                 0.62098           *                 *                 *                 0.433628          0.257248          *                 *                 0.012             0.988             -0.8              0.022636          
70   166  *                 *                 *                 *                 *                 *                 0.412605          *                 *                 *                 0.179338          0.015164          *                 *                 *                 0.767             *                 *                 
70   168  *                 *                 *                 *                 *                 *                 0.261634          *                 *                 *                 *                 *                 *                 *                 *                 0.571             *                 *                 
70   170  *                 *                 *                 *                 *                 *                 0.098322          *                 *                 *                 *                 *                 *                 *                 *                 0.399             *                 *                 
70   172  *                 *                 *                 *                 *                 *                 0.477653          *                 *                 *                 *                 *                 *                 *                 *                 0.26              *                 *                 
70   174  *                 *                 *                 *                 *                 *                 0.194372          *                 *                 *                 *                 *                 *                 *                 *                 0.186             *                 *                 
70   176  *                 *                 *                 *                 *                 *                 0.059734          *                 *                 *                 *                 *                 *                 *                 *                 0.225             *                 *                 
70   178  *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 0.026             *                 *                 
70   182  *                 *                 *                 *                 *                 *                 0.337615          *                 *                 0.562009          *                 *                 *                 *                 *                 *                 *                 *                 
70   184  *                 *                 *                 *                 *                 *                 0.650021          *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 
72   80   *                 *                 *                 *                 *                 *                 *                 26.860875         25.775417         25.980201         26.127642         25.844116         *                 *                 *                 *                 25.9              25.282636         
72   82   *                 *                 *                 *                 *                 *                 25.722945         25.601076         26.662515         26.287563         26.366961         26.174767         26.856            *                 27.278            26.807            25.26             25.292636         
72   84   *                 *                 *                 *                 *                 *                 19.792673         20.685193         18.945751         19.918419         20.094817         19.51606          19.31             20.458            19.199            19.129            21.18             20.742636         
72   86   20.39459          20.42813          *                 0.20919           0.15078           *                 19.82097          19.792867         19.831571         19.836496         19.908101         19.850273         20.2              20.854            20.062            19.648            19.9              20.562636         
72   88   19.97572          19.97919          *                 0.02098           0.01992           *                 19.550808         19.848874         19.489112         19.737647         19.748819         19.606545         19.87             20.219            19.979            19.479            20.02             19.822636         
72   90   19.37853          19.3727           *                 0.01501           0.01307           *                 19.244185         19.080329         18.553984         19.06062          19.077192         18.842756         19.238            19.36             19.288            18.919            19.55             19.342636         
72   92   18.79107          18.79213          *                 0.02255           0.01818           *                 19.053287         18.386329         17.888209         18.476348         18.44075          18.257537         18.489            18.431            18.636            18.315            18.77             18.882636         
72   94   18.18008          18.18311          *                 0.0346            0.03211           *                 18.780726         17.884315         17.649554         18.045302         17.972159         17.85836          17.918            17.975            18.132            17.798            18.25             18.392636         
72   96   17.6442           17.6442           *                 0.03952           0.03952           *                 18.256618         17.463311         17.391238         17.619278         17.492984         17.463779         17.632            17.85             17.869            17.398            17.75             17.762636         
72   98   17.03594          17.03594          *                 0.03952           0.03952           *                 17.824725         16.970406         17.088603         17.168699         16.956675         17.067142         17.122            17.031            17.342            16.793            17.17             16.972636         
72   100  16.29232          16.29101          *                 0.03712           0.03712           *                 17.269169         16.422409         16.527785         16.523357         16.304054         16.288071         16.265            16.247            16.47             15.983            16.4              16.372636         
72   102  15.58572          15.58489          *                 0.02459           0.02453           *                 16.417149         15.524401         15.289932         15.581949         15.492216         15.301665         15.435            15.599            15.634            15.177            15.72             15.652636         
72   104  14.87352          14.87447          *                 0.00175           0.00175           *                 15.444965         14.448008         14.171128         14.511753         14.461327         14.155407         14.886            14.845            15.069            14.45             15.07             14.792636         
72   106  14.00939          14.00155          *                 0.00069           0.00102           *                 14.429231         13.642857         13.487537         13.693444         13.544577         13.250316         14.156            13.845            14.387            13.691            14.42             14.352636         
72   108  13.48677          13.48675          *                 0.00017           0.00017           *                 13.706248         13.059773         12.843183         13.106141         12.976862         12.753096         13.08             12.848            13.35             12.865            13.53             13.452636         
72   110  12.4128           12.41279          *                 0.006             0.006             *                 13.284824         12.517224         12.467488         12.582138         12.535659         12.269475         12.354            12.135            12.582            12.12             12.47             12.372636         
72   112  11.58538          11.5925           *                 0.04021           0.04018           *                 12.637068         11.923071         11.71997          11.822647         11.894668         11.49938          11.648            11.492            11.791            11.286            11.83             11.762636         
72   114  *                 11.06747          *                 *                 0.06482           *                 11.893508         11.160019         10.273088         10.933656         11.042947         10.645171         10.027            10.987            10.528            10.45             11.19             10.842636         
72   116  *                 *                 *                 *                 *                 *                 11.001636         11.104504         9.444609          10.402337         10.224751         9.891119          10.079            10.399            10.432            10.113            10.5              9.792636          
72   118  *                 *                 *                 *                 *                 *                 11.071853         10.682307         10.095128         10.782955         10.598442         10.515878         9.852             9.926             10.251            9.76              10.01             10.572636         
72   120  *                 *                 *                 *                 *                 *                 11.312205         10.340164         9.495115          10.145773         10.060579         9.783856          9.236             8.926             9.522             9.67              9.58              10.302636         
72   122  *                 *                 *                 *                 *                 *                 10.23759          10.125386         9.63185           10.21516          10.101958         9.794522          9.824             10.016            10.27             9.837             9.64              9.562636          
72   124  *                 *                 *                 *                 *                 *                 10.397892         10.176985         9.758132          10.248531         10.596935         9.608828          10.04             10.05             10.308            10.11             9.66              8.862636          
72   126  *                 *                 *                 *                 *                 *                 10.456882         9.548049          9.731932          10.081585         10.112299         10.083183         10.674            10.144            10.466            9.894             8.64              9.372636          
72   128  *                 *                 *                 *                 *                 *                 5.835271          6.324304          3.589066          5.375322          5.50267           5.028515          3.526             4.172             3.781             4.569             5.29              5.762636          
72   130  *                 *                 *                 *                 *                 *                 5.957866          5.092565          3.34078           4.329566          5.087713          4.649399          3.591             4.132             3.787             4.363             4.36              4.822636          
72   132  *                 *                 *                 *                 *                 *                 5.612907          4.802651          3.882907          4.707937          5.14185           4.674633          4.57              4.775             4.763             4.697             4.57              4.892636          
72   134  *                 *                 *                 *                 *                 *                 5.313576          4.672042          3.851428          4.752745          5.01622           4.58799           4.591             4.803             4.877             5.012             4.76              5.032636          
72   136  *                 *                 *                 *                 *                 *                 5.629064          4.526003          3.63293           4.659256          4.832475          4.521202          4.384             4.502             4.731             4.91              4.52              5.142636          
72   138  *                 *                 *                 *                 *                 *                 5.764403          4.365769          3.699171          4.588824          4.655638          4.485577          4.153             4.286             4.681             4.737             4.87              5.082636          
72   140  *                 *                 *                 *                 *                 *                 5.724975          4.216887          3.776863          4.549243          4.52902           4.481004          3.979             4.577             4.894             4.572             4.54              4.692636          
72   142  *                 *                 *                 *                 *                 *                 5.628317          4.047307          3.693108          4.435881          4.384157          4.407548          4.249             4.42              4.785             4.545             4.27              4.492636          
72   144  *                 *                 *                 *                 *                 *                 5.429193          3.774695          3.52797           4.205636          4.158971          4.22462           3.903             4.041             4.381             4.332             4.02              3.902636          
72   146  *                 *                 *                 *                 *                 *                 5.092985          3.429912          3.174148          3.850919          3.848189          3.801027          3.386             3.592             3.893             3.978             3.7               3.842636          
72   148  *                 *                 *                 *                 *                 *                 4.673361          3.093044          2.605039          3.427548          3.530092          3.326123          2.979             3.145             3.534             3.627             3.36              3.542636          
72   150  *                 *                 *                 *                 *                 *                 4.228549          2.762614          2.135673          3.058603          3.260661          2.993944          2.641             2.66              3.126             3.297             3.09              3.212636          
72   152  *                 *                 *                 *                 *                 *                 3.880532          2.453523          1.877833          2.793512          2.984579          2.758786          2.289             2.119             2.624             2.975             2.52              2.792636          
72   154  *                 *                 *                 *                 *                 *                 3.624612          2.107402          1.730719          2.553367          2.669613          2.51772           1.907             1.748             2.262             2.66              2.01              2.542636          
72   156  *                 *                 *                 *                 *                 *                 3.370673          1.70146           1.579969          2.232435          2.293334          2.180938          1.523             1.499             1.985             2.359             1.55              2.052636          
72   158  *                 *                 *                 *                 *                 *                 3.003264          1.261898          0.992604          1.749258          1.906659          1.768895          1.205             1.277             1.739             2.087             1.43              1.752636          
72   160  *                 *                 *                 *                 *                 *                 2.379878          0.825013          0.057548          1.215472          1.555999          1.360058          0.953             0.949             1.437             1.847             1.51              1.652636          
72   162  *                 *                 *                 *                 *                 *                 1.736137          0.477177          *                 0.84034           1.316678          1.023434          0.718             0.495             1.016             1.624             1.16              0.762636          
72   164  *                 *                 *                 *                 *                 *                 1.389004          0.19385           *                 0.643938          1.226683          0.812207          0.457             0.157             0.668             1.408             -0.06             0.732636          
72   166  *                 *                 *                 *                 *                 *                 1.265636          *                 *                 0.495516          0.863494          0.676738          0.17              *                 0.362             1.209             -0.47             0.192636          
72   168  *                 *                 *                 *                 *                 *                 1.192003          *                 *                 0.292491          0.594893          0.552642          *                 *                 *                 1.089             -0.56             -0.467364         
72   170  *                 *                 *                 *                 *                 *                 1.058084          *                 *                 0.01689           0.455782          0.447866          *                 *                 *                 0.92              *                 -1.617364         
72   172  *                 *                 *                 *                 *                 *                 0.69231           *                 *                 *                 0.338693          0.36694           *                 *                 *                 0.78              *                 0.102636          
72   174  *                 *                 *                 *                 *                 *                 0.317514          *                 *                 *                 0.269965          0.271519          *                 *                 *                 0.674             *                 *                 
72   176  *                 *                 *                 *                 *                 *                 0.976991          *                 *                 *                 0.436051          0.115903          *                 *                 *                 0.69              *                 *                 
72   178  *                 *                 *                 *                 *                 *                 0.76355           *                 *                 *                 0.505119          *                 *                 *                 *                 0.564             *                 *                 
72   180  *                 *                 *                 *                 *                 *                 0.613787          *                 *                 *                 0.353296          0.062819          *                 *                 *                 0.399             *                 *                 
72   182  *                 *                 *                 *                 *                 *                 0.746419          *                 *                 1.240388          0.611674          0.595831          *                 *                 *                 0.085             *                 *                 
72   184  *                 *                 *                 *                 *                 *                 1.087011          *                 *                 *                 *                 0.122633          *                 *                 *                 *                 *                 *                 
74   82   *                 *                 *                 *                 *                 *                 27.261958         *                 27.923242         *                 27.637247         27.572432         *                 *                 *                 28.027            26.66             26.162636         
74   84   *                 *                 *                 *                 *                 *                 20.678117         21.760289         19.994956         20.995422         21.099063         20.581663         *                 *                 *                 20.465            22.04             22.332636         
74   86   *                 *                 *                 *                 *                 *                 20.64313          20.781061         20.623498         20.746127         20.770062         20.794731         21.096            21.856            20.913            20.563            21.12             21.312636         
74   88   20.78277          20.81539          *                 0.20926           0.15086           *                 20.378816         20.773274         20.500654         20.675061         20.582043         20.614826         20.789            21.31             20.825            20.38             21.01             20.672636         
74   90   20.37444          20.37919          *                 0.02125           0.02013           *                 19.95875          20.039071         19.645092         20.021906         19.954505         19.858182         20.176            20.216            20.225            19.786            20.39             20.232636         
74   92   19.80073          19.79491          *                 0.01567           0.01352           *                 19.616767         19.320704         18.86268          19.355799         19.287048         19.1763           19.385            19.399            19.539            19.167            19.95             19.732636         
74   94   19.14098          19.14771          *                 0.01932           0.01631           *                 19.330325         18.739069         18.37606          18.822786         18.756981         18.69013          18.643            18.884            18.891            18.611            19.21             19.422636         
74   96   18.54581          18.54036          *                 0.02217           0.01871           *                 18.894406         18.243885         18.037602         18.354353         18.279642         18.428428         18.827            19.021            18.972            18.512            18.6              18.662636         
74   98   17.94646          17.94899          *                 0.03178           0.0309            *                 18.359644         17.763732         17.901017         17.962157         17.792088         17.958284         18.26             18.222            18.431            17.921            18.03             18.042636         
74   100  17.27254          17.27254          *                 0.03952           0.03952           *                 17.969914         17.283359         17.278836         17.382682         17.223583         17.161568         17.307            17.436            17.509            17.076            17.33             17.392636         
74   102  16.55715          16.55715          *                 0.03952           0.03952           *                 17.286557         16.438419         16.155145         16.492759         16.468964         16.222672         16.461            16.745            16.665            16.256            16.75             16.602636         
74   104  15.91699          15.90797          *                 0.03185           0.03181           *                 16.63026          15.452744         15.221443         15.559423         15.509948         15.138143         15.884            15.944            16.033            15.485            16.16             15.952636         
74   106  15.37115          15.37181          *                 0.01575           0.01514           *                 15.621577         14.81801          14.825847         14.925665         14.708281         14.412321         15.187            14.745            15.358            14.701            15.58             15.402636         
74   108  14.74568          14.75258          *                 0.00385           0.00159           *                 14.934067         14.292497         14.116134         14.331752         14.183478         14.001805         14.266            13.82             14.43             13.908            14.64             14.432636         
74   110  13.60242          13.60195          *                 0.00027           0.00014           *                 14.4179           13.77333          13.612735         13.72953          13.697254         13.42804          13.575            13.15             13.732            13.197            13.6              13.722636         
74   112  12.94487          12.94579          *                 0.00158           0.00116           *                 13.817269         13.215026         12.933746         13.078815         13.14359          12.741599         12.826            12.633            12.987            12.449            13.07             12.902636         
74   114  12.30024          12.30192          *                 0.00327           0.0032            *                 13.375873         12.469903         11.88236          12.377341         12.401602         12.069427         11.755            12.283            12.109            11.773            12.44             12.082636         
