Z    N    AME2003(MeV)      AME2016(MeV)      JYFLTRAP(MeV)      err2003(MeV)      err2016(MeV)      errJYFLTRAP(MeV)   SKM*(MeV)         SKP(MeV)          SLY4(MeV)         SVMIN(MeV)        UNEDF0(MeV)       UNEDF1(MeV)       UNEDF2(MeV)       FRDM2012(MeV)     HFB24(MeV)        
21   23   21.83749          21.83747          *                  0.00175           0.00175           *                  22.790389         22.153672         22.095108         22.271369         22.413205         22.235408         22.025737         *                 *                 
21   25   20.08366          20.08787          *                  0.00193           0.00188           *                  21.386745         20.030241         20.192031         20.15193          20.301872         20.048278         20.486627         *                 *                 
21   27   18.88162          18.88526          *                  0.00538           0.005             *                  19.91489          18.304126         18.497872         18.320327         18.412356         18.114604         18.69978          *                 *                 
21   29   16.18342          16.18617          *                  0.01592           0.0158            *                  17.079471         16.318145         15.544377         15.956414         16.148803         15.640241         15.960736         *                 *                 
21   31   11.96229          12.03853          *                  0.1939            0.08321           *                  13.806733         13.889739         12.390904         13.128603         13.367532         12.724871         12.707167         *                 *                 
21   33   10.00493          9.59025           *                  0.41756           0.28481           *                  10.672219         10.989573         9.852599          10.280412         10.28297          9.745673          9.058299          *                 *                 
21   35   *                 7.10399           *                  *                 0.64715           *                  8.080432          8.473975          7.890879          8.225693          8.03671           7.534864          6.274991          *                 *                 
21   37   *                 *                 *                  *                 *                 *                  6.833252          6.880163          6.833806          7.10623           6.938029          6.382072          5.642678          *                 *                 
21   39   *                 *                 *                  *                 *                 *                  6.250701          5.648401          5.95442           6.086512          5.964203          5.345045          5.244783          *                 *                 
21   41   *                 *                 *                  *                 *                 *                  5.675071          4.332562          4.271238          4.534114          4.433805          3.734196          3.72497           *                 *                 
21   43   *                 *                 *                  *                 *                 *                  5.106084          3.133776          2.524442          3.013837          2.897177          2.38807           2.389939          *                 *                 
21   45   *                 *                 *                  *                 *                 *                  4.7625            2.361781          1.738317          2.298759          2.261594          1.869196          2.057694          *                 *                 
21   47   *                 *                 *                  *                 *                 *                  4.282218          1.759229          1.464146          1.832312          1.921568          1.492473          1.562119          *                 *                 
21   49   *                 *                 *                  *                 *                 *                  3.473559          *                 *                 1.185488          1.277231          0.992276          1.022806          *                 *                 
21   51   *                 *                 *                  *                 *                 *                  2.457047          *                 *                 *                 0.809201          0.605654          0.752011          *                 *                 
21   53   *                 *                 *                  *                 *                 *                  1.484543          *                 *                 *                 *                 0.509561          0.578825          *                 *                 
21   55   *                 *                 *                  *                 *                 *                  1.023626          *                 *                 *                 *                 0.490529          0.504421          *                 *                 
23   19   *                 *                 *                  *                 *                 *                  33.251653         34.650216         35.15371          34.765706         34.101223         35.950147         36.011864         *                 *                 
23   21   *                 *                 *                  *                 *                 *                  29.453006         29.841049         30.372284         30.23848          29.961694         30.985525         30.846546         *                 *                 
23   23   29.09927          29.10161          *                  0.1211            0.18164           *                  26.545221         25.976503         26.284416         26.392971         26.397648         26.702709         26.461718         *                 *                 
23   25   23.54501          23.54498          *                  0.00251           0.00098           *                  24.933629         23.751097         24.145805         24.074998         24.136056         24.231            24.416514         *                 *                 
23   27   20.8888           20.88895          *                  0.00261           0.00106           *                  22.590695         21.368573         21.512566         21.45915          21.707697         21.345421         21.683439         *                 *                 
23   29   18.36239          18.36239          *                  0.00015           0.00015           *                  19.466836         19.002791         18.343232         18.688603         19.053212         18.377033         18.56275          *                 *                 
23   31   14.59228          14.59204          *                  0.01503           0.01501           *                  16.121785         16.460726         15.119476         15.648119         15.935074         15.168167         15.146876         *                 *                 
23   33   12.33179          12.40434          *                  0.20481           0.17753           *                  12.971462         13.587053         12.507298         12.771402         12.698175         12.27788          11.839674         *                 *                 
23   35   10.27127          10.38951          *                  0.32123           0.19819           *                  10.549615         11.144747         10.555822         10.825434         10.534227         10.197581         9.252908          *                 *                 
23   37   8.51116           8.98284           *                  0.53556           0.23761           *                  9.669615          9.609554          9.544331          9.759515          9.498691          9.025661          8.396505          *                 *                 
23   39   *                 *                 *                  *                 *                 *                  9.153044          8.324427          8.710669          8.728183          8.508719          8.026651          7.889304          *                 *                 
23   41   *                 *                 *                  *                 *                 *                  8.357569          6.907203          6.939186          7.150152          6.965181          6.458321          6.530492          *                 *                 
23   43   *                 *                 *                  *                 *                 *                  7.584848          5.878853          5.222265          5.77301           5.560661          5.344702          5.413827          *                 *                 
23   45   *                 *                 *                  *                 *                 *                  6.963556          5.132974          4.636754          5.130214          4.97447           4.687621          4.808347          *                 *                 
23   47   *                 *                 *                  *                 *                 *                  6.185679          4.139692          3.967877          4.268813          4.232921          3.653986          3.714837          *                 *                 
23   49   *                 *                 *                  *                 *                 *                  5.184193          3.065357          2.80392           3.065193          3.080824          2.615409          2.647506          *                 *                 
23   51   *                 *                 *                  *                 *                 *                  3.989531          2.115606          *                 2.114129          2.203309          1.797978          1.992121          *                 *                 
23   53   *                 *                 *                  *                 *                 *                  2.712291          1.372868          *                 1.437223          1.655765          1.396433          1.504242          *                 *                 
23   55   *                 *                 *                  *                 *                 *                  1.941136          0.886419          *                 1.091841          1.391709          1.259111          1.266147          *                 *                 
23   57   *                 *                 *                  *                 *                 *                  1.365909          *                 *                 *                 1.155285          1.110621          0.904852          *                 *                 
25   19   *                 *                 *                  *                 *                 *                  36.723496         *                 *                 *                 37.796963         *                 *                 *                 *                 
25   21   *                 *                 *                  *                 *                 *                  32.926989         33.428436         34.119487         33.952914         33.722543         34.88212          34.74133          *                 *                 
25   23   *                 *                 *                  *                 *                 *                  30.085534         29.690528         30.227975         30.295579         30.22993          30.884376         30.406817         *                 *                 
25   25   29.44602          29.47389          *                  0.11178           0.00695           *                  28.298526         27.365645         27.886581         27.793219         27.83005          28.170109         28.124644         *                 *                 
25   27   24.22126          24.22232          *                  0.00206           0.00189           *                  25.269685         24.340001         24.492539         24.541166         24.953442         24.56861          24.91505          *                 *                 
25   29   20.99256          20.99298          *                  0.00214           0.0021            *                  21.905475         21.673538         21.180574         21.449728         21.984806         21.17674          21.341578         *                 *                 
25   31   17.49697          17.49654          *                  0.00108           0.00106           *                  18.485346         19.056489         17.925019         18.228137         18.560247         17.820375         17.671175         *                 *                 
25   33   15.13975          15.05866          *                  0.03              0.00272           *                  15.342535         16.212358         15.222658         15.410709         15.237173         15.059496         14.774042         *                 *                 
25   35   13.41364          13.28301          *                  0.09115           0.00357           *                  13.080552         13.833244         13.231624         13.492282         13.142573         12.97089          12.384561         *                 *                 
25   37   11.00361          11.69865          *                  0.23912           0.00694           *                  12.286183         12.315682         12.187129         12.363646         12.110756         11.623809         11.060216         *                 *                 
25   39   10.72053          10.60771          *                  0.34774           0.00744           *                  11.798143         10.984181         11.394896         11.353812         11.082172         10.654731         10.491381         *                 *                 
25   41   *                 9.90399           *                  *                 0.01172           *                  10.984751         9.477812          9.583009          9.750959          9.525803          9.122991          9.195042          *                 *                 
25   43   *                 *                 *                  *                 *                 *                  10.052663         8.377295          7.783292          8.308486          8.092724          7.975887          7.956203          *                 *                 
25   45   *                 *                 *                  *                 *                 *                  9.123967          7.646226          7.36649           7.632018          7.396739          7.155426          7.265815          *                 *                 
25   47   *                 *                 *                  *                 *                 *                  8.13333           6.476363          6.410645          6.586185          6.438611          5.827575          5.9669            *                 *                 
25   49   *                 *                 *                  *                 *                 *                  7.128278          5.112831          4.896676          5.065874          5.034852          4.504486          4.697779          *                 *                 
25   51   *                 *                 *                  *                 *                 *                  5.623273          3.968362          3.26691           3.859352          3.920651          3.410229          3.595463          *                 *                 
25   53   *                 *                 *                  *                 *                 *                  3.996753          2.951921          1.50519           2.845081          3.095909          2.671795          2.654662          *                 *                 
25   55   *                 *                 *                  *                 *                 *                  3.024802          2.226987          *                 2.214335          2.572842          2.274155          2.293888          *                 *                 
25   57   *                 *                 *                  *                 *                 *                  2.280904          1.506807          *                 1.695008          2.158102          1.983556          1.797519          *                 *                 
25   59   *                 *                 *                  *                 *                 *                  1.214665          *                 *                 *                 1.560798          1.347414          *                 *                 *                 
27   21   *                 *                 *                  *                 *                 *                  36.196816         36.760943         37.612519         37.30892          37.110209         38.222468         38.130866         *                 *                 
27   23   *                 *                 *                  *                 *                 *                  32.722922         32.719951         33.207612         33.363601         33.451485         34.070632         33.414638         *                 *                 
27   25   *                 *                 *                  *                 *                 *                  30.964474         30.347254         30.848716         30.848136         31.061244         31.414687         31.344124         *                 *                 
