Z    N    S2n(MeV)          S2n_Err(MeV)      S2p(MeV)          S2p_Error(MeV)    Q4b(MeV)          Q4b_Error(MeV)    
28   41   12.3786           0.00471           28.86424          0.41559           -11.52561         0.24329           
28   42   11.82869          0.34581           30.59964          0.77952           -12.00127         0.45953           
28   43   11.36778          0.36805           *                 *                 -11.93637         0.55511           
28   44   10.93308          0.55682           *                 *                 -13.23706         0.82373           
29   28   *                 *                 7.85996           0.01566           -7.08967          0.02385           
29   29   *                 *                 10.20064          0.00252           -6.07743          0.00156           
29   30   25.19028          0.01565           11.59096          0.00068           -4.75458          0.00077           
29   31   22.82468          0.00213           13.07617          0.00192           -4.72966          0.0026            
29   32   21.76905          0.00112           14.33317          0.00101           -5.06435          0.00108           
29   33   20.59637          0.00436           15.72677          0.00407           -5.37688          0.00422           
29   34   19.73852          0.00098           17.25905          0.00073           -5.77603          0.00033           
29   35   18.76904          0.00406           18.57068          0.02              -6.20015          0.00035           
29   36   17.82676          0.0007            20.00122          0.02001           -6.79015          0.001             
29   37   16.97667          0.00071           21.04353          0.02001           -7.25169          0.02001           
29   38   16.19775          0.00139           22.72679          0.0132            -7.90331          0.02005           
29   39   15.45139          0.00172           24.03364          0.25211           -8.19926          0.02007           
29   40   14.56007          0.00185           25.2531           0.31826           -8.9912           0.01322           
29   41   13.55173          0.00224           26.20365          0.31826           -9.28971          0.25211           
29   42   13.11755          0.00204           27.28647          0.33534           -10.07499         0.31826           
29   43   12.94951          0.00211           28.71773          0.83835           -10.8575          0.31826           
29   44   12.4181           0.00419           29.69117          0.83835           -11.40891         0.33536           
29   45   12.36584          0.0063            *                 *                 -12.78791         0.83837           
29   46   11.27584          0.97808           *                 *                 -12.67135         1.28819           
29   47   11.11241          0.0091            *                 *                 *                 *                 
30   28   *                 *                 2.97196           0.05121           -5.51183          0.07071           
30   29   *                 *                 5.75647           0.03719           -4.34984          0.03874           
30   30   28.03271          0.0511            8.53801           0.01054           -2.70901          0.01528           
30   31   25.22762          0.04055           9.76777           0.01628           -2.68843          0.01637           
30   32   23.1263           0.01455           11.27729          0.01003           -3.36865          0.01003           
30   33   22.01018          0.01633           12.57007          0.00157           -3.48229          0.00157           
30   34   20.9748           0.01              13.83544          0.00068           -3.95643          0.00072           
30   35   19.84121          0.00149           14.97698          0.00069           -4.11562          0.00072           
30   36   19.03847          0.001             16.37809          0.00078           -4.57825          0.00076           
30   37   18.11148          0.00102           17.33233          0.00081           -4.7928           0.00078           
30   38   17.25043          0.00029           18.57888          0.00169           -5.33286          0.00082           
30   39   16.68017          0.00025           19.25323          0.00305           -5.71684          0.00085           
30   40   15.70006          0.00213           20.67877          0.00356           -5.98328          0.0024            
30   41   15.05156          0.01023           21.92619          0.01085           -6.00913          0.01059           
30   42   14.70937          0.00639           23.55945          0.34585           -7.09248          0.00678           
30   43   14.22608          0.04131           24.78449          0.37021           -7.85661          0.04021           
30   44   13.72014          0.04753           26.34651          0.43896           -8.98393          0.349             
30   45   13.20131          0.08119           *                 *                 -9.69014          0.37475           
30   46   12.57039          0.09288           *                 *                 -10.62124         0.4437            
30   47   12.39596          0.13926           *                 *                 *                 *                 
30   48   11.34856          0.12046           *                 *                 *                 *                 
30   50   10.64483          0.19418           *                 *                 *                 *                 
31   30   *                 *                 5.3112            0.05259           -2.20582          0.05486           
31   31   *                 *                 8.23427           0.02791           -2.76329          0.0279            
31   32   25.59925          0.0526            9.14139           0.00163           -2.61478          0.00152           
31   33   22.97653          0.02793           10.61443          0.00456           -2.91515          0.00262           
31   34   22.25271          0.00155           11.65558          0.00087           -3.09845          0.00095           
31   35   21.03273          0.00372           12.87813          0.0031            -3.35151          0.0051            
31   36   20.36514          0.00146           14.19396          0.00138           -3.72507          0.00125           
31   37   19.50433          0.00324           15.40579          0.00159           -4.08679          0.00145           
31   38   18.59071          0.00174           16.58692          0.00171           -4.48901          0.00138           
31   39   17.9666           0.00194           17.921            0.00199           -5.07673          0.00138           
31   40   16.95512          0.00157           18.98197          0.00173           -5.24638          0.00158           
31   41   15.82192          0.00157           20.19119          0.00188           -5.44726          0.00188           
31   42   15.70173          0.00196           21.56615          0.00224           -6.38804          0.00218           
31   43   15.60284          0.00386           22.84453          0.00398           -7.49837          0.00405           
31   44   14.90788          0.00295           24.05593          0.0046            -8.17837          0.00284           
31   45   14.38969          0.00421           24.86838          0.00645           -8.93856          0.0024            
31   46   13.6704           0.00343           26.45048          0.97807           -9.43066          0.0046            
31   47   13.55256          0.00311           27.30853          0.00713           -10.12528         0.00661           
31   48   12.65982          0.09817           *                 *                 -10.81464         0.98298           
31   49   11.57123          0.12332           *                 *                 -10.5841          0.12348           
31   50   11.61642          0.21577           *                 *                 *                 *                 
32   32   *                 *                 7.75639           0.03322           -2.58703          0.03338           
32   33   *                 *                 8.77954           0.10001           -2.49406          0.10131           
32   34   23.41718          0.04374           10.19877          0.03017           -2.87791          0.03178           
32   35   22.38582          0.10011           11.32415          0.00462           -2.8697           0.00485           
32   36   21.49799          0.03079           12.6583           0.00626           -3.40111          0.00626           
32   37   20.58543          0.00485           13.79811          0.0016            -3.61392          0.00149           
32   38   19.72596          0.00614           15.13383          0.00124           -4.0886           0.00122           
32   39   18.94976          0.00167           16.0677           0.00125           -4.45221          0.00123           
32   40   18.16543          0.00184           17.5992           0.00255           -5.00361          0.00187           
32   41   17.53243          0.00184           18.54858          0.01032           -5.30448          0.00188           
32   42   16.97916          8e-05             19.869            0.00627           -6.2827           0.00254           
32   43   16.70153          9e-05             21.02402          0.04              -6.95445          0.01032           
32   44   15.93324          0.00048           22.0821           0.04711           -7.50658          0.00628           
32   45   15.50024          0.00063           23.32295          0.07065           -8.2286           0.04              
32   46   14.7918           0.00354           24.30351          0.08012           -8.57824          0.04724           
32   47   14.41713          0.08961           25.34412          0.14979           -9.44442          0.11411           
32   48   13.79559          0.02851           26.75054          0.09438           -9.80344          0.08488           
32   49   12.95742          0.14985           *                 *                 -10.00588         0.16981           
32   50   12.25147          0.24576           28.35718          0.29866           -10.70635         0.26021           
33   33   *                 *                 7.24592           0.67999           -1.92679          0.68056           
33   34   *                 *                 8.56858           0.10011           -2.52563          0.10012           
33   35   23.53956          0.68137           9.75275           0.04347           -2.48982          0.04341           
33   36   22.58149          0.10486           10.78492          0.03124           -2.85441          0.03123           
33   37   21.58651          0.06618           11.83493          0.05003           -3.0436           0.0501            
33   38   20.9503           0.03149           13.14452          0.00438           -3.43957          0.00426           
33   39   20.02933          0.0502            13.89766          0.00456           -3.5686           0.00465           
33   40   19.205            0.00573           15.3944           0.00402           -4.05386          0.00411           
33   41   18.77279          0.00442           16.84853          0.00249           -4.37479          0.00264           
33   42   18.21834          0.00369           17.91102          0.00247           -5.31708          0.002             
33   43   17.57217          0.00192           18.81786          0.00415           -6.12504          0.00201           
33   44   17.0268           0.00194           20.02994          0.00334           -6.64216          0.00285           
33   45   16.67055          0.0099            21.09872          0.01013           -7.19275          0.01061           
33   46   15.86258          0.0056            22.22212          0.00611           -7.59686          0.00611           
33   47   15.4845           0.02521           23.03066          0.02346           -8.28756          0.02341           
33   48   15.03942          0.00744           24.60172          0.09826           -8.96588          0.00603           
33   49   14.30736          0.20135           25.76678          0.23494           -9.04235          0.20002           
33   50   13.48998          0.22008           26.47529          0.29212           -9.79605          0.24091           
34   34   *                 *                 7.16833           0.04442           -2.28985          0.04545           
34   35   *                 *                 8.22166           0.03476           -2.31182          0.10577           
34   36   23.97404          0.06968           9.64437           0.0619            -2.8467           0.06857           
34   37   22.95744          0.04672           10.59367          0.03161           -2.88344          0.03193           
34   38   21.99083          0.06275           11.90924          0.01209           -3.33954          0.01356           
34   39   21.24394          0.03334           12.88785          0.01072           -3.54195          0.01077           
34   40   20.46096          0.01194           14.20476          0.00057           -4.07454          0.00188           
34   41   20.09401          0.01058           15.44943          0.00056           -4.6862           0.00187           
34   42   19.18195          0.0003            16.40755          0.00048           -5.09105          0.00049           
34   43   18.57321          0.0003            17.32111          0.00049           -5.72698          0.00049           
34   44   17.91667          0.00017           18.39098          0.00018           -6.02856          0.00051           
34   45   17.46064          0.00021           19.28151          0.00046           -6.48609          0.00053           
34   46   16.87648          0.00162           20.47567          0.00389           -6.9718           0.00162           
34   47   16.61455          0.00166           21.47893          0.0896            -7.6004           0.00171           
34   48   15.97671          0.00115           22.65678          0.02826           -8.15671          0.00398           
34   49   15.09377          0.00323           23.61529          0.12015           -8.27705          0.08965           
34   50   14.50045          0.01442           24.90576          0.24456           -8.86158          0.03172           
34   51   13.23024          0.03011           *                 *                 -8.54987          0.12379           
34   52   10.73138          0.02129           *                 *                 -7.34148          0.24463           
34   53   10.29629          0.04931           *                 *                 *                 *                 
34   54   9.4802            0.05176           *                 *                 *                 *                 
35   36   *                 *                 8.5546            0.56907           -2.84043          0.57696           
35   37   *                 *                 9.25003           0.07781           -2.54088          0.07371           
35   38   22.70825          0.57048           10.31254          0.05096           -2.96719          0.05962           
35   39   22.43351          0.06147           11.65421          0.01556           -3.38789          0.05224           
35   40   21.65272          0.05272           12.76026          0.01459           -3.6696           0.01484           
35   41   21.12572          0.01766           14.00714          0.00948           -4.48428          0.01019           
35   42   20.23853          0.01442           14.78044          0.00293           -4.70313          0.00457           
35   43   19.30577          0.00999           15.74074          0.00367           -5.01725          0.00398           
35   44   18.97623          0.00326           16.72988          0.00199           -5.46102          0.00184           
35   45   18.5798           0.00394           17.64999          0.00974           -6.02488          0.00184           
35   46   18.04896          0.00222           18.91625          0.00569           -6.48318          0.00267           
35   47   17.74963          0.00222           19.91512          0.02335           -7.10396          0.00998           
35   48   17.17673          0.00444           21.05356          0.00663           -7.79732          0.00676           
35   49   16.4455           0.01476           22.05327          0.20054           -8.06496          0.02752           
35   50   15.74397          0.01955           23.30755          0.22086           -8.50187          0.01988           
35   51   13.98287          0.01832           *                 *                 -7.74048          0.20031           
35   52   11.38929          0.02603           *                 *                 -6.40118          0.22074           
35   53   11.2352           0.03996           *                 *                 *                 *                 
35   54   10.85733          0.06237           *                 *                 *                 *                 
35   55   10.03035          0.08628           *                 *                 *                 *                 
35   56   9.07934           0.09401           *                 *                 *                 *                 
35   57   8.10293           0.0918            *                 *                 *                 *                 
36   35   *                 *                 5.19973           0.65303           *                 *                 
36   36   *                 *                 6.47264           0.0621            -2.15102          0.03357           
36   37   25.77106          0.65216           8.01336           0.03226           -2.67514          0.03507           
36   38   24.53322          0.00825           9.01504           0.01223           -2.71021          0.06162           
36   39   23.91451          0.01044           10.68392          0.01341           -3.6322           0.03261           
36   40   22.82544          0.00452           11.37952          0.00437           -3.54483          0.01271           
36   41   21.98845          0.00834           12.57837          0.00257           -4.37672          0.01087           
36   42   21.30804          0.00408           13.50562          0.00197           -4.39191          0.00199           
36   43   20.41593          0.00436           14.42108          0.00372           -4.69863          0.00373           
36   44   19.8554           0.0018            15.44435          0.00217           -5.06536          0.00217           
36   45   19.39394          0.00403           16.35438          0.00228           -5.51936          0.00228           
36   46   18.83965          0.00213           17.40751          0.00201           -5.98834          0.00208           
36   47   18.43031          0.00337           18.17013          0.00333           -6.48902          0.00319           
36   48   17.98412          0.00324           19.41492          0.00329           -7.09597          0.0033            
36   49   17.64119          0.00328           20.71755          0.0041            -7.51566          0.0028            
36   50   16.97721          0.00281           21.89168          0.01454           -8.09648          0.00202           
36   51   15.37179          0.00197           22.8591           0.0299            -7.79368          0.00363           
36   52   12.5692           0.01342           23.72951          0.02054           -6.16522          0.01979           
36   53   12.15983          0.05174           24.72263          0.06492           -6.72327          0.05976           
36   54   11.42035          0.02286           25.66965          0.05272           -6.85419          0.02418           
36   55   10.72634          0.07706           *                 *                 -7.15331          0.0693            
36   56   9.95784           0.02189           *                 *                 -7.33183          0.05074           
36   57   8.84984           0.11539           *                 *                 *                 *                 
37   37   *                 *                 7.47979           0.05972           *                 *                 
37   38   *                 *                 8.17068           0.05133           -2.58327          0.56826           
37   39   24.70542          0.00412           9.75169           0.01521           -3.88955          0.05964           
37   40   23.74549          0.01054           10.26345          0.01607           -3.62051          0.05133           
37   41   22.59903          0.00768           11.225            0.01205           -4.05506          0.01683           
37   42   22.12146          0.00956           12.14639          0.00682           -4.08926          0.01545           
37   43   21.37926          0.01021           13.29849          0.00801           -4.3086           0.01176           
37   44   20.79409          0.00847           13.96425          0.00632           -4.64482          0.00682           
37   45   20.15798          0.0075            14.87667          0.00339           -5.16081          0.0048            
37   46   19.76262          0.00848           15.67791          0.00615           -5.43121          0.00625           
37   47   19.70446          0.00393           16.8315           0.00337           -6.28547          0.00336           
37   48   19.23516          0.00601           17.73634          0.00422           -6.61741          0.00195           
37   49   19.13963          0.00281           19.52562          0.01465           -7.67547          0.00196           
37   50   18.5731           2e-05             20.56547          0.0191            -8.01378          0.00422           
37   51   16.00462          0.00026           21.54737          0.011             -7.23458          0.01465           
37   52   13.25734          0.00546           22.43352          0.0185            -5.52715          0.01987           
37   53   12.89535          0.00654           23.20752          0.03897           -6.14706          0.01279           
37   54   12.17546          0.00953           23.75164          0.06032           -6.31331          0.01943           
37   55   11.55297          0.00892           24.73014          0.07749           -6.46483          0.0389            
37   56   11.01484          0.01073           25.68714          0.07291           -6.47082          0.0603            
37   57   9.92394           0.01028           26.55115          0.05028           -6.35842          0.0777            
37   58   9.37904           0.02227           *                 *                 -6.77053          0.07556           
37   59   8.81393           0.03034           *                 *                 -7.06942          0.05773           
37   60   8.64501           0.03267           *                 *                 *                 *                 
37   61   9.13963           0.05649           *                 *                 *                 *                 
37   62   8.66519           0.12586           *                 *                 *                 *                 
37   64   8.861             0.20814           *                 *                 *                 *                 
38   37   *                 *                 4.64787           0.22022           -2.12327          0.68827           
38   38   *                 *                 6.49033           0.03732           -2.72789          0.03811           
38   39   27.32502          0.22032           8.05838           0.01235           -3.67723          0.0114            
38   40   25.07266          0.038             8.73755           0.00847           -3.26733          0.00773           
38   41   23.81515          0.01253           9.88508           0.00861           -3.57787          0.01166           
38   42   23.27693          0.00994           10.70644          0.00666           -3.71882          0.00771           
38   43   22.19376          0.01043           11.66291          0.00732           -3.78318          0.0065            
38   44   21.84279          0.00862           12.69383          0.00576           -4.25357          0.00567           
38   45   21.41037          0.01203           13.67934          0.0104            -4.77762          0.01098           
38   46   20.77809          0.0056            14.63227          0.00364           -5.17626          0.00352           
38   47   20.44977          0.0107            15.6988           0.00391           -5.83345          0.00346           
38   48   20.02237          0.00334           16.67053          0.00299           -6.35898          0.00209           
38   49   19.92047          0.00303           17.97809          0.00222           -7.32362          0.003             
38   50   19.5408           0.0002            19.23411          0.00109           -7.91567          0.003             
38   51   17.47136          0.00018           20.07766          0.00112           -7.15379          0.00223           
38   52   14.1625           0.00293           20.82741          0.01372           -5.10095          0.00289           
38   53   13.57877          0.00461           21.4966           0.05193           -5.36077          0.00453           
38   54   13.06873          0.00442           22.4758           0.01881           -5.60048          0.01384           
38   55   12.58196          0.00874           23.35222          0.05761           -5.7829           0.05229           
38   56   12.11536          0.00794           24.63332          0.01373           -6.2955           0.01983           
38   57   11.17485          0.0106            25.67724          0.10056           -6.23142          0.05762           
38   58   10.24116          0.02825           *                 *                 -6.57883          0.02983           
38   59   9.81392           0.02037           *                 *                 -7.1955           0.10212           
38   60   9.84934           0.03756           *                 *                 *                 *                 
38   61   9.5402            0.08177           *                 *                 *                 *                 
38   62   9.71628           0.1299            *                 *                 *                 *                 
38   63   9.36419           0.14772           *                 *                 *                 *                 
38   64   9.0008            0.16875           *                 *                 *                 *                 
39   40   *                 *                 8.10999           0.45014           -3.55982          0.45014           
39   41   *                 *                 8.8595            0.17714           -3.16287          0.17699           
39   42   23.8034           0.45435           9.79192           0.06244           -3.61772          0.0626            
39   43   23.11724          0.20456           10.59748          0.10282           -3.68108          0.10285           
39   44   22.45185          0.07633           11.44968          0.04472           -3.94811          0.04472           
39   45   22.1081           0.13734           12.5476           0.09142           -4.40992          0.09164           
39   46   21.6582           0.0482            13.34526          0.01989           -4.81222          0.01989           
39   47   21.26836          0.09247           14.11149          0.01445           -5.52029          0.01445           
39   48   21.31923          0.01903           15.42933          0.00156           -6.36883          0.00621           
39   49   21.1582           0.01422           16.13006          0.00185           -6.97403          0.00335           
39   50   20.82566          0.00283           17.68189          0.00255           -7.95933          0.00255           
39   51   18.33096          0.003             18.4564           0.00256           -6.16536          0.00256           
39   52   14.78592          0.00249           19.21047          0.00615           -4.17215          0.00289           
39   53   14.4685           0.00929           20.02956          0.01123           -4.62924          0.00927           
39   54   14.02076          0.01065           21.05578          0.01329           -4.93557          0.01195           
39   55   13.67781          0.01154           22.15439          0.00938           -5.4117           0.00961           
39   56   13.12654          0.0127            23.16748          0.01045           -5.88666          0.0108            
39   57   12.14084          0.02438           24.3713           0.02479           -5.99958          0.02426           
39   58   11.19326          0.01343           24.9817           0.02345           -6.06508          0.01393           
39   59   10.26335          0.03357           25.82072          0.03769           -6.33898          0.02592           
39   60   10.08587          0.02692           26.42255          0.0387            -6.77191          0.03223           
39   61   10.96952          0.08236           27.6506           0.0933            -8.49458          0.08395           
39   62   10.85394          0.09803           28.6113           0.15756           -8.98083          0.10005           
39   63   10.7408           0.11651           *                 *                 -10.09574         0.0999            
40   40   *                 *                 6.92106           1.49041           -3.69807          1.49086           
40   41   *                 *                 7.58985           0.16675           -3.10934          0.1668            
40   43   24.11271          0.19216           9.50879           0.09606           -3.4069           0.09622           
40   45   22.8332           0.1391            10.93163          0.10133           -4.04633          0.10099           
40   46   *                 *                 11.73845          0.03026           -4.22088          0.0306            
40   47   22.34166          0.10114           12.82352          0.00881           -4.97763          0.01327           
40   48   21.96139          0.03162           13.67747          0.0103            -5.40418          0.01076           
40   49   21.66337          0.00858           14.56641          0.00374           -6.19123          0.00466           
40   50   21.2868           0.01              15.42347          0.00247           -6.6686           0.00247           
40   51   19.16415          0.00314           16.2592           0.00246           -5.4349           0.00245           
40   52   15.82925          0.00051           17.09022          0.00221           -2.95706          0.00246           
40   53   15.36927          0.00046           18.0497           0.00436           -3.33281          0.00245           
40   54   14.95559          0.00198           18.97708          0.00414           -3.75015          0.00286           
40   55   14.68336          0.00202           20.1511           0.00786           -4.4374           0.00466           
40   56   14.31859          0.00229           21.1803           0.00751           -5.0              0.00437           
40   57   13.43151          0.00218           22.40776          0.00776           -5.28695          0.00799           
40   58   11.98677          0.01975           22.92591          0.03351           -4.87141          0.02113           
40   59   10.96446          0.02012           23.5583           0.02759           -5.07656          0.02135           
40   60   11.46002          0.04096           24.53659          0.04443           -6.09026          0.04506           
40   61   11.83139          0.03628           25.84949          0.08556           -7.09404          0.0367            
40   62   11.2808           0.06144           26.10111          0.13666           -7.52172          0.057             
40   63   11.05743          0.11316           27.54274          0.16524           -8.61127          0.13499           
41   42   *                 *                 7.51916           0.32102           -3.0269           0.54933           
41   44   24.3332           0.38646           9.40051           0.22831           -3.5567           0.23243           
41   45   *                 *                 10.24644          0.12512           -4.05887          0.13352           
41   46   23.17666          0.23201           10.91897          0.06348           -4.28151          0.07506           
41   47   22.38939          0.13191           11.36747          0.10152           -4.34016          0.13585           
41   48   22.60987          0.06624           12.2096           0.02685           -5.23318          0.03283           
41   49   22.7258           0.10058           12.93507          0.00494           -5.7976           0.0149            
41   50   22.12469          0.02707           13.50863          0.00342           -6.03863          0.00401           
41   51   19.93471          0.00441           14.53882          0.00246           -4.57411          0.00329           
41   52   16.71847          0.00337           15.44119          0.00241           -1.93145          0.00228           
41   53   16.0588           0.00203           16.12912          0.00926           -2.30196          0.00228           
41   54   15.71626          0.00203           17.13668          0.01063           -2.86179          0.00272           
41   55   15.38183          0.00377           17.83314          0.00781           -3.21528          0.0098            
41   56   14.96638          0.00185           18.97652          0.00726           -3.8074           0.01074           
41   57   14.06749          0.00633           19.75978          0.02383           -3.60496          0.00879           
41   58   12.86394          0.01342           20.6472           0.01759           -3.5448           0.01507           
41   59   12.55339          0.02623           22.04983          0.03546           -4.01751          0.03471           
41   60   12.75791          0.02163           23.31925          0.02975           -5.10945          0.02214           
41   61   12.5508           0.04743           23.63111          0.08818           -6.30497          0.04751           
41   62   12.51743          0.07039           24.98274          0.11696           -7.54102          0.07205           
41   63   12.01883          0.11243           24.90914          0.1358            -7.35427          0.13102           
41   64   11.67826          0.12058           *                 *                 -8.36534          0.13798           
42   45   *                 *                 9.12374           0.24498           -3.66129          0.24299           
42   46   24.28637          0.43888           9.47368           0.03625           *                 *                 
42   47   23.4516           0.2238            10.23368          0.01741           -4.27968          0.10198           
42   48   23.60981          0.02112           11.12211          0.01149           -4.78783          0.03053           
42   49   23.34291          0.01832           11.91322          0.01155           -5.28093          0.01373           
42   50   22.78037          0.00678           12.61568          0.00374           -5.60682          0.01068           
42   51   20.74196          0.01051           13.49103          0.00372           -4.35953          0.00479           
42   52   17.74734          0.00365           14.53377          0.00205           -2.06736          0.00209           
42   53   17.04663          0.00365           15.16839          0.00203           -2.24201          0.00205           
42   54   16.52342          0.00011           16.1016           0.00191           -2.76153          0.00205           
42   55   15.97558          0.00022           16.46062          0.00184           -2.84832          0.00203           
42   56   15.46386          0.00022           17.24687          0.0022            -3.2698           0.00192           
42   57   14.56803          0.00016           17.59714          0.00219           -2.73299          0.00185           
42   58   14.21522          0.00578           19.47532          0.02069           -3.16643          0.00616           
42   59   13.68803          0.00578           20.3207           0.01917           -2.9895           0.00616           
42   60   13.5158           0.02              21.53111          0.04062           -4.69546          0.02877           
42   61   13.47843          0.06108           21.96774          0.06841           -5.50347          0.06401           
42   62   12.91383          0.05758           23.16414          0.07376           -6.14927          0.06454           
42   63   12.63326          0.09349           23.54357          0.12987           -6.30534          0.07772           
42   64   12.06905          0.05653           *                 *                 -6.93752          0.05366           
42   65   11.74785          0.17658           *                 *                 -6.99576          0.1948            
43   47   *                 *                 9.71144           0.2622            -3.80517          0.25681           
43   48   *                 *                 9.91172           0.2021            -4.22593          0.20926           
43   49   23.87068          0.24357           10.85632          0.0263            -5.28646          0.10381           
43   50   23.761            0.20028           11.54803          0.00486           -5.37706          0.02709           
43   51   21.36195          0.0263            12.28356          0.0048            -3.92261          0.00608           
43   52   18.55697          0.00633           13.38654          0.00545           -1.80935          0.00622           
43   53   17.80593          0.00656           14.03069          0.00551           -1.79383          0.00574           
43   54   17.34587          0.00654           15.01615          0.00415           -2.43675          0.00457           
43   55   16.75315          0.00616           15.40202          0.00466           -2.48818          0.00391           
43   56   16.24567          0.00423           16.29544          0.00203           -2.96616          0.00111           
43   57   15.73109          0.00351           17.06562          0.00563           -2.83744          0.0035            
43   58   15.15533          0.02404           18.58683          0.02747           -3.15511          0.02412           
43   59   14.69208          0.00943           19.2043           0.02704           -3.46203          0.01084           
43   60   14.40382          0.02596           20.23274          0.02132           -4.69499          0.01656           
43   61   14.06313          0.04644           20.71664          0.06116           -4.97177          0.05235           
43   62   13.83326          0.05581           21.54857          0.08726           -5.77034          0.05822           
43   63   13.43155          0.04745           22.12935          0.1056            -5.85252          0.04284           
43   64   12.95785          0.15986           22.82816          0.18023           -6.21076          0.16469           
43   65   12.32043          0.12716           *                 *                 -6.15413          0.16425           
43   66   11.57543          0.17826           *                 *                 -6.10793          0.13866           
43   67   11.15052          0.14782           *                 *                 *                 *                 
43   68   10.82365          0.1452            *                 *                 *                 *                 
43   69   11.18149          0.14586           *                 *                 *                 *                 
44   49   *                 *                 9.63931           0.08565           -4.68656          0.08632           
44   50   *                 *                 10.34084          0.01326           -4.82555          0.01411           
44   51   22.32692          0.08591           11.22427          0.01242           -3.67057          0.01627           
44   52   19.6468           0.01              12.2403           0.00804           -1.69197          0.00871           
44   53   18.80506          0.00992           12.98269          0.0085            -1.73366          0.00913           
44   54   18.29504          0.01006           14.01191          0.00649           -2.23968          0.00649           
44   55   17.64737          0.0085            14.65448          0.00163           -2.3344           0.00164           
44   56   17.13715          0.00652           15.6852           0.00163           -2.8534           0.00164           
44   57   16.47538          0.00024           16.56182          0.00164           -2.83419          0.00164           
44   58   16.02169          0.00024           17.49168          0.00591           -3.41123          0.00164           
44   59   15.45169          0.00016           18.32548          0.00592           -3.71785          0.00165           
44   60   15.13346          0.00283           19.10934          0.02099           -4.32948          0.00638           
44   61   14.81151          0.00283           19.65857          0.06075           -4.84134          0.00638           
44   62   14.37584          0.00742           20.57135          0.05413           -5.18952          0.02211           
44   63   14.13785          0.12372           21.16316          0.14268           -5.50076          0.13783           
44   64   13.49343          0.1164            21.99574          0.11754           -5.76913          0.12798           
44   65   13.07043          0.14019           22.48574          0.17458           -5.93793          0.0971            
44   66   12.45152          0.12777           *                 *                 -6.1516           0.05619           
44   67   11.95765          0.09891           *                 *                 -6.14773          0.17759           
44   68   11.64449          0.09083           *                 *                 *                 *                 
44   69   11.67967          0.10156           *                 *                 *                 *                 
44   71   10.36832          0.14652           *                 *                 *                 *                 
45   50   *                 *                 9.31523           0.15052           -4.78057          0.25053           
45   51   *                 *                 10.10339          0.01346           -3.16968          0.02894           
45   52   20.39206          0.15443           11.15031          0.03667           -1.41163          0.03653           
45   53   19.63804          0.01736           11.9355           0.01299           -1.44577          0.0126            
45   54   19.12779          0.03691           12.93223          0.00817           -1.98244          0.00868           
45   55   18.55204          0.02167           13.73439          0.01847           -2.19189          0.0189            
45   56   17.97626          0.01846           14.66282          0.01719           -2.61283          0.01769           
45   57   17.33341          0.01869           15.33672          0.00487           -2.77215          0.00581           
45   58   16.7568           0.017             16.26429          0.02409           -3.12396          0.00252           
45   59   16.31745          0.00453           16.9621           0.00955           -3.35852          0.00272           
45   60   15.96609          0.0045            17.82655          0.01011           -3.93472          0.02433           
45   61   15.55429          0.00783           18.45325          0.04616           -4.22073          0.01163           
45   62   15.16028          0.01247           19.15357          0.05635           -4.69117          0.01552           
45   63   14.80046          0.10532           19.82217          0.10589           -4.95805          0.11455           
45   64   14.29002          0.01649           20.48574          0.15051           -5.14793          0.05637           
45   65   13.89923          0.11652           21.40096          0.13614           -5.42574          0.05217           
45   66   13.48916          0.028             22.39946          0.09954           -5.67924          0.15293           
45   67   13.10806          0.07188           23.35851          0.09217           -6.21336          0.13654           
45   68   12.46816          0.05719           24.04397          0.11923           -6.57196          0.10799           
45   69   12.03303          0.12396           24.21005          0.16769           -7.09588          0.13625           
