Z,N,AME2003,AME2003_sd,AME2016,AME2016_sd,JYFLTRAP2017,JYFLTRAP2017_sd,TRIUMF2018,TRIUMF2018_sd,RIKEN2018,RIKEN2018_sd,new_other,new_other_sd,SKM*,SKP,SLY4,SVMIN,UNEDF0,UNEDF1,UNEDF2,FRDM2012,HFB24
11,11,11.06959,0.00081,11.0682,0.0002,*,*,*,*,*,*,*,*,9.883571,9.269524,9.174496,9.32229,9.820324,9.959986,9.646184,9.98,10.29
11,13,6.95958,8e-05,6.95937,2e-05,*,*,*,*,*,*,*,*,7.769625,7.539906,6.750689,7.082968,8.208665,7.28906,7.216511,6.57,6.61
11,15,5.57582,0.00595,5.57428,0.0037,*,*,*,*,*,*,*,*,5.717498,5.540925,5.133444,5.388065,5.70373,5.400597,5.147447,5.15,6.03
11,17,3.54313,0.0135,3.54184,0.0109,*,*,*,*,*,*,*,*,2.476226,2.793806,2.629463,2.996265,2.906041,2.891442,2.282254,3.66,3.35
11,19,2.37523,0.02833,2.27664,0.00873,*,*,*,*,*,*,*,*,1.602471,1.270712,1.270636,1.607691,1.792684,1.610958,1.421527,2.07,1.3
11,21,1.66161,0.41415,1.6772,0.03979,*,*,*,*,*,*,*,*,1.210715,-0.183277,-0.811118,-0.144508,0.138269,0.029962,-0.287978,1.38,0.42
11,23,*,*,0.17132,0.74948,*,*,*,*,*,*,*,*,0.791541,-0.080643,-0.189283,0.126047,0.318904,0.160561,-0.054081,0.67,0.32
11,25,*,*,*,*,*,*,*,*,*,*,*,*,0.006604,-1.028899,-1.312639,-0.768098,-0.460953,-0.651549,-0.921859,-0.75,-0.7
11,27,*,*,*,*,*,*,*,*,*,*,*,*,-0.641701,-1.707922,-2.022912,-1.39121,-1.042855,-1.113079,-1.404529,-0.12,-1.31
11,29,*,*,*,*,*,*,*,*,*,*,*,*,-0.944779,-1.97474,-2.407292,-1.555496,-1.124902,-1.225252,-1.464395,-2.55,-1.74
11,31,*,*,*,*,*,*,*,*,*,*,*,*,-0.943596,-2.004669,-2.349027,-1.536908,-1.097145,-1.287838,-1.408311,-2.71,-1.97
11,33,*,*,*,*,*,*,*,*,*,*,*,*,-1.860146,-2.782317,-2.960844,-2.029192,-1.568657,-1.534956,-2.040971,-3.24,-1.81
11,35,*,*,*,*,*,*,*,*,*,*,*,*,-3.538076,-3.885606,-4.21269,-3.406192,-2.94607,-3.058781,-3.44459,-1.55,*
11,37,*,*,*,*,*,*,*,*,*,*,*,*,-3.358342,-4.198466,-4.420643,-3.522713,-2.940482,-2.928938,-3.339296,-4.26,*
11,39,*,*,*,*,*,*,*,*,*,*,*,*,-2.981932,-4.044569,-4.428506,-3.459087,-2.874493,-2.733442,*,-5.52,*
11,41,*,*,*,*,*,*,*,*,*,*,*,*,-3.884363,-3.933049,-4.406116,-3.405383,-2.845315,-2.691661,*,-4.38,*
11,43,*,*,*,*,*,*,*,*,*,*,*,*,-2.560776,-4.026407,-4.320295,-3.31258,-2.775127,-2.756777,*,-5.1,*
11,45,*,*,*,*,*,*,*,*,*,*,*,*,-3.432169,-4.075468,-4.484226,-3.433717,-2.707267,-2.798932,*,*,*
11,47,*,*,*,*,*,*,*,*,*,*,*,*,-3.53797,-4.103387,-4.547846,-3.359745,-2.768344,-2.742038,*,*,*
11,49,*,*,*,*,*,*,*,*,*,*,*,*,-3.549113,-4.125594,-4.584308,-3.403263,-2.881763,-2.718247,*,*,*
11,51,*,*,*,*,*,*,*,*,*,*,*,*,-3.513004,-4.386242,-4.74839,-3.718208,-3.251539,-3.102309,*,*,*
13,3,*,*,*,*,*,*,*,*,*,*,*,*,21.903571,22.899607,22.617741,20.867525,22.321881,20.972835,**,**,**
13,5,*,*,*,*,*,*,*,*,*,*,*,*,23.199848,23.71407,23.351301,22.411446,23.821331,23.502996,23.583595,**,**
13,7,*,*,*,*,*,*,*,*,*,*,*,*,18.647076,19.541016,19.484335,19.209323,19.355539,20.544295,20.554748,**,**
13,9,*,*,*,*,*,*,*,*,*,*,*,*,13.54426,13.638491,13.613417,13.893944,14.564296,14.817234,14.32268,16.12,18.62
13,11,14.89783,0.01885,14.86825,0.00042,*,*,*,*,*,*,*,*,12.710464,12.347477,12.333076,12.446411,13.0636,13.29043,12.948323,14.28,14.86
13,13,11.36545,0.00048,11.36549,7e-05,*,*,*,*,*,*,*,*,10.677369,10.403073,9.883949,10.212059,11.249967,10.69504,10.644692,10.98,12.24
13,15,7.7251,6e-05,7.7251,6e-05,*,*,*,*,*,*,*,*,8.084031,8.142898,7.697721,7.93694,8.305951,8.040485,7.741197,7.91,7.71
13,17,5.72841,0.0141,5.7284,0.00291,*,*,*,*,*,*,*,*,4.788879,5.810862,5.160246,5.399714,5.266184,5.471715,4.948852,5.21,5.4
13,19,4.17966,0.08832,4.21998,0.00751,*,*,*,*,*,*,*,*,3.793034,3.120811,3.686587,3.862092,3.980219,3.928231,3.870462,3.89,3.82
13,21,2.47443,0.13442,2.57423,0.00763,*,*,*,*,*,*,*,*,2.991395,1.95249,1.381097,1.862708,2.181148,1.811179,1.438692,2.81,2.51
13,23,2.15915,0.27704,1.89721,0.14969,*,*,*,*,*,*,*,*,2.538661,1.607725,1.601201,1.769623,1.904989,1.833668,1.678746,2.1,1.65
13,25,1.96705,0.80199,1.67102,0.41558,*,*,*,*,*,*,*,*,1.766364,0.773351,0.55758,0.907498,1.157194,0.913439,0.69487,1.34,0.82
13,27,*,*,*,*,*,*,*,*,*,*,*,*,1.090636,0.069289,-0.22428,0.238278,0.544159,0.384216,0.159124,1.93,-0.05
13,29,*,*,*,*,*,*,*,*,*,*,*,*,0.445378,-0.461011,-0.942192,-0.234614,0.176987,-0.130686,-0.266815,-1.83,0.09
13,31,*,*,*,*,*,*,*,*,*,*,*,*,0.166261,-0.758006,-1.340795,-0.499771,0.036683,-0.30641,-0.317212,-1.15,-0.96
13,33,*,*,*,*,*,*,*,*,*,*,*,*,-1.027452,-1.784583,-2.050962,-1.174599,-0.668945,-0.722182,-1.380022,-1.48,-1.13
13,35,*,*,*,*,*,*,*,*,*,*,*,*,-2.835691,-3.129397,-3.416222,-2.677395,-2.217269,-2.642309,-3.153042,-2.24,-0.92
13,37,*,*,*,*,*,*,*,*,*,*,*,*,-2.79462,-3.569586,-3.672914,-2.907763,-2.2955,-2.539346,-3.106646,-3.42,*
13,39,*,*,*,*,*,*,*,*,*,*,*,*,-2.552465,-3.577336,-3.79995,-3.009558,-2.401676,-2.396544,*,-2.98,*
13,41,*,*,*,*,*,*,*,*,*,*,*,*,-3.306404,-3.473985,-3.992978,-3.09929,-2.549212,-2.367484,*,-3.23,*
13,43,*,*,*,*,*,*,*,*,*,*,*,*,-1.966519,-3.61984,-3.906411,-3.045669,-2.587384,-2.494076,*,-3.59,*
13,45,*,*,*,*,*,*,*,*,*,*,*,*,-2.985599,-3.802857,-4.118284,-3.215357,-2.578947,-2.603976,*,-4.95,*
13,47,*,*,*,*,*,*,*,*,*,*,*,*,-2.935144,-3.89385,-4.294527,-3.20752,-2.666932,-2.56458,*,-4.25,*
13,49,*,*,*,*,*,*,*,*,*,*,*,*,-3.046823,-3.9075,-4.286538,-3.174443,-2.7184,-2.514908,*,-4.17,*
13,51,*,*,*,*,*,*,*,*,*,*,*,*,-3.080342,-4.104715,-4.33751,-3.358024,-2.912595,-2.757243,*,*,*
15,3,*,*,*,*,*,*,*,*,*,*,*,*,23.53848,24.191565,24.042568,22.180807,23.388007,21.962718,**,**,**
15,5,*,*,*,*,*,*,*,*,*,*,*,*,25.575069,26.137216,25.966359,24.785581,25.94079,25.612441,**,**,**
15,7,*,*,*,*,*,*,*,*,*,*,*,*,21.315395,22.358764,22.347141,21.812064,21.94256,23.039864,23.190361,**,**
15,9,*,*,*,*,*,*,*,*,*,*,*,*,15.79565,16.358592,16.164982,16.266758,17.194712,17.052903,16.576937,18.95,21.86
15,11,*,*,*,*,*,*,*,*,*,*,*,*,15.076207,14.906229,14.939486,15.034577,15.801467,15.964992,15.677587,15.77,15.72
15,13,14.51304,0.02655,14.4966,0.02637,*,*,*,*,*,*,*,*,13.556485,13.203297,12.96353,13.236428,14.05063,14.023846,13.953578,14.86,14.99
15,15,11.31927,0.00068,11.31932,0.00036,*,*,*,*,*,*,*,*,10.384521,10.561671,10.078519,10.456119,10.843371,10.873285,10.459226,11.83,12.62
15,17,7.93565,4e-05,7.93565,4e-05,*,*,*,*,*,*,*,*,7.082894,8.263647,7.623972,7.781361,7.627991,8.072297,7.59088,7.28,6.91
