Z, N, experiment, who missed, value
82,129,2016,Erik,1649.389714
49,72,2016,Erik,1024.13112
55,86,2016,Erik,1169.505029
38,42,2016,Erik,686.288235
40,64,2016,Erik,873.847799
43,61,2016,Erik,888.280184
11,20,2016,Erik,229.35916
58,89,2016,Erik,1213.122305
46,69,2016,Erik,972.640624
68,82,2016,Erik,1215.33035
51,58,2016,Erik,916.125642
27,37,2016,Erik,555.233682
100,152,2016,Erik,1878.923178
34,49,2016,Erik,718.660592
17,15,2016,Erik,258.317185
55,62,2016,Erik,967.808968
76,97,2016,Erik,1374.318942
77,109,2016,Erik,1480.19783
81,106,2016,Erik,1468.412057
82,120,2016,Erik,1592.195519
49,65,2016,Erik,970.365722
50,81,2016,Erik,1095.490563
31,49,2016,Erik,680.676774
35,50,2016,Erik,737.255834
74,91,2016,Erik,1312.73583
75,91,2016,Erik,1313.05727
38,45,2016,Erik,716.988336
43,50,2016,Erik,800.598349
8,16,2016,Erik,168.952563
64,93,2016,Erik,1287.951068
11,13,2016,Erik,193.523867
14,10,2016,Erik,172.013772
90,123,2016,Erik,1636.660652
96,147,2016,Erik,1829.044279
78,103,2016,Erik,1434.268073
43,67,2016,Erik,925.239158
98,139,2016,Erik,1778.294782
46,76,2016,Erik,1013.329624
47,70,2016,Erik,989.756555
68,89,2016,Erik,1277.411902
69,85,2016,Erik,1243.429107
5,3,2016,Erik,37.737311
62,76,2016,Erik,1136.834983
47,55,2016,Erik,868.751463
77,102,2016,Erik,1422.607973
81,99,2016,Erik,1398.854892
82,115,2016,Erik,1550.643717
50,72,2016,Erik,1035.525464
64,84,2016,Erik,1220.755063
65,90,2016,Erik,1271.452676
14,13,2016,Erik,219.357424
39,63,2016,Erik,853.936614
78,110,2016,Erik,1494.206716
79,100,2016,Erik,1407.95016
69,94,2016,Erik,1324.37256
24,38,2016,Erik,522.540678
5,12,2016,Erik,89.584422
47,60,2016,Erik,915.268032
30,28,2016,Erik,486.965191
20,18,2016,Erik,313.121918
59,73,2016,Erik,1094.483769
81,100,2016,Erik,1410.338298
82,106,2016,Erik,1471.071657
50,67,2016,Erik,995.625293
31,39,2016,Erik,609.650068
18,24,2016,Erik,359.336032
91,143,2016,Erik,1777.15716
40,53,2016,Erik,806.461275
65,83,2016,Erik,1214.240483
14,20,2016,Erik,283.428998
53,71,2016,Erik,1046.745502
39,52,2016,Erik,790.330235
78,113,2016,Erik,1516.297978
79,109,2016,Erik,1487.974762
26,27,2016,Erik,458.386719
44,65,2016,Erik,926.089398
68,79,2016,Erik,1179.892891
56,68,2016,Erik,1036.122544
66,101,2016,Erik,1356.206734
20,25,2016,Erik,388.374818
59,78,2016,Erik,1142.814595
82,101,2016,Erik,1420.475083
28,41,2016,Erik,594.994258
32,44,2016,Erik,661.598392
31,44,2016,Erik,649.561098
35,41,2016,Erik,656.327572
18,19,2016,Erik,315.504431
74,116,2016,Erik,1510.040068
91,132,2016,Erik,1706.390908
40,60,2016,Erik,852.215905
110,160,2016,Erik,1958.520915
8,5,2016,Erik,75.553036
65,84,2016,Erik,1223.263388
53,64,2016,Erik,983.316619
39,45,2016,Erik,721.374145
95,144,2016,Erik,1805.332914
78,120,2016,Erik,1567.002965
79,106,2016,Erik,1463.247643
44,56,2016,Erik,861.936525
98,148,2016,Erik,1844.785272
83,111,2016,Erik,1516.93084
48,59,2016,Erik,913.06929
12,17,2016,Erik,235.283051
56,75,2016,Erik,1100.215725
62,97,2016,Erik,1297.042672
86,123,2016,Erik,1628.565847
89,133,2016,Erik,1705.583458
52,63,2016,Erik,969.582999
56,58,2016,Erik,922.225016
20,32,2016,Erik,438.328136
59,71,2016,Erik,1074.289134
60,79,2016,Erik,1156.987147
28,32,2016,Erik,526.846866
32,35,2016,Erik,578.401872
88,128,2016,Erik,1671.268281
35,46,2016,Erik,704.372127
8,12,2016,Erik,151.371522
63,83,2016,Erik,1206.242972
53,73,2016,Erik,1063.433722
36,55,2016,Erik,777.299904
54,73,2016,Erik,1071.132948
39,42,2016,Erik,688.978673
79,115,2016,Erik,1536.243297
44,55,2016,Erik,852.263199
9,19,2016,Erik,185.214308
83,116,2016,Erik,1562.056185
48,50,2016,Erik,821.073583
12,8,2016,Erik,134.560669
15,13,2016,Erik,221.409645
56,82,2016,Erik,1158.292857
86,114,2016,Erik,1550.987702
89,142,2016,Erik,1759.083944
59,92,2016,Erik,1239.390983
60,70,2016,Erik,1068.927576
6,14,2016,Erik,119.228797
88,135,2016,Erik,1713.825274
70,107,2016,Erik,1424.846352
91,146,2016,Erik,1794.182415
74,102,2016,Erik,1413.300907
93,138,2016,Erik,1756.092948
40,42,2016,Erik,694.186033
38,64,2016,Erik,845.705074
63,88,2016,Erik,1244.134875
53,82,2016,Erik,1131.94341
54,64,2016,Erik,988.248584
95,134,2016,Erik,1731.860139
79,120,2016,Erik,1573.481692
44,46,2016,Erik,756.879749
9,20,2016,Erik,186.877036
83,125,2016,Erik,1632.770703
12,7,2016,Erik,112.138654
56,89,2016,Erik,1194.04662
27,31,2016,Erik,506.860604
66,78,2016,Erik,1167.205879
67,100,2016,Erik,1357.774401
86,117,2016,Erik,1577.35059
87,121,2016,Erik,1613.437067
91,122,2016,Erik,1628.33578
59,85,2016,Erik,1196.862644
60,93,2016,Erik,1255.301952
25,37,2016,Erik,529.38734
32,49,2016,Erik,695.033779
88,142,2016,Erik,1753.041502
70,98,2016,Erik,1362.799994
71,112,2016,Erik,1461.221639
74,97,2016,Erik,1369.388805
75,117,2016,Erik,1522.606883
80,120,2016,Erik,1581.180206
48,81,2016,Erik,1066.706069
72,87,2016,Erik,1269.864166
36,37,2016,Erik,617.593968
54,91,2016,Erik,1179.58844
92,138,2016,Erik,1752.813474
41,54,2016,Erik,821.485803
95,143,2016,Erik,1798.230533
104,157,2016,Erik,1923.93274
88,119,2016,Erik,1598.373012
15,19,2016,Erik,287.238511
13,25,2016,Erik,280.329891
87,118,2016,Erik,1587.867007
86,140,2016,Erik,1728.090011
