Z, N, experiment, who missed, value
35,43,2003,Erik,-5.01725
18,17,2003,Erik,-6.42768
33,47,2003,Erik,-8.28756
40,62,2003,Erik,-7.52172
36,44,2003,Erik,-5.06536
51,76,2003,Erik,-5.69881
34,44,2003,Erik,-6.02856
52,70,2003,Erik,-1.08288
54,82,2003,Erik,-3.66787
41,63,2003,Erik,-7.35427
8,7,2003,Erik,-10.21965
49,76,2003,Erik,-8.24439
50,82,2003,Erik,-11.69009
9,6,2003,Erik,-9.95311
42,60,2003,Erik,-4.69546
35,49,2003,Erik,-8.06496
55,82,2003,Erik,-3.08392
53,78,2003,Erik,-3.16918
38,46,2003,Erik,-5.17626
43,49,2003,Erik,-5.28646
15,24,2003,Erik,-15.16846
39,47,2003,Erik,-5.52029
11,8,2003,Erik,-6.27348
44,58,2003,Erik,-3.41123
55,72,2003,Erik,-0.72162
48,61,2003,Erik,-2.52051
12,19,2003,Erik,-12.71225
45,59,2003,Erik,-3.35852
49,56,2003,Erik,-0.6818
13,18,2003,Erik,-11.86111
56,77,2003,Erik,-1.28099
50,63,2003,Erik,-2.24953
47,69,2003,Erik,-5.25128
3,4,2003,Erik,-2.46658
51,62,2003,Erik,-0.35591
57,87,2003,Erik,-0.26637
58,79,2003,Erik,-0.75001
4,7,2003,Erik,-8.35189
46,51,2003,Erik,-2.95863
5,6,2003,Erik,-8.66513
59,89,2003,Erik,-0.06323
28,34,2003,Erik,-7.01759
32,37,2003,Erik,-3.61392
29,35,2003,Erik,-6.20015
16,24,2003,Erik,-12.80898
36,43,2003,Erik,-4.69863
54,85,2003,Erik,-0.24117
34,39,2003,Erik,-3.54195
52,77,2003,Erik,-3.52956
8,14,2003,Erik,-18.06694
63,93,2003,Erik,-1.25547
37,42,2003,Erik,-4.08926
49,69,2003,Erik,-4.70646
50,77,2003,Erik,-8.61281
9,15,2003,Erik,-16.6305
36,49,2003,Erik,-7.51566
10,12,2003,Erik,-9.66811
54,79,2003,Erik,-3.06533
43,54,2003,Erik,-2.43675
37,52,2003,Erik,-5.52715
44,49,2003,Erik,-4.68656
9,17,2003,Erik,-16.19182
24,23,2003,Erik,-7.6622
42,65,2003,Erik,-6.99576
38,59,2003,Erik,-7.1955
48,52,2003,Erik,-0.44534
45,52,2003,Erik,-1.41163
12,10,2003,Erik,-8.13904
14,14,2003,Erik,-9.98415
15,15,2003,Erik,-10.41518
13,11,2003,Erik,-9.32958
47,66,2003,Erik,-4.44692
57,88,2003,Erik,-0.93485
45,69,2003,Erik,-7.09588
24,35,2003,Erik,-8.64607
46,58,2003,Erik,-2.59598
25,34,2003,Erik,-8.75299
6,12,2003,Erik,-17.45324
19,20,2003,Erik,-7.21839
7,9,2003,Erik,-10.11016
48,70,2003,Erik,-5.63681
61,92,2003,Erik,-2.05303
20,23,2003,Erik,-7.59154
30,35,2003,Erik,-4.11562
21,22,2003,Erik,-4.80583
52,84,2003,Erik,-0.29595
50,68,2003,Erik,-4.06003
18,29,2003,Erik,-16.36752
40,50,2003,Erik,-6.6686
53,80,2003,Erik,-3.68383
36,56,2003,Erik,-7.33183
51,64,2003,Erik,-1.03259
54,70,2003,Erik,-0.68043
43,47,2003,Erik,-3.80517
41,51,2003,Erik,-4.57411
65,94,2003,Erik,-0.1395
79,122,2003,Erik,-0.55824
24,30,2003,Erik,-7.93079
14,17,2003,Erik,-10.78727
38,50,2003,Erik,-7.91567
10,17,2003,Erik,-9.96793
25,31,2003,Erik,-7.89331
15,20,2003,Erik,-12.32903
39,59,2003,Erik,-6.33898
26,28,2003,Erik,-8.41787
58,81,2003,Erik,-1.5269
28,26,2003,Erik,-7.16015
46,61,2003,Erik,-3.53373
5,8,2003,Erik,-10.81701
57,75,2003,Erik,-0.23378
6,7,2003,Erik,-10.64755
47,56,2003,Erik,-1.64189
19,29,2003,Erik,-14.3178
26,32,2003,Erik,-7.64579
7,6,2003,Erik,-9.49512
20,30,2003,Erik,-12.27562
62,93,2003,Erik,-1.66926
59,77,2003,Erik,-0.01191
33,50,2003,Erik,-9.79605
16,22,2003,Erik,-9.32934
23,35,2003,Erik,-8.41482
30,42,2003,Erik,-7.09248
21,31,2003,Erik,-10.65752
52,83,2003,Erik,-2.93833
17,23,2003,Erik,-9.73175
32,41,2003,Erik,-5.30448
22,28,2003,Erik,-10.71651
31,35,2003,Erik,-3.35151
35,36,2003,Erik,-2.84043
18,20,2003,Erik,-7.20768
23,25,2003,Erik,-9.08421
40,57,2003,Erik,-5.28695
36,39,2003,Erik,-3.6322
51,73,2003,Erik,-4.31013
49,73,2003,Erik,-6.43664
41,52,2003,Erik,-1.93145
37,38,2003,Erik,-2.58327
42,51,2003,Erik,-4.35953
55,87,2003,Erik,-0.60912
38,53,2003,Erik,-5.36077
14,24,2003,Erik,-15.30079
43,58,2003,Erik,-3.15511
39,48,2003,Erik,-6.36883
