A	elt	Z	S(2n)	S(2p)	Q(a)	Q(2B-)	Q(ep)	Q(B-	n)		
144	Tb	65	21951.3	701.11	5632.65	41.11	2192.84	58.63	-17758.67	29.2	4584.15
144	Dy	66	22593#	729#	4188.51	28.85	2787.27	28.85	-19962#	196#	4372.25
144	Ho	67	23502#	401#	2627.94	700.61	3447.84	800.53	-22350#	400#	8520.7
144	Er	68	24721#	537#	1066#	754#	3797#	446#	*	8272#	196#
144	Tm	69	*	-413#	566#	4575#	643#	*	12500#	499#	*
I	53	6451#	541#	*	-4254#	709#	19115#	503#	*	7862#	503#
145	Xe	54	7433.09	12.11	25793#	503#	-3431#	401#	16022.85	14.03	*
145	Cs	55	8521.54	11.81	24002#	200#	-2552.67	18.25	12780.9	15.26	-22063#
145	Ba	56	9721.61	10.84	21891.24	9.67	-1743.79	8.95	9550.85	34.95	-17932.85
145	La	57	10806.44	14.29	19737.75	14.42	-782.71	15.33	6790.62	14.15	-16852.93
145	Ce	58	11602.98	33.96	17707.77	34.57	240.69	34.32	4364.93	33.89	-12588.87
145	Pr	59	12700.33	7.17	16032.37	10.22	880.78	8.21	1641.53	7.48	-12065.26
145	Nd	60	13572.35	0.24	14403.22	2.21	1576.05	1.59	-780.63	0.87	-8289.05
145	Pm	61	14449.46	2.05	12777.17	2.87	2323.25	2.89	-3275.97	3.71	-7805.93
145	Sm	62	17276.8	2.37	11227.02	0.84	1116.4	3.25	-7725	19.77	-4192.33
145	Eu	63	19892.84	11.42	9608.8	3.83	106.5	14.31	-11603.1	109.22	-3864.38
145	Gd	64	20837.65	201.27	7987.11	19.91	582.67	21.48	-14683.72	20.76	1750.24
145	Tb	65	22111.86	120.6	6725.05	109.73	1112.3	109.9	-17268.31	109.43	1941.75
145	Dy	66	22216.29	14.58	4589.24	200.41	2556.71	20.81	-19002#	200#	6227.93
145	Ho	67	23215#	298#	3278.86	51.77	2995.82	105.52	-21537#	196#	5959.11
145	Er	68	24123#	447#	1649#	201#	3717#	359#	*	10041#	200#
145	Tm	69	*	113#	357#	4357#	446#	*	9738#	196#	*
Xe	54	7225.28	24.79	*	-4010#	504#	16992.14	31.97	*	4028.15	25.86
146	Cs	55	8181.65	20.34	24608#	401#	-2965.3	374.47	13739.91	33.74	-21660#
146	Ba	56	9322.6	22.05	22652.73	21.53	-2142.36	21.04	10688.3	25.7	-20742.73
146	La	57	10343.27	36.02	20356.87	39.18	-960.65	34.35	7630.72	46.66	-16284.84
146	Ce	58	11346.15	16.55	18446.21	17.8	-218.04	17.35	5290.48	16.36	-15408.18
146	Pr	59	12073.12	34.91	16409.3	37.14	918.31	35.37	2773.3	35.07	-11134.66
146	Nd	60	13320.54	0.24	15071.94	2.55	1182.41	2.21	70.44	2.82	-11147.82
146	Pm	61	14180.85	4.87	13281.73	4.76	1908.25	4.34	-2336.77	6.59	-7117.34
146	Sm	62	15173.41	2.85	11826.29	2.81	2528.76	2.81	-4910.53	4.78	-6853.33
146	Eu	63	17641.04	12.31	10279.39	6.49	1599.59	24.35	-9353.93	45.24	-3139.04
146	Gd	64	20468.91	28.25	8698.19	3.84	475.77	4.65	-13530.86	7.85	-2723.44
146	Tb	65	21538.06	52.85	6722.42	46.13	1124.94	54.02	-16525.39	45.34	2938.93
146	Dy	66	22127.47	9.81	5373.36	28.74	1979.68	28.74	-18232.91	9.47	3082.43
146	Ho	67	22771.34	10.73	3447.98	28.71	2896.38	700.59	-20183#	200#	7861.22
146	Er	68	23857#	196#	2329.87	9.82	3373#	729#	*	6631.62	9.35
146	Tm	69	24939#	447#	1024#	201#	3770#	448#	*	10776#	200#
Xe	54	7009#	201#	*	-4507#	541#	17904#	201#	*	4879#	200#
147	Cs	55	8008.28	12.35	25559#	503#	-3715#	200#	14758.33	13.6	*
147	Ba	56	8890.49	21.49	23348.64	22.69	-2486.07	20.29	11749.86	21.53	-19598.06
147	La	57	9985.71	16.29	21201.92	14.03	-1427.8	13.12	8765.68	19.14	-18656.99
147	Ce	58	11089.5	34.97	19075.66	12.06	-501.61	10.92	6132.86	8.67	-14355.78
147	Pr	59	11960.76	17.35	17186.69	20.05	302.53	17.46	3598.19	15.86	-13682.75
147	Nd	60	12857.43	0.12	15657.67	33.89	1035.01	2.22	1119.61	0.42	-9800.33
147	Pm	61	13917.42	2.56	13994.26	7.05	1601.07	1.43	-1497.5	2.3	-9650.23
147	Sm	62	14757.67	0.91	12412.34	0.41	2310.96	0.35	-3909.41	1.46	-5629.46
147	Eu	63	15695.88	3.58	10855.22	3.12	2990.98	3.11	-6802.09	8.4	-5379.42
147	Gd	64	18573.26	19.81	9283.57	1.26	1735.29	2	-11160.91	9.06	-1649.61
147	Tb	65	20496.89	109.47	7329.1	8.55	1073.72	13.65	-14985.57	9.52	-914.09
147	Dy	66	22096.07	10.99	5847.66	21.6	1610.35	200.5	-17588.23	39.2	4600.77
147	Ho	67	22779.62	8.97	3946.62	109.29	2237.18	51.48	-19782.69	8.47	4717.55
147	Er	68	23510#	204#	2943.15	38.74	3136.22	40.36	*	8658.14	38.77
147	Tm	69	24534#	196#	1432.24	10.11	3648#	298#	*	7974.85	9.49
Xe	54	6788#	301#	*	*	18994#	307#	*	5249#	300#	
148	Cs	55	7743.2	13.36	*	-4056#	401#	15797.79	23.43	*	5281.77
148	Ba	56	8789.28	66.44	24216.73	67.57	-3146.36	63.3	12804.67	64.07	-22523#
148	La	57	9801.09	38.85	21976.3	19.68	-1862.3	28.01	9826.69	24.6	-18077.64
148	Ce	58	10905.65	19.78	20029.26	23.68	-1056.2	13.28	7009.59	11.34	-17423.35
148	Pr	59	11997.05	37.92	18063.08	36.83	-110.69	19.84	4330.29	16.06	-13146
148	Nd	60	12624.76	1.65	16350.55	16.44	598.96	3.04	1928.27	1.7	-12683.08
148	Pm	61	13554.04	6.98	14762.65	35.27	1459.89	6.14	-566.38	11.48	-8710.62
148	Sm	62	14482.59	2.83	12988.34	0.42	1986.78	0.36	-3066.94	0.86	-8478.49
148	Eu	63	15324.42	11.62	11422.96	10.81	2691.85	10.28	-5762.25	15.97	-4546.04
148	Gd	64	16326.18	3.84	9850.96	2.85	3271.29	0.03	-8409.78	8.83	-4291.95
148	Tb	65	18916.11	46.55	7997.48	13.82	2657.14	16.48	-12545.92	84.76	-281.3
148	Dy	66	21447.27	11	6351.71	9.62	1475.04	29.28	-16380.56	13.46	208.42
148	Ho	67	22895.57	84.09	4805.49	95.08	1952.11	88.37	-19226.13	84.46	5462.54
148	Er	68	23299.61	12.25	3502.01	12.24	2666.18	12.51	-21149#	400#	5428.08
148	Tm	69	23852#	201#	2104.75	12.18	3419.57	13.3	*	9703.09	11.4
148	Yb	70	*	586#	400#	3852#	445#	*	8988#	401#	*
Cs	55	7473#	400#	*	-4736#	642#	16970#	447#	*	6272#	405#
149	Ba	56	8998.91	438.25	25339#	481#	-4051.9	437.94	13549.6	437.92	-21809#
149	La	57	9684.16	200.55	22877.79	200.44	-2590.41	200.47	10819.45	200.51	-20597.94
149	Ce	58	10798.66	13.36	20983.83	22.25	-1578.65	13.3	7705.55	10.47	-16365.15
149	Pr	59	11737.93	18.68	18938.92	14.57	-628.96	15.75	5024.89	10.13	-15619.6
149	Nd	60	12371.35	1.66	16939.52	8.82	266.64	33.93	2760.27	1.86	-11266.03
149	Pm	61	13164.63	2.05	15198.13	15.98	1136.77	7.33	376.86	4.22	-10817.8
149	Sm	62	14012.02	0.91	13566.93	0.96	1871.3	0.96	-2008.73	3.2	-7016.71
149	Eu	63	15038.99	4.43	11976.79	3.84	2401.45	4.57	-4952.44	5.03	-6864.37
149	Gd	64	15912.7	3.36	10438.6	3.17	3099.39	3.13	-7431.1	9.6	-3079.72
149	Tb	65	16888.64	8.77	8521.85	4.08	4077.92	2.17	-9842.09	12.31	-2478.31
149	Dy	66	19642.51	12.78	6916.91	9.22	2805.5	21.76	-13954.29	29.43	1284.45
149	Ho	67	22032.12	12.99	5481.85	14.44	2316.92	109.83	-17764#	196#	1601.53
149	Er	68	23276.44	47.32	4123.52	29.31	2076.07	28.7	-20543#	301#	6828.96
149	Tm	69	24051#	196#	2704#	196#	2813#	196#	*	6820#	213#
149	Yb	70	*	1169#	302#	3617#	361#	*	10992#	300#	*
Cs	55	7402#	400#	*	*	17960#	591#	*	6879#	593#	
150	Ba	56	8449#	307#	25878#	424#	-4370#	301#	14947#	300#	*
150	La	57	9563.86	435.91	23796.96	435.67	-3244.51	435.48	12170.51	435.57	-20169#
150	Ce	58	10591.08	16.19	21831.06	64.15	-2324.68	23.92	8832.9	11.77	-19015.52
150	Pr	59	11907.69	17.53	20169.68	21.45	-1675.11	34.8	5296.66	21.97	-15369.54
150	Nd	60	12414.39	1.87	17859.29	11.25	-469.28	16.35	3371.38	0.2	-14298.81
150	Pm	61	12874.06	20.76	15639.66	25.04	658.95	40.16	1195.1	20.93	-9846.74
150	Sm	62	13857.51	0.89	14221.08	1.86	1449.81	0.96	-1287.2	6.01	-9964.64
150	Eu	63	14635.54	11.75	12504.46	8.33	2237.16	6.96	-3686.51	8.67	-6016.95
150	Gd	64	15637.24	6.04	11005.61	6.01	2807.46	6.02	-6454.33	7.29	-5917.17
150	Tb	65	16711.27	14.47	9384.33	12.38	3586.9	4.93	-9159.84	15.95	-1953.58
150	Dy	66	17592.68	9.72	7618.21	4.1	4351.27	1.54	-11478.29	17.51	-1471.56
150	Ho	67	20097.36	85.02	5986.74	18.86	3392.81	46.97	-15455#	196#	2253.82
150	Er	68	22494.96	20.02	4549.7	19.28	2298.69	18.45	-19193#	300#	2575.63
150	Tm	69	23868#	196#	3078#	213#	2322#	196#	-21851#	358#	7867#
150	Yb	70	24451#	500#	1737#	300#	3259#	300#	*	7814#	301#
150	Lu	71	*	453#	300#	3991#	361#	*	11954#	358#	*
Cs	55	7122#	640#	*	*	19081#	663#	*	7599#	583#	
151	Ba	56	7962#	593#	*	-5005#	447#	16285#	400#	*	3119#
151	La	57	9233.05	479.31	24638#	591#	-3815.18	435.55	13469.3	435.63	-22429#
151	Ce	58	10697.77	20.45	22682.68	438.16	-3385.94	26.52	9717.94	17.75	-18614#
151	Pr	59	11882.9	15.27	21137.66	200.6	-2526.16	15.83	6606.43	12.51	-17938.63
151	Nd	60	12710.16	1.88	18851.02	10.33	-1354.01	8.67	3633.29	0.24	-13385.1
151	Pm	61	13464.44	4.86	16924.64	10.92	-366.91	16.49	1266.79	4.51	-12374.55
151	Sm	62	13583.18	0.39	14778.75	1.87	1145.55	0.96	-387.54	2.82	-8185.5
151	Eu	63	14354.38	3.77	13166.54	1.98	1964.49	1.07	-3029.35	3.98	-8344.69
151	Gd	64	15204.36	4.22	11630.94	2.84	2652.7	2.91	-5436.33	4.17	-4426.57
151	Tb	65	16277.47	5.24	9760.33	5.45	3496.34	3.93	-8000.77	9.19	-4120.24
151	Dy	66	17199.13	9.59	8203.34	4.28	4179.62	2.64	-10486.12	16.8	-277.44
151	Ho	67	18118.79	14.56	6712.01	8.95	4695.01	1.82	-12849.98	21.08	194.01
151	Er	68	20667.3	32.44	5148.32	18.88	3504.84	18.7	-16723.94	300.94	3754.35
151	Tm	69	23033#	197#	3704.12	22.81	2559.42	20.05	-20664#	301#	3884.15
151	Yb	70	24487#	425#	2378.67	301.79	2640.55	302.91	*	9000	300
151	Lu	71	*	804#	358#	3441#	300#	*	9093#	358#	*
Cs	55	6903#	640#	*	*	20360#	583#	*	7938#	640#	
152	Ba	56	7953#	500#	*	-5535#	500#	17270#	447#	*	3529#
152	La	57	9303#	529#	25698#	500#	-4804#	300#	14468#	301#	-22349#
152	Ce	58	10276#	201#	23658#	361#	-3812#	210#	11169#	202#	-21329#
152	Pr	59	11600.22	20.61	22206.04	435.87	-3474.24	26.88	7496.12	31.86	-17736.7
152	Nd	60	12612.29	24.45	19880.49	27.13	-2175.92	26.92	4613.2	24.46	-16213.33
152	Pm	61	13799.68	32.71	17531.65	27.43	-1143.68	29.95	1634.07	25.89	-11763.53
152	Sm	62	13854.1	0.61	15660.79	0.65	220.48	1.94	-55.69	0.18	-11108.59
152	Eu	63	14238.66	6.18	13869.06	20.01	1552.55	5.61	-2171.34	40.01	-6791.16
152	Gd	64	15085.62	6.03	12233.72	0.63	2204.43	1.04	-4589.04	4.55	-7419.61
152	Tb	65	15753.83	40.67	10502.62	40.48	3157.5	41.24	-7112.15	41.93	-3353.03
152	Dy	66	16950.91	5.98	8931.88	7.44	3726.54	4.35	-9617.5	9.94	-3218.11
152	Ho	67	17801.52	18.91	7076.99	14.52	4507.4	1.34	-11884.5	55.46	729.76
152	Er	68	18811.7	19.33	5768.72	9.82	4934.26	1.62	-14230	149.97	963.06
152	Tm	69	21372#	203#	4352.33	55.85	3845.97	99.74	-18298#	203#	4613.49
152	Yb	70	23775#	335#	3017.01	150.69	2783.69	150.06	*	4706.93	150.61
152	Lu	71	24925#	358#	1509#	277#	2918#	196#	*	10062#	197#
Ba	56	7673#	565#	*	*	18440#	447#	*	4749#	500#	
153	La	57	8892#	529#	26408#	583#	-5234#	500#	15509#	300#	-24418#
153	Ce	58	9827#	201#	24548#	447#	-4214#	481#	12421#	200#	-20488#
153	Pr	59	10931.47	16.64	22836.07	435.64	-3773.47	200.61	9079.36	14.94	-19567#
153	Nd	60	12529.94	3.03	20683.19	17.91	-3085.3	10.61	5229.39	3	-15639#
153	Pm	61	13404.4	10.15	18446.14	14.76	-2033.37	13.4	2719.4	9.11	-14178.73
153	Sm	62	14126.04	0.62	16194.64	0.67	-609.14	1.94	322.87	0.25	-9699.25
153	Eu	63	14857	0.16	14559.1	4.51	272.12	1.99	-2053.88	3.88	-9402.01
153	Gd	64	14836.45	2.86	12884.21	0.64	1828.27	0.74	-3739.61	3.91	-5408.92
153	Tb	65	15832.47	5.51	11238.43	3.88	2702.86	5.02	-6301.23	6.15	-5714.05
153	Dy	66	16533.17	4.91	9532.15	4.8	3559.15	3.62	-8674.34	10	-1725
153	Ho	67	17532	9.63	7966.54	6.32	4051.65	3.54	-11038.77	12.81	-1584.16
153	Er	68	18344.95	18.92	6294.14	9.69	4802.39	1.4	-13260#	196#	2360.3
153	Tm	69	19343.21	22.81	4928.53	14.55	5248.33	1.45	-15600.48	150.51	2342.47
153	Yb	70	21808#	359#	3520#	196#	4109#	198#	-19908#	358#	6003#
153	Lu	71	24407#	335#	2178.03	151.29	3085#	247#	*	6058.46	139.97
153	Hf	72	*	336#	425#	3473#	424#	*	11681#	335#	*
Ba	56	7252#	640#	*	*	19399#	539#	*	5168#	583#	
154	La	57	8382#	424#	27177#	583#	-5785#	500#	16575#	321#	*
154	Ce	58	9382#	283#	25087#	447#	-4744#	361#	13605#	207#	-23039#
154	Pr	59	10489.55	114.52	23393#	321#	-4399.93	449.9	10407	103.08	-19334#
154	Nd	60	11818.2	58.03	21423#	207#	-3403.04	53.93	6630.2	52.62	-18204#
154	Pm	61	13400.42	53.05	19331.85	49.9	-2636.41	47.19	3226.14	46.32	-14232.48
154	Sm	62	13835.21	0.84	16883.71	24.47	-1200.34	1.05	1250.78	0.86	-12413.85
154	Eu	63	14992.5	0.27	15061.88	25.89	-565.9	20.01	-1581.82	45.3	-8379.27
154	Gd	64	15141.67	0.21	13521.29	0.27	920.27	0.66	-3312.05	7.42	-8435.24
154	Tb	65	15582.02	60.43	11845.99	45.3	2211.02	45.72	-5516.99	46.04	-4078.05
154	Dy	66	16418.67	8.61	10264.93	7.41	2945.11	4.95	-7788.89	8.82	-4800.33
154	Ho	67	17177.17	14.97	8500.34	40.83	4041.49	3.63	-10212.18	16.57	-614.94
154	Er	68	18247.28	10.11	7065.09	6.46	4279.66	2.61	-12672.94	17.77	-751.05
154	Tm	69	18849.49	55.92	5400.3	19.09	5093.83	2.64	-14712#	197#	3296
154	Yb	70	19804.34	150.7	4009.65	19.4	5474.31	1.73	-17262#	300#	3247.55
154	Lu	71	22436#	277#	2573#	203#	4351#	277#	*	6969#	196#
154	Hf	72	*	978#	335#	3543#	424#	*	7249#	358#	*
La	57	8013#	500#	*	-6126#	640#	17485#	400#	*	6218#	447#
155	Ce	58	9013#	361#	25888#	500#	-5265#	500#	14504#	300#	-22249#
155	Pr	59	9989.44	20.9	23934#	300#	-4529.85	435.81	11524.66	17.82	-21175#
155	Nd	60	11096.06	9.53	21952#	200#	-3483.59	19.93	7907.1	9.27	-17353#
155	Pm	61	12434.74	10.21	19949.41	12.78	-2585.22	12.57	4878.16	4.92	-16123.93
155	Sm	62	13773.77	0.89	17438.46	3.12	-1672.75	1.09	1879.06	0.92	-11654.81
155	Eu	63	14593.5	0.47	15748.21	9.12	-856.94	4.53	-568.04	9.83	-10595.09
155	Gd	64	15329.96	0.25	14088.14	0.35	81.48	0.67	-2914.33	9.6	-6903.67
155	Tb	65	16079.35	10.52	12460.77	9.82	977.89	9.82	-5210.51	16.7	-6800.9
155	Dy	66	16155.24	10.37	10850.94	9.61	2608.27	10.02	-6946.36	11.34	-2738.57
155	Ho	67	17170.07	18.17	9304.14	17.88	3159.05	17.92	-9413.63	20.08	-3172.21
155	Er	68	17883.22	10.96	7644.19	7.1	4118.3	5.13	-11706.58	17.68	895.75
155	Tm	69	18795.22	15.54	6191.75	11.06	4571.91	5.44	-14080.87	21.62	724.43
155	Yb	70	19437#	196#	4611.94	19.04	5338.76	2.07	-16333#	299#	4813.44
155	Lu	71	20314.84	151.26	3149.66	22.66	5802.79	2.57	-18617#	301#	4593.11
155	Hf	72	23012#	423#	1540#	357#	4947#	423#	*	8473#	299#
155	Ta	73	*	133#	336#	3755#	424#	*	8498#	359#	*
La	57	7663#	500#	*	-6545#	640#	18517#	447#	*	6658#	500#
156	Ce	58	8743#	361#	26577#	583#	-5534#	500#	15654#	361#	*
156	Pr	59	9605#	230#	24616#	361#	-4702#	361#	12596#	200#	-20926#
156	Nd	60	10791.3	206.84	22832#	283#	-3918#	283#	8886.79	200.22	-19983#
156	Pm	61	11794.3	46.47	20636.61	113.07	-2830.5	18.89	5918.9	5.1	-16037.35
156	Sm	62	13047.89	8.5	18113.4	53.3	-1635.94	25.88	3174.48	8.47	-14365.68
156	Eu	63	14487.06	3.37	16148.51	46.44	-1253.28	26.11	8.25	5.01	-10431.59
156	Gd	64	14971.59	0.19	14657.68	0.88	-197.23	0.33	-2005.95	0.1	-9633.07
156	Tb	65	16077.13	45.45	12930.62	3.76	372.54	3.75	-4611.83	60.11	-5561.68
156	Dy	66	16277.69	7.42	11400.95	0.22	1753.04	0.3	-6317.26	24.66	-5748.05
156	Ho	67	16982.29	60.56	9900.6	75.18	2813.04	72.11	-8644.41	61.68	-1517.89
156	Er	68	17749.32	25.13	8395.74	25.73	3481.25	25.06	-10945.99	25.72	-2345.13
156	Tm	69	18550.05	20.28	6773.18	16.46	4345.31	7.2	-13135.01	55.97	1916.02
156	Yb	70	19476.27	19.63	5238.64	10.53	4809.74	3.54	-15448.82	150.05	1654.5
156	Lu	71	20127#	203#	3850.35	56.01	5595.81	3.21	-17838#	303#	5637.4
156	Hf	72	21289#	335#	2462.75	150.75	6028.57	3.81	*	5396.74	150.67
156	Ta	73	*	724#	357#	5136#	357#	*	9395#	299#	*
Ce	58	8293#	500#	*	-5885#	565#	16531#	400#	*	3566#	447#
157	Pr	59	9268#	300#	25188#	500#	-4905#	424#	13757#	300#	-22779#
157	Nd	60	10320.45	26.54	23259#	301#	-3977#	202#	10216.03	25.3	-18931#
157	Pm	61	11499.75	8.42	21459.72	18.56	-3153.5	13.79	7161.86	8.19	-18019#
157	Sm	62	12629.39	4.68	18971.79	10.15	-1772.2	5.17	4145.9	4.59	-13492.9
157	Eu	63	13783.45	4.16	17096.92	6.35	-1236	9.98	1304.52	4.21	-12584.23
157	Gd	64	14896.23	0.16	15210.59	0.93	-688.7	0.39	-1398.92	5.13	-8752.01
157	Tb	65	15656.01	9.79	13523.28	0.93	178.88	0.82	-3930.6	23.49	-7969.85
157	Dy	66	16411.64	10.88	11932.62	5.13	1033.08	5.13	-6010.92	26.98	-4178.61
157	Ho	67	16935.93	29.26	10160.72	25.44	2055.59	23.8	-8123.56	36.49	-4031.01
157	Er	68	17347.08	27.2	8836.03	28.21	3304.39	26.81	-9991.74	28.67	-173.64
157	Tm	69	18225.99	29.65	7247.67	32.96	3877.91	28.41	-12268.75	30.44	-519.28
157	Yb	70	19061.92	19.87	5790.65	12.35	4621.79	5.85	-14519#	196#	3500.84
157	Lu	71	20038.11	22.71	4392.55	15.61	5107.89	2.85	-16847.19	150.55	3105.06
157	Hf	72	20876#	357#	2979#	196#	5880.01	3.06	-19433#	445#	7074#
157	Ta	73	21808#	336#	1626.22	151.3	6354.6	6.29	*	6817.24	140.04
157	W	74	*	-122#	499#	5405#	500#	*	11058#	427#	*
Ce	58	7983#	500#	*	-6265#	640#	17395#	447#	*	3809#	500#
158	Pr	59	8905#	361#	25857#	500#	-5225#	424#	14759#	300#	*
158	Nd	60	9724#	283#	23813#	361#	-4260#	283#	11196#	200#	-21413#
158	Pm	61	11068.2	13.92	22100#	201#	-3409.15	113.81	8165.98	16.9	-17838#
158	Sm	62	12032.45	9.85	19354.54	200.09	-1850.18	52.87	5439.3	5.03	-16077.67
158	Eu	63	13315.27	10.86	17669.48	10.86	-1168.13	47.45	2215.48	10.35	-12247.12
158	Gd	64	14297.27	0.16	15907.06	8.47	-659.29	0.9	-282.2	2.43	-11300.94
158	Tb	65	15522.51	3.66	13966.06	3.55	-157.46	1.25	-3283.07	27.12	-7300.73
158	Dy	66	16021.02	2.44	12450.38	2.43	873.69	2.44	-5103.54	25.33	-6872.85
158	Ho	67	16851.26	65.84	10674.74	27.35	1543.79	52.79	-7484.4	37.03	-2713.13
158	Er	68	17234.73	35.25	9352.79	25.25	2665.18	26.3	-9293.57	26.46	-3168.22
158	Tm	69	18011.28	28.98	7802.17	65.1	3511.2	26.53	-11491	29.41	840.67
158	Yb	70	18887.15	12.25	6376.47	25.89	4169.87	7.04	-13907.85	19.07	114.43
158	Lu	71	19655.28	56.2	4955.58	20.8	4790.03	4.59	-16046#	197#	4208.11
158	Hf	72	20428.13	150.78	3414.61	19.81	5404.78	2.72	-18470#	300#	4030.54
158	Ta	73	21448#	357#	2045#	203#	6123.6	4.35	*	7985#	196#
158	W	74	*	394#	335#	6612.73	3.08	*	7982#	358#	*
Pr	59	8691#	500#	*	-5583#	565#	15466#	400#	*	4895#	447#
159	Nd	60	9488#	301#	24455#	500#	-4452#	424#	12401#	300#	-20436#
159	Pm	61	10399.87	12.23	22592#	300#	-3563.93	19.9	9489.01	10.92	-19513#
159	Sm	62	11672.83	7.38	20324.17	25.61	-2348.97	10.89	6353.66	6.05	-15442#
159	Eu	63	12727.01	4.2	18324.18	8.22	-1528.27	6.38	3489.08	4.42	-14243.05
159	Gd	64	13880.6	0.11	16461.8	4.59	-795.53	0.94	605.7	1.32	-10600.16
159	Tb	65	14911.57	0.8	14651.4	4.26	-139.19	1.15	-2202.83	2.92	-9566.15
159	Dy	66	15885.21	5.25	12921.6	1.32	477.83	1.33	-4606.1	3.35	-5766.56
159	Ho	67	16639.34	23.66	11144.05	3	1495.6	10.23	-6759.14	28.11	-5147.84
159	Er	68	17290.03	26.76	9714.42	6.23	2169.6	10.25	-8722.43	18.13	-1442.66
159	Tm	69	18003.76	39.52	8315.51	36.49	3044.23	32.96	-10861.79	46.9	-1671.77
159	Yb	70	18559.34	20.63	7002.91	31.92	3945.67	18.68	-12986.01	24.48	2176.23
159	Lu	71	19410.72	39.55	5577.27	46.9	4492.39	38.95	-15269.46	42.5	1705.62
159	Hf	72	20092#	196#	4008.64	20.05	5225.09	2.67	-17558#	299#	5868.67
159	Ta	73	20988.45	151.36	2576.57	23.09	5680.98	6.07	-19694#	305#	5484.07
159	W	74	21967#	499#	969#	357#	6450.48	3.94	*	9519#	299#
159	Re	75	*	-271#	340#	6759#	55#	*	9133#	362#	*
Pr	59	8333#	500#	*	-5895#	565#	16482#	447#	*	5216#	500#
160	Nd	60	9222#	361#	25052#	500#	-4739#	424#	13101#	300#	*
160	Pm	61	10055#	201#	23250#	361#	-3859#	283#	10478#	200#	-19203#
160	Sm	62	11127.18	7.66	20758#	200#	-2186.06	200.12	7706.95	6.07	-17717#
160	Eu	63	12367.91	13.96	18969.19	16.46	-1741.73	10.15	4355.79	9.58	-14215.15
160	Gd	64	13394.83	0.73	17269.44	5.05	-1006.23	8.5	1730.99	1.19	-13022.94
160	Tb	65	14508.22	0.65	15159.01	10.33	-178.62	3.49	-1453.53	15.05	-9081.94
160	Dy	66	15408.02	2.25	13561.12	1.12	437.27	1.12	-3608.5	24.27	-8400.26
160	Ho	67	16337.77	30.97	11490	15.06	1283.15	15.47	-6080.7	37.41	-4139.34
160	Er	68	16903.05	34.99	10234.82	24.37	2039.82	24.28	-7901.52	25.31	-4186.06
160	Tm	69	17741.47	42.54	8692.38	43.69	2752.02	69.1	-10032.09	66.35	-261.46
160	Yb	70	18295.1	10.73	7436.84	26.24	3624.09	25.67	-12223.76	11.96	-890.64
160	Lu	71	19200.38	58.8	6144.68	62.17	4139.7	58.59	-14446.24	78.61	3011.49
160	Hf	72	19979.19	19.92	4506.65	12.42	4901.86	2.59	-16612.49	150.13	2610.69
160	Ta	73	20800#	203#	3189.45	56.38	5450.93	4.59	-19085#	303#	6595.94
160	W	74	21836#	335#	1802.01	150.85	6065.53	4.59	*	6237.17	150.77
160	Re	75	*	150#	357#	6697.75	4.1	*	10412#	299#	*
Nd	60	8924#	500#	*	-5082#	565#	14084#	400#	*	2343#	447#
161	Pm	61	9824#	298#	23725#	499#	-4120#	423#	11556#	298#	-21004#
161	Sm	62	10606.82	9.01	21443#	300#	-2635.33	25.82	8833.86	7.01	-16827#
161	Eu	63	11890.87	11.25	19815.19	14.44	-1919.4	12.52	5670.06	10.49	-16078#
161	Gd	64	13087.02	1.24	17875.99	6.15	-1253.16	4.72	2549.98	1.55	-12560
161	Tb	65	14071.86	0.56	15996.24	4.44	-427.6	4.3	-264.32	2.47	-11270.1
161	Dy	66	15031.3	1.42	14072.31	1.12	342.76	1.12	-2854.19	8.75	-7403.03
161	Ho	67	16010.37	3.71	12242.85	2.42	1141.24	2.44	-5298.56	28.03	-6649.98
161	Er	68	16783.21	9.47	10612.41	8.86	1798.03	10.15	-7362.21	17.67	-2817.85
161	Tm	69	17470.94	39.52	9147.12	28.11	2509.21	36.49	-9336.36	39.52	-2804.95
161	Yb	70	18143.43	22.98	7856.31	15.74	3149.32	30.63	-11524.73	27.24	935.86
161	Lu	71	18996.37	46.9	6569.89	39.52	3722.01	39.52	-13783.35	37.09	450.71
161	Hf	72	19604.71	28.13	5054.01	28.69	4682.31	24.08	-15759#	197#	4559.06
161	Ta	73	20482.48	31.34	3648.33	44.87	5236.61	23.84	-17938.79	151.89	4201.97
161	W	74	21403#	357#	2281#	196#	5922.88	3.63	-20576#	445#	8095#
161	Re	75	22238#	339#	979	151.21	6328.21	6.69	*	7694.52	139.96
161	Os	76	*	-737#	499#	7065.87	12.31	*	12058#	427#	*
Nd	60	8559#	500#	*	-5315#	565#	14979#	445#	*	2614#	499#
162	Pm	61	9510#	361#	24428#	500#	-4465#	424#	12334#	302#	*
162	Sm	62	10438#	196#	21974#	358#	-2900#	280#	9751#	196#	-19231#
162	Eu	63	11365.57	36.49	20279#	203#	-2039.11	37.71	6972.56	50.63	-15757#
162	Gd	64	12481.29	3.8	18623.55	7.16	-1455.07	6.32	3901.08	3.98	-14897.41
162	Tb	65	13982.33	36.38	16773.44	37.59	-845.69	37.79	365.58	36.5	-11173.4
162	Dy	66	14651.38	0.1	14817.68	1.19	83.15	1.12	-1846.96	0.3	-9964.63
162	Ho	67	15801.45	15.32	12783.23	3.3	1004.21	3.35	-4563.75	26.23	-5868.92
