A	elt	Z	S(2n)	S(2p)	Q(a)	Q(2B-)	Q(ep)	Q(B-	n)		
32	Mg	12	8087.71	4.74	38686.96	253.27	-14553.55	126.11	23248.79	3.27	-39299.46
32	Al	13	11377.16	7.73	34151.98	8.59	-12535.97	12.51	13205.51	7.17	-30634.37
32	Si	14	15787.36	0.3	29771.81	3.46	-11483.76	2.02	1937.85	0.3	-28244.51
32	P	15	20246.65	0.08	23017.97	2.89	-9879.14	0.09	-10970.2	0.56	-16643.14
32	S	16	28098.91	0.21	16160.51	0.02	-6947.65	0	-23815.18	1.77	-10355.47
32	Cl	17	33921#	196#	7711.76	0.57	-8611.85	1.26	-34433#	401#	3816.9
32	Ar	18	39274.13	206.16	2719.04	1.78	-8698.47	160.01	*	9553.2	1.78
32	K	19	*	-2077#	446#	-8843#	718#	*	20844#	401#	*
33	Ne	10	1327#	653#	*	*	41035#	596#	*	19286#	597#
33	Na	11	4608.56	450.13	46941#	708#	-18794.99	691.68	32277.49	449.97	*
33	Mg	12	8058.19	4.22	40797.23	266.21	-15862.42	149.53	25476.62	2.97	-39326#
33	Al	13	9689.31	7.34	35321.35	15.62	-13602.29	10.13	17839.97	7.07	-34426.5
33	Si	14	13707.92	0.7	31970.12	3.15	-12336.41	11.42	6071.53	0.7	-26974.4
33	P	15	18039.44	1.09	25964.58	2.49	-10554.5	1.14	-5334.01	1.16	-22526.95
33	S	16	23685.96	0.23	18214.76	0.04	-7115.69	0	-17201.56	0.4	-9797.14
33	Cl	17	30111.42	3.47	11140.74	0.39	-6475.4	0.53	-28045#	196#	-3987.43
33	Ar	18	36852#	200#	4919.71	0.46	-8652.79	50	*	9342.27	0.4
33	K	19	*	501#	196#	-8545#	272#	*	13088#	196#	*
34	Ne	10	300#	100#	*	*	44518#	514#	*	20990#	682#
34	Na	11	3102.67	600.57	*	-18856#	845#	34680.4	599.42	*	18646.5
34	Mg	12	6990.39	29.06	43254#	504#	-17381.69	254.89	28280.2	32.14	-44963#
34	Al	13	8043.56	7.8	36218.38	37.39	-13899.87	5.64	21548.41	3.18	-34069.37
34	Si	14	12021.8	14.12	33705.89	14.49	-13497.95	14.53	9974.83	14.12	-32208.12
34	P	15	16386.46	0.81	28027.27	7.22	-11108.77	3	-108.62	0.81	-23340.29
34	S	16	20058.79	0.04	20431.94	0.3	-7923.64	0.05	-11553.4	0.07	-16706.33
34	Cl	17	27248.04	0.56	14713.15	0.06	-6664.14	0.08	-23220#	196#	-5391.71
34	Ar	18	32320.57	1.77	6940.7	0.08	-6743.95	0.22	-32230#	298#	918.59
34	K	19	38461#	446#	2464#	196#	-8088#	277#	*	12494#	196#
34	Ca	20	*	-1474#	298#	-9505#	362#	*	15947#	298#	*
35	Na	11	1691#	807#	*	-20336#	865#	38455#	670#	*	21837#
35	Mg	12	5465.15	269.68	44935#	654#	-17966.72	378.92	30031.24	272.04	-44491#
35	Al	13	7868.98	10.15	38581.78	449.97	-14894.68	15.79	24634.07	7.59	-39192.81
35	Si	14	10019.77	35.86	33931.7	35.97	-13694.22	35.99	14454.75	35.86	-30003.78
35	P	15	14663.09	2.16	30938.36	7.23	-12332.01	2.91	4155.73	1.87	-29146.48
35	S	16	18402.99	0.04	22909.82	0.7	-8322.09	0.06	-5798.92	0.68	-16178.33
35	Cl	17	24152.83	0.39	17254.12	1.09	-6997.9	0.04	-17840.64	0.51	-11753.8
35	Ar	18	29805.63	0.79	11039.37	0.68	-6429.68	0.72	-27835#	196#	-404.57
35	K	19	34358#	196#	4747.49	0.64	-6563.26	3.48	*	5978.22	0.51
35	Ca	20	*	406#	196#	-8962#	280#	*	15877#	196#	*
36	Na	11	1520#	316#	*	*	40352#	694#	*	22592#	729#
36	Mg	12	4085.82	690.84	47039#	860#	-19044#	854#	32816.28	693.96	*
36	Al	13	7191.96	149.54	40307.67	617.78	-15114.68	154.08	26201.42	150.08	-39570#
36	Si	14	8621.91	73.17	35337.41	77.39	-14032.14	71.87	18228.01	71.8	-35364.88
36	P	15	11844.97	13.14	31828.69	13.47	-11576.58	14.95	9270.97	13.11	-27316.28
36	S	16	16875.08	0.19	25285.22	14.12	-9011.36	0.35	-432.59	0.19	-23561.64
36	Cl	17	21224.56	0.05	19551.25	0.81	-7642.05	0.05	-12104.94	0.34	-11953.18
36	Ar	18	27995.88	0.08	14877.8	0.05	-6640.92	0.03	-23780.39	40	-8674.3
36	K	19	32339#	196#	7554.92	0.34	-6507.31	0.61	-32768#	298#	4307.49
36	Ca	20	36445#	301#	2650.8	40	-6675.71	40.04	*	9307.16	40.01
36	Sc	21	*	-1993#	357#	-8172#	499#	*	19235#	298#	*
37	Na	11	840#	150#	*	*	43724#	710#	*	25083#	974#
37	Mg	12	3570.94	749.16	*	-20211#	919#	34782.99	708.15	*	14189.77
37	Al	13	6109.34	180.39	43000#	694#	-16395.46	484.67	28805.56	184.2	-43782#
37	Si	14	8322.69	119.32	36789.24	292.7	-13958.72	113.85	20324.91	113.81	-34240.64
37	P	15	10280.83	37.99	33350.21	38.65	-12923.53	38.59	12765.54	37.95	-32235.35
37	S	16	14192.84	0.2	27082.9	35.86	-8807.01	0.73	4051.25	0.28	-21749.26
37	Cl	17	18890.64	0.06	21481.68	1.87	-7849.11	1.09	-6961.34	0.11	-18799.47
37	Ar	18	24043.01	0.71	16679.4	0.21	-6786.73	0.21	-17811.6	0.67	-7572.5
37	K	19	29769.94	0.52	10364.61	0.1	-6221.78	0.4	-28320#	300#	-2567.16
37	Ca	20	34067#	196#	4666.72	0.93	-6176.69	0.75	*	9806.5	0.63
37	Sc	21	*	-115#	300#	-5947#	358#	*	13648#	300#	*
38	Mg	12	2449#	854#	*	-21192#	718#	38244#	514#	*	16193#
38	Al	13	5883.16	403.2	44671#	774#	-17895.17	706.77	30831.42	381.43	-44613#
38	Si	14	7876.81	127.03	39128.4	698.15	-14918.56	108.7	22690.9	105.04	-39670.74
38	P	15	10513.16	73.76	35149.89	166.19	-14046.19	72.65	15176.54	72.58	-31720.1
38	S	16	12339.71	7.17	29003.02	72.15	-9329.27	15.83	7853.62	7.17	-27578.66
38	Cl	17	16418.73	0.1	24125.01	13.11	-7674.32	0.82	-997.35	0.22	-18091.08
38	Ar	18	20625.92	0.2	18628.63	0.27	-7208.05	0.2	-12656.32	0.06	-15107.37
38	K	19	27526.32	0.39	13856.69	0.2	-6785.59	0.2	-24551#	200#	-4328.19
38	Ca	20	31749.98	40	6404.9	0.2	-6105.12	0.21	-32928#	300#	1600.19
38	Sc	21	35743#	359#	1410#	200#	-5454#	280#	*	13262#	200#
38	Ti	22	*	-2743#	303#	-5407#	423#	*	16717#	300#	*
39	Mg	12	2079#	867#	*	*	39955#	530#	*	17994#	635#
39	Al	13	5302#	438#	47462#	795#	-20006#	780#	33425#	415#	*
39	Si	14	7250.77	176.98	40469.06	711.97	-15744.35	301.81	25483.02	144.46	-39043#
39	P	15	9921.27	118.86	37162.14	212.55	-14975.82	112.88	17025.57	112.66	-36273.46
39	S	16	12408.88	50	31169.1	124.31	-11196.13	61.53	10079.52	50.25	-26281.34
39	Cl	17	14181.3	1.73	25382.15	37.99	-7367.32	2.55	4006.99	1.73	-22467.61
39	Ar	18	18437.16	5	20923.71	5	-6820.9	5	-5959.49	5.04	-13669.96
39	K	19	25149.63	0.09	16623.59	0.05	-7218.58	0.04	-19634.48	24	-11298.06
39	Ca	20	30289.27	0.87	10912.98	0.63	-6660.33	0.9	-29483#	200#	143.15
39	Sc	21	33835#	301#	3950.45	24	-5424.73	24.01	*	7339.08	24
39	Ti	22	*	-758#	200#	-5013#	280#	*	16970#	200#	*
40	Mg	12	1867#	709#	*	*	42920#	608#	*	19629#	640#
40	Al	13	4763#	548#	*	-21138#	787#	35704#	428#	*	17198#
40	Si	14	6542.66	360.68	43222#	610#	-17375.39	771.71	28267.52	345.14	-44135#
40	P	15	9635.44	169.87	38902.17	404.73	-16489.67	214.33	19443.44	156.89	-36054#
40	S	16	12119.28	8.2	33245.49	104.87	-12826.64	71.91	12202.05	3.98	-32447.17
40	Cl	17	13902.34	32.07	27514.19	79.35	-9731.69	34.64	5977.68	32.07	-22072.15
40	Ar	18	16467.71	0.19	22756.63	7.17	-6800.68	0.19	-193.51	0.02	-19166.2
40	K	19	20877.37	0.2	18315.33	0.11	-6438.4	0.07	-13012.16	2.83	-11024.26
40	Ca	20	28930.52	0.2	14709.5	0.2	-7039.76	0.03	-25996	160	-8893.16
40	Sc	21	32416#	200#	6300.52	2.83	-5531.19	2.85	-32693#	300#	5994.88
40	Ti	22	35863#	340#	1369.83	160	-4824.15	164.92	*	11143.35	160
40	V	23	*	-1842#	361#	-5606#	423#	*	19054#	301#	*
41	Al	13	3373#	640#	*	-22539#	850#	38400#	514#	*	19919#
41	Si	14	6343.32	571.02	44734#	755#	-18516.72	892.31	31128.25	554.72	-43519#
41	P	15	8347.77	164.71	40208#	417#	-17214.25	216.63	22327.42	138.43	-39859#
41	S	16	11988.54	50.17	35906.87	135.59	-14861.98	113.88	14058.93	4.11	-31727.23
41	Cl	17	13649.62	68.75	29110.5	131.95	-10736.11	78.5	8252.35	68.72	-26481.79
41	Ar	18	15967.95	5.01	24482.78	50	-8596	0.4	2070.38	0.37	-17518.63
41	K	19	17894.99	0.01	20337.28	1.73	-6222.92	0.05	-6917.13	0.08	-15290.7
41	Ca	20	23997.82	0.61	16473.64	5	-6615.14	0.25	-19440.35	27.95	-7386.97
