Z    N    AME2003(MeV)      AME2016(MeV)      JFYLTRAP2017(MeV)      err2003(MeV)      err2016(MeV)      errJYFLTRAP2017(MeV)   SKM*(MeV)         SKP(MeV)          SLY4(MeV)         SVMIN(MeV)        UNEDF0(MeV)       UNEDF1(MeV)       DDME2(MeV)        DDMEd(MeV)        DDPC1(MeV)        NL3*(MeV)         
14   28   *                 *                 *                 *                 *                 *                 45.102858         46.364069         47.15495          46.338619         46.790319         47.582132         47.128            46.728            46.047            43.621            
14   30   *                 *                 *                 *                 *                 *                 48.346749         49.677569         50.817538         49.367649         49.539228         50.414845         *                 *                 *                 46.015            
14   32   *                 *                 *                 *                 *                 *                 50.735477         52.444471         53.031748         51.853559         52.294673         52.636895         *                 *                 *                 47.87             
14   34   *                 *                 *                 *                 *                 *                 52.371186         54.517879         *                 53.538538         53.95297          54.170664         *                 *                 *                 49.636            
16   10   *                 *                 *                 *                 *                 *                 2.343925          1.591296          1.405674          1.578889          1.002995          0.652242          *                 *                 0.272             0.87              
16   12   3.36011           3.36372           *                 0.16003           0.16              *                 6.470696          6.594575          5.991857          5.998883          5.902656          5.294956          4.302             4.102             4.64              4.68              
16   14   7.14768           7.1444            *                 0.003             0.00021           *                 11.031604         11.371266         10.979376         11.073205         10.863865         10.842657         7.246             7.499             8.059             7.867             
16   16   16.16071          16.16051          *                 0.00014           2e-05             *                 15.151538         15.731745         15.088442         15.741486         15.676547         16.262722         14.983            15.14             14.241            14.632            
16   18   20.42882          20.43194          *                 0.00012           0.0003            *                 19.435779         20.392105         19.699694         20.360916         20.207434         21.321452         19.41             20.396            19.532            19.492            
16   20   25.28525          25.28522          *                 0.01412           0.01412           *                 23.497832         24.844644         24.262968         24.722225         24.512886         26.117325         23.843            24.686            24.203            23.914            
16   22   28.95663          29.00302          *                 0.12366           0.07215           *                 27.182173         28.86608          28.404622         28.829325         28.611774         30.370832         28.493            29.193            28.462            27.976            
16   24   33.37724          33.24549          *                 0.19713           0.10487           *                 30.18732          32.199446         32.158468         32.273055         32.091124         34.148212         33.482            33.243            32.612            32.076            
16   26   37.7225           37.64537          *                 0.56974           0.34513           *                 34.039945         35.848301         36.300005         36.058748         35.842195         37.903729         37.254            37.317            36.545            35.188            
16   28   *                 *                 *                 *                 *                 *                 36.907841         39.118824         39.356773         39.074483         38.981581         40.619716         38.377            38.835            37.87             36.969            
16   30   *                 *                 *                 *                 *                 *                 40.013478         42.538602         42.611058         42.156109         42.491451         43.742423         41.814            42.373            41.461            39.865            
16   32   *                 *                 *                 *                 *                 *                 42.46045          45.32838          45.235947         44.929784         44.872987         46.416549         44.931            45.853            44.67             42.753            
16   34   *                 *                 *                 *                 *                 *                 44.314319         47.666245         47.603048         46.797843         46.515277         47.945507         47.004            48.864            47.507            45.069            
16   36   *                 *                 *                 *                 *                 *                 46.722642         50.242896         *                 49.267862         48.728077         *                 *                 *                 *                 47.171            
16   38   *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 50.943753         *                 *                 *                 *                 49.206            
16   42   *                 *                 *                 *                 *                 *                 53.604456         *                 *                 *                 *                 *                 *                 *                 *                 *                 
18   12   *                 -2.28             *                 *                 0.13              *                 *                 0.167179          *                 0.114576          *                 *                 *                 *                 0.072             0.836             
18   14   2.71561           2.71904           *                 0.00349           0.00178           *                 3.24223           4.658586          4.604919          4.580357          3.811543          4.454723          4.488             4.823             4.863             4.826             
18   16   6.93946           6.9407            *                 0.00041           8e-05             *                 7.464212          9.198405          9.133737          9.106156          8.094799          9.304818          8.894             9.828             9.846             9.651             
18   18   14.87769          14.8778           *                 0.00011           5e-05             *                 12.416538         14.018413         14.080674         13.91012          12.876796         14.635204         14.915            15.356            14.757            14.668            
18   20   18.62842          18.62863          *                 0.00039           0.00027           *                 17.041045         18.662648         18.848321         18.612982         17.476846         19.811967         19.526            20.134            19.809            19.322            
18   22   22.75664          22.75663          *                 0.00717           0.00717           *                 20.938711         22.773211         23.141067         22.860408         21.711846         24.307282         23.656            24.236            23.602            23.415            
18   24   26.13405          26.16277          *                 0.14141           0.00702           *                 24.685382         26.655481         26.598154         26.57558          25.866332         27.689399         26.245            26.876            26.383            26.35             
18   26   29.57349          29.61345          *                 0.12423           0.00321           *                 28.050222         30.177144         30.17886          30.061307         29.431528         31.534142         30.013            30.425            29.782            29.692            
18   28   35.1819           35.14663          *                 0.39665           0.00533           *                 31.700111         33.560899         34.14642          33.645854         32.978549         35.243764         34.795            35.273            34.285            33.564            
18   30   *                 *                 *                 *                 *                 *                 34.530008         36.892785         37.087813         37.059892         36.122854         38.686941         38.06             38.226            37.321            36.342            
18   32   *                 *                 *                 *                 *                 *                 36.882806         39.564663         40.194253         39.354097         38.435229         41.19411          40.739            41.185            40.105            38.752            
18   34   *                 *                 *                 *                 *                 *                 38.972837         42.071643         42.647779         41.482552         40.389387         43.00224          43.132            43.884            42.905            41.153            
18   36   *                 *                 *                 *                 *                 *                 41.728823         44.918311         45.557915         44.189921         43.021958         45.77958          45.608            46.534            45.323            43.446            
18   38   *                 *                 *                 *                 *                 *                 44.51473          47.81323          48.525275         46.961985         45.613494         48.460048         48.486            49.257            48.06             45.727            
18   40   *                 *                 *                 *                 *                 *                 46.682963         50.537872         51.426562         49.561307         47.957494         50.733711         *                 51.986            50.708            47.82             
18   42   *                 *                 *                 *                 *                 *                 47.899822         *                 *                 *                 *                 *                 *                 *                 *                 *                 
18   44   *                 *                 *                 *                 *                 *                 49.702131         *                 *                 *                 *                 *                 *                 *                 *                 *                 
18   46   *                 *                 *                 *                 *                 *                 51.717974         *                 *                 *                 *                 *                 *                 *                 *                 *                 
18   48   *                 *                 *                 *                 *                 *                 53.931532         *                 *                 *                 *                 *                 *                 *                 *                 *                 
18   50   *                 *                 *                 *                 *                 *                 56.293252         *                 *                 *                 *                 *                 *                 *                 *                 *                 
20   14   *                 *                 *                 *                 *                 *                 0.018316          0.188988          0.545258          0.508783          *                 0.044163          1.042             1.874             1.847             1.642             
20   16   2.64008           2.6508            *                 0.04              0.04              *                 3.929034          4.496966          5.045109          4.723195          3.793094          4.529433          5.849             6.055             6.472             5.945             
20   18   6.40562           6.4049            *                 0.00456           0.0002            *                 8.541882          9.138374          9.773298          9.362083          8.371681          9.600047          9.992             10.319            11.08             10.532            
20   20   14.70966          14.7095           *                 0.0003            0.0002            *                 13.072474         13.759285         14.380127         13.915847         12.892366         14.621518         15.323            15.71             14.764            15.073            
20   22   18.08512          18.08529          *                 0.00025           0.00015           *                 16.908232         17.733205         18.541165         18.028582         17.011982         19.106691         19.651            20.133            19.695            19.2              
20   24   21.62375          21.62394          *                 0.00579           0.00578           *                 20.622195         21.624008         22.482655         22.015091         21.008997         23.334835         23.653            23.81             23.359            23.102            
20   26   25.03997          25.04405          *                 0.00277           0.00274           *                 24.313107         25.308292         26.396591         25.836239         24.922298         27.34065          27.342            27.389            27.088            26.731            
20   28   29.07194          29.02964          *                 0.04069           0.00112           *                 27.856169         28.774141         30.08199          29.308262         28.408588         31.010749         31.28             30.918            30.795            30.165            
20   30   *                 31.88583          *                 *                 0.3074            *                 30.390748         31.860234         32.916598         32.126977         31.225213         33.913043         33.461            33.122            33.068            32.584            
20   32   *                 *                 *                 *                 *                 *                 32.722713         34.585857         35.569641         34.495118         33.555256         36.299926         35.919            35.117            35.361            35.012            
20   34   *                 *                 *                 *                 *                 *                 35.037418         37.278367         38.182969         36.924385         35.806467         38.480403         38.632            37.675            37.786            37.379            
20   36   *                 *                 *                 *                 *                 *                 37.900089         40.23903          41.166676         39.703065         38.543305         41.363715         41.614            41.167            41.082            39.683            
20   38   *                 *                 *                 *                 *                 *                 40.826709         43.237852         44.212552         42.534961         41.21007          44.224013         44.473            44.684            44.002            41.988            
20   40   *                 *                 *                 *                 *                 *                 43.6106           46.161346         47.029632         45.251688         43.752035         46.882399         47.138            47.076            46.377            44.222            
20   42   *                 *                 *                 *                 *                 *                 46.275606         48.762002         49.735209         47.803904         46.2769           49.176186         *                 *                 *                 45.928            
20   44   *                 *                 *                 *                 *                 *                 48.461298         51.187196         52.380432         49.921042         48.153636         50.464232         *                 *                 *                 47.395            
20   46   *                 *                 *                 *                 *                 *                 50.668236         52.947907         54.167655         51.330741         49.412546         51.525299         *                 *                 *                 48.726            
20   48   *                 *                 *                 *                 *                 *                 52.859894         54.733837         56.432635         52.843499         50.964156         52.730843         *                 *                 *                 49.928            
20   50   *                 *                 *                 *                 *                 *                 54.41843          *                 *                 54.160641         52.225444         53.693047         *                 *                 *                 *                 
20   52   *                 *                 *                 *                 *                 *                 55.553592         *                 *                 *                 53.640255         55.028084         *                 *                 *                 *                 
20   54   *                 *                 *                 *                 *                 *                 56.807052         *                 *                 *                 *                 56.824321         *                 *                 *                 *                 
20   56   *                 *                 *                 *                 *                 *                 58.801882         *                 *                 *                 *                 58.949124         *                 *                 *                 *                 
22   18   1.369             1.36983           *                 0.16006           0.16              *                 3.627427          3.082364          2.553075          2.807051          3.775074          2.665734          1.335             1.076             1.446             2.111             
22   20   4.85322           4.83623           *                 0.00545           0.00028           *                 7.509994          7.072707          6.748697          6.98645           7.983896          7.156889          5.615             5.442             5.967             6.177             
22   22   13.57933          13.57927          *                 0.00071           0.00072           *                 10.806598         10.606642         10.518757         10.800433         11.83248          11.214643         9.703             8.905             9.464             10.05             
22   24   17.23288          17.23707          *                 0.00084           0.00036           *                 14.07665          14.048891         14.224942         14.613658         15.600537         15.30146          14.283            13.482            13.754            13.991            
22   26   19.93059          19.93129          *                 0.00215           0.00223           *                 17.283196         17.460794         17.794005         18.23043          19.307089         18.984375         17.686            16.752            17.135            17.684            
22   28   21.79048          21.78497          *                 0.004             9e-05             *                 20.379573         20.662596         21.197896         21.553252         22.710946         22.542229         21.33             20.283            20.689            21.558            
22   30   24.47195          24.45854          *                 0.01163           0.00725           *                 22.689287         23.470385         23.970323         24.267562         25.377136         25.157519         23.721            23.346            23.163            23.656            
22   32   27.6632           25.93366          *                 0.70967           0.08246           *                 24.989054         26.036135         26.636523         26.697696         27.799027         27.486809         26.196            26.388            25.847            25.94             
22   34   *                 28.7374           *                 *                 0.13056           *                 27.257426         28.600059         29.349336         29.18364          30.130561         29.843513         28.868            29.021            28.534            28.317            
22   36   *                 *                 *                 *                 *                 *                 29.726721         31.333863         32.10388          31.818083         32.682367         32.536411         31.644            31.553            31.183            30.721            
22   38   *                 *                 *                 *                 *                 *                 32.233345         34.114523         34.834453         34.450301         35.189097         35.280222         34.338            34.131            33.715            33.111            
22   40   *                 *                 *                 *                 *                 *                 34.718596         36.635132         37.555233         37.032499         37.632996         37.925491         37.236            36.849            36.403            35.474            
22   42   *                 *                 *                 *                 *                 *                 37.079734         39.127681         40.122658         39.589468         40.142907         40.462042         39.591            39.376            38.871            37.602            
22   44   *                 *                 *                 *                 *                 *                 39.330809         41.537704         42.656785         42.18099          42.483175         43.466598         41.747            *                 41.431            39.48             
22   46   *                 *                 *                 *                 *                 *                 41.963056         44.225121         45.130972         45.082967         45.524205         46.257049         *                 *                 43.766            41.17             
22   48   *                 *                 *                 *                 *                 *                 43.878397         46.512772         47.665642         47.272995         47.523227         48.02554          *                 *                 45.919            42.748            
22   50   *                 *                 *                 *                 *                 *                 45.867541         48.298891         49.831451         48.868409         48.974916         49.194079         *                 *                 *                 44.021            
