Z,N,2003,2003_sd,2016,2016_sd,2017,2017_sd,SKM*,SKP,SLY4,SVMIN,UNEDF0,UNEDF1,UNEDF2,FRDM2012,HFB24
24,31,6.24626,0.00019,6.24626,0.00019,*,*,6.882817,6.879603,6.07565,6.403858,6.857981,6.503809,6.36617,5.78,6.1
24,33,5.31421,0.00263,5.31102,0.00123,*,*,5.006309,5.377982,4.942202,5.103176,5.222205,5.240321,4.744667,4.97,5.36
24,35,4.12808,0.31761,4.16528,0.21637,*,*,4.3644,4.430428,4.094567,4.438453,4.556416,4.296772,3.809716,4.13,4.04
24,37,3.74809,0.33221,3.87697,0.21851,*,*,4.435958,3.79462,3.922355,4.023704,4.188723,3.942053,3.570785,3.56,3.57
24,39,*,*,3.18383,0.38749,*,*,3.879561,3.066348,3.280676,3.376018,3.532434,3.296846,3.122056,3.33,3.11
24,41,*,*,*,*,*,*,3.423567,2.303271,2.063235,2.406121,2.603892,2.427783,2.476055,2.35,2.56
24,43,*,*,*,*,*,*,2.929364,2.257985,1.768561,2.214015,2.345506,2.391111,2.133685,2.08,2.16
24,45,*,*,*,*,*,*,2.458565,1.555224,1.878842,1.840333,2.036805,1.660391,1.586703,1.84,1.33
24,47,*,*,*,*,*,*,2.008019,0.937988,0.732033,1.081749,1.341679,1.085594,0.957503,1.12,0.79
24,49,*,*,*,*,*,*,1.536371,0.383407,0.303167,0.505803,0.762673,0.542451,0.445413,1.35,0.78
24,51,*,*,*,*,*,*,0.834988,*,*,0.068348,0.329586,0.14139,0.181376,*,0.19
24,53,*,*,*,*,*,*,0.420555,*,*,*,0.075779,*,*,*,*
24,55,*,*,*,*,*,*,0.158336,*,*,*,0.030637,*,0.058705,*,*
26,3,*,*,*,*,*,*,10.205893,16.387479,9.290455,16.571267,16.845401,17.106555,*,*,*
26,5,*,*,*,*,*,*,27.974618,28.642285,28.941158,27.422958,28.230266,27.849123,*,*,*
26,7,*,*,*,*,*,*,26.309903,27.636517,27.879119,26.449279,26.541258,27.066952,*,*,*
26,9,*,*,*,*,*,*,24.380931,24.412847,24.63872,23.272437,24.010435,23.023945,*,*,*
26,11,*,*,*,*,*,*,24.939203,25.34564,25.714475,24.704328,25.251926,25.04723,*,*,*
26,13,*,*,*,*,*,*,22.408878,23.22994,23.344599,22.890766,23.510052,23.546233,*,*,*
26,15,*,*,*,*,*,*,20.532461,21.400923,21.351261,21.167805,21.378527,21.906866,*,*,*
26,17,*,*,*,*,*,*,18.358785,19.265749,19.025689,18.997702,19.324241,19.96858,19.749339,20.0,21.0
26,19,*,*,*,*,*,*,17.351056,17.728238,17.99097,17.776078,17.967886,18.761933,18.715589,17.88,18.93
26,21,*,*,*,*,*,*,14.413318,14.436155,14.370626,14.758718,15.224359,15.322554,14.835962,15.81,16.11
26,23,*,*,*,*,*,*,14.395154,14.026687,14.192587,14.212769,14.542113,14.847026,14.607361,14.25,13.36
26,25,13.81812,0.06185,13.79742,0.01227,*,*,12.917557,12.336123,12.408079,12.507579,13.031214,12.957882,12.793335,13.02,12.53
26,27,10.68503,0.00671,10.68848,0.00516,*,*,11.41832,10.896041,10.752763,10.947037,11.607378,11.249365,11.298868,10.7,10.35
26,29,9.29823,0.0002,9.29812,0.00019,*,*,9.155892,9.591569,8.8574,9.222627,9.753927,9.243237,9.089341,8.74,8.84
26,31,7.6461,3e-05,7.64607,4e-05,*,*,8.099837,8.19979,7.508751,7.711431,8.150779,7.968233,7.64017,7.02,7.28
26,33,6.58101,0.00011,6.58101,0.00011,*,*,6.290225,6.707361,6.366796,6.589993,6.551407,6.668557,6.245714,6.38,6.64
26,35,5.58088,0.0203,5.57879,0.00429,*,*,5.647325,5.809489,5.463125,5.66632,5.916266,5.645808,5.254033,5.54,5.45
26,37,4.7164,0.16876,4.82889,0.00513,*,*,5.245501,5.170494,5.219968,5.335093,5.466082,5.173732,4.789082,4.81,4.79
26,39,4.1786,0.36832,4.31967,0.00716,*,*,5.066841,4.403403,4.64427,4.638033,4.809057,4.637756,4.689644,4.38,4.29
26,41,4.19015,0.51409,3.61363,0.27032,*,*,4.587213,3.582852,3.376796,3.697365,3.895411,3.566086,3.296298,3.54,4.6
26,43,*,*,*,*,*,*,4.122345,3.037558,2.820107,3.059493,3.267745,3.42237,3.389976,3.13,3.33
26,45,*,*,*,*,*,*,3.719005,2.922832,3.069245,3.138055,3.243791,2.87371,2.88515,2.85,2.65
26,47,*,*,*,*,*,*,3.177583,2.076729,1.989379,2.192182,2.378016,2.125865,2.043253,2.53,1.82
26,49,*,*,*,*,*,*,2.79864,1.46352,1.721706,1.546055,1.743616,1.504197,1.579943,2.47,1.41
26,51,*,*,*,*,*,*,1.332959,0.89343,0.034907,0.941519,1.247899,1.03252,0.852813,0.24,2.28
26,53,*,*,*,*,*,*,1.206145,0.385807,*,0.52783,0.888026,0.73146,0.719405,*,0.31
26,55,*,*,*,*,*,*,0.818302,0.155637,*,0.417004,0.71329,0.636577,0.718156,*,*
26,57,*,*,*,*,*,*,0.347066,*,*,*,0.449869,0.408274,0.046025,*,*
26,59,*,*,*,*,*,*,*,*,*,*,0.075649,*,*,*,*
28,5,*,*,*,*,*,*,28.300406,29.058125,29.326008,27.807483,28.511922,28.191204,*,*,*
28,7,*,*,*,*,*,*,27.033661,28.115612,28.338035,26.952822,27.154983,27.507267,*,*,*
28,9,*,*,*,*,*,*,24.926063,25.091113,25.329052,24.179812,24.737702,24.028128,*,*,*
28,11,*,*,*,*,*,*,25.953962,26.2031,26.614091,25.415737,25.962885,25.576257,*,*,*
28,13,*,*,*,*,*,*,24.327532,24.961861,25.072738,24.513827,25.657512,25.054532,*,*,*
28,15,*,*,*,*,*,*,21.560509,22.660828,22.463358,22.234831,23.203112,22.88387,*,*,*
28,17,*,*,*,*,*,*,20.194372,20.859669,20.948421,20.664964,20.914769,21.724356,*,*,*
28,19,*,*,*,*,*,*,19.05137,19.441147,19.689201,19.363187,19.601311,20.289622,20.424689,20.39,19.91
28,21,*,*,*,*,*,*,15.93511,15.995477,16.067645,16.387232,16.80603,16.85205,16.311388,17.46,17.93
28,23,*,*,*,*,*,*,15.322839,15.296762,15.197786,15.41961,15.942666,16.20934,15.937158,15.82,14.83
28,25,*,*,*,*,*,*,14.626028,13.935379,14.189371,14.242762,14.736808,14.758304,14.622525,14.78,14.17
28,27,14.19612,0.0512,14.12886,0.00471,*,*,13.528867,12.620755,12.888577,12.878073,13.443436,13.351231,13.476555,13.5,13.56
28,29,10.24961,0.01121,10.24761,0.00052,*,*,10.381594,11.091901,10.076722,10.638123,11.184142,10.663229,10.442197,10.01,10.91
28,31,8.99927,5e-05,8.99928,5e-05,*,*,9.300291,9.541709,8.9194,9.043006,9.520702,9.212566,8.960517,8.65,8.47
28,33,7.82013,5e-05,7.8201,5e-05,*,*,7.459753,8.068872,7.761099,7.911075,7.903559,8.11104,7.480728,7.28,7.87
28,35,6.83778,6e-05,6.83777,6e-05,*,*,6.802856,7.18851,7.028484,7.104429,7.246014,7.223137,6.91246,7.05,6.84
28,37,6.09809,0.00014,6.09808,0.00014,*,*,6.450181,6.539268,6.60584,6.581542,6.765493,6.521836,6.354401,6.26,5.97
28,39,5.80771,0.00321,5.80771,0.00321,*,*,6.000533,5.744478,6.004615,5.910046,6.112099,5.957727,6.025161,5.66,5.35
28,41,4.58615,0.00477,4.58615,0.00477,*,*,5.544652,4.839668,4.674876,4.967622,5.20073,4.886444,4.544387,4.73,4.63
28,43,4.12524,0.505,4.26368,0.0031,*,*,5.192107,4.20862,4.055659,4.320039,4.53073,4.253594,4.209454,4.19,4.07
28,45,*,*,3.95341,0.0033,*,*,4.964698,3.807469,3.839443,3.944588,4.054455,3.960258,4.030851,3.88,3.46
28,47,*,*,*,*,*,*,4.831229,3.356502,3.705671,3.628526,3.606017,3.443837,3.53441,3.67,2.83
28,49,*,*,*,*,*,*,4.028417,2.602736,2.88818,2.756786,2.833028,2.740895,2.966133,3.19,2.98
28,51,*,*,*,*,*,*,1.973245,1.841965,0.78853,1.666607,2.099313,1.732449,1.452492,1.04,2.03
28,53,*,*,*,*,*,*,1.827909,1.305884,0.611037,1.223757,1.652404,1.444588,1.313526,0.36,0.94
