Z,N,2003,2003_sd,2016,2016_sd,2017,2017_sd,SKM*,SKP,SLY4,SVMIN,UNEDF0,UNEDF1,UNEDF2,FRDM2012,HFB24
17,33,*,*,*,*,*,*,0.911188,0.642167,0.283116,0.773482,1.170096,0.968613,0.12562,1.07,0.78
17,35,*,*,*,*,*,*,*,*,*,*,0.034216,*,*,0.2,*
19,3,*,*,*,*,*,*,24.174266,24.661728,24.835292,22.982241,23.897758,22.647993,*,*,*
19,5,*,*,*,*,*,*,27.573673,28.257885,28.374568,26.921022,27.770589,27.245859,*,*,*
19,7,*,*,*,*,*,*,24.713811,26.09391,26.253003,25.180194,25.147429,25.927587,*,*,*
19,9,*,*,*,*,*,*,19.498052,20.542557,20.55969,20.18076,20.773879,20.618689,*,*,*
19,11,*,*,*,*,*,*,19.142579,19.506064,19.543524,19.284448,20.046694,20.251826,20.149436,21.56,21.0
19,13,*,*,*,*,*,*,17.850757,18.387317,17.702682,17.8052,18.550169,18.930124,18.927342,19.02,20.3
19,15,*,*,*,*,*,*,14.626623,15.678011,14.585187,14.989253,15.302431,15.849253,15.413161,16.09,18.09
19,17,14.32859,0.02146,14.31549,0.00062,*,*,11.876272,12.605867,12.515009,12.553276,12.378516,13.330644,12.873256,14.14,13.15
19,19,12.07181,0.00046,12.07187,0.00022,*,*,10.427598,10.609479,10.742918,10.701933,10.7471,11.386534,11.395389,11.43,10.51
19,21,7.79951,7e-05,7.79962,6e-05,*,*,8.493783,8.144605,7.773255,8.078605,8.53449,8.166584,7.801429,8.69,7.14
19,23,7.5338,0.00011,7.5338,0.00011,*,*,7.777225,7.058751,6.89078,7.06184,7.494555,7.251165,7.262499,7.39,6.92
19,25,7.28768,0.03688,7.27742,0.00059,*,*,7.347676,6.289276,6.347247,6.338017,6.67069,6.507826,6.630753,6.59,6.35
19,27,6.88145,0.01849,6.8696,0.00089,*,*,6.426206,5.435294,5.319828,5.433415,5.796767,5.536581,5.706558,5.5,5.63
19,29,4.49898,0.02472,4.64382,0.0016,*,*,4.931939,4.612712,3.787092,4.433648,4.933637,4.527568,4.483048,4.15,4.94
19,31,3.10419,0.28707,4.18767,0.00777,*,*,3.865727,3.486669,2.827714,3.27515,3.760909,3.460602,3.22858,2.76,3.31
19,33,*,*,2.69275,0.03598,*,*,2.041784,1.991137,1.564878,1.927197,2.250548,1.993654,1.099576,2.14,2.29
19,35,*,*,*,*,*,*,0.980385,0.929112,0.725445,1.10343,1.369914,1.002444,0.303211,1.07,1.22
19,37,*,*,*,*,*,*,0.603598,0.334503,0.412294,0.710388,1.045627,0.633591,0.172308,1.06,0.32
19,39,*,*,*,*,*,*,0.324954,*,*,0.09029,0.432102,0.035476,*,*,*
19,41,*,*,*,*,*,*,0.024017,*,*,*,*,*,*,0.06,*
19,43,*,*,*,*,*,*,*,*,*,*,*,*,*,*,0.29
19,47,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2.09
21,3,*,*,*,*,*,*,23.888779,24.519685,24.80892,23.042991,23.898625,22.819489,*,*,*
21,5,*,*,*,*,*,*,27.781808,28.464664,28.644606,27.141781,27.975663,27.398349,*,*,*
21,7,*,*,*,*,*,*,25.517202,26.960838,27.21145,25.939284,25.859136,26.483688,*,*,*
21,9,*,*,*,*,*,*,21.210777,21.937184,21.906,21.278435,21.895979,21.631702,*,*,*
21,11,*,*,*,*,*,*,21.035432,21.454724,21.631814,21.189882,21.828408,22.022966,*,*,*
21,13,*,*,*,*,*,*,19.183668,19.660178,19.648337,19.566292,20.321943,20.540309,20.586839,20.8,17.73
21,15,*,*,*,*,*,*,16.54295,17.223428,16.748368,17.043194,17.339922,17.946841,17.548483,18.23,25.54
21,17,*,*,*,*,*,*,14.085663,14.857174,14.781704,14.784111,14.644255,15.734872,15.324151,16.3,15.4
21,19,14.42652,0.02417,14.42194,0.02417,*,*,12.562561,12.797268,12.965913,12.898541,12.960209,13.774373,13.756181,14.27,13.92
21,21,11.55016,0.00016,11.55006,0.00016,*,*,10.326669,10.078138,9.785776,10.093406,10.568969,10.310426,9.885533,11.29,11.51
21,23,9.69948,0.00255,9.6992,0.00255,*,*,9.601143,8.971524,8.851745,9.044314,9.495174,9.364279,9.411896,9.36,8.37
21,25,8.76064,0.0001,8.76064,0.0001,*,*,9.142137,8.137792,8.269366,8.238886,8.631863,8.474484,8.511425,8.03,8.18
21,27,8.2353,0.00554,8.23856,0.00531,*,*,8.112747,7.165972,7.11085,7.147959,7.561782,7.356372,7.521814,7.17,7.67
21,29,6.05583,0.01528,6.05743,0.01524,*,*,6.166263,6.143294,5.202941,5.836264,6.352608,5.930763,5.852208,5.5,6.3
21,31,5.20967,0.19435,5.28591,0.08426,*,*,5.071037,4.865039,4.176179,4.500372,4.987545,4.665671,4.488481,4.11,4.78
21,33,*,*,3.05541,0.28857,*,*,3.22305,3.353078,2.899221,3.168161,3.403033,3.134049,2.237734,3.01,3.59
21,35,*,*,2.76422,0.74217,*,*,2.337222,2.380442,2.152679,2.454129,2.675234,2.392678,1.710057,2.74,2.43
21,37,*,*,*,*,*,*,1.970663,1.780646,1.846077,2.064775,2.30201,2.00823,1.630978,2.24,1.64
21,39,*,*,*,*,*,*,1.655833,1.104097,1.21875,1.416781,1.672781,1.346272,1.264764,1.76,1.28
21,41,*,*,*,*,*,*,1.302776,0.378985,0.087433,0.477539,0.708413,0.319963,0.105127,1.08,0.1
21,43,*,*,*,*,*,*,1.062616,*,*,*,0.138142,*,*,0.78,*
21,45,*,*,*,*,*,*,0.992926,*,*,*,0.083958,*,*,0.43,*
21,47,*,*,*,*,*,*,0.645488,*,*,*,*,*,*,0.16,*
21,49,*,*,*,*,*,*,0.246893,*,*,*,*,*,*,0.0,*
23,3,*,*,*,*,*,*,23.750633,24.540298,24.871738,23.269203,24.05869,23.215804,*,*,*
23,5,*,*,*,*,*,*,27.867197,28.568733,28.777693,27.245241,28.0731,27.513374,*,*,*
23,7,*,*,*,*,*,*,25.850706,27.313692,27.578053,26.236827,26.161513,26.766845,*,*,*
23,9,*,*,*,*,*,*,22.81069,23.068157,23.037369,22.119636,22.81571,22.265791,*,*,*
23,11,*,*,*,*,*,*,22.721688,23.140614,23.441375,22.781606,23.372898,23.463004,*,*,*
23,13,*,*,*,*,*,*,20.281038,21.070612,21.137298,20.887988,21.616789,21.63426,21.69265,*,*
23,15,*,*,*,*,*,*,18.246369,18.975819,18.661203,18.795538,19.105898,19.78265,19.521422,19.86,18.14
23,17,*,*,*,*,*,*,15.903585,16.792075,16.592525,16.616005,16.738011,17.561012,17.211779,17.99,18.33
23,19,*,*,*,*,*,*,14.522474,14.835871,15.054133,14.94441,15.05893,15.958418,15.824822,16.4,16.33
23,21,*,*,14.27134,0.18663,*,*,12.010417,11.87441,11.673322,12.007086,12.498756,12.357328,12.01286,13.9,13.93
23,23,13.2647,0.01704,13.26065,0.00086,*,*,11.758633,11.118948,11.223878,11.292886,11.620854,11.819789,11.758694,11.4,11.52
23,25,10.54465,0.00243,10.54239,0.00098,*,*,10.629654,9.869949,9.924874,9.966416,10.444087,10.255528,10.139229,10.03,9.1
23,27,9.33593,0.00128,9.3334,0.00092,*,*,9.368047,8.662174,8.538144,8.628458,9.153026,8.870874,8.937328,8.97,8.71
