Z    N    S1n(MeV)          S1n_Err(MeV)      S1p(MeV)          S1p_Error(MeV)    Q4b(MeV)          Q4b_Error(MeV)    
8    6    23.17639          0.00953           4.6271            0.00029           *                 *                 
8    7    13.22307          0.0005            7.29678           0.00049           *                 *                 
8    8    15.66392          0.00049           12.12741          0.0               *                 *                 
8    9    4.14313           0.00011           13.78144          0.00262           *                 *                 
8    10   8.04403           0.00061           15.94186          0.015             *                 *                 
8    11   3.95492           0.00276           17.06857          0.01877           -29.70522         0.25152           
8    12   7.60873           0.00289           19.35364          0.01643           -13.77289         0.02702           
8    13   3.80587           0.01203           20.99117          0.05687           -2.8476           0.02034           
8    14   6.85007           0.05817           23.25598          0.11079           9.68111           0.05694           
8    15   2.74251           0.13451           24.71469          0.22759           20.08673          0.12187           
8    16   3.61388           0.26582           *                 *                 *                 *                 
9    6    *                 *                 -1.47905          0.13379           *                 *                 
9    7    14.16644          0.13405           -0.53568          0.00833           *                 *                 
9    8    16.79987          0.00832           0.60027           0.00025           *                 *                 
9    9    9.14932           0.00059           5.60646           0.00052           *                 *                 
9    10   10.4324           0.00054           7.99483           0.00062           *                 *                 
9    11   6.60134           3e-05             10.64125          0.00283           *                 *                 
9    12   8.10146           0.0018            11.13398          0.0021            *                 *                 
9    13   5.23039           0.01253           12.5585           0.01727           *                 *                 
9    14   7.53495           0.0805            13.24338          0.09781           -3.43982          0.0817            
9    15   3.84154           0.10748           14.3424           0.14169           7.61647           0.07234           
9    16   4.35814           0.12196           15.08667          0.25585           20.18888          0.09824           
9    17   1.07225           0.19339           *                 *                 30.48208          0.16658           
9    18   1.41623           0.41188           *                 *                 *                 *                 
10   6    *                 *                 0.06788           0.13535           *                 *                 
10   7    15.60688          0.03385           1.50832           0.02821           *                 *                 
10   8    19.21505          0.02695           3.92351           0.00037           *                 *                 
10   9    11.63704          0.0004            6.41123           0.00061           *                 *                 
10   10   16.86469          0.00029           12.84352          7e-05             *                 *                 
10   11   6.76116           4e-05             13.00334          8e-05             *                 *                 
10   12   10.36426          4e-05             15.26613          0.0018            *                 *                 
10   13   5.20065           0.0001            15.23639          0.0124            *                 *                 
10   14   8.86879           0.0004            16.57024          0.07954           -16.70619         0.01948           
10   15   4.22787           0.02565           16.95657          0.0767            -5.93239          0.02752           
10   16   5.53363           0.03707           18.13206          0.10182           7.57424           0.02694           
10   17   1.43098           0.11358           18.49079          0.19984           19.45425          0.11038           
10   18   3.89667           0.18357           20.97123          0.40424           32.7374           0.14668           
10   19   1.25804           0.3061            *                 *                 39.95293          0.26867           
10   20   3.02717           0.63081           *                 *                 *                 *                 
11   7    *                 *                 -0.4401           0.05707           *                 *                 
11   8    19.33448          0.05171           -0.32067          0.012             *                 *                 
11   9    14.15041          0.01373           2.19269           0.00667           *                 *                 
11   10   17.1032           0.0067            2.4312            0.0007            *                 *                 
11   11   11.06959          0.00081           6.73963           0.00042           *                 *                 
11   12   12.41873          0.00041           8.79411           2e-05             *                 *                 
11   13   6.95958           8e-05             10.55304          0.00013           *                 *                 
11   14   9.01102           0.0012            10.69527          0.00126           *                 *                 
11   15   5.57582           0.00595           12.04321          0.0263            *                 *                 
11   16   6.72644           0.0068            13.23602          0.027             -4.80041          0.02657           
11   17   3.54313           0.0135            15.34817          0.11115           6.16951           0.01346           
11   18   4.41707           0.01844           15.86857          0.14726           19.61763          0.01305           
11   19   2.37523           0.02833           16.98576          0.26985           28.56167          0.02515           
11   20   3.77764           0.21281           17.73623          0.6086            37.09565          0.21132           
11   21   1.66161           0.41415           *                 *                 43.3697           0.35618           
11   22   2.2465            0.94471           *                 *                 *                 *                 
12   7    *                 *                 -1.56115          0.25648           *                 *                 
12   8    23.54106          0.25295           2.64543           0.02955           *                 *                 
12   9    14.73116          0.0316            3.22618           0.01771           *                 *                 
12   10   19.37879          0.01647           5.50177           0.00151           *                 *                 
12   11   13.14812          0.00186           7.5803            0.00135           *                 *                 
12   12   16.53112          0.00129           11.69268          1e-05             *                 *                 
12   13   7.33058           3e-05             12.06368          8e-05             *                 *                 
12   14   11.09307          3e-05             14.14573          0.0012            *                 *                 
12   15   6.44339           4e-05             15.0133           0.00583           *                 *                 
12   16   8.50331           0.002             16.79017          0.00403           -19.09184         0.16001           
12   17   3.67171           0.01412           16.91876          0.01911           -7.45945          0.05192           
12   18   6.36296           0.01629           18.86465          0.0155            5.15186           0.00891           
12   19   2.37803           0.01473           18.86744          0.02791           15.82727          0.0122            
12   20   5.80872           0.02144           20.89852          0.21206           25.06092          0.0177            
12   21   2.22247           0.02638           21.45938          0.35671           31.48006          0.01956           
12   22   4.15678           0.23222           23.36966          0.90508           38.74039          0.2314            
13   10   *                 *                 0.12244           0.0187            *                 *                 
13   11   14.89783          0.01885           1.87215           0.00307           *                 *                 
13   12   16.93054          0.00282           2.27158           0.00048           *                 *                 
13   13   11.36545          0.00048           6.30645           5e-05             *                 *                 
13   14   13.05767          0.00013           8.27105           0.00012           *                 *                 
13   15   7.7251            6e-05             9.55276           0.00014           *                 *                 
13   16   9.4362            0.0012            10.48565          0.00233           *                 *                 
13   17   5.72841           0.0141            12.54236          0.01981           *                 *                 
13   18   7.15253           0.02472           13.33193          0.022             -7.88646          0.05398           
13   19   4.17966           0.08832           15.13356          0.0868            2.2678            0.0862            
13   20   5.53873           0.1126            14.86357          0.07487           12.47405          0.07275           
13   21   2.47443           0.13442           15.11553          0.11472           21.50728          0.11304           
13   22   5.26901           0.20842           16.22776          0.29018           28.88335          0.17511           
13   23   2.15915           0.27704           *                 *                 *                 *                 
13   24   3.90697           0.3945            *                 *                 *                 *                 
13   25   1.96705           0.80199           *                 *                 45.84869          0.73052           
13   26   2.72549           1.64309           *                 *                 *                 *                 
14   10   *                 *                 3.30387           0.02696           *                 *                 
14   11   15.00167          0.02189           3.40771           0.01038           *                 *                 
14   12   19.04027          0.01044           5.51743           0.00304           *                 *                 
14   13   13.31099          0.003             7.46296           0.00016           *                 *                 
14   14   17.17981          0.00015           11.58511          0.00012           *                 *                 
14   15   8.47357           2e-05             12.33358          0.00013           *                 *                 
14   16   10.6092           2e-05             13.50658          0.00121           *                 *                 
14   17   6.5874            3e-05             14.36556          0.01404           *                 *                 
14   18   9.20322           3e-05             16.41625          0.02034           -21.8807          0.00178           
14   19   4.48307           0.01579           16.71967          0.08739           -11.10852         0.0158            
14   20   7.53543           0.02118           18.71636          0.0741            -1.57955          0.01412           
14   21   2.47485           0.04092           18.71678          0.11939           8.6871            0.03842           
14   22   6.19352           0.12929           19.64129          0.21425           17.74903          0.12345           
14   23   2.16881           0.20901           19.65094          0.27301           24.36766          0.16866           
14   24   5.55859           0.21759           21.30257          0.35838           30.64728          0.13747           
14   25   2.07584           0.3649            21.41136          0.80493           35.17022          0.33805           
14   26   4.53247           0.65071           23.21834          1.57329           40.50695          0.55603           
14   27   -0.02418          1.92635           *                 *                 46.63002          1.84436           
15   12   *                 *                 0.86137           0.02651           *                 *                 
15   13   14.51304          0.02655           2.06342           0.00332           *                 *                 
15   14   17.86519          0.00337           2.7488            0.0006            *                 *                 
15   15   11.31927          0.00068           5.5945            0.00031           *                 *                 
15   16   12.31163          0.00036           7.29693           0.00019           *                 *                 
15   17   7.93565           4e-05             8.64518           0.00019           *                 *                 
15   18   10.10359          0.00111           9.54555           0.0011            *                 *                 
15   19   6.2915            0.00512           11.35398          0.01656           *                 *                 
15   20   8.37139           0.00533           12.18994          0.01424           -13.68884         0.02009           
15   21   3.46455           0.01324           13.17964          0.04059           -2.82481          0.01525           
15   22   6.81448           0.04015           13.80061          0.12916           5.80605           0.03795           
15   23   3.83499           0.11013           15.46679          0.19782           14.04287          0.10339           
15   24   6.18723           0.14623           16.09543          0.17202           20.93328          0.10341           
15   25   3.30442           0.17333           17.32401          0.36552           25.42837          0.1391            
15   26   5.24099           0.25711           18.03253          0.5966            30.28257          0.21623           
15   27   1.85594           0.49641           19.91266          1.89772           35.96042          0.44684           
15   28   3.24423           1.06684           *                 *                 42.35919          0.9688            
16   12   *                 *                 2.49874           0.16215           *                 *                 
16   13   15.3041           0.16763           3.2898            0.05011           *                 *                 
16   14   18.97427          0.05009           4.39888           0.00306           *                 *                 
16   15   13.05343          0.00335           6.13304           0.00154           *                 *                 
16   16   15.04237          0.0015            8.86378           0.00021           *                 *                 
16   17   8.64161           3e-05             9.56975           0.00022           *                 *                 
16   18   11.41711          9e-05             10.88327          0.00109           *                 *                 
16   19   6.98588           4e-05             11.57766          0.005             *                 *                 
16   20   9.88904           0.00021           13.0953           0.00186           -24.22472         0.04              
16   21   4.3036            6e-05             13.93435          0.01311           -13.7346          0.02236           
16   22   8.03615           0.00717           15.15602          0.03862           -4.80198          0.0085            
16   23   4.37236           0.05051           15.69339          0.11484           4.11216           0.05003           
16   24   7.77564           0.14988           17.2818           0.17509           11.97971          0.14129           
16   25   4.22385           0.18426           18.20124          0.18259           16.11865          0.11827           
16   26   6.72971           0.17152           19.68996          0.24937           20.86957          0.12422           
16   27   2.35905           0.2371            20.19307          0.49036           26.4434           0.20195           
16   28   5.22225           0.44322           22.17109          1.04601           32.35231          0.39454           
16   29   2.20782           1.78649           *                 *                 37.55928          1.74238           
17   14   *                 *                 0.2936            0.05009           *                 *                 
17   15   14.33392          0.05043           1.57409           0.00676           *                 *                 
17   16   15.74498          0.00661           2.27671           0.00044           *                 *                 
17   17   11.50766          0.00045           5.14275           0.00012           *                 *                 
17   18   12.64508          0.00018           6.37072           0.0001            *                 *                 
17   19   8.57963           6e-05             7.96447           0.00011           *                 *                 
17   20   10.31099          8e-05             8.38643           0.00019           *                 *                 
17   21   6.10788           8e-05             10.19071          0.00021           *                 *                 
17   22   8.07342           0.00173           10.22798          0.00738           -15.63218         0.02406           
17   23   5.82892           0.03211           11.68454          0.0594            -7.03458          0.03219           
17   24   7.8207            0.07584           11.72959          0.15712           1.3352            0.06872           
17   25   5.67712           0.15934           13.18285          0.18616           7.20825           0.14376           
17   26   7.3265            0.21315           13.77964          0.20049           12.01976          0.15739           
17   27   4.1342            0.19089           15.55479          0.22903           17.58504          0.10804           
17   28   6.20291           0.16427           16.53545          0.4135            22.70515          0.12376           
17   29   4.41692           0.72794           18.74455          1.88427           27.04886          0.71734           
18   14   *                 *                 2.42201           0.05003           *                 *                 
18   15   15.25525          0.00181           3.34334           0.00661           *                 *                 
18   16   17.06439          0.00052           4.66276           0.0006            *                 *                 
18   17   12.74151          0.00084           5.89661           0.00077           *                 *                 
18   18   15.25545          0.00075           8.50697           5e-05             *                 *                 
18   19   8.78744           0.00021           8.71477           0.00022           *                 *                 
18   20   11.83821          0.00039           10.24199          0.00034           *                 *                 
18   21   6.59878           0.00501           10.73288          0.005             *                 *                 
18   22   9.8692            0.005             12.52866          0.00173           -26.18962         0.16              
18   23   6.09889           0.00033           12.79863          0.03207           *                 *                 
18   24   9.42652           0.00578           14.40446          0.06897           -9.30112          0.00794           
18   25   5.65845           0.00785           14.38579          0.14386           -2.6887           0.00871           
18   26   8.73456           0.00554           15.79386          0.15738           4.87541           0.00173           
18   27   5.16885           0.00166           16.82851          0.10803           9.23515           0.0011            
18   28   8.02086           0.04089           18.64645          0.13034           14.40329          0.04088           
18   29   4.25903           0.10796           18.48855          0.72429           19.02456          0.10008           
19   16   *                 *                 0.08065           0.02              *                 *                 
19   17   14.32859          0.02146           1.66773           0.00782           *                 *                 
19   18   15.44535          0.00778           1.85763           9e-05             *                 *                 
19   19   12.07181          0.00046           5.142             0.00049           *                 *                 
19   20   13.07764          0.00041           6.38143           0.00029           *                 *                 
19   21   7.79951           7e-05             7.58216           0.005             *                 *                 
19   22   10.09519          8e-05             7.80815           0.00019           *                 *                 
19   23   7.5338            0.00011           9.24306           0.00039           *                 *                 
19   24   9.643             0.00895           9.45953           0.01065           *                 *                 
19   25   7.28768           0.03688           11.08877          0.03617           -11.69323         0.12627           
19   26   8.8699            0.03722           11.2241           0.01038           -4.72856          0.01986           
19   27   6.88145           0.01849           12.9367           0.01555           1.65469           0.01554           
19   28   8.34927           0.01648           13.26512          0.04126           6.30578           0.00793           
19   29   4.49898           0.02472           13.50507          0.10278           12.35145          0.02421           
19   30   6.26665           0.07392           *                 *                 *                 *                 
19   31   3.10419           0.28707           *                 *                 23.86941          0.27844           
20   16   *                 *                 2.55943           0.04472           *                 *                 
20   17   14.79372          0.04583           3.02456           0.02368           *                 *                 
20   18   16.96878          0.02282           4.54799           0.00456           *                 *                 
20   19   13.2865           0.00491           5.76268           0.0019            *                 *                 
20   20   15.64319          0.00185           8.32823           9e-05             *                 *                 
20   21   8.3628            0.00013           8.89152           0.00017           *                 *                 
20   22   11.48063          6e-05             10.27697          0.00019           *                 *                 
20   23   7.93288           0.00017           10.67605          0.00028           *                 *                 
20   24   11.13116          0.00023           12.16421          0.00895           *                 *                 
20   25   7.41479           0.00017           12.29131          0.03578           -21.84673         0.50301           
20   26   10.39444          0.00228           13.81586          0.01              -13.66134         0.02012           
20   27   7.27636           0.00027           14.21077          0.01555           -7.78174          0.0142            
20   28   9.94532           0.0041            15.80683          0.00684           -1.39495          0.00839           
20   29   5.14645           0.00018           16.4543           0.02376           4.04122           0.00468           
20   30   6.35288           0.00832           16.54054          0.07049           10.68867          0.00929           
20   31   4.36374           0.09407           17.80008          0.29376           15.58556          0.09379           
20   32   4.71721           0.70489           *                 *                 22.90779          0.69862           
21   18   *                 *                 -0.60223          0.02443           *                 *                 
21   19   14.42652          0.02417           0.5378            0.00338           *                 *                 
21   20   16.19048          0.00283           1.08509           8e-05             *                 *                 
21   21   11.55016          0.00016           4.27245           0.00012           *                 *                 
21   22   12.13801          0.00186           4.92983           0.00186           *                 *                 
21   23   9.69948           0.00255           6.69642           0.00174           *                 *                 
21   24   11.32302          0.00193           6.88828           0.00082           *                 *                 
21   25   8.76064           0.0001            8.23414           0.00084           *                 *                 
21   26   10.64632          0.00199           8.48601           0.0012            *                 *                 
21   27   8.2353            0.00554           9.44495           0.00559           -15.17267         0.11191           
21   28   10.12758          0.0057            9.62721           0.00294           -8.93678          0.02434           
21   29   6.05583           0.01528           10.53659          0.015             -1.91007          0.01556           
21   30   6.75262           0.025             10.93632          0.02166           5.02316           0.02042           
21   31   5.20967           0.19435           11.78226          0.21483           10.3489           0.19328           
21   33   *                 *                 *                 *                 21.33653          0.37014           
21   34   3.43305           0.82381           *                 *                 *                 *                 
22   18   *                 *                 1.97122           0.16179           *                 *                 
22   20   *                 *                 3.76813           0.00545           *                 *                 
22   21   12.27087          0.00879           4.48883           0.0069            *                 *                 
22   22   16.29867          0.00694           8.6495            0.00199           *                 *                 
22   23   9.5286            0.0012            8.47862           0.00199           *                 *                 
22   24   13.189            0.00082           10.3446           0.00064           *                 *                 
22   25   8.88029           0.00029           10.46425          0.00069           *                 *                 
22   26   11.62665          4e-05             11.44458          0.00188           *                 *                 
22   27   8.14239           3e-05             11.35167          0.00534           *                 *                 
22   28   10.93919          4e-05             12.16327          0.00392           -16.95113         0.06001           
22   29   6.37249           0.00049           12.47993          0.01553           -9.50551          0.01504           
22   30   7.8083            0.00709           13.53562          0.02159           -1.13322          0.00966           
22   31   5.43532           0.1003            13.76127          0.21763           4.11648           0.10006           
22   32   6.83687           0.15989           *                 *                 10.65806          0.12472           
22   33   4.14725           0.1967            14.74046          0.40017           15.80904          0.1521            
22   34   5.33777           0.24806           16.64518          0.76162           21.66857          0.19595           
22   35   2.67844           0.49579           *                 *                 *                 *                 
23   21   *                 *                 2.08425           0.12129           *                 *                 
23   22   15.83457          0.12229           1.62014           0.01704           *                 *                 
23   23   13.2647           0.01704           5.35625           0.00101           *                 *                 
23   24   13.00036          0.0006            5.1676            7e-05             *                 *                 
23   25   10.54465          0.00243           6.83196           0.00241           *                 *                 
23   26   11.55288          0.00255           6.75819           0.00082           *                 *                 
23   27   9.33593           0.00128           7.95173           0.00099           *                 *                 
23   28   11.05115          8e-05             8.06368           0.00098           *                 *                 
23   29   7.31124           0.00013           9.00243           0.00111           *                 *                 
23   30   8.47885           0.00326           9.67297           0.00779           -9.20402          0.01828           
23   31   6.11343           0.01532           10.35109          0.10117           -1.88141          0.01501           
23   32   7.33185           0.10112           10.84607          0.15986           4.87607           0.1               
23   33   4.99993           0.22743           11.69875          0.25467           9.95924           0.20427           
23   34   6.17995           0.30984           12.54093          0.30443           15.15546          0.23298           
23   35   4.09132           0.34022           13.95381          0.51854           19.63712          0.24793           
23   36   4.92914           0.39491           *                 *                 *                 *                 
23   37   3.58202           0.56554           *                 *                 *                 *                 
24   21   *                 *                 2.13781           0.51738           *                 *                 
24   22   18.57984          0.5034            4.88308           0.02626           *                 *                 
24   23   13.15596          0.02443           4.77434           0.01405           *                 *                 
24   24   16.33211          0.01579           8.1061            0.00738           *                 *                 
24   25   10.58262          0.00763           8.14407           0.00342           *                 *                 
24   26   13.00033          0.0022            9.59153           0.00129           *                 *                 
24   27   9.26062           0.0002            9.51622           0.00025           *                 *                 
24   28   12.03944          0.00099           10.50452          0.001             *                 *                 
24   29   7.93912           0.00014           11.1324           0.001             *                 *                 
24   30   9.71912           0.00012           12.37268          0.0031            -17.72177         0.05              
24   31   6.24626           0.00019           12.50551          0.015             -9.77191          0.01102           
24   32   8.24507           0.00202           13.41872          0.10002           -1.37757          0.01123           
24   33   5.31421           0.00263           13.733            0.20427           3.55783           0.0026            
24   34   7.3819            0.20293           14.93496          0.30896           8.39297           0.20292           
24   35   4.12808           0.31761           14.97172          0.34809           13.26416          0.24433           
24   36   6.6837            0.3244            16.72629          0.37419           17.9682           0.2134            
24   37   3.74809           0.33221           16.89236          0.53868           22.04024          0.25461           
24   38   6.30522           0.42236           *                 *                 *                 *                 
25   23   *                 *                 2.05402           0.11266           *                 *                 
25   24   16.36347          0.11433           2.08538           0.02511           *                 *                 
25   25   13.08255          0.02402           4.5853            0.00221           *                 *                 
25   26   13.68584          0.00037           5.27081           0.0003            *                 *                 
25   27   10.53542          0.00204           6.54561           0.00205           *                 *                 
25   28   12.05378          0.00191           6.55994           0.00034           *                 *                 
25   29   8.93878           0.00106           7.5596            0.001             *                 *                 
25   30   10.22653          0.00107           8.067             0.00036           *                 *                 
25   31   7.27045           0.00013           9.09119           0.00043           *                 *                 
25   32   8.64841           0.00191           9.49453           0.00263           -10.17722         0.01576           
25   33   6.49134           0.03006           10.67166          0.03007           -4.24477          0.03004           
25   34   7.64405           0.04243           10.93381          0.20512           0.87766           0.03001           
25   35   5.76959           0.09115           12.57531          0.25905           5.16627           0.08608           
25   36   6.44922           0.24362           12.34083          0.31222           10.4279           0.22792           
25   37   4.55439           0.31892           13.14712          0.33852           14.75903          0.22313           
25   38   6.38366           0.34133           13.22557          0.42462           19.22838          0.25834           
25   39   4.33686           0.37134           *                 *                 22.80754          0.26675           
25   40   6.12731           0.59933           *                 *                 *                 *                 
26   24   *                 *                 4.14893           0.06462           *                 *                 
26   25   13.81812          0.06185           4.8845            0.01503           *                 *                 
26   26   16.18059          0.01635           7.37924           0.00657           *                 *                 
26   27   10.68503          0.00671           7.52885           0.00246           *                 *                 
26   28   13.37845          0.00163           8.85352           0.00053           *                 *                 
26   29   9.29823           0.0002            9.21297           0.00108           *                 *                 
26   30   11.1973           0.00025           10.18374          0.00017           *                 *                 
26   31   7.6461            3e-05             10.55939          0.00021           *                 *                 
26   32   10.0446           0.00018           11.95559          0.00192           -19.85572         0.05              
26   33   6.58101           0.00011           12.04526          0.03              -13.40262         0.03715           
26   34   8.82003           0.00339           13.22124          0.0302            -7.22406          0.01109           
26   35   5.58088           0.0203            13.03253          0.08836           -2.57591          0.02579           
26   36   8.05067           0.02469           14.63398          0.22837           2.27068           0.01761           
26   37   4.7164            0.16876           14.796            0.27935           6.66719           0.16814           
26   38   7.29615           0.32366           15.70849          0.37845           11.23293          0.27656           
26   39   4.1786            0.36832           15.55022          0.36101           15.03365          0.24326           
26   40   6.76688           0.38829           16.18979          0.61614           19.32591          0.30264           
