Z    N    SKM*(MeV)         SKP(MeV)          SLY4(MeV)         SVMIN(MeV)        UNEDF0(MeV)       UNEDF1(MeV)       DDME2(MeV)        DDMEd(MeV)        DDPC1(MeV)        NL3*(MeV)         
20   20   -1.637026         -0.950215         -0.329373         -0.793653         -1.817134         -0.087982         0.6135            1.0005            0.0545            0.3635            
20   22   -1.177058         -0.352085         0.455875          -0.056708         -1.073308         1.021401          1.56571           2.04771           1.60971           1.11471           
20   24   -1.001745         6.8e-05           0.858715          0.391151          -0.614943         1.710895          2.02906           2.18606           1.73506           1.47806           
20   26   -0.730943         0.264242          1.352541          0.792189          -0.121752         2.2966            2.29795           2.34495           2.04395           1.68695           
20   28   -1.173471         -0.255499         1.05235           0.278622          -0.621052         1.981109          2.25036           1.88836           1.76536           1.13536           
20   30   -1.495082         -0.025596         1.030768          0.241147          -0.660617         2.027213          1.57517           1.23617           1.18217           0.69817           
22   18   2.257597          1.712534          1.183245          1.437221          2.405244          1.295904          -0.03483          -0.29383          0.07617           0.74117           
22   20   2.673764          2.236477          1.912467          2.15022           3.147666          2.320659          0.77877           0.60577           1.13077           1.34077           
22   22   -2.772672         -2.972628         -3.060513         -2.778837         -1.74679          -2.364627         -3.87627          -4.67427          -4.11527          -3.52927          
22   24   -3.16042          -3.188179         -3.012128         -2.623412         -1.636533         -1.93561          -2.95407          -3.75507          -3.48307          -3.24607          
22   26   -2.648094         -2.470496         -2.137285         -1.70086          -0.624201         -0.946915         -2.24529          -3.17929          -2.79629          -2.24729          
22   28   -1.405397         -1.122374         -0.587074         -0.231718         0.925976          0.757259          -0.45497          -1.50197          -1.09597          -0.22697          
22   30   -1.769253         -0.988155         -0.488217         -0.190978         0.918596          0.698979          -0.73754          -1.11254          -1.29554          -0.80254          
22   32   -0.944606         0.102475          0.702863          0.764036          1.865367          1.553149          0.26234           0.45434           -0.08666          0.00634           
22   34   -1.479974         -0.137341         0.611936          0.44624           1.393161          1.106113          0.1306            0.2836            -0.2034           -0.4204           
24   22   1.559892          0.676864          0.680171          0.872459          1.545917          1.094413          0.64406           0.01806           0.39506           0.48006           
24   24   -0.045186         -1.276337         -0.442718         -0.81165          -0.720708         -0.024194         -0.32116          -1.30316          -0.97816          -0.79116          
24   26   -0.567237         -1.183812         -0.61427          -0.739879         -0.490412         0.180513          -0.5703           -1.5153           -1.1263           -0.8193           
24   28   -1.036172         -1.001032         -0.747197         -0.567134         0.093759          0.26438           -1.01052          -1.75352          -1.29152          -0.28652          
24   30   -2.241911         -2.162637         -1.225888         -1.582477         -0.655145         -0.805951         -0.45089          -0.67689          -1.03089          -1.08189          
24   32   -2.09477          -1.750342         -0.916859         -1.257871         -0.343084         -0.536381         0.16504           -0.05796          -0.35196          -0.69196          
24   34   -2.759093         -2.060328         -1.219753         -1.641519         -0.809731         -0.469666         -0.49169          -0.53469          -1.00769          -1.56069          
26   24   2.412377          1.543616          1.713711          1.671087          2.195268          1.638382          -0.09838          -0.50238          0.42162           0.77962           
26   26   -0.785548         -1.674046         -1.209491         -1.323449         -0.763742         -1.051188         -1.14023          -2.50923          -1.83023          -1.12623          
26   28   -0.31882          -1.318728         -0.567533         -0.701918         0.006796          -0.184483         -0.4602           -1.6352           -1.0882           -0.1272           
26   30   -0.717175         -1.22363          -0.481747         -0.73513          -0.134019         -0.175535         -0.72426          -1.77126          -1.27626          -0.61026          
26   32   -1.562944         -1.806051         -0.884214         -1.375422         -0.781661         -0.500437         -0.74205          -1.55005          -1.38205          -1.09105          
26   34   -1.5962           -1.721882         -0.639528         -0.972402         -0.689217         -0.215917         -0.23916          -0.84316          -1.08016          -1.15116          
26   36   -1.846882         -1.794646         -0.722387         -1.295116         -0.742296         -0.26021          -0.95141          -1.69241          -1.67141          -1.74041          
26   38   -2.092647         -0.963105         -0.030878         -0.496316         -0.02723          0.378696          -0.40252          -1.10252          -1.08352          -1.25852          
26   40   -2.211328         -0.865094         0.135049          -0.466542         0.01254           0.559004          -0.43202          -1.32902          -1.18002          -1.45402          
28   20   1.381321          *                 *                 *                 *                 *                 *                 *                 *                 *                 
28   26   2.469388          1.442688          1.615239          1.609856          2.141833          1.508951          0.53811           0.42511           1.04911           1.79611           
28   28   -0.111861         -1.828026         -0.843033         -1.257991         -0.929827         -0.993538         -0.76198          -2.10498          -1.88398          0.03602           
28   30   0.324868          -0.818589         -0.445256         -0.40882          -0.080593         -0.088303         -0.9326           -2.1136           -1.6026           0.0574            
28   32   -0.030388         -0.911496         -0.436957         -0.491858         -0.078984         -0.306105         -1.33795          -2.05295          -2.17495          -0.63695          
28   34   -0.746695         -1.268269         -0.697479         -0.87473          -0.403223         -0.441879         -1.52225          -2.40125          -2.33225          -0.89525          
28   36   -1.356384         -1.458356         -0.507664         -0.866091         -0.648102         -0.186561         -0.83081          -1.56381          -1.56881          -0.74181          
28   38   -1.742506         -1.594475         -0.595162         -1.179922         -0.887644         -0.313227         -0.30268          -1.48868          -1.14068          -1.16468          
28   40   -2.144994         -1.31841          -0.263247         -0.999517         -0.654018         -0.035473         -0.81792          -1.72592          -1.15492          -1.25992          
28   42   -2.474815         -1.192935         -0.01756          -0.814481         -0.373138         0.261862          -0.29989          -1.39789          -0.89789          -1.06189          
30   24   *                 1.749256          *                 *                 2.042106          *                 *                 *                 *                 *                 
30   28   1.561884          3.127667          1.547691          2.260799          3.10785           2.061107          -0.60315          0.14285           0.27685           -0.54315          
30   30   -1.396404         0.130993          -1.451842         -0.392058         0.510035          -0.316815         -0.52254          0.14646           -0.72154          -1.18854          
30   32   -1.582343         -0.188344         -1.333668         -0.382049         0.61978           0.022395          -0.58379          -0.00379          -0.33179          -0.80779          
30   34   -1.863747         -0.352282         -1.093283         -0.36026          0.495521          0.303425          -0.74463          0.22537           -0.14963          -0.99263          
30   36   -1.838946         -0.481502         -1.138646         -0.381103         0.30546           0.394399          -1.35618          -0.33118          -1.04018          -1.59318          
30   38   -2.179491         -0.235906         -1.557911         -0.378445         0.407713          0.413473          -2.24075          -1.06575          -2.21375          -1.94875          
30   40   -2.156259         -0.031439         -1.309232         -0.165931         0.545699          0.735961          -1.62186          -1.09486          -2.12286          -1.60586          
30   42   -2.687404         -0.621775         -1.870582         -0.785855         -0.095048         0.197159          -1.88157          -1.11057          -2.44157          -1.92057          
30   44   -2.910095         -1.05897          -1.559305         -1.229619         -0.571096         0.498803          -0.80659          -0.28059          -1.91659          -1.57859          
32   32   -1.359386         -0.77301          -1.038999         -1.222333         -0.785043         -0.515049         -1.08447          -0.37247          -0.84747          -0.72547          
32   34   -1.574294         -0.791627         -0.421964         -0.715005         -0.833791         0.216539          0.16704           0.52604           -0.01996          0.19704           
32   36   -1.993657         -0.850567         -0.738536         -0.755859         -0.945394         0.112812          -0.19657          0.21643           -0.25857          -0.07457          
32   38   -2.023513         -0.943508         -1.049014         -1.259055         -1.09334          0.075163          -0.81172          -0.30472          -0.77172          -0.57772          
32   40   -2.245828         -0.985466         -1.693049         -1.359885         -1.307797         -0.426772         -1.52811          -1.00611          -1.65411          -1.21611          
32   42   -2.303494         -0.980788         -1.602032         -1.29223          -1.298501         -0.224789         -1.2059           -0.6369           -1.4449           -1.0449           
32   44   -2.484198         -0.57342          -0.718394         -0.584936         -1.238992         0.616677          -0.79612          -0.20412          -0.93812          -0.55312          
32   46   -2.452722         -0.368828         -0.435326         -0.304741         -0.686208         0.926551          -0.30297          0.26503           -0.53797          -0.16997          
32   48   -2.774584         -0.796656         -0.718665         -0.667012         -1.109885         0.723595          0.17799           0.45899           -0.51701          -0.20601          
32   50   -3.395132         -0.573291         -0.985212         -0.723803         -0.925031         0.885072          0.1116            0.8096            -0.6734           0.3786            
32   52   -3.094856         -0.698233         -0.662637         -0.70692          -1.074822         0.724073          -0.01741          0.59459           -0.56641          -0.32141          
34   34   -1.914251         -0.93899          -0.162823         -0.530672         -1.781358         0.020815          0.20765           0.30265           -0.10335          0.12565           
34   36   -1.228157         -0.569355         -0.220545         -0.517833         -1.466382         0.147847          0.15096           0.20496           -0.12604          0.09196           
34   38   -0.817322         -0.813385         -0.273028         -0.460346         -1.542073         0.284153          -0.21925          -0.04325          -0.33525          -0.04825          
34   40   -1.084015         -0.633665         -0.745213         -0.828818         -1.412746         0.30695           -0.51924          -0.19424          -0.63924          -0.28224          
34   42   -1.809005         -0.489061         -0.627305         -0.661697         -1.222987         0.460853          -0.27945          0.07155           -0.44545          -0.13045          
34   44   -2.047052         -0.30016          -0.472835         -0.326971         -0.774155         0.57044           -0.308            0.051             -0.481            -0.102            
34   46   -1.922621         -0.259991         -0.265623         -0.233468         -0.381941         0.805591          -0.08735          0.15765           -0.34335          0.05265           
34   48   -1.892924         -0.228256         -0.007282         -0.121717         -0.348776         1.044624          0.34948           0.46248           -0.06552          0.28748           
34   50   -2.379529         -0.583229         -0.223325         -0.39403          -0.70529          0.911666          0.5134            0.4124            -0.0106           0.5194            
34   52   -2.568273         -0.463563         -0.43317          -0.456004         -0.729195         0.83096           0.04932           0.37532           -0.48868          -0.08568          
34   54   -2.968923         -0.760901         -0.655911         -0.888102         -1.178929         0.385918          -0.43522          -0.19622          -0.93522          -0.74422          
36   36   -0.488287         -0.406263         -0.998998         -0.731552         -1.039713         -0.600089         -0.35863          -0.79363          -0.83763          -0.57563          
36   38   0.162243          -0.406353         -0.507294         -0.520281         -1.296686         -0.058562         -0.2806           -0.0666           -0.6006           -0.1726           
36   40   -0.129484         -0.339264         -0.258063         -0.40831          -1.211216         0.267229          -0.06045          0.08355           -0.16845          0.09255           
36   42   -0.592039         -0.158798         0.079243          -0.159441         -0.953298         0.762571          0.17973           0.27373           0.01973           0.25073           
36   44   -1.606744         -0.189219         -0.248746         -0.278971         -0.566282         0.538802          -0.06034          0.22166           -0.12234          0.23666           
36   46   -1.90382          -0.281222         -0.343624         -0.320543         -0.463679         0.572701          -0.17627          0.11373           -0.27427          0.21373           
36   48   -1.617552         0.052815          0.104204          0.081952          -0.207656         1.037115          0.02061           0.57661           0.12761           0.74661           
36   50   -1.440074         -0.05338          0.69056           0.258652          -0.24509          1.568818          0.74211           0.62811           0.26311           0.49911           
36   52   -2.172456         -0.13835          -0.055368         -0.130811         -0.444509         1.05952           0.25294           0.21494           -0.19806          0.18994           
36   54   -2.564006         -0.310294         -0.743629         -0.440433         -0.687742         0.73786           -0.377            -0.305            -0.899            -0.443            
36   56   -2.532984         -0.460453         -1.424114         -0.737244         -1.079885         0.485514          -0.65304          -0.70104          -1.11504          -0.94004          
38   38   0.029413          -0.130896         -0.171436         -0.650507         -0.311433         0.202159          0.06026           -0.44174          -0.65374          -0.34874          
38   40   0.0237            0.008916          0.407706          -0.067519         -0.656698         0.474568          0.09083           0.01683           -0.05317          0.14183           
38   42   -0.176061         0.24667           0.731376          0.241441          -0.575945         0.841069          0.37188           0.19788           0.17888           0.37188           
38   44   -0.844846         0.455568          0.550312          0.436242          -0.311721         0.973597          0.42335           0.27135           0.31035           0.52635           
38   46   -1.35736          0.521133          0.31261           0.408916          -0.399384         0.969547          0.31127           0.25027           0.32527           0.62427           
38   48   -0.899771         0.785176          0.922809          0.762228          0.102792          1.504686          0.5773            0.2163            0.4343            0.6533            
38   50   -0.972852         0.246402          0.958567          0.300359          -0.178639         1.311485          -0.37089          -0.53089          0.14211           0.03711           
38   52   -1.507794         0.119715          0.515461          0.199891          -0.345161         1.19053           0.17822           -0.21278          -0.05878          0.20322           
38   54   -1.62298          -0.00691          0.287699          0.008924          -0.410256         1.060704          -0.02205          -0.33305          -0.46405          -0.06405          
38   56   -2.1317           -0.353042         -0.365814         -0.515982         -0.815067         0.675931          -0.75933          -0.88133          -1.15933          -0.79133          
38   58   -1.608464         -0.204697         -0.615825         -0.622698         -0.844295         0.514457          -0.82433          -0.87133          -1.19933          -0.80333          
38   60   -1.024286         -0.691474         0.09731           -0.746662         -0.910082         0.168508          -1.08537          -1.00437          -1.43937          -0.94137          
40   42   -1.090053         0.122474          0.610898          0.091742          -0.248656         0.37601           0.03723           -0.36377          -0.20177          0.14023           
40   44   -1.081801         0.115894          0.676272          0.075402          -0.144706         0.441988          0.00243           -0.45857          -0.24457          0.14843           
40   46   -0.430181         0.302676          0.839102          0.256204          0.123761          0.669697          0.10261           -0.39839          -0.14439          0.30561           
40   48   -0.341194         0.507929          1.030649          0.494327          0.536494          0.991596          0.29528           -0.25272          0.03828           0.55828           
40   50   -0.182971         0.772895          1.300838          0.763654          0.871292          1.28061           0.86214           -0.07986          0.22814           0.84414           
40   52   -0.219806         0.840075          1.450786          0.861185          0.895913          1.449317          0.72516           0.20216           0.41016           0.92816           
40   54   -0.624257         0.637726          1.107551          0.676525          0.639292          1.345479          0.5221            0.1241            0.0821            0.5381            
40   56   -1.156116         0.126794          0.502553          0.11448           -0.030451         0.797351          0.09992           -0.12608          -0.37808          0.03192           
40   58   -1.869391         0.012486          0.196662          -0.129147         -0.270413         0.66551           -0.08549          -0.35249          -0.56149          -0.12649          
40   60   -2.32189          0.141233          -0.686317         -0.250877         0.082151          0.613486          0.11573           -0.13227          -0.48527          -0.09827          
40   62   -2.428948         -0.2775           -0.738787         -0.659338         -0.11             0.160341          0.19125           -0.17375          -0.49175          -0.31175          
40   64   -2.5282           -0.527314         -0.786419         -0.827806         -0.302574         -0.011634         0.1613            -0.2357           -0.5237           -0.5537           
42   44   -0.738342         -0.9292           -0.594923         -0.493631         0.054159          -0.279609         -0.7935           -1.3035           -0.7965           -0.2235           
42   46   -0.71588          -0.99184          -0.531932         -0.447041         0.154592          -0.122563         -0.56247          -1.15047          -0.70147          -0.05147          
42   48   -0.673359         -0.788345         -0.264195         -0.215056         0.408747          0.15061           -0.18957          -0.86157          -0.44357          0.29543           
42   50   -0.296492         -0.360943         0.21939           0.313857          1.00922           0.791558          0.24702           -0.32898          0.10902           0.96502           
42   52   -0.74344          -0.58358          0.030625          0.094945          0.756392          0.560581          0.30502           -0.24498          -0.04198          0.72902           
42   54   -0.857607         -0.554535         0.109552          0.159801          0.815175          0.604273          0.94151           0.52151           0.65151           0.93851           
42   56   -0.628261         -0.163487         0.576727          0.543156          1.176893          0.943563          1.52493           1.15793           1.16093           1.33793           
42   58   -1.47721          -0.804431         0.359407          -0.029647         0.517736          0.369272          0.53974           0.36674           0.10774           0.52774           
42   60   -2.410713         -1.445068         -0.066818         -0.460382         -0.362562         0.220693          0.02043           -0.47857          -0.49657          -0.13557          
42   62   -2.69021          -1.365141         -0.452407         -0.533797         -0.475301         0.443317          0.2168            -0.3212           -0.3402           -0.0932           
42   64   -2.984239         -1.386118         -0.266472         -0.511043         -0.542432         0.582455          0.34459           -0.23341          -0.28141          -0.13441          
42   66   -3.271641         -1.563425         -0.002149         -0.406419         -0.709129         0.526484          0.3111            -0.2899           -0.3899           -0.3609           
44   46   -0.01266          -1.044079         -0.486267         -0.481838         0.183835          -0.23247          -0.31919          -1.19119          -0.65319          -0.05119          
44   48   -0.353579         -1.000047         -0.411839         -0.31664          0.35999           0.01144           -0.25764          -0.99064          -0.48464          0.24336           
44   50   -0.099573         -0.698018         -0.050952         0.037477          0.780791          0.514439          0.34104           -0.53596          -0.41496          0.81404           
44   52   -0.567352         -0.957654         -0.258602         -0.243732         0.526203          0.23244           0.15075           -0.45325          -0.19525          0.60975           
44   54   -0.914734         -1.125062         0.359885          -0.454441         0.357749          0.023             0.64208           0.01408           0.26408           0.78408           
44   56   -1.251576         -1.244529         0.931732          -0.352163         0.189724          0.394399          0.66764           0.07464           0.29064           0.76964           
44   58   -1.022295         -1.435424         0.414568          0.005996          0.006636          0.689454          0.47565           -0.00035          0.14865           0.38865           
44   60   -1.872903         -1.072724         -0.48575          -0.294896         0.027461          0.341991          -0.23959          -0.37059          -0.52059          -0.21259          
44   62   -2.197488         -0.730054         -0.188733         -0.508178         -0.117726         0.359823          -0.1232           -0.6632           -0.6202           -0.1682           
44   64   -2.371706         -0.726913         -0.036981         -0.385335         -0.027899         0.302896          0.03624           -0.56376          -0.53176          -0.14276          
44   66   -2.446902         -1.109836         -0.148232         -0.548805         -0.116886         0.177592          -0.04158          -0.68858          -0.69058          -0.36258          
44   68   -2.39858          -1.401401         -0.256597         -0.742834         -0.305253         0.034893          -0.11317          -0.77917          -0.84517          -0.58017          
46   48   0.280581          -0.696973         0.013777          -0.146892         0.351146          0.116306          -0.18901          -1.03701          -0.46301          0.15799           
46   50   0.353018          -0.560544         0.233544          0.07768           0.617662          0.40652           0.20924           -0.74176          -0.15076          0.63524           
46   52   0.149897          -0.597273         0.265307          0.05863           0.590533          0.387062          0.29346           -0.41754          -0.08654          0.66546           
46   54   0.08933           -0.752386         0.837883          0.096839          0.434401          0.760526          0.35314           -0.34886          -0.04286          0.58314           
46   56   -0.104598         -0.576613         1.041531          0.588859          0.280457          0.96943           0.33528           -0.33872          -0.05172          0.50128           
46   58   -0.02437          -0.245711         1.197374          0.58273           0.693293          1.112838          0.46739           -0.15961          0.04139           0.52539           
46   60   -0.779022         -0.077124         1.348595          0.719255          0.865351          1.284755          0.71724           0.06924           0.22124           0.64024           
46   62   -1.043953         0.203517          0.786327          0.807536          0.839056          1.198709          0.25407           -0.11593          -0.14093          0.33707           
46   64   -0.983761         0.383375          0.200171          0.449715          0.646742          1.123907          -0.1895           -0.7385           -0.6985           0.0105            
46   66   -0.891021         0.383092          0.028839          0.168454          0.497818          0.916601          -0.13793          -0.75293          -0.72493          0.03407           
46   68   -0.846397         0.105543          -0.006095         0.105561          0.526571          0.930722          -0.13107          -0.76107          -0.79007          0.28393           
46   70   -0.913502         -0.354969         -0.138346         -0.255348         0.602826          1.105022          0.13024           -0.53576          -0.83276          -0.04176          
46   72   -1.060211         -0.510219         0.059812          -0.035014         0.490457          1.058896          0.26722           -0.47378          -0.37878          -0.27178          
48   50   0.87618           -0.341712         0.642547          0.223296          0.644113          0.406306          0.26405           -0.74295          -0.10895          0.62805           
48   52   0.873477          -0.205629         0.867326          0.423509          0.744522          0.596037          0.65944           -0.18756          0.22744           0.93044           
48   54   0.411102          -0.199376         0.157062          0.214812          0.753471          0.103369          0.12815           -0.60885          -0.30885          0.65215           
48   56   0.067725          -0.555563         0.146112          -0.071213         0.703046          0.225531          0.03285           -0.68815          -0.38915          0.45785           
48   58   -0.238017         -0.593854         0.284591          -0.068941         0.525696          0.315516          0.26703           -0.49197          -0.23197          0.40503           
48   60   -0.498714         -0.549724         0.537271          0.010272          0.568702          0.4644            0.58017           -0.28983          -0.00783          0.46517           
48   62   -0.827801         -0.395595         0.825345          0.163755          0.716057          0.63954           0.8213            -0.0277           0.1933            0.6343            
48   64   -0.951317         -0.222201         0.986919          0.278914          0.821851          0.731161          0.7581            0.4241            0.1771            0.9471            
48   66   -0.929191         -0.098495         0.51126           0.255804          0.819281          0.7026            0.74869           0.18169           0.09069           0.99969           
48   68   -0.889911         0.093326          0.090499          0.142858          0.94292           0.580987          0.98452           0.12752           0.27652           0.87752           
48   70   -0.907695         0.271377          0.753322          0.768998          1.197066          0.372125          1.01505           0.13705           0.54905           0.66005           
48   72   -0.962406         0.109888          1.522123          0.700651          1.146948          0.848416          0.89645           -0.04755          0.34545           0.43745           
48   74   -1.04966          -0.075982         1.363291          0.453931          0.927102          1.136254          0.78174           -0.25426          0.10074           0.19474           
48   76   -1.140817         -0.281725         1.129468          0.224124          0.727961          0.976111          0.70255           -0.43245          -0.11945          -0.00645          
50   50   0.447225          -1.29737          -0.077089         -0.723603         -0.824837         -0.710834         -0.1325           -1.4225           -0.7295           0.2855            
50   52   0.81254           -0.823984         0.517687          -0.221776         -0.252184         -0.173819         0.59877           -0.21123          -0.00823          0.96977           
50   54   0.989285          -0.45536          0.220313          0.10888           0.123688          0.099339          0.7127            0.1077            -0.0413           1.4337            
50   56   0.976001          -0.29408          -0.357155         -0.159313         0.351302          -0.466383         0.36875           0.11075           -0.38125          1.35875           
50   58   0.390567          -0.526821         -0.740309         -0.47196          0.386307          -0.571174         0.27826           0.15926           -0.45974          1.27326           
50   60   -0.433912         -0.774295         -0.674063         -0.613093         0.123833          -0.513698         0.29749           0.27049           -0.32351          1.28649           
50   62   -1.112568         -0.877702         -0.46976          -0.62097          0.020503          -0.366094         0.78697           0.53697           0.12097           1.34697           
50   64   -1.648331         -0.769839         -0.217937         -0.521009         0.095944          -0.197764         1.23219           0.42319           0.61419           1.22919           
50   66   -2.043078         -0.388607         0.269103          -0.169919         0.412662          0.16518           1.41102           0.26502           0.63702           1.11502           
50   68   -2.240709         -0.037403         1.215139          0.364292          0.792272          0.637252          1.39069           0.24069           0.64269           1.09769           
50   70   -2.163748         0.031137          1.564363          0.600003          0.878904          1.196055          1.40233           0.21833           0.87533           1.07533           
50   72   -1.767153         0.029777          1.479495          0.494339          0.821005          1.142414          1.36608           0.10808           0.52808           0.96008           
