Z,N,2003,2003_sd,2016,2016_sd,2017,2017_sd,SKM*,SKP,SLY4,SVMIN,UNEDF0,UNEDF1,UNEDF2,FRDM2012,HFB24
15,26,8.54541,0.23969,8.34777,0.16471,*,*,10.352615,8.556782,8.31092,8.395053,8.276488,7.66668,22.029072,8.41,8.62
15,28,5.10018,0.99259,6.48304,0.56757,*,*,8.8064,7.222747,6.52581,7.011982,7.012764,6.511157,23.179578,6.52,6.17
15,30,*,*,*,*,*,*,6.87851,5.662932,4.643887,5.358428,5.709664,4.792064,23.904631,3.91,5.07
15,32,*,*,*,*,*,*,5.469897,4.439414,2.75197,4.35869,4.822739,3.909013,24.907368,2.07,2.57
15,34,*,*,*,*,*,*,2.510818,1.807255,1.035181,2.214775,2.575116,2.356178,24.317523,0.75,0.93
15,36,*,*,*,*,*,*,*,*,*,*,*,*,23.497928,*,*
15,38,*,*,*,*,*,*,*,*,*,*,*,*,24.488849,*,*
17,4,*,*,*,*,*,*,55.021914,55.557921,57.274566,52.290591,53.05744,50.855188,*,*,*
17,6,*,*,*,*,*,*,58.631109,59.719274,61.027881,57.420291,58.238973,57.524734,*,*,*
17,8,*,*,*,*,*,*,51.46779,53.816834,55.039356,52.610976,51.722525,54.036412,*,*,*
17,10,*,*,*,*,*,*,39.570794,41.399119,41.944702,41.15286,41.708152,41.760364,17.256779,46.17,44.46
17,12,*,*,*,*,*,*,37.482519,38.017693,38.510795,38.043783,38.833872,39.284783,18.207125,40.32,41.12
17,14,*,*,36.33936,0.18871,*,*,34.964707,34.677992,34.990496,34.941343,35.603353,36.233717,19.132755,35.83,37.37
17,16,30.0789,0.05,30.11142,0.00347,*,*,28.511729,29.23862,28.620055,29.110721,29.100375,29.76526,17.954451,30.0,30.75
17,18,24.15274,0.00046,24.15283,0.00039,*,*,22.044875,23.757969,23.842585,23.693093,22.599558,24.002779,17.570009,24.21,24.23
17,20,18.89063,6e-05,18.89064,6e-05,*,*,19.359824,19.916083,20.579679,20.151772,19.468374,20.420068,18.892077,19.28,18.35
17,22,14.1813,0.00173,14.1813,0.00173,*,*,16.11403,15.481677,14.851693,15.174826,15.318441,14.455459,17.94214,15.74,15.57
17,24,13.64962,0.06875,13.64962,0.06875,*,*,14.641389,13.319639,13.247759,13.223542,13.219049,12.959822,19.690793,13.74,14.58
17,26,13.00361,0.17173,12.99495,0.09246,*,*,13.961212,12.131215,12.149822,12.010062,11.933686,11.449201,20.653351,11.8,12.33
17,28,10.33711,0.20021,10.24567,0.14956,*,*,12.147192,10.599162,10.131457,10.369064,10.393275,9.806379,21.899031,10.04,9.99
17,30,*,*,*,*,*,*,9.823193,9.035077,7.725674,8.600107,9.019846,8.069313,22.883193,7.01,7.59
17,32,*,*,*,*,*,*,7.864977,7.169665,5.61762,6.886532,7.171517,6.494974,23.434588,5.02,5.31
