Z    N    SKM*(MeV)         SKP(MeV)          SLY4(MeV)         SVMIN(MeV)        UNEDF0(MeV)       UNEDF1(MeV)       DDME2(MeV)        DDMEd(MeV)        DDPC1(MeV)        NL3*(MeV)         
32   48   1.246639          -0.490017         -0.455108         -0.391023         -0.551432         -0.968765         -0.36059          -0.42859          -0.10159          -0.55359          
32   50   1.112873          -0.602688         -0.981305         -0.686342         -0.647942         -1.427995         -0.38747          0.28353           0.01553           -0.11647          
34   36   -0.295117         0.571098          -0.209708         0.201349          -0.070358         0.049827          0.05296           0.26096           0.42896           0.37196           
34   38   0.51207           0.681214          0.239938          0.433904          0.499599          0.319723          0.43317           0.91617           0.80617           0.68117           
34   40   0.556099          0.954435          0.386026          0.666136          0.761716          0.326948          1.09604           1.24704           1.08504           0.83504           
34   42   0.440391          0.018958          -0.202569         0.226327          0.062242          -0.26434          -0.00495          0.10505           0.51105           0.49905           
34   44   1.062667          0.032988          0.814865          0.524702          -0.135062         0.521414          0.72233           0.42533           0.88733           0.58033           
34   46   1.761296          0.286881          0.979759          0.654761          0.408328          0.406005          0.84652           0.59252           1.01152           0.50652           
34   48   1.256385          -0.478232         -0.216716         -0.299222         -0.538217         -0.749682         0.05629           -0.14371          0.15629           -0.33871          
34   50   0.851368          -0.732561         -0.972249         -0.733555         -0.779356         -1.335853         0.00155           0.45855           0.29555           0.34055           
34   52   1.307751          1.316303          -0.249641         0.598901          0.880188          0.125135          -2.11138          -2.12838          -1.65038          -1.66838          
34   54   0.946704          0.869798          -0.232718         0.172818          0.481316          -0.193699         -0.5212           -0.3432           -0.0392           -0.0602           
36   38   1.07318           0.591704          0.642221          0.555756          0.153206          0.77183           0.42178           1.55378           0.95378           0.99478           
36   40   0.236743          0.993895          0.607627          0.750477          0.819555          0.625109          1.28856           1.36956           1.48956           1.07256           
36   42   -0.022435         0.199154          0.134467          0.474926          0.319889          0.230731          0.23496           0.29496           0.69896           0.65696           
36   44   0.050303          0.004907          0.489215          0.407512          0.254294          0.299985          0.4846            0.3756            0.7476            0.5686            
36   46   1.46598           0.196638          0.886642          0.614949          0.512691          0.441664          0.73235           0.48635           0.86135           0.48535           
36   48   1.548363          -0.138484         0.236821          0.108983          -0.276483         -0.279558         0.25888           0.32488           0.56388           0.19988           
