Z,N,AME2003,AME2003_sd,AME2016,AME2016_sd,JYFLTRAP2017,JYFLTRAP2017_sd,TRIUMF2018,TRIUMF2018_sd,RIKEN2018,RIKEN2018_sd,NEW2018,NEW2018_sd,SKMS,SKP,SLy4,SV-min,UNEDF0,UNEDF1,UNEDF2,FRDM2012,HFB24
9,23,*,*,*,*,*,*,*,*,*,*,*,*,21.370976,22.126701,22.409352,21.661541,21.860357,21.574981,21.656274,24.07,23.21
,,,,,,,,,,,,,,,,,,,,,,
9,25,*,*,*,*,*,*,*,*,*,*,*,*,23.375453,24.174573,24.779876,23.598907,23.619928,23.089225,23.415713,27.51,21.2
,,,,,,,,,,,,,,,,,,,,,,
9,27,*,*,*,*,*,*,*,*,*,*,*,*,24.649101,25.534833,26.286614,24.865044,24.792764,24.180114,*,26.84,*
,,,,,,,,,,,,,,,,,,,,,,
9,29,*,*,*,*,*,*,*,*,*,*,*,*,25.436463,26.534768,27.210707,25.731539,25.634056,25.108122,*,30.77,*
,,,,,,,,,,,,,,,,,,,,,,
9,31,*,*,*,*,*,*,*,*,*,*,*,*,26.13378,27.561509,28.038925,26.591234,26.546919,26.002259,*,33.03,*
,,,,,,,,,,,,,,,,,,,,,,
9,33,*,*,*,*,*,*,*,*,*,*,*,*,26.877739,28.596601,28.937551,27.594427,27.598981,26.974051,*,31.27,*
,,,,,,,,,,,,,,,,,,,,,,
9,35,*,*,*,*,*,*,*,*,*,*,*,*,27.351725,29.27403,29.532557,28.312636,28.350575,27.672394,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
9,37,*,*,*,*,*,*,*,*,*,*,*,*,27.575658,29.581528,29.818023,28.635352,28.747777,27.909864,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
9,39,*,*,*,*,*,*,*,*,*,*,*,*,28.014123,29.784458,30.103396,28.897526,29.077917,28.06623,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
11,3,*,*,*,*,*,*,*,*,*,*,*,*,-6.340053,-6.969555,-7.525853,-6.46683,-6.634466,-6.153471,-6.636235,*,*
,,,,,,,,,,,,,,,,,,,,,,
11,5,*,*,*,*,*,*,*,*,*,*,*,*,-4.250115,-4.949896,-5.502561,-4.545326,-4.833017,-4.465184,-4.938103,*,*
,,,,,,,,,,,,,,,,,,,,,,
11,7,*,*,*,*,*,*,*,*,*,*,*,*,-1.17725,-1.831481,-2.427195,-1.790087,-1.928453,-1.820407,-2.149763,*,*
,,,,,,,,,,,,,,,,,,,,,,
11,9,2.19269,0.00667,2.19042,0.00113,*,*,*,*,*,*,*,*,2.361614,1.590195,1.33695,1.682583,1.541461,1.672277,1.397948,1.53,5.31
,,,,,,,,,,,,,,,,,,,,,,
11,11,6.73963,0.00042,6.73871,0.00018,*,*,*,*,*,*,*,*,5.68115,5.039661,5.014097,5.184224,5.099421,5.397256,5.034372,5.97,5.83
,,,,,,,,,,,,,,,,,,,,,,
11,13,10.55304,0.00013,10.55282,0.00011,*,*,*,*,*,*,*,*,8.467368,8.172573,8.11984,8.261394,8.436203,8.819372,8.413059,9.73,10.01
,,,,,,,,,,,,,,,,,,,,,,
11,15,12.04321,0.0263,12.11425,0.02926,*,*,*,*,*,*,*,*,10.907867,10.839205,10.808725,10.941671,11.300323,11.653593,11.259579,11.47,11.38
,,,,,,,,,,,,,,,,,,,,,,
11,17,15.34817,0.11115,15.32819,0.09135,*,*,*,*,*,*,*,*,13.206035,13.423601,13.346953,13.389883,13.792765,14.164348,13.830444,14.57,14.26
,,,,,,,,,,,,,,,,,,,,,,
11,19,16.98576,0.26985,17.2141,0.14958,*,*,*,*,*,*,*,*,15.411172,15.828575,15.820786,15.731689,16.079441,16.576966,16.371213,17.14,16.56
,,,,,,,,,,,,,,,,,,,,,,
11,21,*,*,19.83041,0.26879,*,*,*,*,*,*,*,*,17.605246,18.129263,18.14178,17.923422,18.202081,18.71048,18.545983,18.91,19.46
,,,,,,,,,,,,,,,,,,,,,,
11,23,*,*,*,*,*,*,*,*,*,*,*,*,19.635293,20.223484,20.306501,19.93999,20.140422,20.630294,20.47348,21.01,22.04
,,,,,,,,,,,,,,,,,,,,,,
11,25,*,*,*,*,*,*,*,*,*,*,*,*,21.440395,22.109826,22.323841,21.787488,21.912029,22.392082,22.310481,22.9,24.57
,,,,,,,,,,,,,,,,,,,,,,
11,27,*,*,*,*,*,*,*,*,*,*,*,*,23.052114,23.794597,24.087818,23.362631,23.431093,23.817501,23.803585,24.85,25.63
,,,,,,,,,,,,,,,,,,,,,,
11,29,*,*,*,*,*,*,*,*,*,*,*,*,24.376261,25.261058,25.56273,24.710763,24.789476,24.904869,25.047176,27.18,27.32
,,,,,,,,,,,,,,,,,,,,,,
