Z,N,AME2003,AME2003_sd,AME2016,AME2016_sd,JYFLTRAP2017,JYFLTRAP2017_sd,TRIUMF2018,TRIUMF2018_sd,RIKEN2018,RIKEN2018_sd,NEW2018,NEW2018_sd,SKMS,SKP,SLy4,SV-min,UNEDF0,UNEDF1,UNEDF2,FRDM2012,HFB24
,,,,,,,,,,,,,,,,,,,,,,
11,46,*,*,*,*,*,*,*,*,*,*,*,*,30.973843,31.561851,32.016457,29.985533,29.883542,29.493298,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
11,48,*,*,*,*,*,*,*,*,*,*,*,*,31.30795,31.686001,32.108057,30.143494,30.047415,29.573454,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
11,50,*,*,*,*,*,*,*,*,*,*,*,*,31.56213,31.763825,32.196666,30.23736,30.175754,29.752434,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
11,52,*,*,*,*,*,*,*,*,*,*,*,*,31.876457,31.871319,32.555782,30.481411,30.384912,29.95445,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
13,2,*,*,*,*,*,*,*,*,*,*,*,*,-7.395533,-7.812814,-8.503781,-7.232765,-7.275463,-6.722077,*,*,*
,,,,,,,,,,,,,,,,,,,,,,
13,4,*,*,*,*,*,*,*,*,*,*,*,*,-5.989014,-6.9202,-7.509034,-6.301426,-6.658384,-6.147318,-6.617114,*,*
,,,,,,,,,,,,,,,,,,,,,,
13,6,*,*,*,*,*,*,*,*,*,*,*,*,-3.678641,-4.580455,-4.988841,-4.106134,-4.566914,-4.100785,-4.482867,*,*
,,,,,,,,,,,,,,,,,,,,,,
13,8,*,*,*,*,*,*,*,*,*,*,*,*,-0.764588,-1.614984,-2.0534,-1.524703,-1.79261,-1.662442,-1.829273,-2.71,-4.07
,,,,,,,,,,,,,,,,,,,,,,
13,10,0.12244,0.0187,0.14097,0.00047,*,*,*,*,*,*,*,*,1.49257,1.373544,0.407732,0.74274,1.209492,0.611442,0.443945,-0.24,-0.87
,,,,,,,,,,,,,,,,,,,,,,
13,12,2.27158,0.00048,2.27138,7E-05,*,*,*,*,*,*,*,*,4.002597,3.93814,3.154693,3.557904,4.224318,3.488685,3.33001,2.33,1
,,,,,,,,,,,,,,,,,,,,,,
13,14,8.27105,0.00012,8.27129,6E-05,*,*,*,*,*,*,*,*,7.449117,7.093381,6.801197,7.088056,7.286423,7.352097,7.242418,6.87,8.66
,,,,,,,,,,,,,,,,,,,,,,
13,16,10.48565,0.00233,10.47789,0.00203,*,*,*,*,*,*,*,*,9.866273,9.576747,9.426572,9.764477,9.919788,10.274077,10.05742,10.18,9.17
,,,,,,,,,,,,,,,,,,,,,,
13,18,13.33193,0.022,13.35586,0.00411,*,*,*,*,*,*,*,*,12.127445,13.072477,11.865745,12.11534,12.361967,12.840564,12.681554,12.9,12.54
,,,,,,,,,,,,,,,,,,,,,,
13,20,14.86357,0.07487,14.95745,0.00771,*,*,*,*,*,*,*,*,14.315262,14.374426,14.311351,14.425313,14.619772,15.28597,15.247879,14.64,15.53
,,,,,,,,,,,,,,,,,,,,,,
13,22,16.22776,0.29018,15.83605,0.0298,*,*,*,*,*,*,*,*,15.505685,16.425815,16.489637,16.367897,16.72614,16.961401,16.896765,16.51,17.46
,,,,,,,,,,,,,,,,,,,,,,
13,24,*,*,17.85956,0.71338,*,*,*,*,*,*,*,*,17.096439,17.82226,17.770539,17.744345,18.101794,18.511553,18.454927,18.08,20.07
,,,,,,,,,,,,,,,,,,,,,,
13,26,*,*,*,*,*,*,*,*,*,*,*,*,18.914922,19.628333,19.606783,19.452215,19.788599,20.159219,20.161919,20.04,22.17
,,,,,,,,,,,,,,,,,,,,,,
13,28,*,*,*,*,*,*,*,*,*,*,*,*,21.06824,21.747763,21.751352,21.542202,21.821771,22.22224,22.323446,22.06,23.91
,,,,,,,,,,,,,,,,,,,,,,
